Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,,Category,Zone,Royalty Code,Current Specs,Min Ord Qty,Available Now     ,Available Later,On,Available Later,On,Available Later,On
GA,2014,086841,#1,ECHIN SMBRO TM SALSA RD P23105,"Echinacea x 'Balsomsed' P.P.#23,105                         ",Sombrero™  Salsa Red Coneflower,Mid/late interm. flowering,x,PRN,04,BHC ,, 10 ,     , 50 ,04/15/15  ,     ,          ,     ,          
GA,2013,007051,#1,ECHIN SUPREME CANTALOUPE,Echinacea 'Supreme Cantaloupe' P.P.A.F.                     ,Supreme Cantaloupe Cone Flower                              ,Mid/late interm. flowering,x,PRN,04,    ,CAN FULL, 10 ,     , 64 ,04/15/15  ,     ,          ,     ,          
GA,2012,022831,#1,ECHINACEA CRNBRY CUPCAKE PPAF,Echinacea 'Cranberry Cupcake' P.P.A.F.                      ,Cranberry Cupcake Coneflower                                ,Mid/late interm. flowering,x,PRN,04,    ,, 10 ,     , 70 ,04/15/15  ,     ,          ,     ,          
GA,2011,002991,#1,ECHINACEA POWWOW R WILDBERRY,Echinacea purpurea 'PAS702917'                              ,PowWow®  Wild Berry Coneflower,Mid/late interm. flowering,x,PRN,03,    ,, 10 , 100 , 100 ,09/15/14  , 100 ,04/15/15  ,     ,          
OR,2011,043401,#1,ECHINACEA PRAIRIE SPLENDOR,Echinacea purpurea 'Prairie Splendor'                       ,Prairie Splendor Coneflower                                 ,Mid/late interm. flowering,x,PRN,03,    ,CAN FULL, 10 ,     , 133 ,09/01/14  , 411 ,04/01/15  , 411 ,06/01/15  
CA,2012,067791,#1,GR-BOUT BLOND AMBITION PP22048,"Bouteloua gracilis 'Blonde Ambition' P.P. # 22,048          ",Blonde Ambition Blue Grama Grass                            ,Small grasses,x,GRS,04,PLC ,CAN FULL, 10 ," 2,515 "," 6,451 ",04/01/15  ,     ,          ,     ,          
GA,2011,005455,#5,GR-MIS SIN DIXIELAND,Miscanthus sinensis 'Dixieland'                             ,Dwarf Variegated Maiden Grass                               ,Large grass,x,GRS,04,    ,, 5 , 6 , 214 ,04/15/15  ,     ,          ,     ,          
CA,2014,022961,#1,GR-PAN VIR NORTHWIND,Panicum virgatum 'Northwind'                                ,Northwind Switch Grass                                      ,Large grass,x,GRS,04,    ,"24""H", 10 , 278 ," 2,371 ",04/01/15  ,     ,          ,     ,          
GA,    ,403231,#1,HEUCHERA BERRY SMOOTHIE P21871,                                                            ,                                                            ,Sun/shade foliage-groundcover,x,PRN,04,TNN ,, 10 ,     ," 1,025 ",04/15/15  ,     ,          ,     ,          
OR,2014,086871,#1,HEUCHERA CARNIVAL COCOMINT PAF,Heuchera x 'Carnival Cocomint' (P.P.A.F.)                   ,Carnival Cocomint Coral Bells                               ,Shade foliage/flower,x,PRN,04,BHC ,, 10 , 394 ,     ,          ,     ,          ,     ,          
GA,2014,097091,#1,HEUCHERA CARNIVAL LIMEADE PPAF,                                                            ,                                                            ,Shade foliage/flower,x,PRN,04,BHC ,, 10 ,     , 50 ,04/15/15  ,     ,          ,     ,          
