Item,Early Ship,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
035212,,,,2,GA,5,Cephalotaxus harringtonia var. drupacea                     ,Japanese Plum Yew                                           ,CON,CON,06,    ,,, $17.66 ,,014949206058,0,232,116,10/01/14  ,116,05/15/15  ,0,          ,, $16.00 , $1.66 
023635,,,,5,OR,5,Chamaecyparis lawsoniana 'Golden King'                      ,Golden King Port Orford Cedar ,CON,CON,06,    , $35.23 ,,,,014949025482,13,13,13,01/01/15  ,0,          ,0,          ,, $30.00 , $5.23 
033802,,,,2,CT,5,Chamaecyparis lawsoniana 'Yvonne'                           ,Yvonne Port Orford Cedar ,CON,CON,06,    ,,,, $18.61 ,014949264768,1272,1272,1272,09/01/14  ,0,          ,0,          ,, $17.50 , $1.11 
033805,,,,5,CT,5,Chamaecyparis lawsoniana 'Yvonne'                           ,Yvonne Port Orford Cedar - The Guardian®  Series,CON,CON,06,    ,,,, $33.05 ,014949232798,4,439,439,06/15/15  ,0,          ,0,          ,, $30.00 , $3.05 
02365M,,,,10 Squat,OR,2,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON,CON,05,    , $97.84 ,,,,014949236673,8,0,0,          ,0,          ,0,          ,, $79.00 , $18.84 
023655,,,,5,OR,5,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON,CON,05,    , $47.73 ,,, $45.55 ,014949236550,145,144,144,0,0,0,0,0,, $42.50 , $5.23 
035365,,,,5,CT,5,Chamaecyparis obtusa 'Crippsii'                             ,Golden Hinoki False Cypress                                 ,CON,con,04,    ,,,, $33.05 ,014949206416,183,808,808,06/15/15  ,0,          ,0,          ,, $30.00 , $3.05 
023902,,,,2,OR,5,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,CON,CON,04,    , $20.62 ,,,,014949239025,15,0,0,          ,0,          ,0,          ,, $18.00 , $2.62 
023902,,,,2,CT,5,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,CON,CON,04,    ,,,, $14.36 ,014949239025,643,946,946,09/01/14  ,0,          ,0,          ,, $13.25 , $1.11 
023905,,,,5,CT,5,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,CON,con,04,    ,,,, $33.05 ,014949239056,0,408,408,06/15/15  ,0,          ,0,          ,, $30.00 , $3.05 
02368M,,,,10 Squat,OR,2,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                ,CON,con,04,    , $91.84 ,,,,014949236864,2,2,2,01/01/15  ,0,          ,0,          ,, $73.00 , $18.84 
023682,,,,2,CT,5,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                ,CON,CON,04,    ,,,, $14.36 ,014949236826,690,892,892,09/01/14  ,0,          ,0,          ,, $13.25 , $1.11 
023685,,,,5,OR,5,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                ,CON,CON,04,    , $35.23 ,,, $33.05 ,014949236857,266,261,261,0,0,0,0,0,, $30.00 , $5.23 
023912,,,,2,OR,5,Chamaecyparis obtusa 'Tempelhof'                            ,Tempelhof Cypress                                           ,CON,CON,04,    , $20.62 ,,,,014949239124,11,0,0,          ,0,          ,0,          ,, $18.00 , $2.62 
023931,,,,1,OR,10,Chamaecyparis obtusa 'Torulosa'                             ,Twisted Hinoki Cypress                                      ,CON,con,04,    , $8.05 ,,,,014949239315,1,0,0,          ,0,          ,0,          ,, $7.00 , $1.05 
023932,,,,2,CT,5,Chamaecyparis obtusa 'Torulosa'                             ,Twisted Hinoki Cypress                                      ,CON,CON,04,    ,,,, $15.61 ,014949239322,5,0,0,          ,0,          ,0,          ,, $14.50 , $1.11 
082402,,,,2,OR,5,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,CON,04,    , $17.12 ,,,,014949824023,87,0,0,          ,0,          ,0,          ,, $14.50 , $2.62 
082405,,,,5,OR,5,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,CON,04,    , $27.23 ,,,,014949824054,39,0,0,          ,0,          ,0,          ,, $22.00 , $5.23 
08240UT,,,,LittleOne,OR,16,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,CON,04,    , $5.58 ,,,,014949069028,32,32,32,03/01/15  ,0,          ,0,          ,, $4.80 , $0.78 
024031,,,,1,OR,10,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON,CON,04,    , $8.30 ,,,,014949240311,20,0,0,          ,0,          ,0,          ,, $7.25 , $1.05 
024032,,,,2,OR,5,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON,CON,04,    , $17.62 ,,,,014949240328,8,0,0,          ,0,          ,0,          ,, $15.00 , $2.62 
024035,,,,5,OR,5,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON,CON,04,    , $29.73 ,,,,014949240359,47,0,0,          ,0,          ,0,          ,, $24.50 , $5.23 
02403UT,,,,LittleOne,OR,16,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON,CON,04,    , $5.58 ,,,,014949069004,0,10,10,03/01/15  ,0,          ,0,          ,, $4.80 , $0.78 
023842,,,,2,OR,5,Chamaecyparis pisifera filifera 'Sungold'                   ,Sungold Thread-Branch Cypress                               ,CON,CON,04,    , $17.62 ,,,,014949238424,166,0,0,          ,0,          ,0,          ,, $15.00 , $2.62 
08245M,,,,10 Squat,CT,2,Chamaecyparis pisifera 'Golden Mop'                         ,Golden Mop Threadleaf False Cypress                         ,CON,con,04,    ,,,, $64.21 ,014949401804,164,495,495,06/15/15  ,0,          ,0,          ,, $59.00 , $5.21 
082452,,,,2,CT,5,Chamaecyparis pisifera 'Golden Mop'                         ,Golden Mop Threadleaf False Cypress                         ,CON,CON,04,    ,,,, $14.86 ,014949050668,0,74,74,09/01/14  ,0,          ,0,          ,, $13.75 , $1.11 
082455,,,,5,CT,5,Chamaecyparis pisifera 'Golden Mop'                         ,Golden Mop Threadleaf False Cypress                         ,CON,con,04,    ,,,, $30.05 ,014949050675,0,1370,1370,06/15/15  ,0,          ,0,          ,, $27.00 , $3.05 
401813,,,,3,CT,5,Chamaecyparis pisifera 'Paul's Gold'                        ,Paul's Gold Mop Cypress                                     ,CON,CON,05,    ,,,, $18.54 ,014949389768,0,6,6,09/01/14  ,0,          ,0,          ,, $17.00 , $1.54 
074785,,,,5,OR,5,Chamaecyparis pisifera Soft Serve®,Soft Serve®  False Cypress,CON,CON,05,2011, $32.23 ,,,,014949349236,7,0,0,          ,0,          ,0,          ,, $27.00 , $5.23 
074783S,,,,Super 3,CT,5,Chamaecyparis pisifera Soft Serve®,Soft Serve®  False Cypress,CON,CON,05,2011,,,, $18.79 ,014949411483,5,5,5,09/15/14  ,0,          ,0,          ,, $17.25 , $1.54 
074782S,,,,Super 2,OR,5,Chamaecyparis pisifera Soft Serve®,Soft Serve®  False Cypress,CON,CON,05,2011, $20.49 ,,,,014949337257,159,0,0,          ,0,          ,0,          ,, $17.00 , $3.49 
023822,,,,2,OR,5,Chamaecyparis pisifera 'Squarrosa Minima'                   ,Miniature Moss False Cypress                                ,CON,CON,04,    , $20.62 ,,,,014949238226,21,21,21,05/01/15  ,0,          ,0,          ,, $18.00 , $2.62 
