Loc,Item,Size,Description,2014 Catalog Price ,Unit Freight,Minimum Ord Qty,Confirmed Qty Remaining,Date Ready,Condition,Current Specs
CA,062005,#5,ENSETE MAURELII,31.00 ,5.12 , 5 , 5 ,Now         ,-,"24""H"
GA,062005,#5,ENSETE MAURELII,31.00 ,2.92 , 5 , 5 ,Now         ,,"24""H"
CA,062009,#15,ENSETE MAURELII,100.00 ,25.59 , 1 , 3 ,Now         ,-,"52""H"
GA,035711,#1,GAILLARDIA ARIZONA SUN,4.75 ,0.58 , 10 , 10 ,03/03/14    ,BUDS,
GA,037961,#1,GAURA L SISKIYOU PINK,4.75 ,0.58 , 10 , 10 ,04/01/14    ,,
GA,03568UT,LittleOne,GAURA L WHIRLING BUTTERFLIES,2.95 ,0.44 , 16 , 16 ,04/01/14    ,,
GA,036481,#1,GAURA PASSIONATE RAINBW P17002,4.75 ,0.58 , 10 , 20 ,04/01/14    ,,
OR,067281,#1,HELLE WJEWELS R BLACK DIAMOND,7.50 ,0.98 , 10 , 10 ,04/01/14    ,-,
OR,065791,#1,HELLE WJEWELS R GOLDEN SUNRISE,7.50 ,0.98 , 10 , 10 ,Now         ,-,
GA,040111,#1,HEM STELLA DE ORO,4.75 ,0.58 , 10 , 25 ,Now         ,DORMANT,2-3 FANS
GA,039611,#1,HEUCHERA BLACK BEAUTY PP13288,6.75 ,0.58 , 10 , 10 ,04/01/14    ,,
GA,045721,#1,HEUCHERA MIDNIGHT ROSE PP18551,7.50 ,0.58 , 10 , 10 ,Now         ,,CAN FULL
GA,049711,#1,HEUCHERA SOUTHERN COMFORT PPAF,7.50 ,0.58 , 10 , 10 ,03/15/14    ,,
GA,033531,#1,HEUCHERELLA STOPLIGHT PP16835,7.50 ,0.58 , 10 , 10 ,04/01/14    ,,
GA,044011,#1,IRIS EN VARIEGATA,6.75 ,0.58 , 10 , 10 ,Now         ,DORMANT,3-5 FANS
GA,056611,#1,LANTANA CAM AMERICAN RED,4.95 ,0.58 , 10 , 10 ,04/15/14    ,,
GA,056643PT,#3 PATIO TREE,LANTANA CAM MARY ANN,34.00 ,3.50 , 2 , 6 ,03/20/14    ,,
GA,009133PT,#3 PATIO TREE,LANTANA CAM MOZELLE,34.00 ,3.50 , 2 , 6 ,Now         ,,"15""S"
GA,009091,#1,LANTANA NEW GOLD,4.95 ,0.58 , 10 , 10 ,04/01/14    ,,
GA,057203PT,#3 PATIO TREE,LANTANA TANGERINE TM,34.00 ,3.50 , 2 , 6 ,Now         ,,"15""S"
CA,024461,#1,LANTANA TEENIE GENIE R PP17612,5.50 ,1.02 , 10 , 10 ,Now         ,BUDS,"6""H-8""S"
CA,028131,#1,LAVANDULA X INT PROVENCE,5.50 ,1.02 , 10 , 10 ,04/01/14    ,-,
GA,009281,#1,LIGULARIA STEN THE ROCKET,6.50 ,0.58 , 10 , 10 ,04/01/14    ,,
OR,058941,#1,LITHODORA GRACE WARD,4.75 ,0.98 , 10 , 10 ,Now         ,LIGHT BUD & BLOOM,PA2*
GA,061945,#5,MUSA ACUM ZEBRINA,27.00 ,2.92 , 5 , 6 ,04/01/14    ,,
OR,052595,#5,PAEONIA ITOH TAKARA TM PP22374,41.00 ,4.89 , 5 , 5 ,Now         ,CUT BACK,.
OR,047075,#5,PAEONIA ITOH YUMI TM PAF (YLW),41.00 ,4.89 , 5 , 5 ,Now         ,CUT BACK,5  EYES
OR,019522,#2,PAEONIA X BOWL OF BEAUTY (PK),19.50 ,2.44 , 5 , 5 ,Now         ,DORMANT,5  EYES
OR,050282,#2,PAEONIA X BUCKEYE BELLE (RED),19.50 ,2.44 , 5 , 5 ,Now         ,DORMANT,5+ EYES
OR,051192,#2,PAEONIA X NANCY NORA (PINK),19.50 ,2.44 , 5 , 5 ,Now         ,DORMANT,5 EYES
GA,036561,#1,POLE STAIRWAY TO HEAVEN P15187,6.00 ,0.58 , 10 , 10 ,04/15/14    ,,
OR,015161,#1,POLYGONATUM FAL VARIEGATUM,6.00 ,0.98 , 10 , 10 ,Now         ,DORMANT,.
OR,035611,#1,PULMONARIA TREVI FOUNTN P13047,6.00 ,0.98 , 10 , 10 ,Now         ,LIGHT BUDS,.
GA,011891,#1,SISYRINCHIUM ANG LUCERNE,4.75 ,0.58 , 10 , 10 ,Now         ,,CAN FULL
OR,076131,#1,VINCA MINOR BOWLES',4.75 ,0.98 , 10 , 25 ,04/01/14    ,-,
OR,07613UT,LittleOne,VINCA MINOR BOWLES',2.95 ,0.73 , 16 , 64 ,Now         ,LIGHT BUD & BLOOM,PA2*
GA,078762S,SuperTwo,AZ BLM-A-THON TM DB PK PP21477,16.50 ,1.95 , 5 , 10 ,04/01/14    ,,
OR,078752S,SuperTwo,AZ BLM-A-THON TM LVNDR PP21476,16.50 ,3.26 , 5 , 10 ,Now         ,-,"8""H - 12""S"
GA,078772S,SuperTwo,AZ BLM-A-THON TM RED PP21562,16.50 ,1.95 , 5 , 10 ,04/15/14    ,,
OR,019765,#5,RHOD (H-1) RTR FIRESTORM,25.75 ,4.89 , 5 , 5 ,Now         ,BUDS,14''H - 18''S
OR,010202,#2,RHOD (H-2) SCARLET WONDER DWRF,16.50 ,2.44 , 5 , 10 ,Now         ,BUDS,8''H - 12''S
GA,036292,#2,ROSA FLWR CAR R AMBER PPAF,14.75 ,1.46 , 5 , 10 ,Now         ,WINTER LOOK,cut back
GA,036382,#2,ROSA FLWR CAR R PNK SUP P16276,14.75 ,1.46 , 5 , 20 ,04/01/14    ,,
GA,036312,#2,ROSA FLWR CAR R SCARLET P17373,14.75 ,1.46 , 5 , 20 ,Now         ,BREAKING DORMANCY,winter look
GA,042825PT,#5 PATIO TREE,ROSA KNCK OUT R DBL PNK P18507,36.00 ,4.38 , 2 , 6 ,04/15/14    ,,
GA,030905PT,#5 PATIO TREE,ROSA KNCK OUT R DBL RD P16202,36.00 ,4.38 , 2 , 6 ,04/15/14    ,,
GA,011625PT,#5 PATIO TREE,ROSA KNCK OUT R P11836 (RED),36.00 ,4.38 , 2 , 6 ,04/15/14    ,,
CA,037125ST,#5 STAKED,ROSA-CL-CRIMSON SKY TM PP18564,26.00 ,5.12 , 5 , 6 ,04/01/14    ,,
CA,075415ST,#5 STAKED,ROSA-CL-SKY'S THE LIMIT TM PAF,26.00 ,5.12 , 5 , 5 ,Now         ,-,36''H
OR,00095M,#10 Squat,ACER PAL CRIMSON QUEEN,109.00 ,17.60 , 2 , 6 ,05/15/14    ,BREAKING DORMANCY,
OR,00102M,#10 Squat,ACER PAL SANGOKAKU,109.00 ,17.60 , 2 , 6 ,Not Avl     ,DORMANT,
OR,03033M,#10 Squat,ACER SHIR AUTUMN MOON,109.00 ,17.60 , 2 , 3 ,Not Avl     ,BREAKING DORMANCY,
CA,001995,#5,ALBIZIA J SUMMER CHOC PP13822,33.00 ,5.12 , 5 , 5 ,Now         ,DORMANT,"54""H"
CA,001965,#5,ALBIZIA JUL OMBRELLA TM,33.00 ,5.12 , 5 , 5 ,Now         ,DORMANT,"54""H"
CA,036785,#5,FICUS CAR BROWN TURKEY,27.00 ,5.12 , 5 , 6 ,Now         ,BREAKING DORMANCY,"34""H"
CA,036795,#5,FICUS CAR KADOTA,27.00 ,5.12 , 5 , 6 ,Now         ,BREAKING DORMANCY,"36""H"
CA,036815,#5,FICUS CAR MISSION,27.00 ,5.12 , 5 , 6 ,Now         ,BREAKING DORMANCY,"36""H"
GA,060439,#15,MAG G BRACKENS BROWN BEAUTY,94.00 ,16.94 , 1 , 3 ,Now         ,,"72""H"
GA,063655,#5,PALM-CHAMAEROPS HUMILIS,23.75 ,2.92 , 5 , 5 ,Now         ,,"15""H"
GA,063605,#5,PALM-TRACHYCARPUS FORTUNEI,23.75 ,2.92 , 5 , 10 ,05/01/14    ,,
CA,063607,#7,PALM-TRACHYCARPUS FORTUNEI,55.00 ,12.79 , 2 , 10 ,Now         ,-,"32""H"
CA,064105,#5,PALM-WASHINGTONIA ROBUSTA,19.50 ,5.12 , 5 , 15 ,Now         ,-,"36""H"
CA,013052PT,#2 PATIO TREE,BOUG PURPLE QUEEN R,28.50 ,3.84 , 5 , 3 ,Now         ,BUDS & BLOOMS,"12""S"
GA,013055,#5 STAKED,BOUG PURPLE QUEEN R,23.00 ,2.92 , 5 , 5 ,03/10/14    ,,
OR,021792,#2 STAKED,CLEM PIILU TM PPAF,17.00 ,2.44 , 5 , 10 ,Now         ,BREAKING DORMANCY,FULL STK
OR,055211,#1 STAKED,CLEM SIEBOLDII,8.50 ,0.98 , 10 , 10 ,Now         ,BREAKING DORMANCY,FULL STK
OR,089921S,SuperOne TM,CLEM SWEET SUMMER LOVE PPAF,9.50 ,1.63 , 10 , 10 ,05/01/14    ,,
OR,048742,#2 STAKED,CLEM VANCOUVER TM STARRY NGHTS,17.00 ,2.44 , 5 , 10 ,Now         ,BREAKING DORMANCY,FULL STK
OR,056212,#2 STAKED,CLEM X WESTERPLATTE,17.00 ,2.44 , 5 , 10 ,Now         ,BREAKING DORMANCY,"3/4"" STK"
OR,041702,#2 STAKED,HYD PETIOLARIS,18.25 ,2.44 , 5 , 6 ,Now         ,BREAKING DORMANCY,FULL STK
OR,041705,#5 STAKED,HYD PETIOLARIS,27.50 ,4.89 , 5 , 6 ,Now         ,BREAKING DORMANCY,36'' FULL STK
CA,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,8.75 ,1.71 , 10 , 10 ,Now         ,LIGHT BUDS,24''H
GA,061201,#1 STAKED,MAN ALICE DU PONT,7.75 ,0.58 , 10 , 45 ,04/15/14    ,,
GA,061205,#5 STAKED,MAN ALICE DU PONT,26.00 ,2.92 , 5 , 20 ,04/15/14    ,,
GA,045011,#1 STAKED,MAN SUN PAR R CRIMSON PP15539,8.75 ,0.58 , 10 , 30 ,04/01/14    ,,
CA,045012,#2 STAKED,MAN SUN PAR R CRIMSON PP15539,17.00 ,2.56 , 5 , 10 ,Now         ,BUDS & BLOOMS,"24""H"
GA,057082,#2 STAKED,MAN SUN PAR R GIANT PNK P15202,17.00 ,1.46 , 5 , 10 ,04/01/14    ,,
GA,061235,#5 STAKED,MAN SUN PAR R GNT CRIM P17736,26.00 ,2.92 , 5 , 5 ,04/01/14    ,,
CA,070051ST,#1 STAKED,TRACH JASMINOIDES,6.75 ,1.02 , 10 , 10 ,Now         ,WINTER COLOR,18''H
CA,070052ST,#2 STAKED,TRACH JASMINOIDES,15.75 ,2.56 , 5 , 5 ,Now         ,WINTER COLOR,"27""H"
CA,070055ST,#5 STAKED,TRACH JASMINOIDES,22.00 ,5.12 , 5 , 5 ,Now         ,WINTER COLOR,"36""H"
CA,076221,#1 STAKED,VITIS LAB EASTERN CONCORD,8.00 ,1.02 , 10 , 10 ,Now         ,DORMANT,"24""H"
OR,076815,#5 STAKED,WISTERIA FRU AMETHYST FALLS,22.00 ,4.89 , 5 , 10 ,Now         ,BREAKING DORMANCY,48''FULL STK
,,Totals:,,,,," 3,555 ",,,
