Branch,item,Description
OREGON,030345,ACER CIR MONROE
OREGON,021805,ACER CIR PACIFIC FIRE
OREGON,001285,ACER F AUTUMN BLAZE R
OREGON,000485,ACER GIN RED RHAPSODY R
OREGON,000447,ACER GRISEUM
OREGON,000555,ACER NEGUNDO FLAMINGO
OREGON,036235,ACER NEGUNDO KELLY'S GOLD
OREGON,001135,ACER PLAT CRIMSON KING
OREGON,017985,ACER PLAT CRIMSON SENTRY
OREGON,001275,ACER RUB RED SUNSET R
OREGON,028895,AESCULUS X ARN AUTUMN SPLENDOR
OREGON,01231MMU,BETULA JACQUEMONTII
OREGON,012315,BETULA JACQUEMONTII
OREGON,02471M,BETULA N SUMR CASCADE PP15150
OREGON,024715,BETULA N SUMR CASCADE PP15150
OREGON,012425MU,BETULA NIGRA
OREGON,002345,BETULA NIGRA DURA HEAT R
OREGON,012305,BETULA PENDULA (ALBA)
OREGON,012305MU,BETULA PENDULA (ALBA)
OREGON,012365,BETULA PENDULA PURPLE RAIN R
OREGON,012415SE,BETULA PENDULA YOUNGII
OREGON,012415ST,BETULA PENDULA YOUNGII
OREGON,012417SE,BETULA PENDULA YOUNGII
OREGON,022495,CARAGANA ARB WALKER
OREGON,022775,CARPINUS BET FASTIGIATA
CALIFORNIA,049545,CERCIS C LITTLE WOODY PPAF
CALIFORNIA,023525,CERCIS CHIN AVONDALE
OREGON,032575,CERCIS CHIN DON EGOLF
OREGON,017857,CERCIS LAVENDER TWIST R P10328
CALIFORNIA,024159,CHIL TIMELESS BEAUTY TM P11078
OREGON,024165,CHIONANTHUS RETUSUS
OREGON,024185,CHIONANTHUS VIRGINICUS
OREGON,030405,CORNUS FL CHEROKEE CHIEF
OREGON,075695,CORNUS KOUSA SUMMER GOLD PPAF
OREGON,077325,CORNUS MAS GOLDEN GLORY
OREGON,027625,CORNUS X CONSTELLATION R
OREGON,026525,CORNUS X HYPERION R PPAF
OREGON,081265,CORNUS X VAR STELLAR PNK R PAF
OREGON,030395,CORNUS X VENUS R PP16309
OREGON,025675,DAVIDIA INVOLUCRATA
CALIFORNIA,031965,ELAEOCARPUS DECIPIENS
OREGON,035855,FAGUS SYL PURPLE FOUNTAIN
OREGON,035795,FAGUS SYL RIVERSII
OREGON,020515,FAGUS SYL ROHAN OBELISK(RED OB
OREGON,038355,GINKGO BIL AUTUMN GOLD
OREGON,033975,GINKGO BIL JADE BUTTERFLIES
OREGON,054335,LABURNUM X WAT VOSSII
OREGON,058805,LIRIODENDRON MAJESTIC BEAUTY R
OREGON,036805,LIRIODENDRON TULIPIFERA ARNOLD
CALIFORNIA,059439,MAG G LITTLE GEM
CALIFORNIA,059437,MAG G LITTLE GEM
CALIFORNIA,020109,MAG G TEDDY BEAR R PP13049
CALIFORNIA,020107,MAG G TEDDY BEAR R PP13049
OREGON,059905,MAG LILIFLORA NIGRA
OREGON,060401,MAG STELLATA ROYAL STAR
OREGON,06040M,MAG STELLATA ROYAL STAR
OREGON,060405,MAG STELLATA ROYAL STAR
OREGON,059585TR,MAG X BLACK TULIP PPAF
CALIFORNIA,059587,MAG X BLACK TULIP PPAF
OREGON,059587TR,MAG X BLACK TULIP PPAF
OREGON,059425TR,MAG X ELIZABETH
OREGON,059427TR,MAG X ELIZABETH
OREGON,059597TR,MAG X FELIX JURY PPAF
OREGON,059955,MAG X LOEB MERRILL
OREGON,059635TR,MAG X ROSE MARIE
OREGON,059637TR,MAG X ROSE MARIE
CALIFORNIA,059575,MAG X TIMELESS BEAUTY R
OREGON,060185TR,MAG X VULCAN
OREGON,060195TR,MAG X YELLOW BIRD
OREGON,060197TR,MAG X YELLOW BIRD
OREGON,030575,MALUS CENTURION R
OREGON,018325,MALUS SARGENTII TINA
OREGON,061145,MALUS X PRAIRIFIRE
OREGON,062955,NYSSA SYLVATICA
CALIFORNIA,062997,OLEA MAJESTIC BEAUTY R
CALIFORNIA,063752,PALM-CYCAS REVOLUTA
CALIFORNIA,063601,PALM-TRACHYCARPUS FORTUNEI
CALIFORNIA,063609,PALM-TRACHYCARPUS FORTUNEI
CALIFORNIA,063607,PALM-TRACHYCARPUS FORTUNEI
CALIFORNIA,064105,PALM-WASHINGTONIA ROBUSTA
CALIFORNIA,066457ST,PODOCARPUS MACROPHYLLUS
OREGON,018315,POPULUS TREMULA ERECTA
OREGON,066835,PRUNUS CER KRAUTER VESUVIUS
OREGON,066885,PRUNUS CER THUNDERCLOUD
OREGON,031815,PRUNUS CRMSON POINTE TM P19564
OREGON,016525,PRUNUS DREAM CATCHER
OREGON,06695M,PRUNUS PEN PLENO ROSEA
OREGON,066955,PRUNUS PEN PLENO ROSEA
OREGON,028025,PRUNUS SER ANGELS BLSH R TAIZO
OREGON,066915,PRUNUS SER KWANZAN
OREGON,066945,PRUNUS SER MOUNT FUJI
OREGON,081785,PRUNUS VIR CANADA RED
OREGON,04339M,PRUNUS WEEPING EXTRAORDNARE TM
OREGON,043395,PRUNUS WEEPING EXTRAORDNARE TM
OREGON,06693MSE,PRUNUS X SNOW FOUNTAIN TM
OREGON,06693MST,PRUNUS X SNOW FOUNTAIN TM
OREGON,066935ST,PRUNUS X SNOW FOUNTAIN TM
OREGON,066985,PRUNUS X YEDOENSIS AKEBONO
OREGON,069085,PYRUS CALL CLEVELAND SELECT
OREGON,030595,PYRUS CALL JACK R
OREGON,069455,QUERCUS PALUSTRIS
OREGON,069315,QUERCUS ROBUR FASTIGIATA
OREGON,069255,QUERCUS RUBRA
OREGON,070465,SALIX CAP KILMARNOCK(S C PEND)
OREGON,071185,SORBUS HUPEHEN CORAL FIRE TM
OREGON,07159M,STEWARTIA PSEUDOCAMELLIA
OREGON,071735,STYRAX JAPONICUS
OREGON,029675,TILIA TOMENTOSA SATIN SHADOW R
OREGON,073325,ULMUS GLABRA CAMPERDOWNII
OREGON,056525,ULMUS X FRONTIER
OREGON,066705,ZELKOVA SERRATA GOLD FALLS TM
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
