,,,Future Plant Availability,,,,,,,,,,,,,,,,,,
,,,For:10/13/14  6:38:24   ,,,,,,,,,,,,,,,,,,
,,,Spring 2015         ,,,,,,,,,,,,,,,,,,
OPRPJ038RA,Rep#:  600009,"Bradley, Craig",,,,,,,,,,,,,,,,,,,
Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,035272,#2,BER T GREEN HORNET TM,Berberis thunbergii 'Grhozam'                               ,Green Hornet™  Barberry,Berberis,DCS,04,LHI, 15.00 ,-,12''H - 14''S, 5 , 5 , 5 ,     ,          ,     ,          ,     ,          
OR,035241,#1,BER T PYGMY RUBY TM,Berberis thunbergii 'Pygruzam'                              ,Pygmy Ruby™  Barberry,Berberis,DCS,04,LHI, 7.50 ,-,10''H - 10''S, 28 , 10 , 51 ,     ,          ,     ,          ,     ,          
OR,013462,#2,BUDDLEJA X ASIAN MOON,Buddleja x 'Asian Moon'                                     ,Asian Moon Summer Lilac                                     ,Deciduous sumr flower'g shrub,DCS,06,, 15.25 ,-,"12""H - 12""S", 21 , 5 , 21 ,     ,          ,     ,          ,     ,          
OR,035971,#1,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,Evergreen small shrub/hedge,EVS,05,SWE, 8.50 ,-,"6""H - 6""S", 42 , 10 , 42 , 42 ,06/01/15  ,     ,          ,     ,          
OR,03597UT,LittleOne,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,Evergreen small shrub/hedge,EVS,05,SWE, 5.00 ,,"3""H",     , 16 ,     , 178 ,04/01/15  ,     ,          ,     ,          
GA,074731S,SuperOne TM,ABELIA CHIN BRONZ ANNIV R PPAF,Abelia grandiflora 'Rika1' P.P.A.F.                         ,Bronze Anniversary™  Abelia,Evergreen sumr flower'g shrub,EVS,06,PW, 10.00 ,,"8""H - 10""S", 20 , 10 , 98 , 153 ,10/15/14  ,     ,          ,     ,          
CA,092892,#2,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,Deciduous sumr flower'g shrub,DCS,05,KJU, 15.25 ,-,"10""H - 12""S", 19 , 5 ,     , 19 ,04/01/15  ," 1,635 ",06/15/15  ,     ,          
CA,092895,#5,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,Deciduous sumr flower'g shrub,DCS,05,KJU, 22.00 ,-,"12""H - 14""S", 10 , 5 ,     , 10 ,04/01/15  ,     ,          ,     ,          
OR,038787,#7,CEDRUS ATLANTICA FASTIGIATA,Cedrus atlantica 'Glauca Fastigiata'                        ,Columnar Blue Atlas Cedar                                   ,Temperate conifer,CON,06,, 75.00 ,-,"66""H", 5 , 2 , 5 ,     ,          ,     ,          ,     ,          
OR,050335,#5,CHAM L SNOW WHITE-GUARDIAN R,Chamaecyparis lawsoniana 'Snow White'                       ,Snow White Port Orford Cedar - The Guardian®  Series,Chamaecyparis,CON,06,OSU, 30.00 ,-,"24""H-15""S", 6 , 5 , 2 ,     ,          ,     ,          ,     ,          
OR,048625,#5,CHOISYA TERN SUNDANCE,Choisya ternata 'Sundance'                                  ,Sundance Mexican Orange Blossom                             ,Evergreen early flower'g shrub,EVS,07,, 23.50 ,-,24''H - 16''S, 10 , 5 , 10 ,     ,          ,     ,          ,     ,          
GA,074395,#5,ABELIA CHIN RUBY ANNIV TM PPAF,Abelia grandifolia 'Keiser' P.P.A.F.                        ,Ruby Anniversary™  Abelia,Evergreen sumr flower'g shrub,EVS,05,PW, 21.00 ,,"12""H - 14""S",     , 5 , 112 ,     ,          ,     ,          ,     ,          
OR,051485,#5 STAKED,CLEM VANCOUVER TM DANIELLE,Clematis x 'Danielle'                                       ,Vancouver™  Danielle Clematis,Clematis,VIN,04,, 31.50 ,-,FULL STK,     , 5 , 21 , 21 ,05/01/15  ,     ,          ,     ,          
OR,048741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,Clematis,VIN,04,OLD, 10.00 ,-,FULL STK, 8 , 10 ,     , 8 ,05/01/15  ,     ,          ,     ,          
CT,048741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,Clematis,VIN,04,OLD, 10.00 ,,,     , 10 ,     , 571 ,05/15/15  , 306 ,06/15/15  ,     ,          
OR,048742,#2 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,Clematis,VIN,04,OLD, 18.00 ,,"27""H 4 STEMS", 1 , 5 ,     , 1 ,05/01/15  ,     ,          ,     ,          
GA,400343,#3,ABELIA SUNSHNE DAYDRM PP20961,"Abelia x grandiflora 'Sunshine Daydream' P.P.#20,961        ",Sunshine Daydream Abelia                                    ,Evergreen sumr flower'g shrub,EVS,06,BHC, 16.75 ,,, 100 , 5 , 603 ," 1,108 ",05/15/15  ,     ,          ,     ,          
OR,03182M,#10 Squat,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,Japanese maple,TRE,05,, 118.00 ,-,"54""H",     , 2 , 2 ,     ,          ,     ,          ,     ,          
OR,055201,#1 STAKED,CLEM X MRS. SPENCER CASTLE,Clematis 'Mrs. Spencer Castle'                              ,Mrs. Spencer Castle Clematis                                ,Clematis,VIN,04,, 9.00 ,-,FULL STK,     , 10 ,     , 788 ,05/01/15  ,     ,          ,     ,          
OR,031825,#5,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,Japanese maple,TRE,05,, 58.00 ,-,"48""H", 5 , 5 , 5 , 5 ,05/01/15  ,     ,          ,     ,          
OR,049585,#5,ACER PSEUDO ESKIMO SUNSET,Acer pseudoplatanus 'Esk Sunset'                            ,Eskimo Sunset Sycamore Maple                                ,Ornamental tree,TRE,05,, 58.00 ,-,"48""H", 1 , 5 , 1 ,     ,          ,     ,          ,     ,          
CT,068081,#1,CORE BIGBANG TM RDSHFT PP20412,"Coreopsis x 'Redshift' P.P.# 20,412                         ",Big Bang™  Redshift Tickseed,Mid/late border flowering,PRN,05,SBN, 5.50 ,,,     , 10 ,     , 914 ,06/01/15  ,     ,          ,     ,          
GA,068081,#1,CORE BIGBANG TM RDSHFT PP20412,"Coreopsis x 'Redshift' P.P.# 20,412                         ",Big Bang™  Redshift Tickseed,Mid/late border flowering,PRN,05,SBN, 5.50 ,,CAN FULL, 19 , 10 , 21 , 21 ,10/15/14  ,     ,          ,     ,          
GA,05934UT,LittleOne,COREOPSIS GRAND RISING SUN,Coreopsis grandiflora 'Rising Sun'                          ,Rising Sun Tickseed                                         ,Mid/late border flowering,PRN,04,OLD, 3.10 ,,CAN FULL, 18 , 16 ,     , 18 ,04/01/15  ,     ,          ,     ,          
CT,048081,#1,COREOPSIS JETHRO TULL PP18789,Coreopsis 'Jethro Tull' P.P.# 18789                         ,Jethro Tull Tickseed                                        ,Mid/late border flowering,PRN,05,, 5.50 ,,CAN FULL,     , 10 ,     , 15 ,01/01/15  ,     ,          ,     ,          
GA,048081,#1,COREOPSIS JETHRO TULL PP18789,Coreopsis 'Jethro Tull' P.P.# 18789                         ,Jethro Tull Tickseed                                        ,Mid/late border flowering,PRN,05,, 5.50 ,,CAN FULL, 18 , 10 ,     , 18 ,04/01/15  ,     ,          ,     ,          
CT,048082,#2,COREOPSIS JETHRO TULL PP18789,Coreopsis 'Jethro Tull' P.P.# 18789                         ,Jethro Tull Tickseed                                        ,Mid/late border flowering,PRN,05,, 10.50 ,,,     , 5 ,     , 95 ,04/15/15  ,     ,          ,     ,          
OR,045285,#5,CORNUS ALBA PRAIRIE FIRE AUREA,Cornus alba 'Prairie Fire'                                  ,Prairie Fire Dogwood                                        ,Deciduous shrub/hedge,DCS,02,, 23.00 ,-,"15""H - 15""S", 25 , 5 , 26 ,     ,          ,     ,          ,     ,          
