Location,New Plant / Size,Item,Size,Plant Name,Common Name,CAT,Zone,2015 List Price,2015 NET PRICE,Casino Interior/Container,Casino Exterior,Early Spring,Mid Spring,Late Spring,Summer,ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND 
QTY READY DATE",DESCRIPTION / NOTES
CA,    ,021595,#5,AGAVE DESMETTIANA VARIEGATA,Variegated Dwarf Agave                                      ,CAC,09,23.50,21.15,X,,X,X,X,X,,422, 422 ,04/12/15  ,"Big, thick, upright green leaves with a gold edge. Great summer container plants in full sun. No messy leaf clean-up so Agaves are good around a pool"
CA,X,070492,#2,AGAVE FERDINAND REGIS,Ferdinand Agave                                             ,CAC,08,18.75,16.88,X,X,,,X,X,,, 118 ,05/17/15  ,"Stout triangular blue-green leaves with white edges. Only 18"" x 24"""
CA,,068812,#2,AGAVE POTATORUM KISSHO KAN,Lucky Crown Century Plant                                   ,CAC,09,18.75,16.88,X,,X,X,X,X,,505,     ,          ,Symmetrical rosettes of soft blue leaves with ivory toothed edges
CA,    ,000591,#1,AJUGA REPTANS BURGUNDY GLOW,Burgundy Glow Carpet Bugle                                  ,PRN,04,4.90,4.41,X,X,X,X,X,,,, 987 ,04/01/15  ,
OR,    ,001931,#1,AJUGA REPTANS CATLIN'S GIANT,Catlin's Giant Carpet Bugle                                 ,PRN,03,4.90,4.41,X,X,X,X,X,X,,433,,,
CA,    ,001931,#1,AJUGA REPTANS CATLIN'S GIANT,Catlin's Giant Carpet Bugle                                 ,PRN,03,4.90,4.41,X,X,X,X,X,,,, 272 ,03/01/15  ,
CA,    ,001955,#5,ALBIZIA JUL ROSEA,Mimosa Tree                                                 ,TRE,06,27.00,24.30,X,,,,X,X,,244, 149 ,04/05/15  ,
CA,,077801,#1,ALOE HYBRID CARMINE™ ,Retro Succulents®  Carmine™  Aloe,CAC,09,8.25,7.43,X,,X,X,,,,284,     ,          ,"Striking orange-stippled pale green foliage and bright orange-red fringed leaf edges; Great windowsill item; 8-10"""
CA,,063791,#1,ALOE HYBRID CHRISTMAS CAROL,Christmas Carol Aloe                                        ,CAC,09,8.25,7.43,X,,X,X,,,,371,,,"Dark green succulent leaves feature deep crimson raised spots and foliage is trimmed in bright red. Great windowsill item; 8-12"""
CA,,077781,#1,ALOE HYBRID GUIDO™ ,Retro Succulents®  Guido™  Aloe,CAC,09,8.25,7.43,X,,X,X,,,,242,     ,          ,"Pale green succulent leaves, stippled in creamy white with fringed leaf edges. Great windowsill item; 6-8"""
CA,X,096532,#2,ALSTROMERIA INTICANCHA® BRYCE ,Inticancha®  Bryce Peruvian Lily,PRN,08,14.75,13.28,X,,,X,,,,, 731 ,05/01/15  ,Orange
CA,X,096502,#2,ALSTROMERIA INTICANCHA® MACHU,Inticancha®  Machu Peruvian Lily,PRN,08,14.75,13.28,X,,,X,,,,632,,,Deep magenta
CA,X,096522,#2,ALSTROMERIA INTICANCHA® NAVAYO,Inticancha®  Navayo Peruvian Lily,PRN,08,14.75,13.28,X,,,X,,,,703,,,Lavender-purple
CA,X,096512,#2,ALSTROMERIA INTICANCHA® WHITE BLUSH PINK,Inticancha®  White Pink Blush Peruvian Lily,PRN,08,14.75,13.28,X,,,X,,,,998, 365 ,05/01/15  ,
CA,    ,040311,#1,ALYOGYNE LEON'S PURPLE DELIGHT™ ,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,7.25,6.53,X,,,X,X,X,,, 188 ,04/01/15  ,
CA,    ,040315ST,#5 STAKED,ALYOGYNE LEON'S PURPLE DELIGHT™ ,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,26.00,23.40,X,,X,X,X,X,,179,     ,          ,New staked form should be a neat looking tropical in this form. Purple flowers during warm season. This variety is known for its deeper colored flowers
CA,    ,002421,#1,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,7.25,6.53,X,,,X,X,X,,, 344 ,04/01/15  ,
CA,    ,002425ST,#5 STAKED,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,26.00,23.40,X,,X,X,X,X,,290,     ,          ,
OR,    ,002741,#1,ANEMONE SYLVESTRIS,Snowdrop Anemone                                            ,PRN,02,4.90,4.41,X,,X,,,,,406,     ,          ,Early spring bloomer
OR,    ,003041,#1,ARMERIA MAR BLOODSTONE,Bloodstone Thrift                                           ,PRN,03,4.90,4.41,X,,X,X,,,,2263,     ,          ,Red-pink flowers
OR,    ,002691,#1,ARMERIA MAR COTTON TAIL,Cotton Tail Thrift                                          ,PRN,03,4.90,4.41,X,,X,X,,,,1875,     ,          ,White
OR,    ,019461,#1,ARMERIA MAR RUBRIFOLIA,Red Leaf Thrift                                             ,PRN,03,4.90,4.41,X,,X,X,,,,679,     ,          ,Reddish foliage w/ reddish-pink flowers
CA,    ,003151,#1,ASPARAGUS MYERS,Foxtail Fern                                                ,FRN,09,7.75,6.98,X,X,X,X,X,X,,6825,     ,          ,Can be a houseplant
CA,,078761S,SuperOne TM,AZALEA BLOOM-A-THON™ DOUBLE PINK PP21477,Bloom-A-Thon®  Pink Double Reblooming Azalea,RHO,06,10.50,9.45,X,,,X,,,,1562,     ,          ,Bloom-A-Thon are re-blooming Azaleas
CA,X,078771S,SuperOne TM,AZALEA BLOOM-A-THON™ RED PP21562,Bloom-A-Thon®  Red Reblooming Azalea,RHO,06,10.50,9.45,X,,,X,,,,3348,     ,          ,
CA,    ,007401,#1,AZALEA GR FUCHSIA,Girard's Fuchsia Azalea                                     ,RHO,06,6.25,5.63,X,,,X,,,,568,     ,          ,
CA,    ,007451,#1,AZALEA GR GIRARD HOT SHOT,Girard's Hot Shot Azalea                                    ,RHO,06,6.25,5.63,X,,,X,,,,73, 201 ,03/01/15  ,
CA,    ,007601,#1,AZALEA GR ROSE,Girard's Rose Azalea                                        ,RHO,06,6.25,5.63,X,,,X,,,,752,     ,          ,
CA,    ,004751,#1,AZALEA IND HAPPY DAYS,Happy Days Azalea                                           ,RHO,09,6.25,5.63,X,,,X,,,,," 1,617 ",04/05/15  ,
CA,    ,004755,#5,AZALEA IND HAPPY DAYS,Happy Days Azalea                                           ,RHO,09,21.00,18.90,X,,,X,,,,, 344 ,04/05/15  ,
