Location,New Plant / Size,Item,Size,Plant Name,Common Name,CAT,Zone,2015 List Price,2015 NET PRICE,Casino Interior/Container,Casino Exterior,Early Spring,Mid Spring,Late Spring,Summer,ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND 
QTY READY DATE",DESCRIPTION / NOTES
CA,    ,022401,#1,CARYOPTERIS X BLUE MIST,Blue Mist Bluebeard                                         ,DCS,05,6.25,5.63,X,,,,X,X,,, 290 ,04/01/15  ,
CA,    ,022405,#5,CARYOPTERIS X BLUE MIST,Blue Mist Bluebeard                                         ,DCS,05,21.00,18.90,X,,,,X,X,,, 202 ,04/01/15  ,"All Caryopteris coming out of Calif. Will bloom in may, when garden center traffic is high"
OR,    ,023185,#5,CEANOTHUS THY VICTORIA,Victoria California Lilac                                   ,EVS,08,23.50,21.15,X,,X,X,,,,1452,     ,          ,
CA,    ,023261,#1,CESTRUM FAS NEWELLII,Newell Cestrum                                              ,EVS,08,6.50,5.85,X,,X,X,X,X,,79,     ,          ,Like above with red flowers; Annual
CA,    ,023265,#5,CESTRUM FAS NEWELLII,Newell Cestrum                                              ,EVS,08,20.50,18.45,X,,X,X,X,X,,103,     ,          ,
CA,    ,030822,#2,CHAENOMELES CAMEO,Cameo Japanese Flowering Quince                             ,DCS,05,14.25,12.83,X,,X,X,,,,28,,,
CA,,074441S,SuperOne TM,CHAENOMELES DOUBLETAKE™ ORANGE STORM P20950,Double Take™  Orange Storm Flowering Quince,DCS,05,10.50,9.45,X,,X,X,,,,20,     ,          ,"The Double Take series is remarkable. They are thornless, seedless and as a result have a much longer bloom season. The flowers are larger and more showy"
OR,,074442S,SuperTwo,CHAENOMELES DOUBLETAKE™ ORANGE STORM P20950,Double Take™  Orange Storm Flowering Quince,DCS,05,17.00,15.30,X,,X,X,,,,, 109 ,04/01/15  ,
CA,,074442S,SuperTwo,CHAENOMELES DOUBLETAKE™ ORANGE STORM P20950,Double Take™  Orange Storm Flowering Quince,DCS,05,17.00,15.30,X,,X,X,,,,300,     ,          ,
CA,,074451S,SuperOne TM,CHAENOMELES DOUBLETAKE™ PINK STORM P20920,Double Take™  Pink Storm Flowering Quince,DCS,05,10.50,9.45,X,,X,X,,,,20,     ,          ,
OR,,074452S,SuperTwo,CHAENOMELES DOUBLETAKE™ PINK STORM P20920,Double Take™  Pink Storm Flowering Quince,DCS,05,17.00,15.30,X,,X,X,,,,, 188 ,04/01/15  ,
CA,,074452S,SuperTwo,CHAENOMELES DOUBLETAKE™ PINK STORM P20920,Double Take™  Pink Storm Flowering Quince,DCS,05,17.00,15.30,X,,X,X,,,,87,,,
CA,,074771S,SuperOne TM,CHAENOMELES DOUBLETAKE™ SCARLET STORM PPAF,Double Take™  Scarlet Storm Flowering Quince,DCS,05,10.50,9.45,X,,X,X,,,,, 13 ,03/01/15  ,
OR,,074772S,SuperTwo,CHAENOMELES DOUBLETAKE™ SCARLET STORM PPAF,Double Take™  Scarlet Storm Flowering Quince,DCS,05,17.00,15.30,X,,X,X,,,,, 123 ,04/01/15  ,
CA,,074772S,SuperTwo,CHAENOMELES DOUBLETAKE™ SCARLET STORM PPAF,Double Take™  Scarlet Storm Flowering Quince,DCS,05,17.00,15.30,X,,X,X,,,,, 64 ,03/01/15  ,
CA,    ,031002,#2,CHAENOMELES SUPER RED® ,Super Red®  Flowering Quince,DCS,05,14.25,12.83,X,,X,X,,,,19,,,
CA,X,412561,#1,"CHRYSANTHEMUM (LEUCANTH) 
REAL CHARMER PPAF",Real Charmer Shasta Daisy,PRN,05,5.50,4.95,X,X,,X,X,,,60,     ,          ,
CA,X,412571,#1,"CHRYSANTHEMUM (LEUCANTH) 
REAL GALAXY PPAF",Real Galaxy Shasta Daisy,PRN,05,5.50,4.95,X,X,,X,X,,,341,     ,          ,
OR,    ,023021,#1,CHRYSANTHEMUM (LEUCANTH) X SUP BECKY,Becky Shasta Daisy                                          ,PRN,05,4.90,4.41,X,X,,,,X,,, 896 ,04/01/15  ,
OR,X,022431,#1,CLEMATIS INTEGRIFOLIA BLUE RIBBONS,Blue Ribbons Bush Clematis                                  ,PRN,02,9.00,8.10,X,,,,,X,,, 100 ,04/01/15  ,"A perennial bush, not a vine. Nodding, indigo-blue flowers are much larger and more prolific than similar varieties. Silvery seed heads are attractive in fall."
OR,    ,027251,#1,CLEMATIS INTEGRIFOLIA CAERULEA,Bushy Blue Bell Clematis                                    ,PRN,03,9.00,8.10,X,,,,,X,,1231," 1,633 ",03/01/15  ,
OR,    ,027281,#1,CLEMATIS LAN CANDIDA,White Flowering Clematis                                    ,VIN,04,9.00,8.10,X,,,,X,,,, 217 ,05/01/15  ,Large white flowers
OR,X,046255,#5,CLEMATIS LOUISE ROWE,Louise Rowe Clematis                                        ,VIN,04,29.50,26.55,X,,,,X,,,, 11 ,05/01/15  ,Pale lilac to mauve semi-double and single form flowers appear simultaneously in late spring and again in fall.
OR,    ,021865,#5 STAKED,CLEMATIS SAPPHIRE INDIGO™ PP17012,Sapphire Indigo™  Clematis,VIN,04,29.50,26.55,X,,,,,X,,618,,,Large deep violet buds open to deep violet nodding flowers in summer and produces this show until fall
OR,,051485,#5 STAKED,CLEMATIS VANCOUVER™ DANIELLE,Vancouver™  Danielle Clematis,VIN,04,31.50,28.35,X,,,,X,,,31,,,
OR,,048745,#5 STAKED,CLEMATIS VANCOUVER™ STARRY NGHTS,Vancouver™  Starry Nights Clematis,VIN,04,31.50,28.35,X,,,,X,,,54,,,"Compact habit with 8"" brilliant purple to blue flowers streaked with a red to mauve bar. Center stamens are white flushed with red. Flowers shimmer as if dusted with gold as they age and fade."
CA,    ,027215,#5 STAKED,CLEMATIS VIT ETOILE VIOLETTE,Etoile Violette Clematis                                    ,VIN,04,29.50,26.55,X,,,X,,,,, 306 ,03/15/15  ,
CA,    ,027305,#5 STAKED,CLEMATIS VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis                              ,VIN,04,29.50,26.55,X,,,X,,,,, 19 ,03/15/15  ,Like Etoile Violette only with red blooms
OR,    ,027225,#5 STAKED,CLEMATIS X COMTESSE DE BOUCHAUD,Comtesse De Bouchaud Clematis                               ,VIN,04,29.50,26.55,X,,,X,,,,194,,,Mauve flowers
OR,    ,044485,#5 STAKED,CLEMATIS X JACKMANII SUPERBA,Jackman Superba Clematis                                    ,VIN,04,29.50,26.55,X,,,,,X,,26, 165 ,04/01/15  ,
OR,,055205,#5 STAKED,CLEMATIS X MRS. SPENCER CASTLE,Mrs. Spencer Castle Clematis                                ,VIN,04,29.50,26.55,X,,,,X,,,178, 110 ,05/01/15  ,Large semi-double purplish-pink flowers. 
OR,    ,027065,#5 STAKED,CLEMATIS X MULTI-BLUE,Multi-Blue Clematis                                         ,VIN,04,29.50,26.55,X,,,,X,,,163,,,Double blue flowers
OR,    ,027445,#5 STAKED,CLEMATIS X NELLY MOSER,Nelly Moser Clematis                                        ,VIN,04,29.50,26.55,X,,,,X,,,10,,,
OR,    ,026372,#2 STAKED,CLEMATIS X TOKI,Toki Clematis                                               ,VIN,04,18.00,16.20,X,,,,X,,,75,,,White flowers cascade down almost like a water fall 
CA,    ,030442,#2,CLIVIA BELGIAN HYB ORANGE,Belgian Hybrid Orange Bush Lily                             ,EVS,09,15.00,13.50,X,,X,,,,,551,     ,          ,
CA,    ,030445,#5,CLIVIA BELGIAN HYB ORANGE,Belgian Hybrid Orange Bush Lily                             ,EVS,09,24.00,21.60,X,,X,,,,,1269,     ,          ,
CA,    ,031721,#1,CORDYLINE BAUERI,Bauer's Dracaena Palm                                       ,EVS,09,8.00,7.20,X,,X,X,X,X,,2646,     ,          ,Burgundy leaves; Can be a houseplant
CA,    ,038821,#1,CORDYLINE BURGUNDY SPIRE PPAF,Burgundy Spire™  Dracaena Palm,EVS,09,8.50,7.65,X,,X,X,X,X,,25,     ,          ,Wide strapped burgundy leaves; can be a houseplant
CA,    ,031701,#1,CORDYLINE INDIVISA,Blue Dracaena Palm                                          ,EVS,09,6.50,5.85,X,,X,X,X,X,,5557,     ,          ,"Monrovia's spikes are big usually 18"" tall in a 1gal; can be a houseplant"
CA,    ,017421,#1,CORDYLINE RED STAR,Red Star Dracaena Palm                                      ,EVS,09,8.50,7.65,X,,X,X,X,X,,38,     ,          ,Rusty-red color; can be a houseplant
CA,,078721,#1,COREOPSIS BIGBANG™ COSMIC EYE P22601,Big Bang™  Cosmic Eye Tickseed,PRN,05,5.50,4.95,X,,,,X,,,, 246 ,04/01/15  ,Deep burgundy red petals rimmed in golden yellow. Compact habit. Grown in California will produce flowers in the heart of our selling season.
CA,X,088891,#1,COREOPSIS BIGBANG™ MERCURY RISING PAF,Big Bang™  Mercury Rising Tickseed,PRN,05,5.50,4.95,X,,,,X,,,, 208 ,04/01/15  ,"A color breakthrough, this is the first hardy red flowering Coreopsis. Deep velvet-red flowers from summer through fall. Grown in Calif. Will produce flowers in the heart of our selling season"
CA,    ,027961,#1,COREOPSIS VERT MOONBEAM,Moonbeam Threadleaf Tickseed                                ,PRN,03,4.90,4.41,X,,,,X,,,, 59 ,04/01/15  ,Grown in Calif. Will produce flowers in the heart of selling season
CA,    ,027971,#1,COREOPSIS VERT ZAGREB,Zagreb Threadleaf Tickseed                                  ,PRN,03,4.90,4.41,X,,,,X,,,, 102 ,04/01/15  ,Grown in Calif. Will produce flowers in the heart of the selling season
CA,    ,083041,#1,CUPHEA HYS ITSY BITSY® LILAC,Itsy Bitsy®  Lilac False Heather,PRN,09,4.90,4.41,X,,X,X,X,X,,633,,,"Great indoor container plant, you find these being sold by florist; Annual"
CA,    ,030121,#1,CUPHEA HYS ITSY BITSY® ROSE,Itsy Bitsy®  Rose False Heather,PRN,09,4.90,4.41,X,,,X,X,X,,, 268 ,03/01/15  ,
CA,    ,033711,#1,CUPHEA HYS RIVERDENE GOLD PPAF,Riverdene Gold False Heather                                ,PRN,09,4.90,4.41,X,,,,,,,," 2,773 ",04/01/15  ,Yellow foliage variety; Annual
CA,,032891,#1,CUPHEA LLAVEA,Bat Face Cuphea,PRN,09,5.10,4.59,X,,,,X,X,,, 308 ,05/01/15  ,"Named for its resemblance to a bat. The dark purple flower is the face, and the red lobes are the ears, during the warm season. Attracts hummingbirds. Good container plant; Annual"
CA,,093881,#1,CUPHEA LLAVEA CHA CHA,Cha Cha Bat Face Cuphea,PRN,08,5.25,4.73,X,,,,X,X,,, 501 ,05/01/15  ,Large bright purple flowers showcase a white & purple throat and dark purple center; Annual
CA,,093891,#1,CUPHEA LLAVEA RUMBA,Flamenco Rumba Cuphea,PRN,08,5.25,4.73,X,,,,X,X,,, 739 ,05/01/15  ,"Dazzling new selection bred for prolific color, long flowering season, and neat, compact habit. Brilliant orange-red blooms with contrasting purple & white throats; Annual"
CA,    ,038202,#2,CYTISUS X SPACHIANUS,Sweet Broom                                                 ,EVS,08,14.50,13.05,X,X,X,X,,,,, 44 ,03/15/15  ,
OR,    ,048541,#1,DELOSPERMA DY RED MOUNTAIN® ,Red Mountain®  Ice Plant,PRN,05,4.90,4.41,,X,,,X,X,,65,     ,          ,
CA,,078741,#1,DELOSPERMA FIRE SPINNER® ,Fire Spinner®  Ice Plant,PRN,05,5.25,4.73,,X,,,X,X,,913,,,
OR,,059461,#1,DELOSPERMA MESA VERDE PP13876,Mesa Verde®  Ice Plant,PRN,04,5.25,4.73,X,X,,,X,X,,562,     ,          ,Salmon-pink flowers
OR,    ,029891S,SuperOne TM,DEUTZIA CHARDONNAY PEARLS® PP16098,Chardonnay Pearls®  Deutzia,DCS,05,9.50,8.55,X,,,X,X,,,658,,,"Chartreuse foliage, small white flowers in spring on this dwarf form. Good for the part-shade garden to add an element of color"
OR,X,086222S,SuperTwo,DEUTZIA CREME FRAICHE™ ,Crème Fraiche® Deutzia,DCS,05,17.00,15.30,X,,,X,X,,,, 38 ,04/01/15  ,"Dwarf habit with variegated green & white foliage. Small white spring flowers. Use in place of variegated dogwood, where a shorter plant is needed for the part-shade application."
OR,    ,031572,#2,DEUTZIA GRACILIS NIKKO,Dwarf Nikko Deutzia                                         ,DCS,05,13.75,12.38,X,,,X,X,,,48,     ,          ,
OR,,056421,#1,DEUTZIA SET CORYMBIFLORA,Chinese Snow Flower                                         ,DCS,04,6.25,5.63,X,,,X,X,,,37,     ,          ,
OR,,056422,#2,DEUTZIA SET CORYMBIFLORA,Chinese Snow Flower                                         ,DCS,04,13.75,12.38,X,,,X,X,,,46,     ,          ,
OR,,056425,#5,DEUTZIA SET CORYMBIFLORA,Chinese Snow Flower                                         ,DCS,04,21.50,19.35,X,,,X,X,,,55,     ,          ,Finely textured gray-green foliage. Clusters of small white star-like flowers appear for many weeks in late spring and summer. An alternative to Spiraea
CA,    ,098281S,SuperOne TM,DIANELLA CAE BECCA PP18505,Becca™  Flax Lily,PRN,07,7.50,6.75,X,X,X,X,X,X,,1048,     ,          ,"Dianella is an alternative to Lirope, providing similar features, ie: blue summer flowers, purple berries, and striped foliage; except Dianella tends to be more upright, which is good for containers, or borders. Becca has dark green foliage, 2' x same; Annual"
CA,    ,098301S,SuperOne TM,DIANELLA CAE CASSABLUE PPAF,Cassa Blue™  Flax Lily,PRN,07,7.50,6.75,X,X,,X,X,X,,," 1,265 ",04/01/15  ,Blue-green foliage 1 1/2' tall; Annual
CA,    ,098371S,SuperOne TM,DIANELLA LITTLE BECCA PP18452,Little Becca™  Flax Lily,PRN,07,7.50,6.75,X,X,X,X,X,X,,2488,     ,          ,"Green leaves 18"" tall; Annual"
CA,    ,098311S,SuperOne TM,DIANELLA REV BABY BLISS P18883,Baby Bliss™  Flax Lily,PRN,07,7.50,6.75,X,X,X,X,X,X,,," 1,252 ",03/15/15  ,"Blue-green foliage 12"" x 6"" a dwarf; Annual"
CA,    ,098271S,SuperOne TM,DIANELLA REV LITTLE REV PP17719,Little Rev™  Flax Lily,PRN,07,7.50,6.75,X,X,,X,X,X,,," 1,017 ",04/01/15  ,"Upright, bold blue foliage very striking. 
18-24"" tall & wide; Annual"
OR,,067631,#1,DIANTHUS BAR OESCHBERG,Oeschberg Sweet William                                     ,PRN,04,5.50,4.95,X,,,X,X,,,629,     ,          ,Deep magenta foliage backed by bronzy foliage
CA,X,090221,#1,DIANTHUS COSMIC™ PINK SWIRL PAF,Cosmic™  Pink Swirl Dianthus,PRN,06,5.75,5.18,X,,X,X,,,,, 223 ,03/01/15  ,Large fragrant double blooms have light pink streaks on each petal
CA,X,090211,#1,DIANTHUS COSMIC™ PINK SWIRL PAF,Cosmic™  Red Swirl Dianthus,PRN,06,5.75,5.18,X,,X,X,,,,, 16 ,03/01/15  ,Large fragrant double blooms are red & white speckled 
OR,,067731,#1,DIANTHUS FIRST LOVE® ,First Love®  Cheddar Pink,PRN,03,5.50,4.95,X,,,X,X,,,, 128 ,04/01/15  ,"Fragrant flowers that change from white, to pink, to deep rose all typically appearing at the same time"
OR,,031331,#1,DIANTHUS FROSTY FIRE,Frosty Fire Cheddar Pink,PRN,02,5.75,5.18,X,,,X,X,,,, 452 ,04/01/15  ,
CA,    ,031331,#1,DIANTHUS FROSTY FIRE,Frosty Fire Cheddar Pink                                    ,PRN,02,4.90,4.41,X,,X,X,,,,, 256 ,03/01/15  ,
CA,    ,004721,#1,DIANTHUS GRAT FIREWITCH,Firewitch Cheddar Pink                                      ,PRN,03,4.90,4.41,X,,X,X,,,,, 548 ,03/01/15  ,
CA,    ,004741,#1,DIANTHUS GRAT MOUNTAIN MIST,Mountain Mist Cheddar Pink                                  ,PRN,03,4.90,4.41,X,,X,X,,,,, 477 ,03/01/15  ,
CA,,094501,#1,DIANTHUS RASPBERRY SURPRISE PP16029,Raspberry Surprise Maiden Pink                              ,PRN,04,4.90,4.41,X,,X,X,,,,, 293 ,03/01/15  ,
OR,    ,042771,#1,DIANTHUS WINK,Wink Maiden Pink                                            ,PRN,03,4.90,4.41,X,,,X,X,,,308, 772 ,05/01/15  ,Soft pink flowers
OR,,035621,#1,DICENTRA SPEC GOLD HEART,Gold Heart Bleeding Heart                                   ,PRN,03,6.35,5.72,X,,,X,X,,,68, 579 ,04/01/15  ,
OR,    ,035622,#2,DICENTRA SPEC GOLD HEART,Gold Heart Bleeding Heart                                   ,PRN,03,14.75,13.28,X,,,X,X,,,91, 91 ,04/01/15  ,"Yellow foliage with pink flowers, a showy piece"
OR,X,004902,#2,DICENTRA SPEC VALENTINE® P22740,Valentine®  Bleeding Heart,PRN,03,14.75,13.28,X,,,X,X,,,, 19 ,04/01/15  ,
OR,    ,031611,#1,DICENTRA X LUXURIANT,Luxuriant Fringed Bleeding Heart                            ,PRN,02,4.90,4.41,X,,,X,X,,,118, 956 ,04/01/15  ,
OR,    ,049832,#2,DISPORUM CANT GREEN GIANT,Chinese Fairy Bells                                         ,PRN,07,14.75,13.28,X,,,X,X,,,1244,,,"Bamboo-like shoots emerge in shades of pink, white, and green, maturing to deep green. Fragrant creamy white flowers unfurl like nodding bells with the new growth each spring. A consideration for Las Vegas Casino Conservatory's; May come back if cut down to the grown and mulched. Needs acidic soil"
OR,    ,049835,#5,DISPORUM CANT GREEN GIANT,Chinese Fairy Bells                                         ,PRN,07,24.50,22.05,X,,,X,X,,,600,,,
OR,X,085821,#1,DISPORUM CANT MOONLIGHT P24556,Moonlight Chinese Fairy Bells                               ,PRN,07,7.15,6.44,X,,,,X,,,, 279 ,05/01/15  ,"Unique silvery white & green variegation radiating from each leaf blade, becoming suffused with purple-pink coloration as temperatures cool. Graceful arching stems followed by clusters of small flowers. A container plant or for Casino conservatory's; May come back if cut down to the grown and mulched. Needs acidic soil"
OR,X,080762,#2,DISPORUM CANT NIGHT HERON,Night Heron Chinese Fairy Bells                             ,PRN,07,14.75,13.28,X,,,X,X,,,81,,,"Dark chocolate-purple stems that rise gracefully from the soil in spring. Shiny dusky-purple leaves on gently arching side shoots give an exotic bamboo-like effect. Showy, purple-black berries in summer look nice against the dark green, purple tinged foliage. Use in containers, or casino conservatory; May come back if cut down to the grown and mulched. Needs acidic soil"
OR,,050615,#5,DRIMYS LANCEOLATA,Mountain Pepper                                             ,EVS,07,23.50,21.15,X,,,,,X,,, 173 ,06/01/15  ,"The distinctive foliage, oval in shape and deep green, is held along beautiful red young stems. Upright evergreen shrub. Use for casino conservatories especially in the fall"
OR,    ,004891,#1,ECHINACEA KIMS KNEE HI PP12242,Kim's Knee High Purple Coneflower                           ,PRN,04,5.75,5.18,X,X,,,,X,,, 67 ,04/01/15  ,
OR,    ,047511,#1,ECHINACEA PINK DOUBLE DELIGHT P18803,Pink Double Delight Cone Flower                             ,PRN,04,6.95,6.26,X,X,,,,X,,28, 634 ,06/01/15  ,
OR,,043401,#1,ECHINACEA PRAIRIE SPLENDOR,Prairie Splendor Coneflower,PRN,03,4.90,4.41,X,X,,,,X,,, 240 ,04/01/15  ,
OR,,018221,#1,ECHINACEA RUBY STAR,Ruby Star Coneflower                                        ,PRN,04,5.10,4.59,X,X,,,,X,,689,,,
OR,    ,036281,#1,ECHINACEA SUNDOWN™ PP17659,Sundown Big Sky™  Series Coneflower,PRN,04,6.95,6.26,X,X,,,,X,,175,,,
CA,,077581,#1,ERYSIMUM JENNY BROOK PP20253,Jenny Brooks Wallflower                                     ,PRN,07,6.35,5.72,X,X,,X,X,X,,, 521 ,04/01/15  ,"Purple buds open to peach flowers, maturing to deep rose, then back to purple again. Long bloom season means a full range of colors is displayed simultaneously atop the foliage. Good for summer color, containers, beds, casino conservatory; Annual"
CA,    ,032565TR,#5 TREE,EUCALYPTUS CINEREA,Silver Dollar Tree                                          ,TRE,08,25.00,22.50,X,,X,X,X,X,,, 12 ,04/01/15  ,
OR,    ,033901,#1,EUONYMUS F EMERALD GAIETY,Emerald Gaiety Wintercreeper                                ,EVS,05,6.00,5.40,X,,X,X,X,X,,81,     ,          ,
CA,    ,033901,#1,EUONYMUS F EMERALD GAIETY,Emerald Gaiety Wintercreeper                                ,EVS,05,6.00,5.40,X,,X,X,X,X,,162,,,
CA,    ,034901,#1,EUONYMUS J AUREOVARIEGATUS,Gold Spot Euonymus                                          ,EVS,06,7.00,6.30,X,X,X,X,X,X,,759,,,
CA,    ,034902,#2,EUONYMUS J AUREOVARIEGATUS,Gold Spot Euonymus                                          ,EVS,06,14.00,12.60,X,X,X,X,X,X,,80,     ,          ,
CA,    ,035121,#1,EUONYMUS J MICRO SUNNY DELIGHT® ,Sunny Delight®  Boxleaf Euonymus,EVS,06,7.50,6.75,X,X,X,X,X,X,,64,,,Gold & green box leafed Euonymus
CA,    ,035201,#1,EUONYMUS J SILVER KING,Silver King Euonymus                                        ,EVS,06,6.00,5.40,X,X,,X,X,X,,," 1,497 ",04/01/15  ,
CA,    ,035202,#2,EUONYMUS J SILVER KING,Silver King Euonymus                                        ,EVS,06,13.50,12.15,X,X,,X,X,X,,22,     ,          ,
CA,    ,035402,#2,EUONYMUS KIA MANHATTAN,Manhattan Euonymus                                          ,EVS,05,13.50,12.15,X,X,,X,X,X,,59,,,
CA,    ,035575PT,#5 PATIO TREE,EURYOPS PECT VIRIDIS,Green-Leaved Euryops                                        ,EVS,08,37.00,33.30,X,,X,X,,,,8,     ,          ,Can be a houseplant
CA,    ,035645,#5,FATSIA JAPONICA,Japanese Aralia                                             ,EVS,08,23.50,21.15,X,X,,X,X,X,,, 123 ,03/01/15  ,Foliage tropical for the shade area; can be a houseplant
CA,    ,035905,#5,FERN-ALSOPHILA AUSTRALIS,Australian Tree Fern                                        ,FRN,10,23.50,21.15,X,,X,,,,,324,,,Can be a houseplant but set them in a tray with a little water
CA,    ,036001,#1,FERN-ASPLENIUM BULBIFERUM,Mother Fern                                                 ,FRN,09,6.75,6.08,X,,X,,,,,336,     ,          ,"Bright green, finely-cut fronds emerge from a single crown. Foliage has a graceful, arching habit. can be a houseplant but set them in a tray with a little water. 4' x 3'"
CA,,019242,#2,FERN-ATHYRIUM F LADY IN RED,Lady In Red Fern                                            ,FRN,02,15.50,13.95,X,,,X,X,X,,59,,,
CA,    ,018762,#2,FERN-ATHYRIUM GHOST,Ghost Fern                                                  ,FRN,04,15.50,13.95,X,,,X,X,X,,328,,,
OR,    ,005041,#1,FERN-DRYOPTERIS CELSA,Log Fern                                                    ,FRN,05,6.25,5.63,X,,,X,X,X,,443,     ,          ,"Large 2-3' deep green fronds produce a lush, leafy effect. Consider for container use "
CA,X,097641,#1,FERN-MICROLEPIA STRIGOSA,Lace Fern                                                   ,FRN,10,6.75,6.08,X,,X,X,X,X,,79,     ,          ,Evergreen 2-3' tall x same Medium green fronds that form a dense clump. Fronds start with a arching then a nodding habit; can be a houseplant but set them in a tray with a little water.
CA,X,097642,#2,FERN-MICROLEPIA STRIGOSA,Lace Fern                                                   ,FRN,10,15.50,13.95,X,,X,X,X,X,,, 46 ,03/01/15  ,
OR,X,084912,#2,FERN-POLYSTICHUM MUNITUM,Western Sword Fern                                          ,FRN,05,15.50,13.95,X,,,X,X,X,,93,     ,          ,"This North American male fern offers wonderful texture with glossy, leathery, slightly toothed foliage; forming clumps of many long fronds. Tolerates some alkalinity. 3-6' x same"
CA,    ,036851ST,#1 STAKED,FICUS PUMILA,Creeping Fig                                                ,VIN,09,7.25,6.53,X,,X,X,X,X,,2695,     ,          ,Can be an indoor houseplant for foliage applications
CA,    ,036855ST,#5 STAKED,FICUS PUMILA,Creeping Fig                                                ,VIN,09,21.50,19.35,X,,X,X,X,X,,863,     ,          ,
CA,,412651,#1,GAILLARDIA SUNSET CANDY PPAF,Sunset Candy Blanket Flower,PRN,05,5.75,5.18,X,X,,,X,,,, 201 ,05/01/15  ,
CA,,408751,#1,GAILLARDIA SUNSET FLASH PPAF,Sunset Flash Blanket Flower,PRN,05,5.75,5.18,X,X,,,X,,,, 315 ,05/01/15  ,
CA,    ,037701,#1,GARDENIA AUGUST BEAUTY,August Beauty Gardenia                                      ,EVS,08,6.50,5.85,X,X,,X,X,X,,400, 112 ,04/01/15  ,
CA,    ,034155,#5,GARDENIA AUGUST BEAUTY-GRAFT,August Beauty Gardenia (Grafted)                            ,EVS,08,28.50,25.65,X,,,X,X,X,,, 48 ,04/01/15  ,The grafted varieties make a more resilient Gardenia due to its ability to take up more iron in winter thus helping with yellowing leaves indoor
CA,    ,037671,#1,GARDENIA FIRST LOVE® ,First Love®  Gardenia,EVS,08,6.50,5.85,X,,,X,X,X,,," 3,917 ",04/01/15  ,"Large, glossy, dark green foliage. Large corsage- sized white fragrant blooms"
CA,    ,037561,#1,GARDENIA KLEIM'S HARDY,Kleim's Hardy Gardenia                                      ,EVS,07,7.00,6.30,X,,,X,X,X,,1562," 3,141 ",03/01/15  ,
CA,    ,037595,#5,GARDENIA MYSTERY-GRAFT,Mystery Gardenia (Grafted)                                  ,EVS,08,28.50,25.65,X,,,X,X,X,,, 45 ,04/01/15  ,Large foliage & fragrant white flowers. Bigger than Veitchii
CA,    ,037801,#1,GARDENIA VEITCHII,Everblooming Gardenia                                       ,EVS,08,6.50,5.85,X,,,X,X,X,,," 1,664 ",04/15/15  ,
CA,    ,037815,#5,GARDENIA VEITCHII-GRAFT,Everblooming Gardenia (Grafted)                             ,EVS,08,28.50,25.65,X,,,X,X,X,,, 51 ,04/01/15  ,"A variety that has a longer flowering season, with medium-sized white fragrant flowers. Grafted for better indoor results"
CA,,058861,#1,GAURA L GEYSER WHITE,Geyser White Gaura,PRN,05,5.10,4.59,X,X,,X,X,,,380,,,
CA,    ,028091,#1,GAURA L PINK CLOUD,Pink Cloud Gaura                                            ,PRN,06,4.90,4.41,X,X,X,X,X,,,101, 45 ,03/01/15  ,Deep pink flowers cover the red-tinged foliage
OR,    ,048591,#1,GAZANIA LIN COLORADO GOLD® ,Colorado Gold®  Treasure Flower,PRN,04,4.90,4.41,X,,,,X,X,,227, 638 ,06/01/15  ,"Brilliant and shiny golden yellow daisy-like flowers, featuring deep russet flecks toward the center. In early to mid summer, blossoms stand just above the compact mounds of glossy, green leaves with a silvery underside. 3-6"" x 12"""
CA,    ,048591,#1,GAZANIA LIN COLORADO GOLD® ,Colorado Gold®  Treasure Flower,PRN,04,4.90,4.41,X,,,X,X,X,,, 538 ,04/01/15  ,
OR,    ,04859UT,LittleOne,GAZANIA LIN COLORADO GOLD® ,Colorado Gold®  Treasure Flower,PRN,04,3.10,2.79,X,,,,X,X,,517, 416 ,06/01/15  ,
OR,    ,038241,#1,GERANIUM CIN BALLERINA,Ballerina Cranesbill                                        ,PRN,04,4.90,4.41,X,,,X,X,,,211, 983 ,04/01/15  ,"Pink flowers marked w/purple veining, and a purple eye"
OR,    ,038281,#1,GERANIUM CIN SUBCAULESCENS,Black-Eyed Magenta Cranesbill                               ,PRN,05,4.90,4.41,X,,,X,X,,,556, 916 ,04/01/15  ,Magenta flowers w/black centers
OR,,044041,#1,GERANIUM PHA MARGARET WILSON,Margaret Wilson Geranium                                    ,PRN,05,4.90,4.41,X,,,X,X,,,495, 110 ,04/01/15  ,Deeply-cut foliage marbled with creamy-white streaks; light purple flowers
OR,,038331,#1,GERANIUM X CAN BIOKOVO,Biokovo Cransbill,PRN,04,5.10,4.59,X,,,X,X,,,442,,,Prized for its vigorous ground covering capabilities. White flowers flushed pink. 
OR,    ,035601,#1,GEUM COCC WERNER ARENDS,Werner Arends Avens                                         ,PRN,04,4.90,4.41,X,,,X,,,,, 656 ,03/01/15  ,"Red, yellow, and apricot or orange flowers carried on graceful stems"
CA,    ,022581,#1,GR-CAREX BUCHANANII,Fox Red Curly Sedge                                         ,GRS,05,6.50,5.85,X,X,,X,X,X,,2828,,,"Reddish-rust, stiff erect foliage allows yellow, blue, and purple colored plants to pop against its background. Great for fall containers"
CA,    ,022582,#2,GR-CAREX BUCHANANII,Fox Red Curly Sedge                                         ,GRS,05,14.25,12.83,X,X,,X,X,X,,73,,,
