Zone,Loc,Item Number,Size,Plant Name,Plant Category,Intro Year,Retail Price,Confirmed Qty Remaining
07,GA,070372,#2,AGAPANTHUS MOOD INDIGO,EVS,2011,     , 10 
07,GA,029211,#1,CANNA TROP BLACK TM PP21350,PRN,2007,     , 24 
07,GA,017411,#1,CANNA TROPICANNA GLD TM P13809,PRN,2003,     , 20 
07,GA,022481,#1,CANNA TROPICANNA TM PP10569,PRN,    ,     , 24 
07,GA,057382,#2,CESTRUM AUR ORANGE PEEL,EVS,2011,     , 18 
07,GA,024175,#5,COLOCASIA ANT ILLUSTRIS,PRN,2005,     , 5 
07,GA,408501,#1,COLOCASIA RYL HWN R BK CRL PAF,PRN,2015,     , 30 
07,GA,408505,#5,COLOCASIA RYL HWN R BK CRL PAF,PRN,2015,     , 20 
07,GA,408495,#5,COLOCASIA RYL HWN R HAWAN PNCH,PRN,2015,     , 10 
07,GA,412585,#5,COLOCASIA RYL HWN R MAUI GOLD,PRN,2015,     , 10 
07,CT,085821,#1,DISPORUM CANT MOONLIGHT P24556,PRN,2015,     , 12 
07,CA,036725,#5,FICUS CAR BLACK JACK,TRE,1995,     , 11 
07,GA,036725,#5,FICUS CAR BLACK JACK,TRE,1995,     , 2 
07,CA,036785,#5,FICUS CAR BROWN TURKEY,TRE,    ,     , 10 
07,CA,036795,#5,FICUS CAR KADOTA,TRE,    ,     , 6 
07,CA,036815,#5,FICUS CAR MISSION,TRE,    ,     , 8 
07,CA,036745,#5,FICUS CAR PETERS HONEY,TRE,1995,     , 20 
07,GA,056641,#1,LANTANA CAM MARY ANN,PRN,2009,     , 54 
07,CA,058205P2,#5 2BALL POODLE,LIGUSTRUM TEXANUM,EVS,    ,     , 3 
07,CA,068012,#2,PUNICA GR ANGEL RED R PP16578,DCS,2010,     , 5 
07,GA,034921,#1,SALVIA GAUR BLACK & BLUE,PRN,2006,     , 24 
07,GA,073461,#1,VERBENA X PURPLE SPREADER TM,PRN,1995,     , 24 
08,CA,035282,#2,AGAPANTHUS AFR SUN STRIPE R,EVS,2012,     , 20 
08,CA,001655,#5,AGAPANTHUS AFRICANUS,EVS,    ,     , 10 
08,CA,001732,#2,AGAPANTHUS BLUE STORM PP14332,EVS,2003,     , 25 
08,CA,031731,#1,CORD FESTIVAL TM BRGNDY P14224,EVS,2005,     , 20 
08,GA,030491,#1,CUPHEA HYSSOPIFOLIA,PRN,    ,     , 12 
08,CA,035572PT,#2 PATIO TREE,EURYOPS PECT VIRIDIS,EVS,    ,     , 25 
08,CA,035575PT,#5 PATIO TREE,EURYOPS PECT VIRIDIS,EVS,    ,     , 20 
08,GA,035641,#1,FATSIA JAPONICA,EVS,    ,     , 24 
08,CA,064271,#1,GR-PENN SET RUBRUM,GRS,    ,     , 40 
08,GA,064275,#5,GR-PENN SET RUBRUM,GRS,    ,     , 40 
08,GA,056633PT,#3 PATIO TREE,LANTANA CHAPEL HILL YLW P19548,PRN,2009,     , 15 
08,OR,079932,#2,LAURUS NOB LITTLE RAGU TM PPAF,EVS,2014,     , 20 
08,CA,05729EPT,"7"" Terra Cotta PATIO TREE",LAURUS NOBILIS,EVS,    ,     , 10 
08,CA,057295PT,#5 PATIO TREE,LAURUS NOBILIS,EVS,    ,     , 10 
08,CA,060085TR,#5 TREE,OLEA HAAS IMP MANZANILLO (FRT),TRE,2012,     , 6 
08,CA,06304EPT,"7"" Terra Cotta PATIO TREE",OLEA LITTLE OLLIE R,EVS,1987,     , 15 
08,CA,07028EPT,"7"" Terra Cotta PATIO TREE",ROSMARINUS OFF TUSCAN BLUE,EVS,    ,     , 15 
08,CA,070281,#1,ROSMARINUS OFF TUSCAN BLUE,EVS,    ,     , 30 
08,GA,041361,#1,ROSMARINUS ROMAN BTY PP18192,EVS,2006,     , 18 
09,CA,025242,#2,AGAVE VICTORIA-REGINAE,CAC,2007,     , 6 
09,GA,003151,#1,ASPARAGUS MYERS,FRN,    ,     , 60 
09,GA,003152,#2,ASPARAGUS MYERS,FRN,    ,     , 16 
09,CA,095752BH,#2 BUSH,BOUG SUNVILLEA TM PINK PP22113,VIN,2014,     , 5 
09,CT,024752PT,#2 PATIO TREE,CITRUS BEARSS SEEDLESS LIME,CIT,    ,     , 10 
09,CT,024742,#2,CITRUS DWF BEARSS SEEDLSS LIME,CIT,    ,     , 20 
09,CT,026002PT,#2 PATIO TREE,CITRUS IMPROVED MEYER LEMON,CIT,    ,     , 10 
09,CT,025602PT,#2 PATIO TREE,CITRUS KUMQUAT NAGAMI,CIT,    ,     , 4 
09,CT,026602PT,#2 PATIO TREE,CITRUS OWA SATSUMA MANDARIN,CIT,    ,     , 4 
09,CT,026052PT,#2 PATIO TREE,CITRUS WASHINGTON NAVEL ORANGE,CIT,    ,     , 4 
09,GA,031721,#1,CORDYLINE BAUERI,EVS,1994,     , 60 
09,CA,031725,#5,CORDYLINE BAUERI,EVS,1994,     , 5 
09,CA,031701,#1,CORDYLINE INDIVISA,EVS,    ,     , 37 
09,GA,031701,#1,CORDYLINE INDIVISA,EVS,    ,     , 13 
09,GA,056611,#1,LANTANA CAM AMERICAN RED,PRN,1994,     , 18 
09,GA,056953PT,#3 PATIO TREE,LANTANA CONFETTI TM,PRN,1958,     , 15 
09,GA,057231SPT,SuperOne TM PATIO TREE,LANTANA S LAVENDER SWIRL R,PRN,1990,     , 12 
09,GA,057153PT,#3 PATIO TREE,LANTANA SUNBURST TM,PRN,1958,     , 9 
09,GA,057203PT,#3 PATIO TREE,LANTANA TANGERINE TM,PRN,1961,     , 16 
09,CA,024461,#1,LANTANA TEENIE GENIE R PP17612,PRN,2005,     , 35 
