Zone,Loc,Item Number,Size,Plant Name,Plant Category,Intro Year,Retail Price,Confirmed Qty Remaining
09,GA,024461,#1,LANTANA TEENIE GENIE R PP17612,PRN,2005,     , 36 
09,GA,066371,#1,PLUMBAGO ROYAL CAPE R,EVS,1992,     , 42 
09,GA,066375,#5,PLUMBAGO ROYAL CAPE R,EVS,1992,     , 20 
09,GA,066375PT,#5 PATIO TREE,PLUMBAGO ROYAL CAPE R,EVS,1992,     , 8 
09,GA,066361,#1,PLUMBAGO WHITE CAPE R PP13953,EVS,2001,     , 24 
09,CA,072215PT,#5 PATIO TREE,TABERNAEMONTANA FLORE PLENO,EVS,2004,     , 6 
10,GA,012705PT,#5 PATIO TREE,BOUG BARBARA KARST,VIN,    ,     , 5 
10,CA,090122BH,#2 BUSH,BOUG BLUEBERRY ICE,VIN,2012,     , 6 
10,GA,013265PT,#5 PATIO TREE,BOUG OO-LA-LA R,VIN,1989,     , 10 
10,GA,013052BH,#2 BUSH,BOUG PURPLE QUEEN R,VIN,1989,     , 20 
10,CA,013055PT,#5 PATIO TREE,BOUG PURPLE QUEEN R,VIN,1989,     , 1 
10,CA,062005,#5,ENSETE MAURELII,PRN,    ,     , 20 
10,GA,062005,#5,ENSETE MAURELII,PRN,    ,     , 20 
10,CA,062009,#15,ENSETE MAURELII,PRN,    ,     , 6 
10,GA,035905,#5,FERN-ALSOPHILA AUSTRALIS,FRN,    ,     , 5 
10,GA,009131,#1,LANTANA CAM MOZELLE,PRN,    ,     , 24 
10,GA,009133PT,#3 PATIO TREE,LANTANA CAM MOZELLE,PRN,    ,     , 20 
10,GA,009091,#1,LANTANA NEW GOLD,PRN,    ,     , 24 
10,GA,009093PT,#3 PATIO TREE,LANTANA NEW GOLD,PRN,    ,     , 8 
10,GA,061201,#1 STAKED,MAN ALICE DU PONT,VIN,    ,     , 20 
10,GA,061205,#5 STAKED,MAN ALICE DU PONT,VIN,    ,     , 15 
10,GA,085801,#1 STAKED,MAN BRIDE'S CASCADE PPAF,VIN,2009,     , 25 
10,GA,061191,#1 STAKED,MAN PNK PRFT R P11787-P6300547,VIN,2000,     , 25 
10,GA,09238UT,LittleOne,MAN SUN PAR R GARDEN CRIMSON,VIN,2014,     , 48 
10,CA,057085,#5 STAKED,MAN SUN PAR R GIANT PNK P15202,VIN,2010,     , 20 
10,GA,057065,#5 STAKED,MAN SUN PAR R GNT WHITE P11556,VIN,2010,     , 10 
10,CA,061291,#1 STAKED,MAN TANGO TWIRL R P14290,VIN,2002,     , 12 
10,GA,061291,#1 STAKED,MAN TANGO TWIRL R P14290,VIN,2002,     , 25 
10,CA,066305PT,#5 PATIO TREE,TIBOUCHINA URVILLEANA,EVS,    ,     , 6 
