Branch,Item,Description,WIP+FG,Allocated,Remaining,"Allocated
To Orders","Orders
from Open","Open
Available",Category,Intro,Catalog,Reason,
550000,006241,ACHILLEA MILL SUMMER BERRIES,960,783,202,74%,177,0,PRN,2013,$4.75 ,,
550000,039022,ANEMONE X WILD SWAN TM PP23132,960,945,895,5%,15,0,PRN,2013,$15.50 ,,
550000,039021,ANEMONE X WILD SWAN TM PP23132,1008,960,779,18%,48,0,PRN,2013,$7.50 ,,
550000,078771S,AZ BLM-A-THON TM RED PP21562,3664,1269,899,29%,360,2035,RHO,2013,$9.75 ,,
550000,078772S,AZ BLM-A-THON TM RED PP21562,1469,1469,829,43%,0,0,RHO,2013,$16.50 ,,
550000,078781S,AZ BLM-A-THON TM WHITE PP21512,679,679,589,13%,0,0,RHO,2013,$9.75 ,,
550000,078782S,AZ BLM-A-THON TM WHITE PP21512,277,225,77,65%,52,0,RHO,2013,$16.50 ,,
550000,046762LR,CALLISTEM SCRLT TRCH TM P23848,113,0,0,,20,93,EVS,2013,$15.50 ,,
550000,046765,CALLISTEM SCRLT TRCH TM P23848,72,2,2,0%,25,45,EVS,2013,$22.00 ,,
550000,006351,CHRY (LEU) SUP REAL DREAM PPAF,960,960,590,38%,0,0,PRN,2013,$5.75 ,,
550000,088891,CORE BIGBANG TM MRCRY RSNG PAF,1008,1008,860,14%,0,0,PRN,2013,$0.00 ,,
550000,00659UT,COREOPSIS GRAND 'HELIOT',800,800,324,59%,0,0,PRN,2013,$2.95 ,,
550000,073891,COREOPSIS PINK LEMNADE PP18265,368,0,0,,0,368,PRN,2013,$5.50 ,,
550000,004901,DICENTRA SP VALENTINE R P22739,975,947,373,60%,28,0,PRN,2013,$6.00 ,,
550000,007051,ECHIN SUPREME CANTALOUPE PPAF,2068,1262,0,100%,130,676,PRN,2013,$8.50 ,,
550000,087021,ECHINACEA CHEYENNE SPIRIT,2274,2221,182,91%,53,0,PRN,2013,$5.50 ,,
550000,08702UT,ECHINACEA CHEYENNE SPIRIT,1920,1904,391,79%,16,0,PRN,2013,$3.65 ,,
550000,084631,ERYSIMUM LIN VARIEGATUM,1024,385,343,10%,10,629,PRN,2013,$0.00 ,,
550000,089221,GAILLARDIA FANFARE BLZE P23494,2100,0,0,,1746,354,PRN,2013,$5.50 ,,
550000,060305,GARDENIA JASMIN VARIEG (DH),201,20,0,100%,110,71,EVS,2013,$20.75 ,,
550000,054531,HEUCHERA MIDNIGHT BAYOU P21858,2016,2016,849,57%,0,0,PRN,2013,$7.50 ,,
550000,016301,HOSTA TOKUDAMA FLAVOCIRCINALIS,1000,500,390,22%,292,208,PRN,2013,$0.00 ,,
550000,082011,HOSTA X LIBERTY,1000,1000,780,22%,0,0,PRN,2013,$0.00 ,,
550000,063835,HYD ANG GOLDEN CRANE R,362,331,306,7%,0,31,DCS,2013,$23.75 ,,
550000,056455,HYD ASPERA PLUM PASSION R,2026,711,642,9%,0,1315,DCS,2013,$21.50 ,,
550000,056451,HYD ASPERA PLUM PASSION R,925,240,180,25%,0,685,DCS,2013,$7.50 ,,
550000,092752,HYD M BLUE ENCHANTRESS R PPAF,20121,6452,5476,15%,70,13599,DCS,2013,$16.25 ,,
550000,092755,HYD M BLUE ENCHANTRESS R PPAF,15186,6946,5226,24%,467,7773,DCS,2013,$22.50 ,,
550000,080962S,HYD SER TUFF STUFF TM PPAF,2766,2698,808,70%,50,18,DCS,2013,$16.00 ,,
550000,080961S,HYD SER TUFF STUFF TM PPAF,2456,2101,1221,41%,120,235,DCS,2013,$9.75 ,,
550000,084781,PEROVSKIA LACEY BLUE PP20845,902,960,825,14%,0,-58,PRN,2013,$6.00 ,,
550000,00710UT,PHLOX P LILAC FLAME R PP11802,965,959,487,49%,6,0,PRN,2013,$2.95 ,,
550000,04619UT,PHLOX P PINK FLAME R PP11804,1500,1394,865,37%,106,0,PRN,2013,$2.95 ,,
550000,00725UT,PHLOX P WHITE FLAME R PP16259,1120,965,560,41%,78,77,PRN,2013,$2.95 ,,
550000,089112,ROSA SUNROSA TM RED,3086,1559,1199,23%,465,1062,ROS,2013,$14.75 ,,
550000,089102,ROSA SUNROSA TM SOFT PINK,3509,1890,1655,12%,355,1264,ROS,2013,$14.75 ,,
550000,089122,ROSA SUNROSA TM YELLOW,3322,1774,1324,25%,580,968,ROS,2013,$14.75 ,,
550000,079382,RUBUS RSPBRY SHRTCKE TM P22141,2343,751,18,97%,607,985,DCS,2013,$15.50 ,,
550000,08748UT,SEDUM SSPKLR R CHERRY TART PAF,2104,2092,1196,42%,12,0,PRN,2013,$2.95 ,,
550000,087481,SEDUM SSPKLR R CHERRY TART PAF,1511,1500,617,58%,0,11,PRN,2013,$5.00 ,,
550000,00733UT,SEDUM SSPRKLR R DZLBRY PP22457,3691,3515,2263,35%,176,0,PRN,2013,$2.95 ,,
550000,007331,SEDUM SSPRKLR R DZLBRY PP22457,1260,930,294,68%,330,0,PRN,2013,$0.00 ,,
