Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code
GA,00472UT,DIANTHUS GRAT FIREWITCH,Dianthus gratianapolitanus 'Firewitch'                      ,Firewitch Cheddar Pink                                      ,Mid spring border flowering,PRN,03,
CA,004741,DIANTHUS GRAT MOUNTAIN MIST,Dianthus gratianopolitanus 'Mountain Mist'                  ,Mountain Mist Cheddar Pink                                  ,Mid spring border flowering,PRN,03,
GA,04596UT,DIANTHUS NEON STAR PP14549,Dianthus x 'Neon Star' P.P.# 14549                          ,Neon Star Maiden Pink                                       ,Mid spring border flowering,PRN,04,
CA,094501,DIANTHUS RASP SURPRISE PP16029,"Dianthus 'Devon Yolande' P.P. #16,029                       ",Raspberry Surprise Maiden Pink                              ,Mid spring border flowering,PRN,04,
GA,03647UT,DIANTHUS RASPBRY SWIRL PP14377,Dianthus 'Raspberry Swirl' P.P.# 14377                      ,Raspberry Swirl Maiden Pink                                 ,Mid spring border flowering,PRN,05,PHI
OR,042771,DIANTHUS WINK,Dianthus 'Wink'                                             ,Wink Maiden Pink                                            ,Mid spring border flowering,PRN,03,NSA
CT,00480UT,DICENTRA BURNINGHEARTS PP20797,Dicentra 'Burning Hearts' P.P.A.F.                          ,Burning Hearts Bleeding Heart                               ,Early spring border flowering,PRN,04,
CT,402301,DICENTRA IVORY HEARTS P15599,"Dicentra 'Ivory Hearts' PP 15,599                           ",Ivory Hearts Bleeding Heart                                 ,Early spring border flowering,PRN,04,PPP
CT,00481UT,DICENTRA KING OF HEARTS,Dicentra x 'King of Hearts'                                 ,King Of Hearts Bleeding Heart                               ,Early spring border flowering,PRN,02,
OR,004901,DICENTRA SP VALENTINE R P22739,"Dicentra spectabilis 'Hordival' P.P.#22,739                 ",Valentine®  Bleeding Heart,Mid spring border flowering,PRN,03,PPP
OR,035621,DICENTRA SPEC GOLD HEART,Dicentra spectabilis 'Gold Heart'                           ,Gold Heart Bleeding Heart                                   ,Early spring border flowering,PRN,03,
OR,402361,ECHIN DBL SCP TM BBLGM PP23103,"Echinacea x 'Balscblum' P.P. #23, 103                       ",Double Scoop™  Bubble Gum Echinacea,Mid/late interm. flowering,PRN,04,BHC
OR,412611,ECHIN DBL SCP TM CRANBRY PPAF,"Echinacea x purpurea 'Balscanery' P.P.# 24,769              ",Double Scoop™  Cranberry Echinacea,Mid/late interm. flowering,PRN,04,BHC
GA,402351,ECHIN DBL SCP TM RSPBRY P23117,"Echinacea x 'Balsceras' P.P.# 23, 117                       ",Double Scoop™  Raspberry Cone Flower,Mid/late interm. flowering,PRN,04,BHC
CT,007051,ECHIN SUPREME CANTALOUPE PPAF,Echinacea 'Supreme Cantaloupe' P.P.A.F.                     ,Supreme Cantaloupe Cone Flower                              ,Mid/late interm. flowering,PRN,04,
CT,412621,ECHIN SUPREME FLAMINGO,"Echinacea purpurea 'Flamingo' P.P. 24,898                   ",Supreme™  Flamingo Echinacea,Mid/late interm. flowering,PRN,04,
CT,407711,ECHIN VANILLA CUPCAKE,"Echinacea 'Vanilla Cupcake' P.P. 24,506                     ",Vanilla Cupcake™  Echinacea,Mid/late interm. flowering,PRN,05,
GA,08702UT,ECHINACEA CHEYENNE SPIRIT,Echinacea hybrida 'Cheyenne Spirit'                         ,Cheyenne Spirit Echinacea                                   ,Mid/late interm. flowering,PRN,04,
GA,054441,ECHINACEA FLAME THROWER P21932,"Echinacea purpurea 'Flame Thrower' P.P.# 21, 932            ",Flame Thrower Echinacea                                     ,Mid/late interm. flowering,PRN,04,OLD
OR,004891,ECHINACEA KIMS KNEE HI PP12242,Echinacea purpurea 'Kim's Knee High' P.P. #12242            ,Kim's Knee High Purple Coneflower                           ,Mid/late interm. flowering,PRN,04,SBN
OR,047511,ECHINACEA PNK DBL DLITE P18803,Echinacea purpurea 'Pink Double Delight' P.P.A.F            ,Pink Double Delight Cone Flower                             ,Mid/late interm. flowering,PRN,04,OLD
GA,003121,ECHINACEA POWWOW R WHITE,"Echinacea purpurea 'PAS702918' P.P. #7,982,110              ",PowWow®  White Coneflower,Mid/late interm. flowering,PRN,03,
CT,002991,ECHINACEA POWWOW R WILDBERRY,Echinacea purpurea 'PAS702917'                              ,PowWow®  Wild Berry Coneflower,Mid/late interm. flowering,PRN,03,
OR,043402,ECHINACEA PRAIRIE SPLENDOR,Echinacea purpurea 'Prairie Splendor'                       ,Prairie Splendor Coneflower                                 ,Mid/late interm. flowering,PRN,03,
CT,059741S,ECHINACEA PUR HOT PAPAYA PPAF,Echinacea purpurea 'Hot Papaya'                             ,Hot Papaya Coneflower                                       ,Mid/late interm. flowering,PRN,04,
CT,031772,ECHINACEA PUR MAGNUS,Echinacea purpurea 'Magnus'                                 ,Magnus Purple Coneflower                                    ,Mid/late interm. flowering,PRN,04,
CT,039581,ECHINACEA PUR MERLOT PP18814,Echinacea purpurea 'Merlot' P.P.# 18814                     ,Merlot Coneflower                                           ,Mid/late interm. flowering,PRN,04,
OR,01822UT,ECHINACEA PUR RUBY STAR,Echinacea purpurea 'Ruby Star'                              ,Ruby Star Coneflower                                        ,Mid/late interm. flowering,PRN,04,
CT,033672,ECHINACEA PUR WHITE SWAN,Echinacea purpurea 'White Swan'                             ,White Swan Coneflower                                       ,Mid/late interm. flowering,PRN,03,
GA,036281,ECHINACEA SUNDOWN TM PP17659,Echinacea x 'Evan Saul' P.P.# 17659                         ,Sundown Big Sky™  Series Coneflower,Mid/late interm. flowering,PRN,04,OLD
OR,032021,EPIMEDIUM GRAND ROSE QUEEN,Epimedium grandiflorum 'Rose Queen'                         ,Rose Queen Bishop's Hat                                     ,Shade foliage/flower,PRN,04,
GA,077591,ERYSIMUM GLOW TM ORANGE,Erysimum x hybrida 'Orange'                                 ,Glow™  Orange Wallflower,Early spring border flowering,PRN,05,Y
CA,077581,ERYSIMUM JENNY BROOK PP20253,"Erysimum 'Jenny Brook' P.P. #20,253 C.P.B.R.                ",Jenny Brooks Wallflower                                     ,Early spring border flowering,PRN,07,Y
GA,084631,ERYSIMUM LIN VARIEGATUM,Erysimum linifolium 'Variegatum'                            ,Variegated Wallflower                                       ,Mid spring border flowering,PRN,06,
CT,402502,EUPATORIUM MAC BABY JOE,"Eupatorium purpureum 'Baby Joe' P.P.#20,320                 ",Baby Joe Dwarf Pye Weed                                     ,Mid/late tall flowering,PRN,04,
GA,03571UT,GAILLARDIA ARIZONA SUN,Gaillardia x 'Arizona Sun'                                  ,Arizona Sun Blanket Flower                                  ,Mid spring border flowering,PRN,03,
OR,412631,GAILLARDIA FANFARE CITRNLA PAF,Gaillardia 'Fanfare Citronella'                             ,Fanfare Citronella Blanket Flower                           ,Mid spring border flowering,PRN,03,PHI
CT,412641,GAILLARDIA FANFARE REGAL PPAF,                                                            ,Fanfare Regal Blanket Flower                                ,Mid spring border flowering,PRN,03,PHI
GA,004051,GAILLARDIA MESA BRIGHT BICOLOR,Gaillardia x grandiflora 'Mesa Bright Bicolor'              ,Mesa Bright Bicolor Blanket Flower                          ,Mid spring border flowering,PRN,04,
GA,412651,GAILLARDIA SUNSET CANDY PPAF,Gaillardia x grandiflora 'Sunset Candy'                     ,Sunset Candy Blanket Flower                                 ,Mid spring border flowering,PRN,05,PHI
OR,408811,GAILLARDIA SUNSET CELEBRATION,Gaillardia x grandiflora 'Celebration' P.P.A.F.             ,Celebration Blanket Flower                                  ,Mid spring border flowering,PRN,05,PHI
GA,408761,GAILLARDIA SUNSET CUTIE PPAF,Gaillardia x grandiflora 'Sunset Cutie'                     ,Sunset Cutie Blanket Flower                                 ,Mid spring border flowering,PRN,05,PHI
OR,408751,GAILLARDIA SUNSET FLASH PPAF,Gaillardia x grandiflora 'Sunset Flash'                     ,Sunset Flash Blanket Flower                                 ,Mid spring border flowering,PRN,05,PHI
OR,408801,GAILLARDIA SUNSET SNAPPY PPAF,Gaillardia x grandiflora 'Sunset Snappy'                    ,Sunset Snappy Blanket Flower                                ,Mid spring border flowering,PRN,05,PHI
GA,060821,GAILLARDIA X GRAN MESA YELLOW,Gaillardia x grandiflora 'Mesa Yellow'                      ,Mesa Yellow Blanket Flower                                  ,Mid spring border flowering,PRN,05,
CA,058861,GAURA L GEYSER WHITE,Gaura lindheimeri 'Geyser White'                            ,Geyser White Gaura                                          ,Mid spring interm. flowering,PRN,05,
GA,412661,GAURA L LITTLE JANIE,Gaura lindhemeri 'Little Janie' P.P.A.F.                    ,Little Janie Gaura                                          ,Mid spring interm. flowering,PRN,06,
CA,028091,GAURA L PINK CLOUD,Gaura lindheimeri 'Pink Cloud'                              ,Pink Cloud Gaura                                            ,Mid spring interm. flowering,PRN,06,
GA,03796UT,GAURA L SISKIYOU PINK,Gaura lindheimeri 'Siskiyou Pink'                           ,Siskiyou Pink Gaura                                         ,Mid spring interm. flowering,PRN,05,
GA,036481,GAURA PASSIONATE RAINBW P17002,"Gaura lindheimeri 'Passionate Rainbow' P.P.# 17,002         ",Passionate Rainbow Gaura                                    ,Mid spring interm. flowering,PRN,06,PHI
CT,412821,HELENIUM AUT CAN CAN,Helenium autumnale 'Can Can'                                ,Can Can Sneezeweed                                          ,Mid/late interm. flowering,PRN,04,BHC
CT,025802,HELENIUM MARDI GRAS PP15124,"Helenium 'Helbro' P.P.#15,124                               ",Mardi Gras Sneezeweed                                       ,Mid/late interm. flowering,PRN,04,
CT,412831,HELENIUM SAHINS EARLY FLOWERER,Helenium 'Sahin's Early Flowerer'                           ,Sahin's Early Flowerer Sneezeweed                           ,Mid/late interm. flowering,PRN,04,
CA,040001,HELIOTROPIUM ARB IOWA,Heliotropium arborescens 'Iowa'                             ,Iowa Heliotrope                                             ,Mid spring interm. flowering,PRN,09,
CT,086671,KNIPH LEMON POPSICLE TM PPAF,"Kniphofia 'Lemon Popsicle' P.P. 24,01                       ",Lemon Popsicle Red Hot Poker                                ,Mid/late interm. flowering,PRN,06,
CT,080271,KNIPH REDHOT POPSICLE TM PPAF,Kniphofia 'Redhot Popsicle' P.P.A.F.                        ,Redhot Popsicle™  Poker,Mid/late interm. flowering,PRN,05,
GA,06215UT,KNIPHOFIA BORDER BALLET,Kniphofia 'Border Ballet'                                   ,Border Ballet Torch Flower                                  ,Mid/late interm. flowering,PRN,05,
OR,043121,KNIPHOFIA HIR FIRE DANCE,Kniphofia hirsuta 'Fire Dance'                              ,Fire Dance Dwarf Poker                                      ,Mid/late interm. flowering,PRN,04,
CT,024901,LAMIUM M PURPLE DRAGON P15890,Lamium maculatum 'Purple Dragon' P.P.# 15890                ,Purple Dragon Dead Nettle                                   ,Ground cover,PRN,04,HOR
CT,02489UT,LAMIUM MAC BEACON SILVER,Lamium maculatum 'Beacon Silver'                            ,Beacon Silver Dead Nettle                                   ,Ground cover,PRN,04,
CT,009081,LAMIUM ORCHID FROST PP11122,Lamium maculatum 'Orchid Frost' P.P.# 11122                 ,Orchid Frost Spotted Dead Nettle                            ,Ground cover,PRN,04,PHI
CA,056612,LANTANA CAM AMERICAN RED,Lantana camara 'American Red'                               ,American Red Bush Lantana                                   ,Evergreen trop flower'g shrub,PRN,09,
GA,056641,LANTANA CAM MARY ANN,Lantana 'Mary Ann'                                          ,Mary Ann Lantana                                            ,Evergreen trop flower'g shrub,PRN,07,DLC
GA,05684UT,LANTANA CAM MISS HUFF,Lantana camara 'Miss Huff'                                  ,Miss Huff Hardy Lantana                                     ,Evergreen trop flower'g shrub,PRN,07,
GA,009131,LANTANA CAM MOZELLE,Lantana camara 'Mozelle'                                    ,Mozelle Lantana                                             ,Evergreen trop flower'g shrub,PRN,10,
CA,056851,LANTANA CAM RADIATION,Lantana camara 'Radiation'                                  ,Radiation Bush Lantana                                      ,Evergreen trop flower'g shrub,PRN,09,
CA,056635PT,LANTANA CHAPEL HILL YLW P19548,"Lantana 'Chapel Hill Yellow' P.P.# 19,548                   ",Chapel Hill Yellow Lantana                                  ,Evergreen trop flower'g shrub,PRN,08,BNI
GA,056951,LANTANA CONFETTI TM,Lantana x 'Moni'                                            ,Confetti™  Spreading Lantana,Evergreen trop flower'g shrub,PRN,09,
CA,009091,LANTANA NEW GOLD,Lantana x 'New Gold'                                        ,New Gold Lantana                                            ,Evergreen trop flower'g shrub,PRN,10,
GA,056881,LANTANA PAT TM RAINBOW PP9837,"Lantana camara 'Robpatrai' P.P.# 9,837                      ",Patriot™  Rainbow Compact Lantana,Evergreen trop flower'g shrub,PRN,09,RAI
CA,057231,LANTANA S LAVENDER SWIRL R,Lantana sellowiana 'Monswee'                                ,Lavender Swirl®  Trailing Lantana,Evergreen trop flower'g shrub,PRN,09,
CA,057251,LANTANA SELLOWIANA (MONTEVDNS),Lantana sellowiana                                          ,Trailing Lantana                                            ,Evergreen trop flower'g shrub,PRN,09,
CA,057051,LANTANA SPREADING SUNSET R,Lantana x 'Monet'                                           ,Spreading Sunset®  Lantana,Evergreen trop flower'g shrub,PRN,09,
CA,057155PT,LANTANA SUNBURST TM,Lantana x 'Sunburst'                                        ,Sunburst™  Spreading Lantana,Evergreen trop flower'g shrub,PRN,09,
CA,057201,LANTANA TANGERINE TM,Lantana x 'Mone'                                            ,Tangerine™  Spreading Lantana,Evergreen trop flower'g shrub,PRN,09,
CA,024462,LANTANA TEENIE GENIE R PP17612,"Lantana camara 'Monike' P.P. #17,612                        ",Teenie Genie®  Compact Lantana,Evergreen trop flower'g shrub,PRN,09,HMJ
CT,404432,LAVAN INT PHENOMENAL PPAF,Lavandula x intermedia 'Phenomenal' P.P.A.F.                ,Phenomenal Lavender                                         ,Early spring border flowering,PRN,05,
OR,074231,LAVAN INT RIVERINA TM THOMAS,Lavandula intermedia 'Riverina Thomas'                      ,Riverina Thomas French Lavender                             ,Mid spring border flowering,PRN,05,PPP
OR,086691,LAVAN PEN WITH LOVE TM PP22709,"Lavandula stoechas ssp. pedunculata 'Bentley' P.P. #22,709  ",With Love™  Lavender,Mid spring border flowering,PRN,06,PPP
CT,009162,LAVANDULA ANG HIDCOTE,Lavandula angustifolia 'Hidcote Blue'                       ,Hidcote Blue English Lavender                               ,Mid spring border flowering,PRN,05,
CA,018212,LAVANDULA ANG HIDCOTE SUPERIOR,Lavandula angustifolia 'Hidcote Superior'                   ,Hidcote Superior English Lavender                           ,Mid spring border flowering,PRN,05,
CT,068221,LAVANDULA ANG MELISSA LILAC,Lavandula angustifolia 'Dow4'                               ,Melissa Lilac Lavender                                      ,Early spring border flowering,PRN,05,DNL
CA,057311,LAVANDULA ANG MUNSTEAD,Lavandula angustifolia 'Munstead'                           ,Munstead Lavender                                           ,Mid spring border flowering,PRN,05,
CA,057392,LAVANDULA DEN GOODWIN CRK GRAY,Lavandula x ginginsii 'Goodwin Creek Gray'                  ,Goodwin Creek Gray Lavender                                 ,Mid spring interm. flowering,PRN,07,
CA,028491,LAVANDULA LEMON LEIGH PP16600,Lavandula stoechas 'Lemon Leigh' P.P.# 16600                ,Lemon Leigh Spanish Lavender                                ,Early spring border flowering,PRN,07,KIW
CA,017841,LAVANDULA STO HAZEL PP20894,"Lavandula stoechas 'Larkman Hazel' P.P. #20,894             ",Hazel™  Spanish Lavender,Early spring border flowering,PRN,07,PPP
CA,088871,LAVANDULA STO SILVER ANOUK,Lavandula stoechas 'Silver Anouk' P.P.# 20068               ,Silver Anouk Spanish Lavender                               ,Early spring border flowering,PRN,06,
CA,026592,LAVANDULA STO WINTERBEE P20840,"Lavandula stoechas 'Winter Bee' P.P. #20,840                ",Winter Bee Spanish Lavender                                 ,Early spring border flowering,PRN,07,PPP
CA,068181,LAVANDULA STO X VIR RGL SPLNDR,Lavandula 'Regal Splendour'                                 ,Regal Splendour Lavender                                    ,Early spring border flowering,PRN,07,DNL
CT,028481,LAVANDULA THUMBELINA LE P15231,Lavandula angustifolia 'Thumbelina Leigh'                   ,Thumbelina Leigh English Lavender                           ,Mid spring border flowering,PRN,05,KIW
OR,028131,LAVANDULA X INT PROVENCE,Lavandula x intermedia 'Provence'                           ,Provence French Lavender                                    ,Mid spring interm. flowering,PRN,05,
OR,057881,LIATRIS SPI KOBOLD,Liatris spicata 'Kobold'                                    ,Kobold Gayfeather                                           ,Mid/late tall flowering,PRN,04,
OR,058941,LITHODORA GRACE WARD,Lithodora diffusa 'Grace Ward'                              ,Grace Ward Lithodora                                        ,Ground cover,PRN,06,
OR,009841,LOBELIA COMPLIMENT RED,Lobelia x speciosa 'Compliment Red'                         ,Compliment Red Lobelia                                      ,Mid spring border flowering,PRN,04,
CA,077631,LOBELIA LAXIFLORA,Lobelia laxiflora                                           ,Mexican Cardinal Flower                                     ,Mid spring border flowering,PRN,09,
CT,404602,LOBELIA SPEC FAN BLUE,Lobelia x speciosa 'Fan Blue'                               ,Fan Blue Lobelia                                            ,Mid spring border flowering,PRN,04,
CT,404612,LOBELIA SPEC FAN SCARLET,Lobelia x speciosa 'Fan Scarlet'                            ,Fan Scarlet Lobelia                                         ,Mid spring border flowering,PRN,06,
GA,058521,MALVA ARBOREUS VAR BIG MOMMA,Malvaviscus drummondii 'Big Momma'                          ,Big Momma Turk's Cap                                        ,Mid/late tall flowering,PRN,07,
CT,046701,MONARDA D FIREBALL P14235,Monarda didyma 'Fireball' P.P. 14235                        ,Fireball Bee Balm                                           ,Mid/late interm. flowering,PRN,04,Y
GA,061821,MONARDA JACOB CLINE,Monarda didyma 'Jacob Cline'                                ,Jacob Cline Bee Balm                                        ,Mid/late interm. flowering,PRN,04,
CT,025861,MONARDA RASPBERRY WINE,Monarda didyma 'Raspberry Wine'                             ,Raspberry Wine Bee Balm                                     ,Mid/late interm. flowering,PRN,04,
GA,082581,NEPETA LITTLE TRUDY R PP18904,Nepeta x 'Psfike' P.P. #18904                               ,Little Trudy®  Catmint,Mid/late interm. flowering,PRN,04,PLC
OR,081741,NEPETA NERVOSA PINK CAT,Nepeta nervosa 'Pink Cat'                                   ,Pink Cat Catmint                                            ,Mid/late interm. flowering,PRN,04,
CT,062281,NEPETA X FAASS WALKER'S LOW,Nepeta x faassenii 'Walker's Low'                           ,Walker's Low Catmint                                        ,Mid/late interm. flowering,PRN,04,
OR,068482,OENOTHERA FREM SHIMMER PP19663,Oenothera fremontii 'Shimmer' P.P.# 19663                   ,Shimmer Evening Primrose                                    ,Mid spring border flowering,PRN,04,PHI
CT,068721,OENOTHERA KUN GLOWING MAGENTA,Oenothera kunthiana 'Glowing Magenta'                       ,Glowing Magenta Evening Primrose                            ,Mid spring border flowering,PRN,05,
CT,054011,OENOTHERA VER SUNSET BOULEVARD,Oenothera versicolor 'Sunset Boulevard'                     ,Evening Primrose                                            ,Mid spring border flowering,PRN,04,
CT,084752,PAEONIA ITOH GARDEN TREASURE,Paeonia Itoh 'Garden Treasure'                              ,Garden Treasure Itoh Peony                                  ,Paeonia,PRN,04,
CA,047085,PAEONIA ITOH KEIKO TM (PK D D),Paeonia (Intersectional hybrid) x 'Pink Double Dandy'       ,Keiko™ (Adored) Itoh Peony,Paeonia,PRN,04,DRS
CA,052605,PAEONIA ITOH MISAKA TM PP22192,"Paeonia (Intersectional hybrid) x 'Smith Opus 1' P.P.# 22,19",Misaka™  (Beautiful Blossom) Itoh Peony,Paeonia,PRN,04,DRS
CT,404972,PAEONIA ITOH SCARLET HEAVEN,Paeonia Itoh 'Scarlet Heaven'                               ,Scarlet Heaven Itoh Peony                                   ,Paeonia,PRN,04,
CA,052595,PAEONIA ITOH TAKARA TM PP22374,"Paeonia (Intersectional hybrid) x 'Smith Opus 2' P.P. #22,37",Takara™  (Treasure) Itoh Peony,Paeonia,PRN,04,DRS
CA,047075,PAEONIA ITOH YUMI TM (YLW),Paeonia (Intersectional hybrid) x 'Yellow Doodle Dandy'     ,Yumi™  (Beauty) Itoh Peony,Paeonia,PRN,04,DRS
CT,081072,PAEONIA OFF RUBRA PLENA,Paeonia officinalis 'Rubra Plena'                           ,Rubra Plena Peony                                           ,Paeonia,PRN,03,
CT,024242,PAEONIA X BLAZE (RED),Paeonia x 'Blaze'                                           ,Blaze Peony                                                 ,Paeonia,PRN,04,
CT,019525,PAEONIA X BOWL OF BEAUTY (PK),Paeonia x 'Bowl of Beauty'                                  ,Bowl Of Beauty Herbaceous Peony                             ,Paeonia,PRN,04,
OR,016252,PAEONIA X BOWL OF CREAM (WT),Paeonia x 'Bowl of Cream'                                   ,Bowl Of Cream Double Herbaceous Peony                       ,Paeonia,PRN,04,
OR,050282,PAEONIA X BUCKEYE BELLE (RED),Paeonia x 'Buckeye Belle'                                   ,Buckeye Belle Herbaceous Peony                              ,Paeonia,PRN,04,
OR,063512,PAEONIA X DBL WHITE,Paeonia lactiflora 'Double White'                           ,DOUBLE WHITE PEONY                                          ,Paeonia,PRN,03,
CT,063662,PAEONIA X FELIX CROUSSE (RED),Paeonia lactiflora 'Felix Crousse'                          ,Felix Crousse Peony                                         ,Paeonia,PRN,03,
OR,096432,PAEONIA X GENERAL MACMAHON,Paeonia lactiflora 'General MacMahon'                       ,General MacMahon Peony                                      ,Paeonia,PRN,03,
OR,036332,PAEONIA X INSPECTEUR LAVERGNE,Paeonia x 'Inspecteur Lavergne'                             ,Inspecteur Lavergne Peony                                   ,Paeonia,PRN,04,
OR,046132,PAEONIA X JAN VAN LEEUWEN (WT),Paeonia x 'Jan van Leeuwen'                                 ,Jan Van Leeuwen Peony                                       ,Paeonia,PRN,04,
OR,063742,PAEONIA X KANSAS (RED),Paeonia x 'Kansas'                                          ,Kansas Double Peony                                         ,Paeonia,PRN,04,OLD
CT,063572,PAEONIA X KARL ROSENFIELD(RED),Paeonia x 'Karl Rosenfield'                                 ,Karl Rosenfield Double Peony                                ,Paeonia,PRN,04,
OR,064912,PAEONIA X MME EMILE DEBATENE,Paeonia x 'Madame Emile Debatene'                           ,Madame Emile Debatene Double Peony                          ,Paeonia,PRN,04,
OR,051192,PAEONIA X NANCY NORA (PINK),Paeonia x 'Nancy Nora'                                      ,Nancy Nora Peony                                            ,Paeonia,PRN,04,
OR,024272,PAEONIA X PAUL M WILD (RED),Paeonia x 'Paul M. Wild'                                    ,Paul M. Wild Double Peony                                   ,Paeonia,PRN,04,
CT,039662,PAEONIA X PRIMEVERE (WHITE),Paeonia x 'Primevere'                                       ,Primevere Peony                                             ,Paeonia,PRN,04,
OR,046072,PAEONIA X RASPBERRY SUNDAE(PK),Paeonia x 'Raspberry Sundae'                                ,Raspberry Sundae Peony                                      ,Paeonia,PRN,04,
CT,063635,PAEONIA X SARAH BERNHARDT (PK),Paeonia x 'Sarah Bernhardt'                                 ,Sarah Bernhardt Double Peony                                ,Paeonia,PRN,04,
OR,095682,PAEONIA X SCARLETT OHARA (PNK),Paeonia x 'Scarlett O'Hara'                                 ,Scarlett O'Hara Peony                                       ,Paeonia,PRN,04,
CT,046122,PAEONIA X SEA SHELL (PINK),Paeonia x 'Sea Shell'                                       ,Sea Shell Peony                                             ,Paeonia,PRN,04,
OR,063762,PAEONIA X SHIRLEY TEMPLE (WT),Paeonia x 'Shirley Temple'                                  ,Shirley Temple Double Peony                                 ,Paeonia,PRN,04,
GA,063951,PENSTEMON DIGITALIS HUSKER RED,Penstemon digitalis 'Husker Red'                            ,Husker Red Penstemon                                        ,Mid spring interm. flowering,PRN,02,
CA,097741,PENSTEMON PARRYI,Penstemon parryi                                            ,Parry's Penstemon                                           ,Mid spring interm. flowering,PRN,08,
CT,405111S,PENSTEMON PINK PRIMA DONNA,Penstemon x 'Prima Donna Pink'                              ,Prima Donna Pink Penstemon                                  ,Mid spring interm. flowering,PRN,04,
CT,405132,PENSTEMON PRAIRIE DUSK,Penstemon 'Prairie Dusk'                                    ,Prairie Dusk Penstemon                                      ,Mid spring interm. flowering,PRN,03,
CT,409001,PENSTEMON ROCK CANDY PINK PPAF,Penstemon 'Pink Rock Candy'                                 ,Rock Candy™  Penstemon,Mid spring interm. flowering,PRN,06,CPC
CT,409011,PENSTEMON ROCK CANDY PRPL PPAF,Penstemon 'Purple Rock Candy'                               ,Purple Rock Candy Penstemon                                 ,Mid spring interm. flowering,PRN,06,CPC
GA,067781,PENSTEMON X PIKES PEAK PURPL R,Penstemon x mexicali Pikes Peak Purple® ,Pikes Peak Purple®  Penstemon,Mid spring interm. flowering,PRN,04,PLC
OR,066811,PENSTEMON X PRETTY PETTICOAT,Penstemon x 'Pretty Petticoat'                              ,Pretty Petticoat Beardtongue                                ,Mid spring interm. flowering,PRN,04,
CT,405141,PEROVSKIA ATR PEEK-A-BLUE PPAF,Perovskia atriplicifolia 'Peek-A-Blue'                      ,Peek-A-Blue Russian Sage                                    ,Mid/late tall flowering,PRN,04,
OR,064211,PEROVSKIA ATRIPLICIFOLIA,Perovskia atriplicifolia                                    ,Russian Sage                                                ,Mid/late tall flowering,PRN,04,
CA,084782,PEROVSKIA LACEY BLUE PP20845,"Perovskia atriplicifolia 'Lisslitt' P.P.# 20,845            ",Lacey Blue Russian Sage                                     ,Mid/late tall flowering,PRN,04,BHC
CT,010591,PEROVSKIA LITTLE SPIRE P11643,Perovskia atriplicifolia 'Little Spire' P.P.# 11643         ,Little Spire Russian Sage                                   ,Mid/late tall flowering,PRN,04,OLD
GA,00710UT,PHLOX P LILAC FLAME R PP11802,"Phlox paniculata 'Barten' P.P.#11,802                       ",Lilac Flame®  Dwarf Garden Phlox,Mid spring interm. flowering,PRN,04,Y
GA,04619UT,PHLOX P PINK FLAME R PP11804,"Phlox paniculata 'Bartwelve' P.P.# 11,804 C.P.B.R. 1094     ",Flame®  Pink Dwarf Garden Phlox,Mid spring interm. flowering,PRN,04,Y
GA,00725UT,PHLOX P WHITE FLAME R PP16259,"Phlox paniculata ''Bartwentynine' P.P.#16,259               ",White Flame®  Dwarf Garden Phlox,Mid spring interm. flowering,PRN,04,Y
CT,405201,PHLOX PAN BUBBLEGUM PINK,"Phlox paniuculata 'DITOFRA' P.P.# 21,171                    ",Candy Store®  Bubblegum Pink™  Phlox,Mid spring interm. flowering,PRN,04,PNL
GA,405221,PHLOX PAN CORAL CREME DROP,"Phlox paniculata 'Ditomdre' P.P.# 20,907                    ",Candy Store®  Coral Cr{{#232}}me Drop Garden Phlox,Mid spring interm. flowering,PRN,03,BNI
CT,010631,PHLOX PAN DAVID,Phlox paniculata 'David'                                    ,David Garden Phlox                                          ,Mid spring interm. flowering,PRN,04,
CT,405231,PHLOX PAN GRAPE LOLLIPOP,"Phlox paniculata 'Ditomsur' P.P.# 21,171                    ",Candy Store®  Grape Lollipop™  Phlox,Mid spring interm. flowering,PRN,04,BNI
GA,06254UT,PHLOX PANICULATA LAURA,Phlox paniculata 'Laura'                                    ,Laura Garden Phlox                                          ,Mid spring interm. flowering,PRN,04,
CT,405181,PHLOX PAPARAZZI TM LINDSEY PAF,Phlox x hybrida 'PPPHL07101' P.P.A.F.                       ,Paparazzi™  Lindsay Phlox,Mid spring interm. flowering,PRN,05,
GA,06436UT,PHLOX STOL SHERWOOD PURPLE,Phlox stolonifera 'Sherwood Purple'                         ,Sherwood Purple Creeping Phlox                              ,Mid spring interm. flowering,PRN,03,
OR,084701,PULMONARIA DE VROOMAN'S PRIDE,Pulmonaria 'De Vroomen's Pride'                             ,De Vroomen's Pride Lungwort                                 ,Shade foliage/flower,PRN,03,
CT,035611,PULMONARIA TREVI FOUNTN P13047,Pulmonaria 'Trevi Fountain' P.P.# 13047                     ,Trevi Fountain Lungwort                                     ,Shade foliage/flower,PRN,04,
CT,071111,RUDBECKIA ERLY BRD GLD PP20286,"Rudbeckia fulgida 'Early Bird Gold' P.P. #20,286            ",Early Bird Gold Gloriosa Daisy                              ,Mid spring interm. flowering,PRN,04,
OR,071011,RUDBECKIA FULGIDA GOLDSTURM,Rudbeckia fulgida var. sullivantii 'Goldsturm'              ,Goldsturm Black Eyed Susan                                  ,Mid spring interm. flowering,PRN,03,
