Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code
OR,066782,POTENTILLA FROSTY R P10987,"Potentilla fruticosa 'Monsidh' P.P.# 10,987                 ",Frosty®  Potentilla,Deciduous sumr flower'g shrub,DCS,03,SGU
OR,066802,POTENTILLA GOLD STAR,Potentilla fruticosa 'Gold Star'                            ,Gold Star Potentilla                                        ,Deciduous sumr flower'g shrub,DCS,03,
OR,066682,POTENTILLA GOLDFINGER,Potentilla fruticosa 'Goldfinger'                           ,Goldfinger Potentilla                                       ,Deciduous sumr flower'g shrub,DCS,03,
CT,086653,POTENTILLA PINK BEAUTY P9874,Potentilla fruticosa 'Pink Beauty' P.P.# 9874               ,Pink Beauty Potentilla                                      ,Deciduous sumr flower'g shrub,DCS,03,BNI
OR,066771,POTENTILLA RED ACE,Potentilla fruticosa 'Red Ace'                              ,Red Ace Potentilla                                          ,Deciduous sumr flower'g shrub,DCS,03,
OR,066741,POTENTILLA SUNSET,Potentilla fruticosa 'Sunset'                               ,Sunset Potentilla                                           ,Deciduous sumr flower'g shrub,DCS,03,
CT,011983,SPIRAEA JAP GOLDMOUND,Spiraea japonica 'Goldmound'                                ,Goldmound Spirea                                            ,Deciduous sumr flower'g shrub,DCS,04,
OR,071251,SPIRAEA JAP LITTLE PRINCESS,Spiraea japonica 'Little Princess'                          ,Little Princess Spirea                                      ,Deciduous sumr flower'g shrub,DCS,04,
CT,071573,SPIRAEA JAP MAGIC CARPET P9363,Spiraea japonica 'Walbuma'                                  ,Magic Carpet Spirea                                         ,Deciduous sumr flower'g shrub,DCS,04,PHI
OR,071582,SPIRAEA JAP NEON FLASH,Spiraea japonica 'Neon Flash'                               ,Neon Flash Spirea                                           ,Deciduous sumr flower'g shrub,DCS,04,
GA,071282,SPIRAEA JAP SHIROBANA,Spiraea japonica 'Shirobana'                                ,Shirobana Spirea                                            ,Deciduous sumr flower'g shrub,DCS,04,
OR,071305,SPIRAEA NIPPON SNOWMOUND,Spiraea nipponica 'Snowmound'                               ,Snowmound Spirea                                            ,Deciduous sumr flower'g shrub,DCS,04,
OR,071151,SPIRAEA X ANTHONY WATERER,Spiraea x bumalda 'Anthony Waterer'                         ,Anthony Waterer Spirea                                      ,Deciduous sumr flower'g shrub,DCS,04,
GA,071172,SPIRAEA X GOLDFLAME,Spiraea x bumalda 'Goldflame'                               ,Goldflame Spirea                                            ,Deciduous sumr flower'g shrub,DCS,04,
CA,071611,SPIRAEA X VAN RENAISSANCE,Spiraea x vanhouttei 'Renaissance'                          ,Renaissance Spirea                                          ,Deciduous sumr flower'g shrub,DCS,03,
OR,086431S,SYRINGA BLOOMERNG R DK PPL PAF,"Syringa x 'SMSJBP7' P.P.A.F., Can P.B.R.A.F.                ",Bloomerang®  Dark Purple Lilac,Deciduous early flower'g Shrub,DCS,03,PW
OR,074681S,SYRINGA BLOOMERNG R PUR P20575,"Syringa x 'Penda' P.P. #20,575, Can. P.P. 4071              ",Bloomerang®  Purple Lilac,Deciduous early flower'g Shrub,DCS,03,PW
