41454,CLEM BLVRD R CHROKEE TM P24171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41452,CLEM BLVRD R FLEURI TM PP24172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41453,CLEM BLVRD R NINON TM PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41455,CLEM BLVRD R PRSNNE TM PP16069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41456,CLEM BLVRD R REBECCA TM P21583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41457,CLEM BLVRD R ZARA TM PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968,DAPHNE WHITE LIGHTNIN' R PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40861,ECHIN DBL SCP TM MANDARIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40860,ECHIN SMBRO TM ADOBE ORNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41574,ECHIN SMBRO TM BAJA BURG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41478,HEM EVERYDAYLILY CREAM PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41479,HEM EVERYDAYLILY PINK WING PAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41481,HEM EVERYDAYLILY YLW PUNCH PAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42007,HESPERALOE PAR CORAL GLOW PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42008,HESPERALOE PAR STGHT UP RD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41268,HOSTA CURLY  F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41421,LANTANA S PURPLE PASSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41576,MONARDA D BALMY LILAC PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41577,MONARDA D BALMY PINK PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41578,MONARDA D BALMY PURPLE PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9109,OZOTHAMNUS RET SILVER CAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42009,PENSTEMON PIN LUMINOUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42010,PHLOX NANA PERFECT PINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42011,SALVIA X RASPBERRY DELIGHT R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41661,SALVIA X SYL APRIL NIGHT PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42012,SALVIA X SYL LITTLE NIGHT PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5541,SCHIZOPHRAGMA LACY HEARTS TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42013,SCUTELLARIA X DARK VIOLET,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40680,SYRINGA BLOOMERNG R PNK PRFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,TSUGA CAN GOLDEN DUKE TM PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41048,TULBAGHIA X ASHANTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41286,VERONICA VERNIQUE TM BLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41287,VERONICA VERNIQUE TM ROSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5761,BUXUS SEM PETITE PILLAR R PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8689,BUXUS SPRINTER TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280,CEDRUS DEODARA SNOWSPRITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4789,DAPHNE MOONLIGHT PARFT R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41014,ILLICIUM PARV FLORIDA SUNSHINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8204,PRUNUS LAUR CHESTNUT HILL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41338,RHOD (H-1) DARK LORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,RHOD (H-1) RTR TIP OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9534,RHOD MIYAMA TM GOLD PRINZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9533,RHOD MIYAMA TM HCHMN'S PCBELLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9535,RHOD MIYAMA TM MENDOSINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8168,TAXUS BAC STRICTA AUREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8169,TAXUS BAC STRICTA FASTIGIATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,THUJA OC SHERWOOD MOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7240,THUJA X TINY TOWER R PPAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5413,BUXUS SEMP UNRAVELED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
