Loc,Item,Description,Common Name,,,,,,,,,,,,,
CA,061745,GR-MIS SIN CABARET,Cabaret Japanese Silver Grass                                                                       ,,,,,,,,,,,,,
CA,061565,GR-MIS SIN GRACILLIMUS,Maiden Grass                                                                                        ,,,,,,,,,,,,,
CA,061665,GR-MIS SIN MORNING LIGHT,Morning Light Maiden Grass                                                                          ,,,,,,,,,,,,,
CA,061555,GR-MIS SIN STRICTUS,Porcupine Grass                                                                                     ,,,,,,,,,,,,,
GA,061575,GR-MIS SIN VARIEGATUS,Variegated Japanese Silver Grass                                                                    ,,,,,,,,,,,,,
CA,061645,GR-MIS SIN YAKUSHIMA,Dwarf Maiden Grass                                                                                  ,,,,,,,,,,,,,
CA,024675,GR-MUHLEN CAP REGAL MIST R,Regal Mist®  Pink Muhly                                                                             ,,,,,,,,,,,,,
OR,063885,GR-PAN VIR SHENANDOAH,Shenandoah Switch Grass                                                                             ,,,,,,,,,,,,,
CA,064262,GR-PENN ALO HAMELN,Dwarf Fountain Grass                                                                                ,,,,,,,,,,,,,
GA,063591,GR-PENN ALO LITTLE BUNNY,Little Bunny Dwarf Fountain Grass                                                                   ,,,,,,,,,,,,,
GA,022201,GR-PENN SET FIREWORKS PP18504,Fireworks Fountain Grass                                                                            ,,,,,,,,,,,,,
GA,022202,GR-PENN SET FIREWORKS PP18504,Fireworks Fountain Grass                                                                            ,,,,,,,,,,,,,
GA,064271,GR-PENN SET RUBRUM,Purple Fountain Grass                                                                               ,,,,,,,,,,,,,
CA,064275,GR-PENN SET RUBRUM,Purple Fountain Grass                                                                               ,,,,,,,,,,,,,
CA,064275,GR-PENN SET RUBRUM,Purple Fountain Grass                                                                               ,,,,,,,,,,,,,
GA,009671,LIRIOPE MUSCARI BIG BLUE,Big Blue Lilyturf                                                                                   ,,,,,,,,,,,,,
GA,009791,LIRIOPE MUSCARI VARIEGATA,Variegated Lilyturf                                                                                 ,,,,,,,,,,,,,
GA,058921,LIRIOPE SPICATA SILVER DRAGON,Silver Dragon Lilyturf                                                                              ,,,,,,,,,,,,,
GA,001341,ACHILLEA MILL PAPRIKA,Paprika Common Yarrow                                                                               ,,,,,,,,,,,,,
GA,058251,ACHILLEA STRWBRY SDCTN P18401,Strawberry Seduction Yarrow                                                                         ,,,,,,,,,,,,,
OR,080301,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle                                                                         ,,,,,,,,,,,,,
GA,001931,AJUGA REPTANS CATLIN'S GIANT,Catlin's Giant Carpet Bugle                                                                         ,,,,,,,,,,,,,
GA,045921,AQUILEGIA CAE ORIGAMI PNK & WT,Origami Pink & White Columbine                                                                      ,,,,,,,,,,,,,
OR,055482,ARALIA CORDATA GOTEMBA,Gotemba Golden Japanese Spikenard                                                                   ,,,,,,,,,,,,,
OR,02912UT,ASARUM SPL QUICKSILVER,Quicksilver Chinese Wild Ginger                                                                     ,,,,,,,,,,,,,
