Branch,item
OR,000105
OR,028342
OR,028345
OR,000055
OR,000095
OR,086181S
OR,035282
OR,001732
OR,001801
OR,001912
OR,002385PT
OR,002425PT
OR,016631
OR,016632
OR,002901
OR,002905
OR,00290M
OR,002951
OR,002911
OR,003561
OR,003562
OR,003565
OR,003601
OR,003602
OR,003605
OR,003651
OR,003655
OR,049782
OR,049785
OR,049772
OR,049775
OR,049795
OR,078461
OR,003011
OR,003012
OR,003015
OR,090781
OR,090782
OR,090785
OR,013821
OR,013821S
OR,013822
OR,013823
OR,013825
OR,013825CN
OR,013825CU
OR,013825PY
OR,013825SP
OR,013891
OR,013891S
OR,013892
OR,013893
OR,013895
OR,013897
OR,013951
OR,013952
OR,013955
OR,013701
OR,013702
OR,013705
OR,077551
OR,077552
OR,094071
OR,09407UT
OR,077421S
OR,013831
OR,013831S
OR,013832
OR,013833
OR,013835
OR,013835CN
OR,013835CU
OR,013835GL
OR,013835PY
OR,013837
OR,013837CN
OR,057611
OR,057612
OR,013901
OR,013902
OR,013905
OR,013905SP
OR,013907
OR,013909
OR,013981
OR,013982
OR,01398EGL
OR,01398EPY
OR,01398EPY
OR,01398UT
OR,013881
OR,013882
OR,013885PY
OR,01388EGL
OR,01388UT
OR,086891S
OR,035971
OR,03597E
OR,03597UT
OR,046765
OR,014401
OR,014031
OR,029051
OR,020151
OR,031315
OR,031292
OR,031295
OR,036171
OR,023072
OR,023075
OR,023181S
OR,023182
OR,023185
OR,057381
OR,057382
OR,048622
OR,048625
OR,024352
OR,024355
OR,024565
OR,024511
OR,024515
OR,050511
OR,050515
OR,024601
OR,024605
OR,030442
OR,028842
OR,027605
OR,051351
OR,051352
OR,082751
OR,082761
OR,031732
OR,027855
OR,031721
OR,031725
OR,038825
OR,031701
OR,017421
OR,090462
OR,029001
OR,029002
OR,029005
OR,029005PT
OR,029101
OR,029102
OR,029105
OR,029451
OR,029455
OR,030251
OR,030252
OR,030255
OR,030255PT
OR,03025UT
OR,031532
OR,049232
OR,049235
OR,047893
OR,031521S
OR,031523
OR,035821S
OR,035823
OR,049822
OR,050611
OR,050612
OR,050615
OR,031931
OR,031935
OR,016625
OR,032161
OR,032162
OR,017961
OR,017962
OR,032071
OR,032072
OR,032081
OR,032082
OR,036181
OR,036182
OR,036185
OR,032501
OR,032505
OR,050722
OR,050725
OR,033651
OR,033652
OR,033655
OR,033701
OR,033901
OR,033902
OR,034001
OR,034002
OR,019191S
OR,019192S
OR,034301
OR,034302
OR,080852S
OR,034451
OR,034452
OR,034501
OR,034502
OR,019201
OR,019202
OR,086152S
OR,034801
OR,034802
OR,034805
OR,035051
OR,035052
OR,035055
OR,035251
OR,035252
OR,035151
OR,035152
OR,035101
OR,035102
OR,035201
OR,035202
OR,035205
OR,035401
OR,035402
OR,035405
OR,033032
OR,033035
OR,035641
OR,035645
OR,035705
OR,037705
OR,037711
OR,037671
OR,037562
OR,037755
OR,037801
OR,037805
OR,037781
OR,037791
OR,017611
OR,01761UT
OR,056051
OR,050941
OR,050942
OR,050921
OR,050961
OR,05096UT
OR,050992
OR,051031
OR,051032
OR,039461
OR,039462
OR,051041
OR,051042
OR,05104UT
OR,064181
OR,064182
OR,034891
OR,034895
OR,040401
