Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Net Avail Qty,Min Order Qty,List Price,Sale Price,AVL Flag
OR,047085,#5,PAEONIA ITOH KEIKO TM (PK D D),Paeonia (Intersectional hybrid) x 'Pink Double Dandy'       ,Keiko™ (Adored) Itoh Peony,PRN,4,CUT BACK,.,59,5,41,          , 
OR,052595,#5,PAEONIA ITOH TAKARA TM PP22374,"Paeonia (Intersectional hybrid) x 'Smith Opus 2' P.P. #22,37",Takara™  (Treasure) Itoh Peony,PRN,4,CUT BACK,.,53,5,41,          , 
OR,062722,#2,PAEONIA TENUIFOLIA EARLY SCOUT,Paeonia x 'Early Scout'                                     ,Early Scout Fernleaf Peony                                  ,PRN,3,DORMANT,,1,5,19.5,          ,N
OR,024242,#2,PAEONIA X BLAZE (RED),Paeonia x 'Blaze'                                           ,Blaze Peony                                                 ,PRN,4,DORMANT,5+ EYES,"1,848",5,19.5,          , 
OR,016252,#2,PAEONIA X BOWL OF CREAM (WT),Paeonia x 'Bowl of Cream'                                   ,Bowl Of Cream Double Herbaceous Peony                       ,PRN,4,DORMANT,5+ EYES,393,5,19.5,          , 
OR,050282,#2,PAEONIA X BUCKEYE BELLE (RED),Paeonia x 'Buckeye Belle'                                   ,Buckeye Belle Herbaceous Peony                              ,PRN,4,DORMANT,5+ EYES,143,5,19.5,          , 
OR,051532,#2,PAEONIA X DO TELL (PINK),Paeonia lactiflora 'Do Tell'                                ,Do Tell Herbaceous Peony                                    ,PRN,3,DORMANT,5  EYES,482,5,19.5,          , 
OR,036332,#2,PAEONIA X INSPECTEUR LAVERGNE,Paeonia x 'Inspecteur Lavergne'                             ,Inspecteur Lavergne Peony                                   ,PRN,4,DORMANT,5+ EYES,964,5,19.5,          , 
OR,046132,#2,PAEONIA X JAN VAN LEEUWEN (WT),Paeonia x 'Jan van Leeuwen'                                 ,Jan Van Leeuwen Peony                                       ,PRN,4,DORMANT,5+ EYES,651,5,19.5,          , 
OR,063742,#2,PAEONIA X KANSAS (RED),Paeonia x 'Kansas'                                          ,Kansas Double Peony                                         ,PRN,4,DORMANT,5+ EYES,"4,294",5,19.5,          , 
OR,046212,#2,PAEONIA X LADY ORCHID (PINK),Paeonia x 'Lady Orchid'                                     ,Lady Orchid Peony                                           ,PRN,4,DORMANT,5+ EYES,"1,433",5,19.5,          , 
OR,064912,#2,PAEONIA X MME EMILE DEBATENE,Paeonia x 'Madame Emile Debatene'                           ,Madame Emile Debatene Double Peony                          ,PRN,4,DORMANT,5+ EYES,704,5,19.5,          , 
OR,051192,#2,PAEONIA X NANCY NORA (PINK),Paeonia x 'Nancy Nora'                                      ,Nancy Nora Peony                                            ,PRN,4,DORMANT,5 EYES,"1,346",5,19.5,          , 
OR,024272,#2,PAEONIA X PAUL M WILD (RED),Paeonia x 'Paul M. Wild'                                    ,Paul M. Wild Double Peony                                   ,PRN,4,DORMANT,5+ EYES,648,5,19.5,          , 
OR,046072,#2,PAEONIA X RASPBERRY SUNDAE(PK),Paeonia x 'Raspberry Sundae'                                ,Raspberry Sundae Peony                                      ,PRN,4,DORMANT,5+ EYES,62,5,19.5,          , 
OR,095682,#2,PAEONIA X SCARLETT OHARA (PNK),Paeonia x 'Scarlett O'Hara'                                 ,Scarlett O'Hara Peony                                       ,PRN,4,DORMANT,.,"2,378",5,17.5,          , 
OR,046122,#2,PAEONIA X SEA SHELL (PINK),Paeonia x 'Sea Shell'                                       ,Sea Shell Peony                                             ,PRN,4,DORMANT,5+ EYES,149,5,19.5,          , 
OR,063762,#2,PAEONIA X SHIRLEY TEMPLE (WT),Paeonia x 'Shirley Temple'                                  ,Shirley Temple Double Peony                                 ,PRN,4,DORMANT,5  EYES,"4,186",5,19.5,          , 
