,,,,,
Code,Item#,Class,Size,Size Description,Item Description
000915,91,Trees,5,#5,ACER PAL SEIRYU
00091M,91,Trees,M,#10 Squat,ACER PAL SEIRYU
001211,121,Trees,1,#1,ACER PAL SHAINA
001212,121,Trees,2,#2,ACER PAL SHAINA
001215,121,Trees,5,#5,ACER PAL SHAINA
031825,3182,Trees,5,#5,ACER PAL SHIN DESHOJO
03182M,3182,Trees,M,#10 Squat,ACER PAL SHIN DESHOJO
018331,1833,Trees,1,#1,ACER PAL SHISHIGASHIRA
018332,1833,Trees,2,#2,ACER PAL SHISHIGASHIRA
018335,1833,Trees,5,#5,ACER PAL SHISHIGASHIRA
01833M,1833,Trees,M,#10 Squat,ACER PAL SHISHIGASHIRA
033969,3396,Trees,9,#15,ACER PAL TROMPENBURG
03396M,3396,Trees,M,#10 Squat,ACER PAL TROMPENBURG
000902,90,Trees,2,#2,ACER PAL WATERFALL
000902ST,90,Trees,2ST,#2 STAKED,ACER PAL WATERFALL
000905,90,Trees,5,#5,ACER PAL WATERFALL
000905ST,90,Trees,5ST,#5 STAKED,ACER PAL WATERFALL
000909ST,90,Trees,9ST,#15 STAKED,ACER PAL WATERFALL
00090M,90,Trees,M,#10 Squat,ACER PAL WATERFALL
00090MST,90,Trees,MST,#10 Squat STAKED,ACER PAL WATERFALL
000651,65,Trees,1,#1,ACER PALMATUM
000655,65,Trees,5,#5,ACER PALMATUM
000655MU,65,Trees,5MU,#5 CLUMP,ACER PALMATUM
00065MMU,65,Trees,MMU,#10 Squat CLUMP,ACER PALMATUM
001135,113,Trees,5,#5,ACER PLAT CRIMSON KING
017985,1798,Trees,5,#5,ACER PLAT CRIMSON SENTRY
049585,4958,Trees,5,#5,ACER PSEUDO ESKIMO SUNSET
060205,6020,Trees,5,#5,ACER PSEUDOSIEBOLDIANUM
001275,127,Trees,5,#5,ACER RUB RED SUNSET R
030332,3033,Trees,2,#2,ACER SHIR AUTUMN MOON
030335,3033,Trees,5,#5,ACER SHIR AUTUMN MOON
03033M,3033,Trees,M,#10 Squat,ACER SHIR AUTUMN MOON
058241,5824,Perennials,1,#1,ACHILLEA APRICOT DLGHT PP18738
05856UT,5856,Perennials,UT,LittleOne,ACHILLEA MILL APPLEBLOSSOM
00134UT,134,Perennials,UT,LittleOne,ACHILLEA MILL PAPRIKA
001341,134,Perennials,1,#1,ACHILLEA MILL PAPRIKA
029061,2906,Perennials,1,#1,ACHILLEA MILL RED VELVET
00624UT,624,Perennials,UT,LittleOne,ACHILLEA MILL SUMMER BERRIES
006241,624,Perennials,1,#1,ACHILLEA MILL SUMMER BERRIES
02496UT,2496,Perennials,UT,LittleOne,ACHILLEA MILL SUMMERWINE
024961,2496,Perennials,1,#1,ACHILLEA MILL SUMMERWINE
00047UT,47,Perennials,UT,LittleOne,ACHILLEA MILL TERRA COTTA
000471,47,Perennials,1,#1,ACHILLEA MILL TERRA COTTA
000511,51,Perennials,1,#1,ACHILLEA OERTEL'S ROSE
000421,42,Perennials,1,#1,ACHILLEA PINK GRAPEFRUIT PPAF
058251,5825,Perennials,1,#1,ACHILLEA STRWBRY SDCTN P18401
00056UT,56,Perennials,UT,LittleOne,ACHILLEA X CORONATION GOLD
000561,56,Perennials,1,#1,ACHILLEA X CORONATION GOLD
001351,135,Perennials,1,#1,ACHILLEA X MOONSHINE
001391,139,Vines,1,#1 STAKED,ACTINIDIA ARG ISSAI (FEMALE)
001395,139,Vines,5,#5 STAKED,ACTINIDIA ARG ISSAI (FEMALE)
001461,146,Vines,1,#1 STAKED,ACTINIDIA CH TOMURI (MALE)
001465,146,Vines,5,#5 STAKED,ACTINIDIA CH TOMURI (MALE)
001411,141,Vines,1,#1 STAKED,ACTINIDIA CH VINCENT (FEMALE)
001415,141,Vines,5,#5 STAKED,ACTINIDIA CH VINCENT (FEMALE)
001491,149,Vines,1,#1 STAKED,ACTINIDIA KOLOMIKTA
001495,149,Vines,5,#5 STAKED,ACTINIDIA KOLOMIKTA
056411,5641,Vines,1,#1 STAKED,ACTINIDIA TETRA VAR MALOIDES
056415,5641,Vines,5,#5 STAKED,ACTINIDIA TETRA VAR MALOIDES
01837UT,1837,Perennials,UT,LittleOne,AEGOPODIUM POD VARIEGATUM
075041,7504,Cactus and Succulent,1,#1,AEONIUM ARBORESCENS TIP TOP TM
079092,7909,Cactus and Succulent,2,#2,AEONIUM CANARIENSE
06358UT,6358,Cactus and Succulent,UT,LittleOne,AEONIUM KIWI
063581,6358,Cactus and Succulent,1,#1,AEONIUM KIWI
074901,7490,Cactus and Succulent,1,#1,AEONIUM MANRIQUEORUM ZWARTKOP
068732,6873,Cactus and Succulent,2,#2,AEONIUM SUNBURST
068742,6874,Cactus and Succulent,2,#2,AEONIUM TABULIFORME
06352UT,6352,Cactus and Succulent,UT,LittleOne,AEONIUM VOODOO
063521,6352,Cactus and Succulent,1,#1,AEONIUM VOODOO
001565,156,Trees,5,#5,AESCULUS PARVIFLORA
001585,158,Trees,5,#5,AESCULUS PAVIA
028895,2889,Trees,5,#5,AESCULUS X ARN AUTUMN SPLENDOR
000575,57,Trees,5,#5,AESCULUS X CARNEA FORT MCNAIR
035281,3528,Perennials,1,#1,AGAPANTHUS AFR SUN STRIPE R
035282,3528,Perennials,2,#2,AGAPANTHUS AFR SUN STRIPE R
001651,165,Perennials,1,#1,AGAPANTHUS AFRICANUS
001655,165,Perennials,5,#5,AGAPANTHUS AFRICANUS
001701,170,Perennials,1,#1,AGAPANTHUS ALBUS
001705,170,Perennials,5,#5,AGAPANTHUS ALBUS
09957UT,9957,Perennials,UT,LittleOne,AGAPANTHUS BABY PETE TMPP21705
099571,9957,Perennials,1,#1,AGAPANTHUS BABY PETE TMPP21705
050011,5001,Perennials,1,#1,AGAPANTHUS BLUE LEAP
050012,5001,Perennials,2,#2,AGAPANTHUS BLUE LEAP
001732,173,Perennials,2,#2,AGAPANTHUS BLUE STORM PP14332
001852,185,Perennials,2,#2,AGAPANTHUS GOLD STRIKE
050002,5000,Perennials,2,#2,AGAPANTHUS INAPTERUS GRASKOP
070371,7037,Perennials,1,#1,AGAPANTHUS MOOD INDIGO
070372,7037,Perennials,2,#2,AGAPANTHUS MOOD INDIGO
070375,7037,Perennials,5,#5,AGAPANTHUS MOOD INDIGO
001751,175,Perennials,1,#1,AGAPANTHUS PETER PAN
001752,175,Perennials,2,#2,AGAPANTHUS PETER PAN
036992,3699,Perennials,2,#2,AGAPANTHUS PETER PAN VARIEGATA
001801,180,Perennials,1,#1,AGAPANTHUS QUEEN ANNE-DIVISION
001805,180,Perennials,5,#5,AGAPANTHUS QUEEN ANNE-DIVISION
070381,7038,Perennials,1,#1,AGAPANTHUS RANCHO WHITE
038592,3859,Perennials,2,#2,AGAPANTHUS STORM CLOUD
038595,3859,Perennials,5,#5,AGAPANTHUS STORM CLOUD
001862,186,Perennials,2,#2,AGAPANTHUS X ELSIE'S GOLD
041082,4108,Perennials,2,#2,AGAPANTHUS X MID BLUE SELECTN
041085,4108,Perennials,5,#5,AGAPANTHUS X MID BLUE SELECTN
001881,188,Perennials,1,#1,AGAPANTHUS X MIDKNIGHT BLUE R
001882,188,Perennials,2,#2,AGAPANTHUS X MIDKNIGHT BLUE R
001885,188,Perennials,5,#5,AGAPANTHUS X MIDKNIGHT BLUE R
05847UT,5847,Perennials,UT,LittleOne,AGASTACHE AUR APRICOT SPRITE
058471,5847,Perennials,1,#1,AGASTACHE AUR APRICOT SPRITE
079311,7931,Perennials,1,#1,AGASTACHE CORONADO R RED
072691,7269,Perennials,1,#1,AGASTACHE FOEN GOLDEN JUBILEE
006251,625,Perennials,1,#1,AGASTACHE GRAPE NECTAR TM PPAF
059041,5904,Perennials,1,#1,AGASTACHE HEATWAVE PP19662
059042,5904,Perennials,2,#2,AGASTACHE HEATWAVE PP19662
006341,634,Perennials,1,#1,AGASTACHE ORANGE NECTAR TM PAF
058511,5851,Perennials,1,#1,AGASTACHE RUP APACHE SUNSET
054381,5438,Perennials,1,#1,AGASTACHE SUMMER FIESTA PPAF
080081,8008,Perennials,1,#1,AGASTACHE SUMMER LOVE PP20510
021251,2125,Perennials,1,#1,AGASTACHE X BLUE FORTUNE
021252,2125,Perennials,2,#2,AGASTACHE X BLUE FORTUNE
084921,8492,Perennials,1,#1,AGASTACHE X BOLERO
074722,7472,Cactus and Succulent,2,#2,AGAVE ATTENUATA RAY OF LIGHT
074725,7472,Cactus and Succulent,5,#5,AGAVE ATTENUATA RAY OF LIGHT
034822,3482,Cactus and Succulent,2,#2,AGAVE BRACTEOSA
074122,7412,Cactus and Succulent,2,#2,AGAVE BRACTEOSA CALAMAR
068762,6876,Cactus and Succulent,2,#2,AGAVE DESMETIANA JOE HOAK
068765,6876,Cactus and Succulent,5,#5,AGAVE DESMETIANA JOE HOAK
027425,2742,Cactus and Succulent,5,#5,AGAVE DESMETTIANA
027429,2742,Cactus and Succulent,9,#15,AGAVE DESMETTIANA
021595,2159,Cactus and Succulent,5,#5,AGAVE DESMETTIANA VARIEGATA
021599,2159,Cactus and Succulent,9,#15,AGAVE DESMETTIANA VARIEGATA
074132,7413,Cactus and Succulent,2,#2,AGAVE DURANGO
070492,7049,Cactus and Succulent,2,#2,AGAVE FERDINAND REGIS
068771S,6877,Cactus and Succulent,1S,SuperOne TM,AGAVE FILIFERA
068772,6877,Cactus and Succulent,2,#2,AGAVE FILIFERA
021612,2161,Cactus and Succulent,2,#2,AGAVE GEMINIFLORA
021615,2161,Cactus and Succulent,5,#5,AGAVE GEMINIFLORA
02161M,2161,Cactus and Succulent,M,#10 Squat,AGAVE GEMINIFLORA
068791S,6879,Cactus and Succulent,1S,SuperOne TM,AGAVE NEOMEXICANA
068792,6879,Cactus and Succulent,2,#2,AGAVE NEOMEXICANA
092822,9282,Cactus and Succulent,2,#2,AGAVE OCA X ATT BLUE GLOW
092825,9282,Cactus and Succulent,5,#5,AGAVE OCA X ATT BLUE GLOW
025222,2522,Cactus and Succulent,2,#2,AGAVE PARRYI VAR TRUNCATA
068812,6881,Cactus and Succulent,2,#2,AGAVE POTATORUM KISSHO KAN
025233,2523,Cactus and Succulent,3,#3,AGAVE SCH DURANGO DELIGHT TM
074172,7417,Cactus and Succulent,2,#2,AGAVE UTAHENSIS SSP UTAHENSIS
025242,2524,Cactus and Succulent,2,#2,AGAVE VICTORIA-REGINAE
094365,9436,Cactus and Succulent,5,#5,AGAVE WEBERI
034291TR,3429,Evergreen Shrubs,1TR,#1 TREE,AGONIS FLEX AFTER DARK
034295TR,3429,Evergreen Shrubs,5TR,#5 TREE,AGONIS FLEX AFTER DARK
08030UT,8030,Perennials,UT,LittleOne,AJUGA CHOCOLATE CHIP
080301,8030,Perennials,1,#1,AJUGA CHOCOLATE CHIP
00189UT,189,Perennials,UT,LittleOne,AJUGA REPTANS BRONZE BEAUTY
001891,189,Perennials,1,#1,AJUGA REPTANS BRONZE BEAUTY
00059UT,59,Perennials,UT,LittleOne,AJUGA REPTANS BURGUNDY GLOW
000591,59,Perennials,1,#1,AJUGA REPTANS BURGUNDY GLOW
00193UT,193,Perennials,UT,LittleOne,AJUGA REPTANS CATLIN'S GIANT
001931,193,Perennials,1,#1,AJUGA REPTANS CATLIN'S GIANT
002591,259,Vines,1,#1 STAKED,AKEBIA QUINATA
002591S,259,Vines,1S,SuperOne TM STAKED,AKEBIA QUINATA
002592,259,Vines,2,#2 STAKED,AKEBIA QUINATA
002595,259,Vines,5,#5 STAKED,AKEBIA QUINATA
002561,256,Vines,1,#1 STAKED,AKEBIA QUINATA SHIRO BANA
002561S,256,Vines,1S,SuperOne TM STAKED,AKEBIA QUINATA SHIRO BANA
002562,256,Vines,2,#2 STAKED,AKEBIA QUINATA SHIRO BANA
002565,256,Vines,5,#5 STAKED,AKEBIA QUINATA SHIRO BANA
001995,199,Trees,5,#5,ALBIZIA J SUMMER CHOC PP13822
001999,199,Trees,9,#15 TREE,ALBIZIA J SUMMER CHOC PP13822
001965,196,Trees,5,#5,ALBIZIA JUL OMBRELLA TM
001955,195,Trees,5,#5,ALBIZIA JUL ROSEA
04868UT,4868,Perennials,UT,LittleOne,ALCHEMILLA ALPINA
002011,201,Perennials,1,#1,ALCHEMILLA MOLLIS AUSLESE
00067UT,67,Perennials,UT,LittleOne,ALCHEMILLA MOLLIS THRILLER
06408UT,6408,Cactus and Succulent,UT,LittleOne,ALOE BLUE ELF
064081,6408,Cactus and Succulent,1,#1,ALOE BLUE ELF
064081S,6408,Cactus and Succulent,1S,SuperOne TM,ALOE BLUE ELF
064082,6408,Cactus and Succulent,2,#2,ALOE BLUE ELF
069032,6903,Cactus and Succulent,2,#2,ALOE BREVIFOLIA VARIEGATA
063801,6380,Cactus and Succulent,1,#1,ALOE DOROTHEAE
063802,6380,Cactus and Succulent,2,#2,ALOE DOROTHEAE
079102,7910,Cactus and Succulent,2,#2,ALOE HYBRID ALWAYS RED TM
077801,7780,Cactus and Succulent,1,#1,ALOE HYBRID CARMINE TM
063791,6379,Cactus and Succulent,1,#1,ALOE HYBRID CHRISTMAS CAROL
077811,7781,Cactus and Succulent,1,#1,ALOE HYBRID DONNIE TM
077781,7778,Cactus and Succulent,1,#1,ALOE HYBRID GUIDO TM
077791,7779,Cactus and Succulent,1,#1,ALOE HYBRID SAL TM
079112,7911,Cactus and Succulent,2,#2,ALOE HYBRID SUPER RED R
079122,7912,Cactus and Succulent,2,#2,ALOE MACULATA
075171,7517,Cactus and Succulent,1,#1,ALOE PINK BLUSH
047322,4732,Cactus and Succulent,2,#2,ALOE POLYPHYLLA
064221,6422,Cactus and Succulent,1,#1,ALOE RUDIKOPPE
064221S,6422,Cactus and Succulent,1S,SuperOne TM,ALOE RUDIKOPPE
064222,6422,Cactus and Succulent,2,#2,ALOE RUDIKOPPE
079132,7913,Cactus and Succulent,2,#2,ALOE SAPONARIA
064232,6423,Cactus and Succulent,2,#2,ALOE STRIATA
064235,6423,Cactus and Succulent,5,#5,ALOE STRIATA
069051S,6905,Cactus and Succulent,1S,SuperOne TM,ALOE VARIEGATA
069055,6905,Cactus and Succulent,5,#5,ALOE VARIEGATA
069061,6906,Cactus and Succulent,1,#1,ALOE X SPINOSISSIMA
06389UT,6389,Perennials,UT,LittleOne,ALOYSIA TRIPHYLLA
002001S,200,Perennials,1S,SuperOne TM,ALPINIA ZERUMBET VARIEGATA
002002,200,Perennials,2,#2,ALPINIA ZERUMBET VARIEGATA
002005,200,Perennials,5,#5,ALPINIA ZERUMBET VARIEGATA
087242,8724,Perennials,2,#2,ALST AMINA R PRNCSS LILIES R
021972,2197,Perennials,2,#2,ALST ANOUSKA R PS LLS R P15987
087262,8726,Perennials,2,#2,ALST ELIANE R PRNCSS LILIES R
055002,5500,Perennials,2,#2,ALST FABIANA R PS LLS R P19395
096532,9653,Perennials,2,#2,ALST INTICANCHA R BRYCE
096502,9650,Perennials,2,#2,ALST INTICANCHA R MACHU
096522,9652,Perennials,2,#2,ALST INTICANCHA R NAVAYO
