Loc,Item,Size,Description,,,,,,,,,,,,,,,
OR,003012,#2,BUXUS CHICAGOLAND GREEN R,,,,,,,,,,,,,,,
OR,013891,#1,BUXUS GREEN VELVET,,,,,,,,,,,,,,,
OR,013892,#2,BUXUS GREEN VELVET,,,,,,,,,,,,,,,
OR,013895,#5,BUXUS GREEN VELVET,,,,,,,,,,,,,,,
OR,013832,#2,BUXUS MIC WINTER GEM,,,,,,,,,,,,,,,
GA,013835PY,#5 CONE,BUXUS MIC WINTER GEM,,,,,,,,,,,,,,,
OR,013981,#1,BUXUS SEMP SUFFRUTICOSA,,,,,,,,,,,,,,,
OR,013982,#2,BUXUS SEMP SUFFRUTICOSA,,,,,,,,,,,,,,,
OR,013881,#1,BUXUS SEMP VARIEGATA,,,,,,,,,,,,,,,
OR,013882,#2,BUXUS SEMP VARIEGATA,,,,,,,,,,,,,,,
CA,017412,#2,CANNA TROPICANNA GLD TM P13809,,,,,,,,,,,,,,,
CA,022481,#1,CANNA TROPICANNA TM PP10569,,,,,,,,,,,,,,,
OR,023307,#7,CEDRUS ATLANTICA GLAUCA,,,,,,,,,,,,,,,
OR,023317SE,#7 SERPENTINE,CEDRUS ATLANTICA GLAUCA PNDULA,,,,,,,,,,,,,,,
OR,023327,#7,CEDRUS ATLANTICA HORSTMANN,,,,,,,,,,,,,,,
OR,023285,#5,CEDRUS DEODARA FEELIN BLUE,,,,,,,,,,,,,,,
OR,023285PT,#5 PATIO TREE,CEDRUS DEODARA FEELIN BLUE,,,,,,,,,,,,,,,
OR,017385,#5,CEPHALOTAXUS HAR FASTIGIATA,,,,,,,,,,,,,,,
OR,023685,#5,CHAM OBT GRACILIS,,,,,,,,,,,,,,,
OR,023915PT,#5 PATIO TREE,CHAM OBT TEMPELHOF,,,,,,,,,,,,,,,
OR,024031,#1,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,,,,,,,
OR,024032,#2,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,,,,,,,
OR,039512,#2,CIMI S BLACK NEGLIGEE (ACTAEA),,,,,,,,,,,,,,,
CA,024751,#1,CITRUS BEARSS SEEDLESS LIME,,,,,,,,,,,,,,,
CA,026001,#1,CITRUS IMPROVED MEYER LEMON,,,,,,,,,,,,,,,
CA,026002,#2,CITRUS IMPROVED MEYER LEMON,,,,,,,,,,,,,,,
CA,026005,#5,CITRUS IMPROVED MEYER LEMON,,,,,,,,,,,,,,,
CA,026005PT,#5 PATIO TREE,CITRUS IMPROVED MEYER LEMON,,,,,,,,,,,,,,,
CA,025602PT,#2 PATIO TREE,CITRUS KUMQUAT NAGAMI,,,,,,,,,,,,,,,
CA,026605PT,#5 PATIO TREE,CITRUS OWA SATSUMA MANDARIN,,,,,,,,,,,,,,,
OR,021792,#2 STAKED,CLEM PIILU TM PPAF,,,,,,,,,,,,,,,
OR,055211,#1 STAKED,CLEM SIEBOLDII,,,,,,,,,,,,,,,
OR,089921S,SuperOne TM,CLEM SWEET SUMMER LOVE PPAF,,,,,,,,,,,,,,,
OR,048742,#2 STAKED,CLEM VANCOUVER TM STARRY NGHTS,,,,,,,,,,,,,,,
OR,056212,#2 STAKED,CLEM X WESTERPLATTE,,,,,,,,,,,,,,,
GA,024205,#5,COLOCASIA ESC BLACK MAGIC,,,,,,,,,,,,,,,
CA,031721,#1,CORDYLINE BAUERI,,,,,,,,,,,,,,,
GA,031721,#1,CORDYLINE BAUERI,,,,,,,,,,,,,,,
GA,03172UT,LittleOne,CORDYLINE BAUERI,,,,,,,,,,,,,,,
OR,027865,#5,CORNUS ALBA IVORYHALO TM,,,,,,,,,,,,,,,
OR,031435,#5,CRYPTOMERIA J GLOBOSA NANA,,,,,,,,,,,,,,,
CA,030121,#1,CUPHEA HYS ITSY BITSY R ROSE,,,,,,,,,,,,,,,
GA,030491,#1,CUPHEA HYSSOPIFOLIA,,,,,,,,,,,,,,,
OR,049232,#2,DAPHNE ETRNL FRAGRANCE PP18361,,,,,,,,,,,,,,,
OR,029892S,SuperTwo,DEUTZIA CHRDNY PERLS R PP16098,,,,,,,,,,,,,,,
OR,021821,#1,DISPOROPSIS PER SICHUAN JADE,,,,,,,,,,,,,,,
CA,062005,#5,ENSETE MAURELII,,,,,,,,,,,,,,,
GA,062005,#5,ENSETE MAURELII,,,,,,,,,,,,,,,
CA,062009,#15,ENSETE MAURELII,,,,,,,,,,,,,,,
OR,034001,#1,EUO F EMERALD 'N GOLD,,,,,,,,,,,,,,,
OR,034002,#2,EUO F EMERALD 'N GOLD,,,,,,,,,,,,,,,
CA,033901,#1,EUO F EMERALD GAIETY,,,,,,,,,,,,,,,
OR,033902,#2,EUO F EMERALD GAIETY,,,,,,,,,,,,,,,
