Loc,Item Number,Plant Category,Plant Name
CA,31731,EVS,CORD FESTIVAL TM BRGNDY P14224
GA,31721,EVS,CORDYLINE BAUERI
CA,31725,EVS,CORDYLINE BAUERI
CA,31701,EVS,CORDYLINE INDIVISA
GA,31701,EVS,CORDYLINE INDIVISA
OR,28552,DCS,COT APICULATUS TOM THUMB
OR,28145,DCS,COTINUS COG ROYAL PURPLE
CT,35355,CON,CRYPTOMERIA J BLACK DRAGON
GA,30519,CON,CUP LEY EMERALD ISLE R
GA,30509,CON,CUP LEYLANDII
GA,30491,PRN,CUPHEA HYSSOPIFOLIA
CA,88912,PRN,CYNARA SCO GREEN GLOBE
OR,029892S,DCS,DEUTZIA CHRDNY PERLS R PP16098
CT,029893S,DCS,DEUTZIA CHRDNY PERLS R PP16098
OR,91882,DCS,DEUTZIA X NIKKO BLUSH NA74356
GA,59681,PRN,DIANTHUS FIRE STAR PP14895
GA,31331,PRN,DIANTHUS FROSTY FIRE
CT,4721,PRN,DIANTHUS GRAT FIREWITCH
CT,85821,PRN,DISPORUM CANT MOONLIGHT P24556
GA,22831,PRN,ECHINACEA CRNBRY CUPCAKE PPAF
CA,62005,PRN,ENSETE MAURELII
GA,62005,PRN,ENSETE MAURELII
CA,62009,PRN,ENSETE MAURELII
GA,74341,PRN,ERYNGIUM PLANUM BLUE HOBBIT
CT,33605,DCS,EUO ALATUS COMPACTUS
CA,03540MES,EVS,EUO KIA MANHATTAN
CA,035405ES,EVS,EUO KIA MANHATTAN
OR,46682,PRN,EUPATORIUM PHANTOM PP18354
CA,035572PT,EVS,EURYOPS PECT VIRIDIS
CA,035575PT,EVS,EURYOPS PECT VIRIDIS
GA,35641,EVS,FATSIA JAPONICA
GA,83621,FRN,FERN-ADIANTUM PEDATUM
GA,35905,FRN,FERN-ALSOPHILA AUSTRALIS
GA,19241,FRN,FERN-ATHYRIUM F LADY IN RED
CA,19242,FRN,FERN-ATHYRIUM F LADY IN RED
GA,18761,FRN,FERN-ATHYRIUM GHOST
CA,18762,FRN,FERN-ATHYRIUM GHOST
GA,36121,FRN,FERN-ATHYRIUM NIP PICTUM
CA,36122,FRN,FERN-ATHYRIUM NIP PICTUM
GA,44541,FRN,FERN-ATHYRIUM PWTR LACE P15721
GA,5041,FRN,FERN-DRYOPTERIS CELSA
CT,21221,FRN,FERN-DRYOPTERIS ERY BRILLIANCE
OR,21222,FRN,FERN-DRYOPTERIS ERY BRILLIANCE
GA,36241,FRN,FERN-DRYOPTERIS ERYTHROSORA
OR,36262,FRN,FERN-DRYOPTERIS FELIX-MAS ROB
GA,21231,FRN,FERN-DRYOPTERIS X AUSTRALIS
OR,36451,FRN,FERN-MATTEUCCIA STRUTHIOPTERIS
OR,36452,FRN,FERN-MATTEUCCIA STRUTHIOPTERIS
CA,36452,FRN,FERN-MATTEUCCIA STRUTHIOPTERIS
OR,36455,FRN,FERN-MATTEUCCIA STRUTHIOPTERIS
CT,36411,FRN,FERN-OSMUNDA CINNAMOMEA
GA,83721,FRN,FERN-POLYSTICHUM POLYBLEPHARUM
OR,83722,FRN,FERN-POLYSTICHUM POLYBLEPHARUM
OR,36492,FRN,FERN-POLYSTICHUM SET(ANGULARE)
GA,5091,FRN,FERN-THELYPTERIS DECUR-PINNATA
CA,36725,TRE,FICUS CAR BLACK JACK
GA,36725,TRE,FICUS CAR BLACK JACK
CA,36785,TRE,FICUS CAR BROWN TURKEY
CA,36795,TRE,FICUS CAR KADOTA
CA,36815,TRE,FICUS CAR MISSION
CA,36745,TRE,FICUS CAR PETERS HONEY
CT,31415,DCS,FOTHERGILLA MAJ BLU SHADOW PAF
CT,37185,DCS,FOTHERGILLA MAJ MOUNT AIRY
OR,86091,PRN,FRAGARIA X ANANASSA TOSCANA
GA,02383UT,PRN,GALIUM ODORATUM
GA,097912S,EVS,GARDENIA PINWHEEL R PP22510
OR,17611,EVS,GAULTHERIA RED BARON
GA,35681,PRN,GAURA L WHIRLING BUTTERFLIES
GA,36481,PRN,GAURA PASSIONATE RAINBW P17002
GA,67791,GRS,GR-BOUT BLOND AMBITION PP22048
OR,22591,GRS,GR-CAREX ELATA BOWLES GOLDEN
GA,28045,GRS,GR-CORT IVORY FEATHERS R
GA,36671,GRS,GR-FESTUCA GLAUCA ELIJAH BLUE
CT,35911,GRS,GR-HAKONECHLOA MACRA ALL GOLD
