Loc,Item Number,Size,Plant Name,Common Name,CAT,Zone,ORDER QTY
OR,002741,#1,ANEMONE SYLVESTRIS,Snowdrop Anemone                                                                                    ,PRN,02,
OR,029351,#1,AQUILEGIA CAE ORIGAMI MIX,Origami Mix Columbine                                                                               ,PRN,03,
OR,019461,#1,ARMERIA MAR RUBRIFOLIA,Red Leaf Thrift                                                                                     ,PRN,03,
CA,003391,#1,ASTER NOVI-BELGII ALERT,Alert New York Aster                                                                                ,PRN,04,
OR,003621,#1,ASTILBE CHINENSIS VISIONS,Visions Astilbe                                                                                     ,PRN,04,
OR,001681,#1,ASTILBE RED SENTINEL,Red Sentinel Astilbe                                                                                ,PRN,04,
OR,003541,#1,ASTILBE RHEINLAND,Rheinland Astilbe                                                                                   ,PRN,04,
CA,011285,#5,BAM-PHYLLO BISSETII (RUN),Bissett Bamboo                                                                                      ,GRS,05,
OR,023941,#1,BER CRIMSON RUBY R PPAF,Crimson Ruby®  Japanese Barberry                                                                    ,DCS,04,
OR,023942,#2,BER CRIMSON RUBY R PPAF,Crimson Ruby®  Japanese Barberry                                                                    ,DCS,04,
OR,012031,#1,BER GOLDN NUGGET TM P9577 CBR,Golden Nugget™  Dwarf Japanese Barberry                                                             ,DCS,04,
OR,012032,#2,BER GOLDN NUGGET TM P9577 CBR,Golden Nugget™  Dwarf Japanese Barberry                                                             ,DCS,04,
OR,012033,#3,BER GOLDN NUGGET TM P9577 CBR,Golden Nugget™  Dwarf Japanese Barberry                                                             ,DCS,04,
CA,074741S,SuperOne TM,BER SUNJOY R GOLD PILLAR PPAF,Sunjoy®  Gold Pillar Barberry                                                                       ,DCS,04,
CA,074742S,SuperTwo,BER SUNJOY R GOLD PILLAR PPAF,Sunjoy®  Gold Pillar Barberry                                                                       ,DCS,04,
OR,012012,#2,BER T CHERRY BOMB R CPBR 3488,Cherry Bomb®  Japanese Barberry                                                                     ,DCS,04,
OR,002241,#1,BER T CONCORDE,Concorde Japanese Barberry                                                                          ,DCS,04,
OR,035231,#1,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry                                                                              ,DCS,04,
OR,035232,#2,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry                                                                              ,DCS,04,
OR,012102,#2,BER T HELMOND PILLAR,Helmond Pillar Barberry                                                                             ,DCS,04,
OR,062931,#1,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                                                              ,DCS,04,
CA,062931,#1,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                                                              ,DCS,04,
OR,062932,#2,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                                                              ,DCS,04,
OR,062935,#5,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                                                              ,DCS,04,
OR,035241,#1,BER T PYGMY RUBY TM,Pygmy Ruby™  Barberry                                                                               ,DCS,04,
OR,035242,#2,BER T PYGMY RUBY TM,Pygmy Ruby™  Barberry                                                                               ,DCS,04,
OR,029662,#2,BER T ROYAL CLOAK,Royal Cloak Japanese Barberry                                                                       ,DCS,04,
OR,01231MMU,#10 Squat CLUMP,BETULA JACQUEMONTII,Whitebarked Himalayan Birch                                                                         ,TRE,04,
OR,012425MU,#5 CLUMP,BETULA NIGRA,River Birch                                                                                         ,TRE,04,
OR,013651,#1,BRUNNERA MAC VARIEGATA,Variegated Siberian Bugloss                                                                         ,PRN,03,
CA,074411S,SuperOne TM,BUD LO&BEHLD R BLU CHP PP19991,Lo & Behold®  Blue Chip Dwarf Summer Lilac                                                          ,DCS,05,
CA,401291S,SuperOne TM,BUD LO&BEHLD R PINK MICRO CHIP,Lo & Behold®  Pink Micro Chip Summer Lilac                                                          ,DCS,05,
CA,034661S,SuperOne TM,BUDDLEJA DAV ADONIS BLUE TM,English Butterfly™  Adonis Blue™  Butterfly Bush                                                    ,DCS,05,
CA,034662S,SuperTwo,BUDDLEJA DAV ADONIS BLUE TM,English Butterfly™  Adonis Blue™  Butterfly Bush                                                    ,DCS,05,
CA,013571,#1,BUDDLEJA DAV PETITE SNOW TM,Petite Snow™  Butterfly Bush                                                                        ,DCS,05,
CA,013572,#2,BUDDLEJA DAV PETITE SNOW TM,Petite Snow™  Butterfly Bush                                                                        ,DCS,05,
CA,077391S,SuperOne TM,BUDDLEJA MISS MOLLY PPAF,Miss Molly Summer Lilac                                                                             ,DCS,05,
CA,077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF,Miss Molly Summer Lilac                                                                             ,DCS,05,
CA,074401S,SuperOne TM,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                                                              ,DCS,05,
CA,074402S,SuperTwo,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                                                              ,DCS,05,
CA,074405,#5,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                                                              ,DCS,05,
OR,003012,#2,BUXUS CHICAGOLAND GREEN R,Chicagoland Green™  Boxwood                                                                         ,EVS,04,
OR,090781,#1,BUXUS GOLDEN TRIUMPH,Golden Triumph Boxwood                                                                              ,EVS,05,
OR,013822,#2,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,EVS,04,
CA,013825CN,#5 CONE,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,EVS,04,
OR,013891,#1,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,EVS,04,
OR,013893,#3,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,EVS,04,
OR,013831,#1,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                                                                  ,EVS,05,
OR,013832,#2,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                                                                  ,EVS,05,
OR,013835,#5,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                                                                  ,EVS,05,
OR,013901,#1,BUXUS S GREEN TOWER R PP15243,Green Tower®  Boxwood                                                                               ,EVS,05,
OR,013902,#2,BUXUS S GREEN TOWER R PP15243,Green Tower®  Boxwood                                                                               ,EVS,05,
OR,013905,#5,BUXUS S GREEN TOWER R PP15243,Green Tower®  Boxwood                                                                               ,EVS,05,
OR,013909,#15,BUXUS S GREEN TOWER R PP15243,Green Tower®  Boxwood                                                                               ,EVS,05,
OR,013881,#1,BUXUS SEMP VARIEGATA,Variegated English Boxwood                                                                          ,EVS,05,
OR,035971,#1,BUXUS WEE WILLIE R PP17007,Wee Willie®  Boxwood                                                                                ,EVS,05,
OR,092922,#2,CALLICARPA DICH SUMMER SNOW R,Summer Snow®  Beauty Berry                                                                          ,DCS,06,
OR,022361,#1,CAMPANULA PORTENSCHLAGIANA,Dalmatian Bellflower                                                                                ,PRN,04,
CA,022711,#1 STAKED,CAMPSIS BALBOA SUNSET R,Balboa Sunset®  Trumpet Creeper                                                                     ,VIN,04,
CA,092892,#2,CARY CLA KORBALL BLU BALLOON R,Blue Balloon®  Bluebeard                                                                            ,DCS,05,
CA,022401,#1,CARY X BLUE MIST,Blue Mist Bluebeard                                                                                 ,DCS,05,
CA,022405,#5,CARY X BLUE MIST,Blue Mist Bluebeard                                                                                 ,DCS,05,
CA,022891,#1,CARY X DARK KNIGHT,Dark Knight Bluebeard                                                                               ,DCS,05,
CA,022895,#5,CARY X DARK KNIGHT,Dark Knight Bluebeard                                                                               ,DCS,05,
OR,038787,#7,CEDRUS ATLANTICA FASTIGIATA,Columnar Blue Atlas Cedar                                                                           ,CON,06,
OR,090182S,SuperTwo,CEPHALANTHUS SUGAR SHCK TM PAF,Sugar Shack™  Butttonbush                                                                           ,DCS,05,
CA,023481,#1,CERATOSTIGMA PLUMBAGINOIDES,Dwarf Plumbago                                                                                      ,PRN,05,
CA,023577,#7,CERCIS CAN OKLAHOMA,Oklahoma Redbud                                                                                     ,TRE,06,
OR,017855,#5,CERCIS LAVENDER TWIST R P10328,Lavender Twist®  Redbud                                                                             ,TRE,05,
OR,074452S,SuperTwo,CHAEN DBLTKE TM PK STRM P20920,Double Take™  Pink Storm Flowering Quince                                                           ,DCS,05,
OR,074772S,SuperTwo,CHAEN DBLTKE TM SCR STRM PPAF,Double Take™  Scarlet Storm Flowering Quince                                                        ,DCS,05,
CA,412561,#1,CHRY (LEU) REAL CHARMER PPAF,Real Charmer Shasta Daisy                                                                           ,PRN,05,
OR,022431,#1,CLEMATIS INT BLUE RIBBONS,Blue Ribbons Bush Clematis                                                                          ,PRN,02,
OR,027731,#1,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood                                                                         ,DCS,02,
OR,027732,#2,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood                                                                         ,DCS,02,
OR,027862,#2,CORNUS ALBA IVORYHALO TM,Ivory Halo®  Dogwood                                                                                ,DCS,03,
