Loc,Item Number,Size,Plant Name,Common Name,CAT,Zone,ORDER QTY
OR,041702,#2 STAKED,HYD PETIOLARIS,Climbing Hydrangea                                                                                  ,VIN,05,
OR,042565,#5,HYD QUER PEE WEE,Pee Wee Oak Leaf Hydrangea                                                                          ,DCS,05,
CA,080961S,SuperOne TM,HYD SER TUFF STUFF TM PPAF,Tuff Stuff™  Reblooming Mountain Hydrangea                                                          ,DCS,05,
OR,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,Tuff Stuff™  Reblooming Mountain Hydrangea                                                          ,DCS,05,
CA,080892S,SuperTwo,HYPERICUM K BLUES FSTVL TM PAF,Blue & Gold St. John's Wort                                                                         ,DCS,04,
OR,044931,#1,ILEX CREN SKY PENCIL(SKY SNTRY,Sky Pencil Japanese Holly                                                                           ,EVS,05,
OR,044932,#2,ILEX CREN SKY PENCIL(SKY SNTRY,Sky Pencil Japanese Holly                                                                           ,EVS,05,
OR,045132,#2,ILEX X BERRI-MAGIC R ROYALTY,Berri-Magic®  Royalty Holly Combination                                                             ,EVS,05,
OR,045135,#5,ILEX X BERRI-MAGIC R ROYALTY,Berri-Magic®  Royalty Holly Combination                                                             ,EVS,05,
OR,023965,#5,ILEX X SANTA'S DELIGHT R,Santa's Delight®  English Holly                                                                     ,EVS,06,
OR,021091,#1,ILEX X SCALLYWAG TM PP21941,Scallywag™  Holly                                                                                   ,EVS,05,
OR,021092,#2,ILEX X SCALLYWAG TM PP21941,Scallywag™  Holly                                                                                   ,EVS,05,
OR,021093,#3,ILEX X SCALLYWAG TM PP21941,Scallywag™  Holly                                                                                   ,EVS,05,
OR,044011,#1,IRIS EN VARIEGATA,Variegated Japanese Water Iris                                                                      ,PRN,04,
CA,048002PP,#2 POMPON,JUN C MINT JULEP R,Mint Julep®  Juniper                                                                                ,CON,03,
CA,048005OP,#5 ORIENTAL POMPON,JUN C MINT JULEP R,Mint Julep®  Juniper                                                                                ,CON,03,
OR,048132,#2,JUN C SEA OF GOLD R PP17622,Sea Of Gold®  Juniper                                                                               ,CON,03,
OR,084901,#1,JUN COMMUNIS VAR MONTANA,Mountain Juniper                                                                                    ,CON,03,
OR,084905ST,#5 STAKED,JUN COMMUNIS VAR MONTANA,Mountain Juniper                                                                                    ,CON,03,
CA,049251,#1,JUN H BLUE CHIP,Blue Chip Juniper                                                                                   ,CON,03,
CA,049252,#2,JUN H BLUE CHIP,Blue Chip Juniper                                                                                   ,CON,03,
OR,049901,#1,JUN H ICEE BLUE R P9639,Icee Blue®  Juniper                                                                                 ,CON,03,
CA,049902,#2,JUN H ICEE BLUE R P9639,Icee Blue®  Juniper                                                                                 ,CON,03,
OR,050702,#2,JUN H WILTONII,Blue Rug Juniper                                                                                    ,CON,03,
CA,051702,#2,JUN SA BUFFALO,Buffalo Juniper                                                                                     ,CON,03,
OR,051752,#2,JUN SA CALGARY CARPET R,Calgary Carpet®  Juniper                                                                            ,CON,03,
CA,051652,#2,JUN SA MOOR-DENSE R,Moor-Dense®  Juniper                                                                                ,CON,03,
CA,052705,#5,JUN SC MEDORA,Medora Juniper                                                                                      ,CON,03,
CA,052755,#5,JUN SC MOONGLOW,Moonglow Juniper                                                                                    ,CON,03,
CA,052759,#15,JUN SC MOONGLOW,Moonglow Juniper                                                                                    ,CON,03,
CA,054005,#5,JUN SC SKYROCKET,Skyrocket Juniper                                                                                   ,CON,04,
OR,053391,#1,JUN SQUA BLUE STAR,Blue Star Juniper                                                                                   ,CON,04,
CA,05365M,#10 Squat,JUN V BLUE ARROW,Blue Arrow Juniper                                                                                  ,CON,04,
OR,036845,#5,JUN V TAYLOR,Taylor Juniper                                                                                      ,CON,03,
OR,043121,#1,KNIPHOFIA HIR FIRE DANCE,Fire Dance Dwarf Poker                                                                              ,PRN,04,
CA,054222,#2,KNIPHOFIA UV FLAMENCO,Flamenco Red Hot Poker                                                                              ,PRN,05,
OR,036255,#5,LABURNUM ANA COLUMNARIS,Columnar Laburnum                                                                                   ,TRE,05,
OR,054335,#5,LABURNUM X WAT VOSSII,Golden Chain Tree                                                                                   ,TRE,06,
CA,086691,#1,LAVAN PEN WITH LOVE TM PP22709,With Love™  Lavender                                                                                ,PRN,06,
CA,018211,#1,LAVANDULA ANG HIDCOTE SUPERIOR,Hidcote Superior English Lavender                                                                   ,PRN,05,
CA,018212,#2,LAVANDULA ANG HIDCOTE SUPERIOR,Hidcote Superior English Lavender                                                                   ,PRN,05,
CA,057311,#1,LAVANDULA ANG MUNSTEAD,Munstead Lavender                                                                                   ,PRN,05,
CA,088871,#1,LAVANDULA STO SILVER ANOUK,Silver Anouk Spanish Lavender                                                                       ,PRN,06,
CA,028481,#1,LAVANDULA THUMBELINA LE P15231,Thumbelina Leigh English Lavender                                                                   ,PRN,05,
CA,028131,#1,LAVANDULA X INT PROVENCE,Provence French Lavender                                                                            ,PRN,05,
OR,057881,#1,LIATRIS SPI KOBOLD,Kobold Gayfeather                                                                                   ,PRN,04,
CA,058401,#1,LIGUSTRUM VICARYI,Vicary Golden Privet                                                                                ,DCS,05,
CA,058402,#2,LIGUSTRUM VICARYI,Vicary Golden Privet                                                                                ,DCS,05,
OR,036805,#5,LIRIODENDRON TULIPIFERA ARNOLD,Arnold Tulip Tree                                                                                   ,TRE,05,
OR,058941,#1,LITHODORA GRACE WARD,Grace Ward Lithodora                                                                                ,PRN,06,
CA,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,Scentsation Honeysuckle                                                                             ,VIN,04,
CA,086365,#5,LONICERA P SCENTSATION PP16240,Scentsation Honeysuckle                                                                             ,VIN,04,
OR,084391,#1 STAKED,LONICERA PCHES & CREAM PP21839,Peaches and Cream Honeysuckle                                                                       ,VIN,04,
CA,059211,#1 STAKED,LONICERA PER WINCHESTER,Winchester Honeysuckle                                                                              ,VIN,05,
CA,059271,#1 STAKED,LONICERA X BRO DROPMORE SCARLT,Dropmore Scarlet Trumpet Honeysuckle                                                                ,VIN,04,
CA,058991,#1 STAKED,LONICERA X GOLDFLAME,Goldflame Honeysuckle                                                                               ,VIN,04,
OR,059111,#1 STAKED,LONICERA X MANDARIN PP11083,Mandarin Honeysuckle                                                                                ,VIN,04,
OR,029611,#1,LUPINUS POL MINARETTE,Minarette Dwarf Lupine                                                                              ,PRN,04,
CA,060435,#5,MAG G BRACKENS BROWN BEAUTY,Bracken's Brown Beauty Magnolia                                                                     ,TRE,05,
OR,060405,#5,MAG STELLATA ROYAL STAR,Royal Star Magnolia                                                                                 ,DCS,04,
OR,059587TR,#7 TREE,MAG X BLACK TULIP PPAF,Black Tulip™  Magnolia                                                                              ,TRE,05,
OR,059635TR,#5 TREE,MAG X ROSE MARIE,Rose Marie Magnolia                                                                                 ,TRE,05,
OR,060701,#1,MAHONIA AQUIFOLIUM,Oregon Grape Holly                                                                                  ,EVS,05,
OR,060705,#5,MAHONIA AQUIFOLIUM,Oregon Grape Holly                                                                                  ,EVS,05,
OR,060951,#1,MAHONIA REPENS,Creeping Mahonia                                                                                    ,EVS,05,
OR,018325,#5,MALUS SARGENTII TINA,Tina Sargent Crabapple                                                                              ,TRE,04,
OR,030585,#5,MALUS SIEBOLDII CALOCARPA,Redbud Crabapple                                                                                    ,TRE,04,
CA,05895MT,#10 Tall TREE,MALUS X FUJI APPLE,Fuji Apple                                                                                          ,TRE,04,
CA,06104MT,#10 Tall TREE,MALUS X GOLDEN DELICIOUS APPLE,Golden Delicious Apple                                                                              ,TRE,04,
CA,05898MT,#10 Tall TREE,MALUS X HONEYCRISP TM APPLE,Honeycrisp™  Apple                                                                                  ,TRE,04,
OR,061145,#5,MALUS X PRAIRIFIRE,Prairifire Crabapple                                                                                ,TRE,04,
CA,05896MT,#10 Tall TREE,MALUS X RED DELICIOUS APPLE,Red Delicious Apple                                                                                 ,TRE,04,
CA,09238UT,LittleOne,MAN SUN PAR R GARDEN CRIMSON,Sun Parasol®  Garden Crimson Mandevilla                                                             ,VIN,10,
OR,047251,#1,MUKDENIA ROS CRIMSON FANS,Red-Leafed Mukdenia                                                                                 ,PRN,04,
OR,062222,#2,NAND D SIENNA SUNRISE R P14693,Sienna Sunrise®  Heavenly Bamboo                                                                    ,EVS,06,
CA,016001,#1,NAND DOM CHIME,Chime Heavenly Bamboo                                                                               ,EVS,06,
OR,062215,#5,NAND DOM PLUM PASSION R P12069,Plum Passion®  Heavenly Bamboo                                                                      ,EVS,06,
OR,062217,#7,NAND DOM PLUM PASSION R P12069,Plum Passion®  Heavenly Bamboo                                                                      ,EVS,06,
CA,062205,#5,NAND DOMESTICA,Heavenly Bamboo                                                                                     ,EVS,06,
OR,082581,#1,NEPETA LITTLE TRUDY R PP18904,Little Trudy®  Catmint                                                                              ,PRN,04,
CA,081741,#1,NEPETA NERVOSA PINK CAT,Pink Cat Catmint                                                                                    ,PRN,04,
OR,062281,#1,NEPETA X FAASS WALKER'S LOW,Walker's Low Catmint                                                                                ,PRN,04,
CA,062281,#1,NEPETA X FAASS WALKER'S LOW,Walker's Low Catmint                                                                                ,PRN,04,
OR,077131,#1,OSTEO AVALANCHE PP22705,Avalanche White Sun Daisy                                                                           ,PRN,04,
OR,079351,#1,OSTEO PURPLE MOUNTAIN R,Purple Mountain®  Sun Daisy                                                                         ,PRN,05,
OR,06335UT,LittleOne,PACHYSANDRA TERM GREEN SHEEN,Green Sheen Japanese Spurge                                                                         ,PRN,04,
OR,047085,#5,PAEONIA ITOH KEIKO TM (PK D D),Keiko™ (Adored) Itoh Peony                                                                          ,PRN,04,
OR,052605,#5,PAEONIA ITOH MISAKA TM PP22192,Misaka™  (Beautiful Blossom) Itoh Peony                                                             ,PRN,04,
OR,052595,#5,PAEONIA ITOH TAKARA TM PP22374,Takara™  (Treasure) Itoh Peony                                                                      ,PRN,04,
OR,047075,#5,PAEONIA ITOH YUMI TM (YLW),Yumi™  (Beauty) Itoh Peony                                                                          ,PRN,04,
OR,050282,#2,PAEONIA X BUCKEYE BELLE (RED),Buckeye Belle Herbaceous Peony                                                                      ,PRN,04,
OR,096432,#2,PAEONIA X GENERAL MACMAHON,General MacMahon Peony                                                                              ,PRN,03,
OR,036332,#2,PAEONIA X INSPECTEUR LAVERGNE,Inspecteur Lavergne Peony                                                                           ,PRN,04,
OR,046212,#2,PAEONIA X LADY ORCHID (PINK),Lady Orchid Peony                                                                                   ,PRN,04,
OR,064912,#2,PAEONIA X MME EMILE DEBATENE,Madame Emile Debatene Double Peony                                                                  ,PRN,04,
OR,081521S,SuperOne TM STAKED,PARTH Q RED WALL TM PPAF,Red Wall™  Virginia Creeper                                                                         ,VIN,03,
OR,081525,#5 STAKED,PARTH Q RED WALL TM PPAF,Red Wall™  Virginia Creeper                                                                         ,VIN,03,
CA,002581,#1 STAKED,PARTH TRI GREEN SHOWERS,Green Showers Boston Ivy                                                                            ,VIN,04,
CA,079451,#1,PENST HOT PNK RDNG HOOD P23089,Hot Pink Riding Hood Beardtongue                                                                    ,PRN,05,
CA,079441,#1,PENST PRPLE RIDING HOOD P23067,Purple Riding Hood Beardtongue                                                                      ,PRN,05,
CA,025491,#1,PENSTEMON EATONII,Firecracker Penstemon                                                                               ,PRN,04,
CA,029471,#1,PENSTEMON X MEX RED ROCKS R,Red Rocks®  Penstemon                                                                               ,PRN,04,
CA,064211,#1,PEROVSKIA ATRIPLICIFOLIA,Russian Sage                                                                                        ,PRN,04,
CA,084781,#1,PEROVSKIA LACEY BLUE PP20845,Lacey Blue Russian Sage                                                                             ,PRN,04,
CA,064412,#2,PHILADELPHUS VIR DWF SNOWFLAKE,Dwarf Snowflake Mock Orange                                                                         ,DCS,04,
CA,064851,#1,PHOTINIA X FRASERI,Fraser's Photinia                                                                                   ,EVS,07,
CA,064855,#5,PHOTINIA X FRASERI,Fraser's Photinia                                                                                   ,EVS,07,
OR,034652,#2,PHYSOCARPUS CENTER GLOW P16894,Center Glow Ninebark                                                                                ,DCS,02,
OR,074672S,SuperTwo,PHYSOCARPUS COPPRTNA TM P16371,Coppertina™  Ninebark                                                                               ,DCS,03,
OR,063932,#2,PHYSOCARPUS DIABOLO R P11211,Diabolo®  Ninebark                                                                                  ,DCS,02,
OR,068262,#2,PHYSOCARPUS OPU DART'S GOLD,Dart's Gold Ninebark                                                                                ,DCS,03,
CA,089981S,SuperOne TM,PHYSOCARPUS TINY WINE TM PPAF,Tiny Wine™  Ninebark                                                                                ,DCS,03,
OR,064545,#5,PICEA ABIES CUPRESSINA,Columnar Norway Spruce                                                                              ,CON,02,
OR,064561,#1,PICEA ABIES NIDIFORMIS,Nest Spruce                                                                                         ,CON,02,
OR,064562,#2,PICEA ABIES NIDIFORMIS,Nest Spruce                                                                                         ,CON,02,
OR,064582,#2,PICEA ABIES PUMILA,Dwarf Norway Spruce                                                                                 ,CON,02,
OR,052552,#2,PICEA ABIES PUSCH,Pusch Dwarf Norway Spruce                                                                           ,CON,02,
OR,064621,#1,PICEA GL CONICA,Dwarf Alberta Spruce                                                                                ,CON,02,
OR,064622,#2,PICEA GL CONICA,Dwarf Alberta Spruce                                                                                ,CON,02,
OR,064625SP,#5 SPIRAL,PICEA GL CONICA,Dwarf Alberta Spruce                                                                                ,CON,02,
OR,036275,#5,PICEA GL PENDULA,Weeping White Spruce                                                                                ,CON,02,
OR,064815,#5,PICEA ORIEN ATROVIRENS,Oriental Spruce                                                                                     ,CON,02,
OR,06471M,#10 Squat,PICEA PUN HOOPSII,Hoop's Blue Spruce                                                                                  ,CON,02,
OR,064725,#5,PICEA PUN MONTGOMERY,Montgomery Blue Spruce                                                                              ,CON,02,
OR,03874M,#10 Squat,PICEA PUN SPARKLER R,Sparkler®  Colorado Blue Spruce                                                                     ,CON,02,
OR,028565,#5,PICEA PUN WALDBRUNN,Waldbrunn Dwarf Blue Spruce                                                                         ,CON,02,
OR,021545,#5,PINUS KOR SILVERAY,Silveray Korean Pine                                                                                ,CON,04,
OR,01940M,#10 Squat,PINUS MONOPHYLLA,Singleleaf Pinyon                                                                                   ,CON,05,
OR,019405,#5,PINUS MONOPHYLLA,Singleleaf Pinyon                                                                                   ,CON,05,
OR,049095,#5,PINUS MUGO BIG TUNA,Big Tuna Mugo Pine                                                                                  ,CON,02,
OR,049572,#2,PINUS MUGO JAKOBSEN,Jakobsen Mugo Pine                                                                                  ,CON,03,
OR,065452,#2,PINUS MUGO PUMILIO,Dwarf Mugo Pine                                                                                     ,CON,02,
OR,036561,#1,POLE STAIRWAY TO HEAVEN P15187,Stairway To Heaven Jacob's Ladder                                                                   ,PRN,03,
OR,018315,#5,POPULUS TREMULA ERECTA,Columnar Swedish Aspen                                                                              ,TRE,02,
OR,066782,#2,POTENTILLA FROSTY R P10987,Frosty®  Potentilla                                                                                 ,DCS,03,
OR,066801,#1,POTENTILLA GOLD STAR,Gold Star Potentilla                                                                                ,DCS,03,
OR,066802,#2,POTENTILLA GOLD STAR,Gold Star Potentilla                                                                                ,DCS,03,
OR,086651,#1,POTENTILLA PINK BEAUTY P9874,Pink Beauty Potentilla                                                                              ,DCS,03,
OR,086652,#2,POTENTILLA PINK BEAUTY P9874,Pink Beauty Potentilla                                                                              ,DCS,03,
OR,066771,#1,POTENTILLA RED ACE,Red Ace Potentilla                                                                                  ,DCS,03,
OR,066772,#2,POTENTILLA RED ACE,Red Ace Potentilla                                                                                  ,DCS,03,
OR,066741,#1,POTENTILLA SUNSET,Sunset Potentilla                                                                                   ,DCS,03,
OR,066742,#2,POTENTILLA SUNSET,Sunset Potentilla                                                                                   ,DCS,03,
OR,03181M,#10 Squat,PRUNUS CRMSON POINTE TM P19564,Crimson Pointe™  Flowering Plum                                                                     ,TRE,04,
OR,031815,#5,PRUNUS CRMSON POINTE TM P19564,Crimson Pointe™  Flowering Plum                                                                     ,TRE,04,
OR,067101,#1,PRUNUS LAUR MT VERNON,Mount Vernon English Laurel                                                                         ,EVS,06,
OR,067102,#2,PRUNUS LAUR MT VERNON,Mount Vernon English Laurel                                                                         ,EVS,06,
OR,067075,#5,PRUNUS LAUR NANA,Dwarf English Laurel                                                                                ,EVS,07,
OR,067151,#1,PRUNUS LAUR OTTO LUYKEN,Otto Luyken English Laurel                                                                          ,EVS,06,
OR,067152,#2,PRUNUS LAUR OTTO LUYKEN,Otto Luyken English Laurel                                                                          ,EVS,06,
OR,067155,#5,PRUNUS LAUR OTTO LUYKEN,Otto Luyken English Laurel                                                                          ,EVS,06,
OR,06695M,#10 Squat,PRUNUS PEN PLENO ROSEA,Double Weeping Rosebud Cherry                                                                       ,TRE,04,
OR,043395,#5,PRUNUS WEEPING EXTRAORDNARE TM,Weeping Extraordinaire™  Double Flowering Cherry                                                    ,TRE,05,
CA,06741MT,#10 Tall TREE,PRUNUS X HARCOT APRICOT,Harcot Apricot                                                                                      ,TRE,05,
CA,06110MT,#10 Tall TREE,PRUNUS X TILTON APRICOT,Tilton Apricot                                                                                      ,TRE,05,
CA,067705DE,#5 DIA ESP,PYRACANTHA ANG YUKON BELLE R,Yukon Belle®  Pyracantha                                                                            ,EVS,05,
CA,069155,#5,PYRUS CALL BRADFORD,Bradford Flowering Pear                                                                             ,TRE,05,
OR,069085,#5,PYRUS CALL CLEVELAND SELECT,Cleveland Select Flowering Pear                                                                     ,TRE,05,
OR,020792S,SuperTwo,RHAMNUS FRA FINELINE R PP14791,Fine Line®  Fern Leaf Buckthorn                                                                     ,DCS,02,
OR,069892,#2,RHUS AROMATICA GRO-LOW,Gro-Low Fragrant Sumac                                                                              ,DCS,04,
CA,069332PT,#2 PATIO TREE,ROSA AUTUMN SUNBLAZE R P9652,Autumn Sunblaze®  Miniature Rose                                                                    ,ROS,05,
CA,036292,#2,ROSA FLWR CAR R AMBER PPAF,Flower Carpet®  Amber Groundcover Rose                                                              ,ROS,04,
CA,078182,#2,ROSA FLWR CAR R CORAL PP14441,Flower Carpet®  Coral Groundcover Rose                                                              ,ROS,05,
CA,036382,#2,ROSA FLWR CAR R PNK SUP P16276,Flower Carpet®  Pink Supreme Ground Cover Rose                                                      ,ROS,04,
CA,071602,#2,ROSA FLWR CAR R RED P11308,Flower Carpet®  Red Groundcover Rose                                                                ,ROS,04,
CA,036312,#2,ROSA FLWR CAR R SCARLET P17373,Flower Carpet®  Scarlet Groundcover Rose                                                            ,ROS,05,
CA,070212,#2,ROSA FLWR CAR R WHITE P9573,Flower Carpet®  White Groundcover Rose                                                              ,ROS,05,
CA,018242,#2,ROSA FLWR CAR R YELLOW PP13869,Flower Carpet®  Yellow Rose                                                                         ,ROS,04,
CA,077481S,SuperOne TM,ROSA HOME RUN R PINK PPAF,Home Run®  Pink Rose                                                                                ,ROS,04,
CA,077491S,SuperOne TM,ROSA HOME RUN R RED PP18552,Home Run®  Red Rose                                                                                 ,ROS,04,
CA,030902S,SuperTwo,ROSA KNCK OUT R DBL RD P16202,Double Knock Out®  Rose                                                                             ,ROS,04,
CA,011622S,SuperTwo,ROSA KNCK OUT R P11836 (RED),Knock Out®  Shrub Rose                                                                              ,ROS,04,
CA,022152S,SuperTwo,ROSA KNCK OUT R P15070 (PINK),Pink Knock Out®  Rose                                                                               ,ROS,04,
CA,080732S,SuperTwo,ROSA OSO EASY R STBY CR P20601,Oso Easy®  Strawberry Crush Rose                                                                    ,ROS,04,
CA,079892PT,#2 PATIO TREE,ROSA SALMON SUNBLAZE R P10015,Salmon Sunblaze®  Miniature Rose                                                                    ,ROS,05,
CA,081302,#2,ROSA SWT SPOT TM CALYPSO PPAF,Sweet Spot™  Calypso Rose                                                                           ,ROS,05,
CA,081502,#2,ROSA SWT SPOT TM PEACH PPAF,Sweet Spot™  Peach Rose                                                                             ,ROS,05,
CA,082275ST,#5 STAKED,ROSA-CL-CANDY LAND PPAF,Candy Land Climbing Rose                                                                            ,ROS,05,
CA,051095ST,#5 STAKED,ROSA-CL-GARDEN SUN TM PPAF,Garden Sun™  Climbing Rose                                                                          ,ROS,05,
CA,075415ST,#5 STAKED,ROSA-CL-SKY'S THE LIMIT TM PAF,Sky's The Limit™  Climbing Rose                                                                     ,ROS,04,
CA,021301,#1,ROSMARINUS OFF BBQ,Barbeque Rosemary                                                                                   ,EVS,08,
CA,07028EPT,"7"" Terra Cotta PATIO TREE",ROSMARINUS OFF TUSCAN BLUE,Tuscan Blue Rosemary                                                                                ,EVS,08,
CA,070331,#1 STAKED,RUBUS BLACK SATIN BLACKBERRY,Black Satin Blackberry                                                                              ,DCS,05,
CA,070341,#1 STAKED,RUBUS CANBY RED RASPBERRY,Canby Red Raspberry                                                                                 ,DCS,04,
CA,070041,#1 STAKED,RUBUS HERITAGE RASPBERRY,Rubus Heritage Raspberry                                                                            ,DCS,04,
CA,067841,#1 STAKED,RUBUS IDEAUS FALL GOLD RASPBRY,Fall Gold Raspberry                                                                                 ,DCS,03,
CA,067871,#1 STAKED,RUBUS PRIME-JIM R BKBRY P16989,Prime-Jim®  Blackberry                                                                              ,DCS,04,
OR,079382,#2,RUBUS RSPBRY SHRTCKE TM P22141,BrazelBerries®  Raspberry Shortcake™  Dwarf Thor                                                    ,DCS,05,
CA,079382,#2,RUBUS RSPBRY SHRTCKE TM P22141,BrazelBerries®  Raspberry Shortcake™  Dwarf Thor                                                    ,DCS,05,
CA,069911,#1 STAKED,RUBUS THORNLESS BOYSENBERRY,Thornless Boysenberry                                                                               ,DCS,05,
CA,071011,#1,RUDBECKIA FULGIDA GOLDSTURM,Goldsturm Black Eyed Susan                                                                          ,PRN,03,
OR,070465,#5,SALIX CAP KILMARNOCK(S C PEND),Kilmarnock Willow                                                                                   ,TRE,04,
OR,070612,#2,SALIX INTEGRA HAKURO NISHIKI,Dappled Willow                                                                                      ,DCS,04,
OR,086705,#5,SALIX PURPUREA CANYON BLUE,Canyon Blue Arctic Blue Leaf Willow                                                                 ,DCS,04,
CA,099451,#1,SALVIA HTWV BLAZE TM PP24151,Heatwave™  Blaze Sage                                                                               ,PRN,06,
CA,094281,#1,SALVIA HTWV SPARKLE TM PP24154,Heatwave™  Sparkle Sage                                                                             ,PRN,06,
CA,407941,#1,SALVIA SNSATION R DEEP ROS PAF,Sensation Deep Rose Salvia                                                                          ,PRN,04,
OR,400271,#1,SALVIA SNSATION R SKY BLUE PAF,Sensation®  Sky Blue Sage                                                                           ,PRN,04,
CA,400271,#1,SALVIA SNSATION R SKY BLUE PAF,Sensation®  Sky Blue Sage                                                                           ,PRN,04,
OR,035942S,SuperTwo,SAMBUCUS BLACK LACE TM PP15575,Black Lace™  Elderberry                                                                             ,DCS,04,
OR,019992S,SuperTwo,SAMBUCUS BLK BEAUTY TM PP12305,Black Beauty™  Elderberry                                                                           ,DCS,04,
OR,004082,#2,SAMBUCUS N BLACK TOWER TM PPAF,Black Tower Elderberry                                                                              ,DCS,04,
OR,07094UT,LittleOne,SEDUM BRONZE CARPET,Bronze Carpet Stonecrop                                                                             ,PRN,03,
CA,054641,#1,SEDUM CRYSTAL PINK PPAF,Crystal Pink Stonecrop                                                                              ,PRN,04,
CA,011811,#1,SEDUM FROSTY MORN,Frosty Morn Stonecrop                                                                               ,PRN,04,
OR,04487UT,LittleOne,SEDUM RUP ANGELINA PPAF,Angelina Stonecrop                                                                                  ,PRN,03,
OR,03517UT,LittleOne,SEDUM SPURIUM VOODOO,Voodoo Stonecrop                                                                                    ,PRN,03,
OR,035171,#1,SEDUM SPURIUM VOODOO,Voodoo Stonecrop                                                                                    ,PRN,03,
OR,046311,#1,SEDUM STRAWBERRIES & CREAM,Strawberries & Cream Stonecrop                                                                      ,PRN,04,
CA,069871,#1,SEDUM TETRACTINUM CORAL REEF,Chinese Sedum                                                                                       ,PRN,05,
CA,070911,#1,SEDUM VERA JAMESON,Vera Jameson Stonecrop                                                                              ,PRN,04,
CA,025041,#1,SEDUM X AUTUMN FIRE,Autumn Fire Stonecrop                                                                               ,PRN,03,
OR,075011S,SuperOne TM,SPIRAEA DBLPLAY R ARTIST PPAF,Double Play®  Artist Spirea                                                                         ,DCS,04,
OR,075012S,SuperTwo,SPIRAEA DBLPLAY R ARTIST PPAF,Double Play®  Artist Spirea                                                                         ,DCS,04,
OR,075031S,SuperOne TM,SPIRAEA DBLPLAY R BIGBANG PPAF,Double Play®  Big Bang Spirea                                                                       ,DCS,04,
OR,075032S,SuperTwo,SPIRAEA DBLPLAY R BIGBANG PPAF,Double Play®  Big Bang Spirea                                                                       ,DCS,04,
OR,408162S,SuperTwo,SPIRAEA DBLPLAY R BL KZO TMPAF,Double Play®  Blue Kazoo Spirea                                                                     ,DCS,04,
OR,075021S,SuperOne TM,SPIRAEA DBLPLAY R GOLD PPAF,Double Play®  Gold Spirea                                                                           ,DCS,04,
OR,075022S,SuperTwo,SPIRAEA DBLPLAY R GOLD PPAF,Double Play®  Gold Spirea                                                                           ,DCS,04,
OR,071571,#1,SPIRAEA JAP MAGIC CARPET P9363,Magic Carpet Spirea                                                                                 ,DCS,04,
OR,071572,#2,SPIRAEA JAP MAGIC CARPET P9363,Magic Carpet Spirea                                                                                 ,DCS,04,
OR,071582,#2,SPIRAEA JAP NEON FLASH,Neon Flash Spirea                                                                                   ,DCS,04,
OR,071301,#1,SPIRAEA NIPPON SNOWMOUND,Snowmound Spirea                                                                                    ,DCS,04,
OR,071302,#2,SPIRAEA NIPPON SNOWMOUND,Snowmound Spirea                                                                                    ,DCS,04,
OR,071152,#2,SPIRAEA X ANTHONY WATERER,Anthony Waterer Spirea                                                                              ,DCS,04,
OR,071172,#2,SPIRAEA X GOLDFLAME,Goldflame Spirea                                                                                    ,DCS,04,
OR,071231,#1,SPIRAEA X LIMEMOUND R,Limemound®  Spirea                                                                                  ,DCS,03,
OR,071232,#2,SPIRAEA X LIMEMOUND R,Limemound®  Spirea                                                                                  ,DCS,03,
OR,048322,#2,SYMPH BLADE OF SUN TM PP18567,Blade of Sun Snowberry                                                                              ,DCS,04,
OR,086431S,SuperOne TM,SYRINGA BLOOMERNG R DK PPL PAF,Bloomerang®  Dark Purple Lilac                                                                      ,DCS,03,
OR,086435,#5,SYRINGA BLOOMERNG R DK PPL PAF,Bloomerang®  Dark Purple Lilac                                                                      ,DCS,03,
OR,074681S,SuperOne TM,SYRINGA BLOOMERNG R PUR P20575,Bloomerang®  Purple Lilac                                                                           ,DCS,03,
OR,071972,#2,SYRINGA PATULA,Korean Lilac                                                                                        ,DCS,04,
OR,072022,#2,SYRINGA PATULA MISS KIM,Miss Kim Korean Lilac                                                                               ,DCS,04,
OR,071901S,SuperOne TM,SYRINGA V LUDWIG SPAETH,Ludwig Spaeth Lilac                                                                                 ,DCS,03,
OR,072141S,SuperOne TM,SYRINGA V PRESIDENT LINCOLN,President Lincoln Lilac                                                                             ,DCS,03,
OR,072191S,SuperOne TM,SYRINGA X HYA POCAHONTAS,Pocahontas Canadian Lilac                                                                           ,DCS,02,
OR,072195,#5,SYRINGA X HYA POCAHONTAS,Pocahontas Canadian Lilac                                                                           ,DCS,02,
OR,028852,#2,TAXUS X MED HUBERS TAWNY GOLD,Huber's Tawny Gold Spreading Yew                                                                    ,CON,04,
OR,012402,#2,TAXUS X MEDIA BERRYHILLI,Berryhill Yew                                                                                       ,CON,04,
OR,07233M,#10 Squat,TAXUS X MEDIA HICKSII,Hicks Yew                                                                                           ,CON,04,
OR,072332,#2,TAXUS X MEDIA HICKSII,Hicks Yew                                                                                           ,CON,04,
OR,01259M,#10 Squat,THUJA GREEN GIANT,Green Giant Western Arborvitae                                                                      ,CON,04,
OR,072941,#1,THUJA OC DANICA,Danica Arborvitae                                                                                   ,CON,04,
OR,072815,#5,THUJA OC DEGROOT'S SPIRE,Degroot's Spire Arborvitae                                                                          ,CON,03,
CA,072835PT,#5 PATIO TREE,THUJA OC FILIFORMIS,Weeping Threadleaf Arborvitae                                                                       ,CON,04,
