Loc,Item,Size,Description,Botanical Name,Common Name,Zone,Condition,Current Specs,Qty Open,Qty Alloc Rem Thru 12/31/13,Qty Alloc Rem Thru 06/30/14,Net Avail Qty,Min Order Qty,List Price,Net Price,Sale Price,AVL Flag,,
OR,048741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,04,-,FULL STK, 338 ,     , 48 , 386 , 10 , 9.50 , 7.32 ,          , ,,
OR,048742,#2 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,04,BUDS,FULL STK, 28 ,     , 29 , 57 , 5 , 17.00 , 13.09 ,          ,I,,
OR,048745,#5 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,04,BUDS,48'' FULL STK,     ,     , 18 , 4 , 5 , 30.00 , 23.10 ,          , ,,
CA,027211,#1 STAKED,CLEM VIT ETOILE VIOLETTE,Clematis viticella 'Etoile Violette'                        ,Etoile Violette Clematis                                    ,04,-,24''H, 435 ,     ,     , 435 , 10 , 8.50 , 6.55 ,          ,I,,
OR,027212,#2 STAKED,CLEM VIT ETOILE VIOLETTE,Clematis viticella 'Etoile Violette'                        ,Etoile Violette Clematis                                    ,04,-,FULL STK,     ,     , 9 , 9 , 5 , 17.00 , 13.09 ,          , ,,
OR,027215,#5 STAKED,CLEM VIT ETOILE VIOLETTE,Clematis viticella 'Etoile Violette'                        ,Etoile Violette Clematis                                    ,04,-,FULL STK,     ,     , 38 , 38 , 5 , 28.00 , 21.56 ,          , ,,
OR,027301,#1 STAKED,CLEM VIT MADAME JULIA CORREVON,Clematis viticella 'Madame Julia Correvon'                  ,Madame Julia Correvon Clematis                              ,04,-,FULL STK," 1,037 ",     , 5 ," 1,042 ", 10 , 8.50 , 6.55 ,          ,I,,
CA,027301,#1 STAKED,CLEM VIT MADAME JULIA CORREVON,Clematis viticella 'Madame Julia Correvon'                  ,Madame Julia Correvon Clematis                              ,04,-,21''H, 94 ,     , 105 , 199 , 10 , 8.50 , 6.55 ,          , ,,
CA,027301S,SuperOne TM STAKED,CLEM VIT MADAME JULIA CORREVON,Clematis viticella 'Madame Julia Correvon'                  ,Madame Julia Correvon Clematis                              ,04,-,24''H, 103 ,     , 34 , 137 , 10 , 9.50 , 7.32 ,          , ,,
CA,027305,#5 STAKED,CLEM VIT MADAME JULIA CORREVON,Clematis viticella 'Madame Julia Correvon'                  ,Madame Julia Correvon Clematis                              ,04,-,48''H, 112 ,     , 31 , 143 , 5 , 28.00 , 21.56 ,          ,I,,
OR,021782,#2 STAKED,CLEM X ARABELLA,Clematis x 'Arabella'                                       ,Arabella Clematis                                           ,04,-,1/2 STK, 316 ,     , 70 , 386 , 5 , 17.00 , 13.09 ,          , ,,
OR,015901,#1 STAKED,CLEM X BLUE LIGHT R PP15953,Clematis x 'Vanso' P.P.# 15953                              ,Blue Light®  Clematis,04,-,3/4 STK, 522 ,     , 51 , 573 , 10 , 8.50 , 6.55 ,          ,I,,
OR,015905,#5 STAKED,CLEM X BLUE LIGHT R PP15953,Clematis x 'Vanso' P.P.# 15953                              ,Blue Light®  Clematis,04,BUDS,48''FULL STK,     ,     , 16 , 16 , 5 , 28.00 , 21.56 ,          , ,,
OR,090615,#5 STAKED,CLEM X CART AVALANCHE,Clematis x cartmanii 'Blaaval'                              ,Avalanche Evergreen Clematis                                ,07,BUDS,1/2 STK, 31 ,     ,     , 31 , 5 , 28.00 , 21.56 ,          , ,,
OR,027221,#1 STAKED,CLEM X COMTESSE DE BOUCHAUD,Clematis x 'Comtesse de Bouchaud'                           ,Comtesse De Bouchaud Clematis                               ,04,-,FULL STK, 880 ,     ,     , 880 , 10 , 8.50 , 6.55 ,          ,I,,
OR,027225,#5 STAKED,CLEM X COMTESSE DE BOUCHAUD,Clematis x 'Comtesse de Bouchaud'                           ,Comtesse De Bouchaud Clematis                               ,04,BUDS,48'' FULL STK, 496 ,     , 35 , 531 , 5 , 28.00 , 21.56 ,          , ,,
OR,027011,#1 STAKED,CLEM X ERNEST MARKHAM,Clematis x 'Ernest Markham'                                 ,Ernest Markham Clematis                                     ,03,-,FULL STK,     ,     , 3 , 3 , 10 , 8.50 , 6.55 ,          ,I,,
OR,033492,#2 STAKED,CLEM X HANIA,Clematis x 'Hania'                                          ,Hania Clematis                                              ,04,BUDS,FULL STK, 177 ,     , 24 , 201 , 5 , 17.00 , 13.09 ,          , ,,
OR,044481,#1 STAKED,CLEM X JACKMANII SUPERBA,Clematis x jackmanii 'Superba'                              ,Jackman Superba Clematis                                    ,04,-,FULL STK,     ,     , 29 , 29 , 10 , 8.50 , 6.55 ,          , ,,
OR,044482,#2 STAKED,CLEM X JACKMANII SUPERBA,Clematis x jackmanii 'Superba'                              ,Jackman Superba Clematis                                    ,04,-,"3/4""STK",     ,     , 39 , 39 , 5 , 17.00 , 13.09 ,          , ,,
OR,044485,#5 STAKED,CLEM X JACKMANII SUPERBA,Clematis x jackmanii 'Superba'                              ,Jackman Superba Clematis                                    ,04,-,"3/4"" STK",     ,     , 45 , 45 , 5 , 28.00 , 21.56 ,          , ,,
OR,033512,#2 STAKED,CLEM X JULKA,Clematis x 'Julka'                                          ,Julka Clematis                                              ,04,,"27""H  4 STEMS",     ,     , 40 , 40 , 5 , 17.00 , 13.09 ,          , ,,
OR,034432,#2 STAKED,CLEM X KILIAN DONAHUE,Clematis x 'Kilian Donahue'                                 ,Kilian Donahue Clematis                                     ,04,BUDS,FULL STK,     ,     , 20 , 20 , 5 , 17.00 , 13.09 ,          ,I,,
OR,027065,#5 STAKED,CLEM X MULTI-BLUE,Clematis x 'Multi-blue'                                     ,Multi-Blue Clematis                                         ,04,BUDS,FULL STK, 17 ,     ,     , 17 , 5 , 28.00 , 21.56 ,          , ,,
OR,027441,#1 STAKED,CLEM X NELLY MOSER,Clematis x 'Nelly Moser'                                    ,Nelly Moser Clematis                                        ,04,BUDS,FULL STK," 1,225 ",     ,     ," 1,225 ", 10 , 8.50 , 6.55 ,          ,I,,
OR,027442,#2 STAKED,CLEM X NELLY MOSER,Clematis x 'Nelly Moser'                                    ,Nelly Moser Clematis                                        ,04,BUDS,FULL STK,     ,     , 86 , 86 , 5 , 17.00 , 13.09 ,          ,I,,
OR,027445,#5 STAKED,CLEM X NELLY MOSER,Clematis x 'Nelly Moser'                                    ,Nelly Moser Clematis                                        ,04,BUDS,FULL STK, 239 ,     , 9 , 239 , 5 , 28.00 , 21.56 ,          , ,,
OR,027461,#1 STAKED,CLEM X NIOBE,Clematis x 'Niobe'                                          ,Niobe Clematis                                              ,04,-,FULL STK,     ,     , 85 , 85 , 10 , 8.50 , 6.55 ,          ,I,,
OR,027462,#2 STAKED,CLEM X NIOBE,Clematis x 'Niobe'                                          ,Niobe Clematis                                              ,04,BUDS,FULL STK, 64 ,     ,     , 64 , 5 , 17.00 , 13.09 ,          ,I,,
OR,027465,#5 STAKED,CLEM X NIOBE,Clematis x 'Niobe'                                          ,Niobe Clematis                                              ,04,BUDS,3/4, 2 ,     ,     , 2 , 5 , 28.00 , 21.56 ,          , ,,
OR,027071,#1 STAKED,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,04,BUDS,FULL STK,     ,     , 182 , 182 , 10 , 8.50 , 6.55 ,          , ,,
OR,027072,#2 STAKED,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,04,BUDS,1/2 STK, 55 ,     , 14 , 69 , 5 , 17.00 , 13.09 ,          , ,,
OR,027075,#5 STAKED,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,04,BUDS,48''FULL STK, 112 ,     , 31 , 143 , 5 , 28.00 , 21.56 ,          , ,,
OR,027481,#1 STAKED,CLEM X RAMONA,Clematis x 'Ramona'                                         ,Ramona Clematis                                             ,04,BUDS,FULL STK, 87 ,     ,     , 87 , 10 , 8.50 , 6.55 ,          , ,,
OR,027482,#2 STAKED,CLEM X RAMONA,Clematis x 'Ramona'                                         ,Ramona Clematis                                             ,04,BUDS,FULL STK, 98 ,     , 72 , 170 , 5 , 17.00 , 13.09 ,          ,I,,
OR,027485,#5 STAKED,CLEM X RAMONA,Clematis x 'Ramona'                                         ,Ramona Clematis                                             ,04,BUDS,48''  FULL STK,     ,     , 6 , 6 , 5 , 28.00 , 21.56 ,          , ,,
OR,027492,#2 STAKED,CLEM X ROUGE CARDINAL,Clematis x 'Rouge Cardinal'                                 ,Rouge Cardinal Clematis                                     ,04,-,FULL STK, 83 ,     , 30 , 113 , 5 , 17.00 , 13.09 ,          ,I,,
OR,027495,#5 STAKED,CLEM X ROUGE CARDINAL,Clematis x 'Rouge Cardinal'                                 ,Rouge Cardinal Clematis                                     ,04,BUDS,3/4 STK,     ,     , 17 , 17 , 5 , 28.00 , 21.56 ,          , ,,
OR,026371,#1 STAKED,CLEM X TOKI,Clematis x 'Toki'                                           ,Toki Clematis                                               ,04,-,1/2 STK, 38 ,     ,     , 38 , 10 , 8.50 , 6.55 ,          ,I,,
OR,026372,#2 STAKED,CLEM X TOKI,Clematis x 'Toki'                                           ,Toki Clematis                                               ,04,BUDS,FULL STK, 64 ,     , 31 , 95 , 5 , 17.00 , 13.09 ,          ,I,,
OR,056212,#2 STAKED,CLEM X WESTERPLATTE,Clematis x 'Westerplatte'                                   ,Westerplatte Clematis                                       ,04,BUDS,FULL STK, 7 ,     , 9 , 16 , 5 , 17.00 , 13.09 ,          ,I,,
OR,027531,#1,CLETHRA ALN RUBY SPICE,Clethra alnifolia 'Ruby Spice'                              ,Ruby Spice Summersweet                                      ,04,BREAKING DORMANCY,12''H - 8''S, 6 ,     ,     , 6 , 10 , 7.00 , 5.39 ,          , ,,
GA,027535,#5,CLETHRA ALN RUBY SPICE,Clethra alnifolia 'Ruby Spice'                              ,Ruby Spice Summersweet                                      ,04,DORMANT,cut back, 5 ,     ,     , 5 , 5 , 18.25 , 14.05 ,          , ,,
OR,081531,#1,CLETHRA ALNIFOLIA,Clethra alnifolia                                           ,Summersweet                                                 ,04,BREAKING DORMANCY,10''H - 8''S, 393 ,     ,     , 393 , 10 , 7.00 , 5.39 ,          , ,,
CA,030441,#1,CLIVIA BELGIAN HYB ORANGE,Clivia miniata 'Belgian Hybrid Orange'                      ,Belgian Hybrid Orange Bush Lily                             ,09,-,"8""H", 200 ,     ,     , 200 , 10 , 7.00 , 5.39 ,          , ,,
CA,030442,#2,CLIVIA BELGIAN HYB ORANGE,Clivia miniata 'Belgian Hybrid Orange'                      ,Belgian Hybrid Orange Bush Lily                             ,09,-,"10""H", 311 ,     ,     , 311 , 5 , 15.00 , 11.55 ,          , ,,
GA,030442,#2,CLIVIA BELGIAN HYB ORANGE,Clivia miniata 'Belgian Hybrid Orange'                      ,Belgian Hybrid Orange Bush Lily                             ,09,FULL BLOOM,"12""H", 296 ,     ,     , 296 , 5 , 15.00 , 11.55 ,          ,I,,
CA,028842,#2,CLIVIA BELGIUM HYB YELLOW,Clivia miniata 'Belgian Hybrid Yellow'                      ,Belgian Hybrid Yellow Bush Lily                             ,09,-,"14""H", 444 ,     ,     , 444 , 5 , 15.00 , 11.55 ,          , ,,
GA,024201,#1,COLOCASIA ESC BLACK MAGIC,Colocasia esculenta 'Black Magic'                           ,Black Magic Elephant Ear                                    ,07,,"10""H",     ,     , 80 , 80 , 10 , 7.00 , 5.39 ,          , ,,
GA,024205,#5,COLOCASIA ESC BLACK MAGIC,Colocasia esculenta 'Black Magic'                           ,Black Magic Elephant Ear                                    ,07,,"15""H", 238 ,     , 26 , 238 , 5 , 20.00 , 15.40 ,          ,I,,
OR,051352,#2,COPROSMA BLACK CLOUD,Coprosma 'Black Cloud'                                      ,Black Cloud Mirror Bush                                     ,07,-,"14""S", 17 ,     ,     , 17 , 5 , 16.00 , 12.32 ,          , ,,
CA,082751,#1,COPROSMA EVENING GLOW,Coprosma 'Evening Glow'                                     ,Evening Glow Mirror Plant                                   ,09,-,"6""H - 6'S", 110 ,     ,     , 110 , 10 , 8.50 , 6.55 ,          , ,,
CA,082761,#1,COPROSMA RAINBOW SURPRISE,Coprosma 'Rainbow Surprise'                                 ,Rainbow Surprise Mirror Plant                               ,09,-,"6""H - 6""S", 82 ,     ,     , 82 , 10 , 8.50 , 6.55 ,          , ,,
GA,031732,#2,CORD FESTIVAL TM BRGNDY P14224,"Cordyline x 'JURred' P.P. #14,224                           ",Festival™  Burgundy Cordyline,08,,"12""H", 111 ,     , 31 , 142 , 5 , 15.50 , 11.94 ,          ,I,,
CA,031721,#1,CORDYLINE BAUERI,Cordyline 'Baueri'                                          ,Bauer's Dracaena Palm                                       ,09,-,"16""H"," 1,492 ",     ,     ," 1,492 ", 10 , 7.50 , 5.78 ,          , ,,
GA,031721,#1,CORDYLINE BAUERI,Cordyline 'Baueri'                                          ,Bauer's Dracaena Palm                                       ,09,EXCEPTIONAL / ATTR'CTV FOLIAGE,"18""H",     ,     , 8 , 8 , 10 , 7.50 , 5.78 ,          ,I,,
GA,03172UT,LittleOne,CORDYLINE BAUERI,Cordyline 'Baueri'                                          ,Bauer's Dracaena Palm                                       ,09,EXCEPTIONAL,"8""H",     ,     , 8 , 8 , 16 , 4.00 , 3.08 ,          , ,,
CA,092731,#1,CORDYLINE CABERNETT,Cordyline 'Cabernett'                                       ,Cabernett Dracaena Palm                                     ,09,-,"10""H", 328 ,     ,     , 328 , 10 , 8.00 , 6.16 ,          ,I,,
CA,031701,#1,CORDYLINE INDIVISA,Cordyline indivisa                                          ,Blue Dracaena Palm                                          ,09,-,"18""H"," 6,246 ",     ,     ," 6,246 ", 10 , 6.50 , 5.01 ,          , ,,
GA,031701,#1,CORDYLINE INDIVISA,Cordyline indivisa                                          ,Blue Dracaena Palm                                          ,09,,"18""H",     ,     , 27 , 27 , 10 , 6.50 , 5.01 ,          , ,,
CA,017421,#1,CORDYLINE RED STAR,Cordyline 'Red Star'                                        ,Red Star Dracaena Palm                                      ,09,-,"15""H", 636 ,     ,     , 636 , 10 , 8.00 , 6.16 ,          , ,,
OR,068081,#1,CORE BIGBANG TM RDSHFT PP20412,"Coreopsis x 'Redshift' P.P.# 20,412                         ",Big Bang™  Redshift Tickseed,05,EMERGING,., 491 ,     ,     , 491 , 10 , 5.50 , 4.24 ,          , ,,
GA,068081,#1,CORE BIGBANG TM RDSHFT PP20412,"Coreopsis x 'Redshift' P.P.# 20,412                         ",Big Bang™  Redshift Tickseed,05,,CAN FULL, 32 ,     , 55 , 87 , 10 , 5.50 , 4.24 ,          ,I,,
GA,027951,#1,COREOPSIS AURICULATA NANA,Coreopsis auriculata 'Nana'                                 ,Dwarf Tickseed                                              ,04,BUDS & BLOOMS,CAN FULL, 118 ,     ,     , 118 , 10 , 4.75 , 3.66 ,          , ,,
GA,00659UT,LittleOne,COREOPSIS GRAND 'HELIOT',Coreopsis grandiflora 'Heliot'                              ,Heliot Largeflower Tickseed                                 ,04,,CAN FULL, 164 ,     ,     , 164 , 16 , 2.95 , 2.27 ,          ,I,,
GA,05934UT,LittleOne,COREOPSIS GRAND RISING SUN,Coreopsis grandiflora 'Rising Sun'                          ,Rising Sun Tickseed                                         ,04,BUDS & BLOOMS,CAN FULL,     ,     , 4 , 4 , 16 , 2.95 , 2.27 ,          ,I,,
GA,006751,#1,COREOPSIS GRAND SUNFIRE,Coreopsis grandiflora 'Sunfire'                             ,Sunfire Tickseed                                            ,04,,CAN FULL, 339 ,     ,     , 339 , 10 , 4.75 , 3.66 ,          ,I,,
GA,00675UT,LittleOne,COREOPSIS GRAND SUNFIRE,Coreopsis grandiflora 'Sunfire'                             ,Sunfire Tickseed                                            ,04,,CAN FULL, 5 ,     ,     , 5 , 16 , 2.95 , 2.27 ,          , ,,
OR,058262,#2,COREOPSIS VER ROUTE 66 PP20609,"Coreopsis verticillata 'Route 66' P.P.# 20,609              ",Route 66 Tickseed                                           ,05,EMERGING,., 593 ,     ,     , 593 , 5 , 11.00 , 8.47 ,          ,I,,
GA,027961,#1,COREOPSIS VERT MOONBEAM,Coreopsis verticillata 'Moonbeam'                           ,Moonbeam Threadleaf Tickseed                                ,03,DORMANT,CAN FULL, 141 ,     ,     , 141 , 10 , 4.75 , 3.66 ,          , ,,
OR,027962,#2,COREOPSIS VERT MOONBEAM,Coreopsis verticillata 'Moonbeam'                           ,Moonbeam Threadleaf Tickseed                                ,03,EMERGING,CAN FULL, 44 ,     ,     , 44 , 5 , 11.00 , 8.47 ,          , ,,
CA,027971,#1,COREOPSIS VERT ZAGREB,Coreopsis verticillata 'Zagreb'                             ,Zagreb Threadleaf Tickseed                                  ,03,-,CAN FULL, 330 ,     ,     , 330 , 10 , 4.75 , 3.66 ,          , ,,
OR,027972,#2,COREOPSIS VERT ZAGREB,Coreopsis verticillata 'Zagreb'                             ,Zagreb Threadleaf Tickseed                                  ,03,EMERGING,., 474 ,     ,     , 474 , 5 , 11.00 , 8.47 ,          ,I,,
OR,02797UT,LittleOne,COREOPSIS VERT ZAGREB,Coreopsis verticillata 'Zagreb'                             ,Zagreb Threadleaf Tickseed                                  ,03,-,, 28 ,     ,     , 28 , 16 , 2.95 , 2.27 ,          , ,,
OR,027732,#2,CORNUS ALBA ELEGANTISSIMA,Cornus alba 'Elegantissima'                                 ,Variegated Red Twig Dogwood                                 ,02,BREAKING DORMANCY,"12""H - 14""S",     ,     , 77 , 77 , 5 , 15.25 , 11.74 ,          , ,,
OR,027735PT,#5 PATIO TREE,CORNUS ALBA ELEGANTISSIMA,Cornus alba 'Elegantissima'                                 ,Variegated Red Twig Dogwood                                 ,02,BREAKING DORMANCY,"15""S", 18 ,     ,     , 18 , 2 , 45.00 , 34.65 ,          , ,,
OR,027751,#1,CORNUS ALBA SIBIRICA,Cornus alba 'Sibirica'                                      ,Red Twig Dogwood                                            ,02,BREAKING DORMANCY,"12''H - 8""S", 275 ,     ,     , 275 , 10 , 7.75 , 5.97 ,          , ,,
OR,027755,#5,CORNUS ALBA SIBIRICA,Cornus alba 'Sibirica'                                      ,Red Twig Dogwood                                            ,02,BREAKING DORMANCY,"30""H - 18""S", 131 ,     ,     , 131 , 5 , 21.75 , 16.75 ,          , ,,
OR,02787M,#10 Squat,CORNUS ALTERNIFOLIA,Cornus alternifolia                                         ,Pagoda Dogwood                                              ,04,BREAKING DORMANCY,"48""H", 8 ,     ,     , 8 , 2 , 64.00 , 49.28 ,          , ,,
OR,027801,#1,CORNUS SERICEA FLAVIRAMEA,Cornus sericea 'Flaviramea'                                 ,Yellow Twig Dogwood                                         ,02,BREAKING DORMANCY,"12""H - 8""S", 541 ,     ,     , 541 , 10 , 7.75 , 5.97 ,          , ,,
OR,027805,#5,CORNUS SERICEA FLAVIRAMEA,Cornus sericea 'Flaviramea'                                 ,Yellow Twig Dogwood                                         ,02,BREAKING DORMANCY,"30""H - 18""S", 197 ,     ,     , 197 , 5 , 21.75 , 16.75 ,          , ,,
OR,027821,#1,CORNUS SERICEA ISANTI,Cornus sericea 'Isanti'                                     ,Isanti Red-Osier Dogwood                                    ,02,BREAKING DORMANCY,10''H - 8''S, 39 ,     ,     , 39 , 10 , 7.75 , 5.97 ,          , ,,
OR,027825,#5,CORNUS SERICEA ISANTI,Cornus sericea 'Isanti'                                     ,Isanti Red-Osier Dogwood                                    ,02,BUDS,"18""H - 16""S", 2 ,     ,     , 2 , 5 , 21.75 , 16.75 ,          , ,,
OR,044701,#1,CORNUS SERICEA KELSEYI,Cornus sericea 'Kelseyi'                                    ,Kelsey's Dwarf Red-Osier Dogwood                            ,02,BREAKING DORMANCY,"6''H - 8""S", 792 ,     ,     , 792 , 10 , 7.75 , 5.97 ,          , ,,
OR,028171,#1,CORYDALIS FLEX CHINA BLUE,Corydalis flexuosa 'China Blue'                             ,China Blue Fumewort                                         ,05,BUDS & BLOOMS,PA2, 673 ,     , 1 , 674 , 10 , 6.00 , 4.62 ,          , ,,
OR,017455,#5,CORYLUS AV CONTORTA-OWN ROOT,Corylus avellana 'Contorta' (Own Root)                      ,Harry Lauder's Walking Stick                                ,03,BREAKING DORMANCY,"22""H",     ,     , 5 , 5 , 5 , 33.00 , 25.41 ,          ,I,,
OR,028501,#1,COT APICULATUS,Cotoneaster apiculatus                                      ,Cranberry Cotoneaster                                       ,04,-,"6""H - 8""S", 531 ,     , 91 , 622 , 10 , 5.75 , 4.43 ,          , ,,
OR,028502,#2,COT APICULATUS,Cotoneaster apiculatus                                      ,Cranberry Cotoneaster                                       ,04,-,12''H - 12''S, 336 ,     , 17 , 353 , 5 , 13.25 , 10.20 ,          , ,,
OR,028505,#5,COT APICULATUS,Cotoneaster apiculatus                                      ,Cranberry Cotoneaster                                       ,04,-,12''H - 16''S, 508 ,     ,     , 508 , 5 , 18.75 , 14.44 ,          , ,,
OR,028505PT,#5 PATIO TREE,COT APICULATUS,Cotoneaster apiculatus                                      ,Cranberry Cotoneaster                                       ,04,BREAKING DORMANCY,"15""S", 40 ,     , 20 , 60 , 2 , 55.00 , 42.35 ,          , ,,
OR,028551,#1,COT APICULATUS TOM THUMB,Cotoneaster apiculatus 'Tom Thumb'                          ,Tom Thumb Cranberry Cotoneaster                             ,04,-,"4""H - 6""S", 252 ,     , 90 , 342 , 10 , 5.75 , 4.43 ,          , ,,
OR,028552,#2,COT APICULATUS TOM THUMB,Cotoneaster apiculatus 'Tom Thumb'                          ,Tom Thumb Cranberry Cotoneaster                             ,04,-,"6""H - 10""S", 9 ,     , 20 , 29 , 5 , 13.25 , 10.20 ,          , ,,
OR,02855UT,LittleOne,COT APICULATUS TOM THUMB,Cotoneaster apiculatus 'Tom Thumb'                          ,Tom Thumb Cranberry Cotoneaster                             ,04,-,"3""H-4""-S PS1", 9 ,     , 82 , 91 , 16 , 4.25 , 3.27 ,          , ,,
OR,029001,#1,COT DAM CORAL BEAUTY,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,05,-,"6""H - 10""S", 193 ,     ,     , 193 , 10 , 6.00 , 4.62 ,          , ,,
OR,029002,#2,COT DAM CORAL BEAUTY,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,05,-,"15""H - 14""S", 82 ,     ,     , 82 , 5 , 13.75 , 10.59 ,          , ,,
OR,029005PT,#5 PATIO TREE,COT DAM CORAL BEAUTY,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,05,-,"15""S",     ,     , 12 , 12 , 2 , 55.00 , 42.35 ,          , ,,
OR,029451,#1,COT HOR PERPUSILLUS,Cotoneaster horizontalis 'Perpusillus'                      ,Prostrate Rock Cotoneaster                                  ,04,-,"6""H - 8""'S", 214 ,     ,     , 214 , 10 , 6.00 , 4.62 ,          , ,,
OR,028311,#1,COT HOR VARIEGATUS,Cotoneaster horizontalis 'Variegatus'                       ,Variegated Rock Cotoneaster                                 ,06,-,"10""H - 10""S", 810 ,     , 40 , 850 , 10 , 5.75 , 4.43 ,          , ,,
OR,028315,#5,COT HOR VARIEGATUS,Cotoneaster horizontalis 'Variegatus'                       ,Variegated Rock Cotoneaster                                 ,06,-,12''H - 18''S, 206 ,     , 15 , 221 , 5 , 18.75 , 14.44 ,          , ,,
OR,030252,#2,COT STREIB'S FINDLING,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,06,-,4''H - 12''S, 19 ,     ,     , 19 , 5 , 13.75 , 10.59 ,          , ,,
OR,030255,#5,COT STREIB'S FINDLING,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,06,-,"18""S", 46 ,     ,     , 46 , 5 , 19.25 , 14.82 ,          , ,,
OR,03025UT,LittleOne,COT STREIB'S FINDLING,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,06,CUT BACK,"2""H", 33 ,     , 67 , 100 , 16 , 4.50 , 3.47 ,          , ,,
CA,063641,#1,CRASSULA CAPITELLA CAMPFIRE,Crassula capitella 'Campfire'                               ,Campfire Crassula                                           ,09,-,CAN FULL,     ,     , 17 , 17 , 10 , 7.00 , 5.39 ,          ,I,,
OR,019472,#2,CROCOSMIA EMBERGLOW,Crocosmia 'Emberglow'                                       ,Emberglow Montbretia                                        ,06,EMERGING,.,     ,     , 8 , 8 , 5 , 12.50 , 9.63 ,          , ,,
OR,031435,#5,CRYPTOMERIA J GLOBOSA NANA,Cryptomeria japonica 'Globosa Nana'                         ,Dwarf Japanese Cedar                                        ,05,-,"18""H - 18""S",     ,     , 1 , 1 , 5 , 27.75 , 21.37 ,          , ,,
CA,030521,#1,CUP LEY CASTLEWELLAN,x Cupressocyparis leylandii 'Castlewellan'                  ,Golden Leyland Cypress                                      ,05,-,"20""H", 166 ,     ,     , 166 , 10 , 6.75 , 5.20 ,          , ,,
CA,030525,#5,CUP LEY CASTLEWELLAN,x Cupressocyparis leylandii 'Castlewellan'                  ,Golden Leyland Cypress                                      ,05,-,"36""H - 16""S", 193 ,     ,     , 193 , 5 , 23.75 , 18.29 ,          ,I,,
CA,030511,#1,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,05,-,"18""H - 8""S", 226 ,     ,     , 226 , 10 , 7.00 , 5.39 ,          , ,,
CA,030512,#2,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,05,-,"24""H - 8""S",     ,     , 120 , 120 , 5 , 15.00 , 11.55 ,          , ,,
CA,030512SP,#2 SPIRAL,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,05,-,"24""H",     ,     , 32 , 32 , 5 , 44.00 , 33.88 ,          , ,,
CA,030515,#5,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,05,-,"36""H", 626 ,     , 5 , 631 , 5 , 23.75 , 18.29 ,          , ,,
CA,030515SP,#5 SPIRAL,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,05,-,"48""H",     ,     , 1 , 1 , 2 , 65.00 , 50.05 ,          , ,,
CA,030517,#7,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,05,-,"54""H",     ,     , 2 , 2 , 2 , 55.00 , 42.35 ,          ,I,,
GA,030507,#7,CUP LEYLANDII,x Cupressocyparis leylandii                                 ,Leyland Cypress                                             ,05,,"48""H",     ,     , 61 , 61 , 2 , 45.00 , 34.65 ,          , ,,
GA,030509,#15,CUP LEYLANDII,x Cupressocyparis leylandii                                 ,Leyland Cypress                                             ,05,,"60""H",     ,     , 71 , 71 , 1 , 75.00 , 57.75 ,          , ,,
OR,047575,#5,CUP MAC DONARD GOLD,Cupressus macrocarpa 'Donard Gold'                          ,Donard Gold Monterey Cypress                                ,07,-,"46""H",     ,     , 1 , 1 , 5 , 25.00 , 19.25 ,          , ,,
OR,030752,#2,CUP SEMP SWANE'S GOLDEN,Cupressus sempervirens 'Swane's Golden'                     ,Swane's Golden Italian Cypress                              ,07,-,"27""H", 3 ,     ,     , 3 , 5 , 15.00 , 11.55 ,          , ,,
CA,083041,#1,CUPHEA HYS ITSY BITSY R LILAC,Cuphea hyssopifolia 'Monshi'                                ,Itsy Bitsy®  Lilac False Heather,09,BUDS,"6''H -8""S", 239 ,     ,     , 239 , 10 , 4.75 , 3.66 ,          , ,,
