Loc,Item,Size,Description,Botanical Name,Common Name,Zone,Condition,Current Specs,Qty Open,Qty Alloc Rem Thru 12/31/13,Qty Alloc Rem Thru 06/30/14,Net Avail Qty,Min Order Qty,List Price,Net Price,Sale Price,AVL Flag,,
OR,018345,#5,ACER PAL OSAKAZUKI,Acer palmatum 'Osakazuki'                                   ,Osakazuki Japanese Maple                                    ,05,BREAKING DORMANCY,"48""H - 15""S",     ,     , 10 , 10 , 5 , 54.00 , 41.58 ,          , ,,
OR,001055,#5,ACER PAL OSHIO BENI,Acer palmatum 'Oshio-Beni'                                  ,Oshio-Beni Japanese Maple                                   ,05,BREAKING DORMANCY,"48""H",     ,     , 22 , 22 , 5 , 54.00 , 41.58 ,          , ,,
OR,001025,#5,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,05,BREAKING DORMANCY,"45""H",     ,     , 18 , 18 , 5 , 54.00 , 41.58 ,          , ,,
OR,00102M,#10 Squat,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,05,BREAKING DORMANCY,"66""H",     ,     , 1 , 1 , 2 , 109.00 , 83.93 ,          , ,,
OR,001215,#5,ACER PAL SHAINA,Acer palmatum 'Shaina'                                      ,Shaina Japanese Maple                                       ,05,BREAKING DORMANCY,"26""H",     ,     , 15 , 15 , 5 , 54.00 , 41.58 ,          , ,,
OR,018332,#2,ACER PAL SHISHIGASHIRA,Acer palmatum 'Shishigashira'                               ,Shishigashira Japanese Maple                                ,05,BREAKING DORMANCY,"27""H", 1 ,     ,     , 1 , 5 , 36.00 , 27.72 ,          , ,,
OR,033965,#5,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,05,BREAKING DORMANCY,"40""H", 107 ,     ,     , 107 , 5 , 54.00 , 41.58 ,          , ,,
OR,00090MST,#10 Squat STAKED,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,05,BREAKING DORMANCY,"36""H-21""S", 5 ,     ,     , 5 , 2 , 109.00 , 83.93 ,          , ,,
OR,03033M,#10 Squat,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,05,BREAKING DORMANCY,"56""H",     ,     , 2 , 2 , 2 , 109.00 , 83.93 ,          , ,,
OR,058241,#1,ACHILLEA APRICOT DLGHT PP18738,"Achillea millefolium 'Apricot Delight' P.P.# 18,738         ",Tutti Frutti Apricot Delight Yarrow                         ,03,-,., 456 ,     ,     , 456 , 10 , 4.75 , 3.66 ,          , ,,
CA,058241,#1,ACHILLEA APRICOT DLGHT PP18738,"Achillea millefolium 'Apricot Delight' P.P.# 18,738         ",Tutti Frutti Apricot Delight Yarrow                         ,03,-,CAN FULL, 505 ,     , 23 , 528 , 10 , 4.75 , 3.66 ,          ,I,,
