Branch,item
OR,000401
OR,000405
OR,058241
OR,001341
OR,407531
OR,029061
OR,024961
OR,000511
OR,058251
OR,001351
OR,059041
OR,400521
OR,412511
OR,412521
OR,408331
OR,080081
OR,021251
OR,080301
OR,08030UT
OR,00189UT
OR,000591
OR,00059UT
OR,001931
OR,00193UT
OR,04868UT
OR,002011
OR,000671
OR,400561
OR,002002
OR,066382
OR,021421
OR,035341
OR,065991
OR,002741
OR,015931
OR,038561
OR,039021
OR,039022
OR,05908UT
OR,037331
OR,029351
OR,045921
OR,036901
OR,045931
OR,00272UT
OR,055482
OR,055485
OR,003041
OR,00304UT
OR,002691
OR,00269UT
OR,019461
OR,01946UT
OR,003111
OR,02912UT
OR,028281
OR,003401
OR,030091
OR,003381
OR,003391
OR,003471
OR,003411
OR,003611
OR,023891
OR,001531
OR,001591
OR,00159UT
OR,003521
OR,003621
OR,027501
OR,003511
OR,00351UT
OR,003501
OR,003502
OR,00350UT
OR,001631
OR,034331
OR,001681
OR,003541
OR,00354UT
OR,003531
OR,003532
OR,00353UT
OR,059151
OR,016341
OR,017601
OR,037391
OR,400811
OR,400821
OR,023191
OR,003551
OR,050021
OR,050022
OR,022021
OR,035381
OR,401181
OR,013651
OR,077561
OR,02235UT
OR,022361
OR,032431
OR,038611
OR,029212
OR,017412
OR,022482
OR,003961
OR,023481
OR,024191
OR,067601
OR,412561
OR,412571
OR,006351
OR,407861
OR,023021
OR,004221
OR,00422UT
OR,030411S
OR,030421S
OR,021711S
OR,021721S
OR,039512
OR,048041
OR,027251
OR,02725P40
OR,078721
OR,068091
OR,088891
OR,068081
OR,018401
OR,018421
OR,018411
OR,027911
OR,408551
OR,408541
OR,408531
OR,041001
OR,027951
OR,02795UT
OR,048081
OR,058261
OR,058262
OR,027961
OR,027962
OR,02796UT
OR,027971
OR,027972
OR,02797UT
OR,017361
OR,047181
OR,028171
OR,057452
OR,019472
OR,097991
OR,084671
OR,08467UT
OR,098591
OR,09859UT
OR,034201
OR,03420UT
OR,048541
OR,04854UT
OR,078741
OR,097231
OR,09723UT
OR,059461
OR,05946UT
OR,036581
OR,075551
OR,004591
OR,00459UT
OR,098281S
OR,098311S
OR,098271S
OR,066062
OR,067631
OR,067731
OR,031331
OR,03133UT
OR,004721
OR,03647UT
OR,042771
OR,014561
OR,004801
OR,00480UT
OR,402301
OR,004812
OR,004901
OR,004902
OR,035621
OR,035622
OR,031611
OR,090241
OR,021821
OR,049831
OR,049832
OR,049835
OR,085821
OR,085822
OR,08582UT
OR,080762
OR,072241
OR,412611
OR,402361
OR,402351
OR,032271
OR,097211
OR,086821
OR,086831
OR,086841
OR,007051
OR,407711
OR,087021
OR,022831
OR,037511
OR,054971
OR,004891
OR,077121
OR,047511
OR,003121
OR,002991
OR,043401
OR,043402
OR,059741
OR,031771
OR,031772
OR,039581
OR,018221
OR,01822UT
OR,039591
OR,036281
OR,048651
OR,057301
OR,062005
OR,032021
OR,032121
OR,00133P40
OR,084371
OR,077591
OR,07759UT
OR,077581
OR,084631
OR,046682
OR,068351
OR,06835UT
OR,068341
OR,06834UT
OR,071521
OR,086091
OR,07310UT
OR,073101
OR,068361
OR,06836UT
OR,035711
OR,066051
OR,089221
OR,023211
OR,412641
OR,037611
OR,036441
OR,412651
OR,408811
OR,408751
OR,408801
OR,02383UT
OR,412661
OR,028091
OR,086711
OR,037961
OR,03796UT
OR,036481
OR,082571
OR,048591
OR,04859UT
OR,038241
OR,03824UT
OR,038281
OR,03828UT
OR,044041
OR,023081
OR,005231
OR,038291
OR,038331
OR,02145UT
OR,035601
OR,038061
OR,033202
OR,033205
OR,048011
OR,085931
OR,075471
OR,085921
OR,085891
OR,085911
OR,096121
OR,085941
OR,089051
OR,08905UT
OR,089071
OR,089081
OR,035441
OR,056121
OR,096131
OR,067241
OR,067281
OR,013471
OR,067261
OR,065791
OR,096141
OR,096161
OR,067231
