GA#,"Product 
Category",Category 2,Item,Size,"Stock
Type","Fall
Selling
Factor","Item
Selling
Factor","Cold 
Zone","Plant
Rank","Royalty 
Flag",Description,"Orig
Start Date","Ready/
Effective 
Date","Expire 
Date",WO#,Lot#,"Stock 
Location","Assembly 
Seq Priorty","WO 
Status",WIP Qty,F/G Qty,"Unit 
Cost","Extended
Cost","Next 
Location","Qty 
Committed",Qty Held,"Lot 
Status","Release 
Date","Last 
Cycle Count",Memo Lot1,Memo Lot2,Memo Lot3,Item Comment,Item Specs,"Plant Status
Best by Date","Comment 
Expiration 
Date","Intro 
Year","BMP 
Code","Crop 
Code","EQU 
Factor","EQUs
On Hand",Price,Value,
45- 500004,PRN,Hosta,042981,1,S,100,A,04,C,,HOSTA FIRST FROST,08/14/14,05/15/16,11/30/16,158395,158395,4Q 7 E,,45,"1,006",0,2.7285 ,"2,744.90 ",,0,0,,,,,MN green,,,,,,2005,A0,,1.00,"1,006.00 ",5.50 ,"5,533.00 ",
45- 500004,PRN,Hosta,041861,1,S,100,A,04,C,,HOSTA FLUCTUANS VARIEG (SAGAE),04/15/15,04/15/15,10/15/15,0,C3-44196914-14,4MH26,,,0,178,2.1300 ,379.14 ,,0,0,,,11/24/14,,,,DORMANT,,PS0,7/25/2015,1998,A0,,1.00,178.00 ,5.50 ,979.00 ,
45- 500004,PRN,Hosta,041862,2,S,100,A,04,C,,HOSTA FLUCTUANS VARIEG (SAGAE),10/01/15,10/01/15,12/30/15,0,C2A-44196902-14,4J 9 W,,,0,29,4.9000 ,142.10 ,,0,0,,,,-,,,,,,,1998,A0,,2.30,66.70 ,10.50 ,304.50 ,
45- 500004,PRN,Hosta,403491,1,S,100,A,03,,,HOSTA FRAGRANT BOUQUET,07/29/14,05/15/16,11/30/16,157734,157734,4Q 9 W,,45,"1,006",0,2.8522 ,"2,869.33 ",,0,0,,,,,MN green,,,,,,,A0,,1.00,"1,006.00 ",5.50 ,"5,533.00 ",
45- 500004,PRN,Hosta,041691,1,S,100,A,04,C,,HOSTA FRANCEE,09/02/14,05/15/16,11/30/16,159370,159370,4Q 6 W,,45,156,0,2.5360 ,395.61 ,,0,0,,,12/08/14,,MN green,,,,,,1987,A0,,1.00,156.00 ,5.50 ,858.00 ,
45- 500004,PRN,Hosta,041531,1,S,100,A,03,C,,HOSTA GINKO CRAIG,08/27/14,05/15/16,11/30/16,159127,159127,4Q 6 W,,45,912,0,1.9178 ,"1,749.02 ",,0,0,,,,,MN green,,,,,,,A0,,1.00,912.00 ,5.50 ,"5,016.00 ",
45- 500004,PRN,Hosta,041771,1,S,100,A,03,C,,HOSTA GOLDEN PRAYERS,08/10/14,05/15/16,11/30/16,158130,158130,4Q 7 E,,45,924,0,2.1697 ,"2,004.77 ",,0,0,,,,,MN green,,,,,,1992,A0,,1.00,924.00 ,5.50 ,"5,082.00 ",
45- 500004,PRN,Hosta,019911,1,S,100,A,03,C,,HOSTA GREAT EXPECTATIONS,08/12/14,05/15/16,11/30/16,158182,158182,4Q 7 E,,45,933,0,2.2121 ,"2,063.88 ",,0,0,,,,,MN green,,,,,,2008,A0,,1.00,933.00 ,5.50 ,"5,131.50 ",
45- 500004,PRN,Hosta,017521,1,S,100,A,03,C,,HOSTA GUACAMOLE,07/30/14,05/15/16,11/30/16,157719,157719,4Q 9 W,,45,999,0,2.6685 ,"2,665.84 ",,0,0,,,,,MN green,,,,,,2006,A0,,1.00,999.00 ,5.50 ,"5,494.50 ",
45- 500004,PRN,Hosta,031891,1,S,100,A,04,C,,HOSTA HADSPEN BLUE,08/27/14,05/15/16,11/30/16,159128,159128,4Q 6 W,,45,588,0,2.9664 ,"1,744.24 ",,0,0,,,,,MN green,,,,,,2008,A0,,1.00,588.00 ,5.50 ,"3,234.00 ",
45- 500004,PRN,Hosta,017531,1,S,100,A,03,C,,HOSTA JUNE,04/15/15,04/15/15,11/30/15,0,C3-44205614-14,4MH26,2,,0,473,2.1300 ,"1,007.49 ",,0,0,,,11/24/14,,,,DORMANT,,PS0,7/25/2015,2005,A0,,1.00,473.00 ,5.50 ,"2,601.50 ",
45- 500004,PRN,Hosta,041821,1,S,100,A,03,C,,HOSTA KROSSA REGAL,04/15/15,04/15/15,11/30/15,0,C3-44204414-14,4MH26,,,0,107,2.1300 ,227.91 ,,0,0,,,11/24/14,,,,DORMANT,,PS0,7/25/2015,1994,A0,,1.00,107.00 ,5.50 ,588.50 ,
45- 500051,PRN,Hosta,414511X,1X,M,,A,03,,BHC,HOSTA MAGIC ISLAND,02/26/15,06/01/16,12/30/16,0,NB7055,7GH3,,,0,26,0.0000 ,0.00 ,,0,0,,,,,,,,,,,5000,A0,,1.00,26.00 ,0.00 ,0.00 ,
45- 500004,PRN,Hosta,006981,1,S,100,A,03,C,,HOSTA MINUTEMAN,05/23/14,06/16/14,10/15/15,0,C1-44203014-14,4MH17,,,0,30,2.1300 ,63.90 ,,0,30,S,,11/24/14,,,,DORMANT,,PS0,7/25/2015,2004,A0,,1.00,30.00 ,5.50 ,165.00 ,
45- 0,HAT,Subcategory not specified,40801DIS,DIS,P,,A,,,,HOSTA OF THE YEAR PROGRAM,03/31/14,03/31/14,12/31/15,0,40801JM-1,3LD4,,,0,14,0.0000 ,0.00 ,,0,0,,,,,,,,,,,,A0,,1.00,14.00 ,0.00 ,0.00 ,
45- 500004,PRN,Hosta,028391,1,S,100,A,04,C,,HOSTA OLIVE BAILEY LANGDON,02/11/15,04/28/15,11/30/15,162065,162065,4K 4 E,,45,56,0,2.5880 ,144.93 ,,0,0,,,,,MN green,,,,,,2006,A0,,1.00,56.00 ,5.50 ,308.00 ,
45- 500004,PRN,Hosta,40158UT,UT,S,,A,03,,,HOSTA PANDORAS BOX,08/26/14,05/15/15,11/30/15,159141,159141,7GH7,,45,999,0,1.7529 ,"1,751.13 ",,0,0,,,,,MN green,,,,,,,A0,,0.60,599.40 ,3.10 ,"3,096.90 ",
45- 500004,PRN,Hosta,403561,1,S,100,A,03,,,HOSTA PARADIGM,08/14/14,05/15/16,07/01/16,158393,158393,4Q 7 E,,45,575,0,2.8440 ,"1,635.28 ",,0,0,,,09/15/14,,MN green,,,,,,,A0,,1.00,575.00 ,5.50 ,"3,162.50 ",
45- 500004,PRN,Hosta,04188UT,UT,S,100,A,04,B,,HOSTA PATRIOT,08/26/14,05/15/15,11/30/15,159143,159143,7GH7,,45,999,0,1.3871 ,"1,385.73 ",,0,0,,,,,MN green,,,,,,1998,A0,,0.60,599.40 ,3.10 ,"3,096.90 ",
45- 500004,PRN,Hosta,041881,1,S,100,A,04,B,,HOSTA PATRIOT,04/15/15,04/15/15,11/30/15,0,C3-44205314-14,4MH26,,,0,490,2.1300 ,"1,043.70 ",,0,0,,,11/24/14,,,,DORMANT,,PS0,7/25/2015,1998,A0,,1.00,490.00 ,5.50 ,"2,695.00 ",
45- 500004,PRN,Hosta,041882,2,S,100,A,04,B,,HOSTA PATRIOT,04/15/15,04/15/15,11/15/15,0,C3-44205302-14,4J 9 W,,,0,621,4.9000 ,"3,042.90 ",,0,0,,,,,,,,,,,1998,A0,,2.30,"1,428.30 ",10.50 ,"6,520.50 ",
45- 500004,PRN,Hosta,062011,1,S,100,A,03,,,HOSTA PAUL'S GLORY,02/11/15,04/28/15,11/30/15,161871,161871,4K 5 E,,45,720,0,2.7857 ,"2,005.68 ",,0,0,,,,,MN green,,,,,,2010,A0,,1.00,720.00 ,5.50 ,"3,960.00 ",
45- 500004,PRN,Hosta,403571S,1S,S,100,A,03,,,HOSTA PRAIRIE SKY PP17309,10/01/14,10/01/15,10/15/15,0,C2A-44186091-14,4MH7,,,0,234,2.9800 ,697.32 ,,0,0,,,,,MN green,,DORMANT,,PS0,7/28/2015,,A0,,1.40,327.60 ,8.50 ,"1,989.00 ",
45- 500004,PRN,Hosta,403621,1,S,100,A,03,,,HOSTA PRAYING HANDS,08/14/14,05/15/16,11/30/16,158396,158396,4Q 7 E,,45,660,0,2.7274 ,"1,800.09 ",,0,0,,,,,MN green,,,,,,,A0,,1.00,660.00 ,5.50 ,"3,630.00 ",
