Item,Size,Plant Name,,,,,,
074585,#5,HYD MAC LD R STARLIGHT PP20019,,,,,,
015682,#2,HYD MAC MADAME EMILE MOUILLERE,,,,,,
041921,#1,HYD MAC MARIESII VARIEGATA,,,,,,
041925,#5,HYD MAC MARIESII VARIEGATA,,,,,,
041951,#1,HYD MAC MERRITT'S BEAUTY,,,,,,
041961,#1,HYD MAC NIKKO BLUE,,,,,,
041961,#1,HYD MAC NIKKO BLUE,,,,,,
041962,#2,HYD MAC NIKKO BLUE,,,,,,
041965,#5,HYD MAC NIKKO BLUE,,,,,,
041965,#5,HYD MAC NIKKO BLUE,,,,,,
041967,#7,HYD MAC NIKKO BLUE,,,,,,
089932S,SuperTwo,HYD MAC PARAPLU TM PPAF,,,,,,
023751,#1,HYD MAC PENNY MAC,,,,,,
023752,#2,HYD MAC PENNY MAC,,,,,,
023752,#2,HYD MAC PENNY MAC,,,,,,
023755,#5,HYD MAC PENNY MAC,,,,,,
023755,#5,HYD MAC PENNY MAC,,,,,,
023755,#5,HYD MAC PENNY MAC,,,,,,
023757,#7,HYD MAC PENNY MAC,,,,,,
042071,#1,HYD MAC PINK ELF R (PIA),,,,,,
042072,#2,HYD MAC PINK ELF R (PIA),,,,,,
042075,#5,HYD MAC PINK ELF R (PIA),,,,,,
041971,#1,HYD MAC PINK N PRETTY R,,,,,,
041975,#5,HYD MAC PINK N PRETTY R,,,,,,
041981,#1,HYD MAC RED N PRETTY R,,,,,,
041985,#5,HYD MAC RED N PRETTY R,,,,,,
041985,#5,HYD MAC RED N PRETTY R,,,,,,
007445,#5,HYD MAC VARIEGATA,,,,,,
007447,#7,HYD MAC VARIEGATA,,,,,,
089951S,SuperOne TM,HYD P LITTLE QUICK FIRE R PPAF,,,,,,
089951S,SuperOne TM,HYD P LITTLE QUICK FIRE R PPAF,,,,,,
042021,#1,HYD PAN ANGEL'S BLUSH R P10751,,,,,,
042022,#2,HYD PAN ANGEL'S BLUSH R P10751,,,,,,
042025,#5,HYD PAN ANGEL'S BLUSH R P10751,,,,,,
042025,#5,HYD PAN ANGEL'S BLUSH R P10751,,,,,,
080951S,SuperOne TM,HYD PAN BOBO R PP22782,,,,,,
080955,#5,HYD PAN BOBO R PP22782,,,,,,
089941S,SuperOne TM,HYD PAN FIRE LIGHT TM PPAF,,,,,,
089945,#5,HYD PAN FIRE LIGHT TM PPAF,,,,,,
024371S,SuperOne TM,HYD PAN LIMELIGHT PP12874,,,,,,
024371S,SuperOne TM,HYD PAN LIMELIGHT PP12874,,,,,,
024372S,SuperTwo,HYD PAN LIMELIGHT PP12874,,,,,,
024372S,SuperTwo,HYD PAN LIMELIGHT PP12874,,,,,,
024372S,SuperTwo,HYD PAN LIMELIGHT PP12874,,,,,,
024375,#5,HYD PAN LIMELIGHT PP12874,,,,,,
024375,#5,HYD PAN LIMELIGHT PP12874,,,,,,
024375,#5,HYD PAN LIMELIGHT PP12874,,,,,,
024375PT,#5 PATIO TREE,HYD PAN LIMELIGHT PP12874,,,,,,
029922S,SuperTwo,HYD PAN LITTLE LIME PPAF,,,,,,
029922S,SuperTwo,HYD PAN LITTLE LIME PPAF,,,,,,
029922S,SuperTwo,HYD PAN LITTLE LIME PPAF,,,,,,
074611S,SuperOne TM,HYD PAN PINKY WINKY TM PP16166,,,,,,
074611S,SuperOne TM,HYD PAN PINKY WINKY TM PP16166,,,,,,
074611S,SuperOne TM,HYD PAN PINKY WINKY TM PP16166,,,,,,
074612S,SuperTwo,HYD PAN PINKY WINKY TM PP16166,,,,,,
074612S,SuperTwo,HYD PAN PINKY WINKY TM PP16166,,,,,,
074615,#5,HYD PAN PINKY WINKY TM PP16166,,,,,,
074615,#5,HYD PAN PINKY WINKY TM PP16166,,,,,,
074615,#5,HYD PAN PINKY WINKY TM PP16166,,,,,,
074601S,SuperOne TM,HYD PAN QUICK FIRE R PP16812,,,,,,
074601S,SuperOne TM,HYD PAN QUICK FIRE R PP16812,,,,,,
074605,#5,HYD PAN QUICK FIRE R PP16812,,,,,,
041941,#1,HYD PAN TARDIVA,,,,,,
042185,#5,HYD PRINCESS LACE R PP18341,,,,,,
042065,#5,HYD QUER SNOW QUEEN,,,,,,
042045,#5,HYD QUER SNOWFLAKE,,,,,,
042092,#2,HYD QUERCIFOLIA,,,,,,
042035,#5,HYD SER BLUEBIRD,,,,,,
080961S,SuperOne TM,HYD SER TUFF STUFF TM PPAF,,,,,,
080961S,SuperOne TM,HYD SER TUFF STUFF TM PPAF,,,,,,
080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,,,,,,
080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,,,,,,
080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,,,,,,
