160000,27011,CLEM X ERNEST MARKHAM,VIN,3,70,0,23,10,13,$8.50 ,,5/1/2015
160000,27262,CLEM X JACKMANII,VIN,4,256,0,18,6,12,$17.00 ,,5/1/2015
160000,44481,CLEM X JACKMANII SUPERBA,VIN,4,52,0,76,45,31,$8.50 ,,5/1/2015
160000,55205,CLEM X MRS. SPENCER CASTLE,VIN,4,190,190,0,0,190,$28.00 ,,5/1/2015
160000,27065,CLEM X MULTI-BLUE,VIN,4,208,204,40,10,204,$28.00 ,,4/15/2015
160000,27441,CLEM X NELLY MOSER,VIN,4,148,0,75,50,25,$8.50 ,,5/1/2015
160000,27462,CLEM X NIOBE,VIN,4,383,2,22,15,9,$17.00 ,,5/1/2015
160000,27072,CLEM X PINK CHAMPAGNE,VIN,4,42,19,16,9,26,$17.00 ,,5/1/2015
160000,27481,CLEM X RAMONA,VIN,4,95,0,14,10,4,$8.50 ,,5/1/2015
160000,27491,CLEM X ROUGE CARDINAL,VIN,4,129,0,40,30,10,$8.50 ,,5/1/2015
160000,26372,CLEM X TOKI,VIN,4,150,0,40,42,0,$17.00 ,,5/1/2015
550000,36851,FICUS PUMILA,VIN,9,65,65,0,0,65,$3.68 ,SALE,11/1/2014
550000,17275,GELSEMIUM DOUBLE SHOT R,VIN,7,99,0,37,32,5,$24.75 ,,5/15/2015
170000,38161,GELSEMIUM RANKINII,VIN,7,12,12,20,0,12,$6.75 ,,11/25/2014
170000,38101,GELSEMIUM SEMPERVIRENS,VIN,7,"4,083",144,15,15,144,$6.75 ,,
450000,03945FLT,HEDERA HELIX,VIN,5,34,34,0,8,34,$21.00 ,,
160000,88402,HUMULUS X NEWPORT,VIN,5,105,15,0,0,15,$16.00 ,,
160000,35012,HYD PET MIRANDA,VIN,4,499,493,55,32,493,$18.25 ,,5/1/2015
160000,41701,HYD PETIOLARIS,VIN,5,"3,520",0,52,48,4,$8.00 ,,
170000,46581,JASMINUM POLYANTHUM,VIN,8,"2,042","2,042",25,0,"2,042",$6.25 ,,3/1/2015
450000,404632S,LONICERA CRANBERRY VANILLA TM,VIN,4,189,9,18,0,27,$13.00 ,,
170000,59051,LONICERA JAP HALLIANA,VIN,4,287,271,0,0,271,$6.25 ,,12/31/2014
170000,59101,LONICERA JAP PURPUREA,VIN,6,877,278,0,0,278,$6.25 ,,12/31/2014
450000,087561S,LONICERA NITIDA OPHELIA TM,VIN,5,116,116,0,0,116,$5.57 ,SALE,
170000,086361S,LONICERA P SCENTSATION PP16240,VIN,4,53,0,20,12,8,$8.75 ,,11/25/2014
160000,59181,LONICERA PER BERRIES JUBILEE R,VIN,5,234,121,28,15,134,$7.75 ,,5/1/2015
450000,404682,LONICERA SEMP BLANCHE SANDMAN,VIN,5,355,0,9,0,9,$12.50 ,,
170000,59201,LONICERA SEMP MAGNIFICA,VIN,4,"5,728",226,15,20,226,$7.75 ,,
160000,67831,LONICERA SEMP MAJOR WHEELER,VIN,4,32,0,21,10,11,$7.75 ,,5/1/2015
160000,58991,LONICERA X GOLDFLAME,VIN,4,17,0,30,18,12,$7.75 ,,5/1/2015
170000,59111,LONICERA X MANDARIN PP11083,VIN,4,"1,916",0,19,0,19,$7.75 ,,4/1/2015
170000,59381,MACFADYENA UNGUIS-CATI,VIN,9,"1,416",215,0,0,215,$6.75 ,,
170000,61215,MAN MOONLIGHT PARFAIT R P12123,VIN,10,829,8,0,0,8,$26.00 ,,
170000,61195,MAN PNK PRFT R P11787-P6300547,VIN,10,"1,330",6,6,5,7,$26.00 ,,
170000,09238UT,MAN SUN PAR R GARDEN CRIMSON,VIN,10,"5,508","5,508",63,0,"5,508",$4.00 ,,3/1/2015
170000,57082,MAN SUN PAR R GIANT PNK P15202,VIN,10,225,0,16,0,16,$17.00 ,,4/1/2015
170000,57062,MAN SUN PAR R GNT WHITE P11556,VIN,10,92,0,6,0,6,$17.00 ,,10/1/2014
170000,072642BH,MAN SUN PAR R WHITE PP22695,VIN,10,100,1,5,0,6,$13.00 ,,4/1/2015
550000,61291,MAN TANGO TWIRL R P14290,VIN,10,842,747,30,10,767,$8.75 ,,4/1/2015
170000,64155,PANDOREA JAS ALBA LADY DI,VIN,9,483,483,0,0,483,$23.75 ,,3/1/2015
170000,33721,PANDOREA JAS CHARISMA,VIN,9,644,433,0,0,433,$8.00 ,,3/1/2015
170000,64135,PANDOREA JAS ROSEA,VIN,9,367,367,0,0,367,$23.75 ,,3/1/2015
170000,71961,PARTH HENRYANA,VIN,7,312,178,0,0,178,$8.50 ,,3/1/2015
170000,2475,PARTH Q STAR SHOWERS R P10128,VIN,4,887,1,0,0,1,$28.00 ,,3/1/2015
170000,2585,PARTH TRI GREEN SHOWERS,VIN,4,289,0,15,15,0,$27.00 ,,3/1/2015
160000,2505,PARTH TRI VEITCHII,VIN,4,15,15,8,8,15,$27.00 ,,5/1/2015
170000,66601,POLYGONUM AUBERTII,VIN,5,"2,318",0,12,10,2,$7.50 ,,
160000,43462,SCHIZOPHRAGMA ELLIP 8170 DJHV8,VIN,5,115,115,0,0,115,$16.75 ,,
160000,71021,SCHIZOPHRAGMA HYD MOONLIGHT,VIN,6,117,117,22,0,117,$8.00 ,,5/1/2015
170000,70905,SOLANUM JASMINOIDES,VIN,9,403,4,0,0,4,$23.75 ,,
170000,72551,TECOMARIA CAPENSIS,VIN,9,916,236,0,0,236,$7.00 ,,
550000,070051ST,TRACH JASMINOIDES,VIN,8,938,83,45,25,103,$6.75 ,,5/15/2015
550000,012731ST,TRACH JASMINOIDES MADISON,VIN,7,"1,009",0,90,30,60,$6.75 ,,11/1/2014
170000,413401,VIGNA CARA THOMAS JEFFERSON,VIN,10,644,469,0,0,469,$7.00 ,,3/1/2015
170000,76311,VITIS LAB CATAWBA,VIN,4,270,0,19,0,19,$8.00 ,,12/31/2014
450000,407302,VITIS LAB TRAMINETTE,VIN,5,8,8,0,0,8,$9.75 ,,11/15/2014
450000,407242,VITIS VIN CHAMBOURCIN PPAF,VIN,5,2,2,0,0,2,$9.75 ,,10/15/2014
170000,067541S,VITIS VIN PINOT NOIR,VIN,7,824,51,11,0,62,$9.50 ,,
170000,76331,VITIS VIN RUBY SEEDLESS,VIN,7,252,0,15,20,0,$8.00 ,,12/31/2014
550000,76775,WISTERIA FL TEXAS PURPLE,VIN,5,36,0,12,6,6,$21.00 ,,10/1/2014
160000,76811,WISTERIA FRU AMETHYST FALLS,VIN,5,701,2,15,15,2,$8.50 ,,
450000,76845,WISTERIA MAC AUNT DEE,VIN,4,"1,909",866,0,10,866,$22.00 ,,
160000,17341,WISTERIA MAC BLUE MOON,VIN,4,967,0,35,21,14,$8.50 ,,
450000,407415,WISTERIA MAC SUMMER CASCADE,VIN,5,145,0,7,0,7,$21.00 ,,
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,
