Location,Item #,Description,Size,Display, 2015 Price ,USDA Zone,Now Order,Booking
OREGON,038502,MICROBIOTA FUZZBALL TM P20012,#2,CONIFER SPREADING, $16.50 ,02,,
OREGON,064551,PICEA ABIES LITTLE GEM,#1,CONIFER SPREADING, $9.00 ,02,,
OREGON,064552,PICEA ABIES LITTLE GEM,#2,CONIFER SPREADING, $19.00 ,02,,
OREGON,064561,PICEA ABIES NIDIFORMIS,#1,CONIFER SPREADING, $6.50 ,02,,
OREGON,064562,PICEA ABIES NIDIFORMIS,#2,CONIFER SPREADING, $14.00 ,02,,
OREGON,064565,PICEA ABIES NIDIFORMIS,#5,CONIFER SPREADING, $19.75 ,02,,
OREGON,064581,PICEA ABIES PUMILA,#1,CONIFER SPREADING, $6.50 ,02,,
OREGON,064582,PICEA ABIES PUMILA,#2,CONIFER SPREADING, $16.00 ,02,,
OREGON,064585,PICEA ABIES PUMILA,#5,CONIFER SPREADING, $23.50 ,02,,
OREGON,052552,PICEA ABIES PUSCH,#2,CONIFER SPREADING, $19.00 ,02,,
OREGON,049015,PICEA BICOLOR PROSTRATA,#5,CONIFER SPREADING, $41.50 ,05,,
OREGON,064472,PICEA MARIANA NANA,#2,CONIFER SPREADING, $17.75 ,03,,
OREGON,064475,PICEA MARIANA NANA,#5,CONIFER SPREADING, $25.50 ,03,,
OREGON,06469M,PICEA PUN GLOBOSA,#10 Squat,CONIFER SPREADING, $79.00 ,02,,
OREGON,064692,PICEA PUN GLOBOSA,#2,CONIFER SPREADING, $27.50 ,02,,
OREGON,049092,PINUS MUGO BIG TUNA,#2,CONIFER SPREADING, $19.00 ,02,,
OREGON,049095,PINUS MUGO BIG TUNA,#5,CONIFER SPREADING, $23.50 ,02,,
OREGON,048692,PINUS MUGO CARSTENS WINTERGOLD,#2,CONIFER SPREADING, $19.00 ,02,,
OREGON,032742,PINUS MUGO COMPACT SELECT,#2,CONIFER SPREADING, $19.00 ,02,,
OREGON,032745,PINUS MUGO COMPACT SELECT,#5,CONIFER SPREADING, $23.50 ,02,,
OREGON,049075,PINUS MUGO MOPS,#5,CONIFER SPREADING, $23.50 ,02,,
OREGON,065451,PINUS MUGO PUMILIO,#1,CONIFER SPREADING, $7.50 ,02,,
OREGON,06545M,PINUS MUGO PUMILIO,#10 Squat,CONIFER SPREADING, $46.50 ,02,,
OREGON,06545MNT,PINUS MUGO PUMILIO,#10 Squat NATURAL,CONIFER SPREADING, $46.50 ,02,,
OREGON,065459NT,PINUS MUGO PUMILIO,#15 NATURAL,CONIFER SPREADING, $81.00 ,02,,
OREGON,065452,PINUS MUGO PUMILIO,#2,CONIFER SPREADING, $17.50 ,02,,
OREGON,065453,PINUS MUGO PUMILIO,#3,CONIFER SPREADING, $21.50 ,02,,
OREGON,065455,PINUS MUGO PUMILIO,#5,CONIFER SPREADING, $23.50 ,02,,
OREGON,065455NT,PINUS MUGO PUMILIO,#5 NATURAL,CONIFER SPREADING, $23.50 ,02,,
OREGON,049635,PINUS MUGO SHERWOOD COMPACT,#5,CONIFER SPREADING, $23.50 ,02,,
OREGON,051175,PINUS MUGO SLOWMOUND,#5,CONIFER SPREADING, $23.50 ,02,,
OREGON,052532,PINUS MUGO VERY COMPACT,#2,CONIFER SPREADING, $19.00 ,02,,
OREGON,049115,PINUS STROBUS BLUE SHAG,#5,CONIFER SPREADING, $41.50 ,03,,
OREGON,065491,PINUS STROBUS NANA,#1,CONIFER SPREADING, $10.50 ,03,,
OREGON,065495,PINUS STROBUS NANA,#5,CONIFER SPREADING, $41.50 ,03,,
OREGON,065535,PINUS SYL GLAUCA NANA,#5,CONIFER SPREADING, $41.50 ,02,,
OREGON,049145,PINUS SYL GLOBOSA VIRIDIS,#5,CONIFER SPREADING, $41.50 ,03,,
OREGON,035142,PODOCARPUS ALP BLUE GEM,#2,CONIFER SPREADING, $12.50 ,07,,
OREGON,035142ST,PODOCARPUS ALP BLUE GEM,#2 STAKED,CONIFER SPREADING, $16.00 ,07,,
OREGON,035132,PODOCARPUS LAW RED TIP,#2,CONIFER SPREADING, $12.50 ,07,,
OREGON,037052,PODOCARPUS NIV PINK TIP,#2,CONIFER SPREADING, $12.50 ,07,,
OREGON,072342,TAXUS EMERALD SPREADR R P10335,#2,CONIFER SPREADING, $15.00 ,04,,
OREGON,072345,TAXUS EMERALD SPREADR R P10335,#5,CONIFER SPREADING, $22.00 ,04,,
