Location,Item #,Description,Size,Display, 2015 Price ,USDA Zone,Now Order,Booking
OREGON,046835,PINUS THUN THUNDERHEAD,#5,CONIFER UPRIGHT, $41.50 ,05,,
OREGON,050115,TAXODIUM DIS PEVE MINARET,#5,CONIFER UPRIGHT, $41.50 ,05,,
OREGON,053615,TAXODIUM LNDSY SKYWARD PP22812,#5,CONIFER UPRIGHT, $41.50 ,05,,
OREGON,01259M,THUJA GREEN GIANT,#10 Squat,CONIFER UPRIGHT, $55.00 ,04,,
OREGON,012595,THUJA GREEN GIANT,#5,CONIFER UPRIGHT, $22.00 ,04,,
OREGON,07281M,THUJA OC DEGROOT'S SPIRE,#10 Squat,CONIFER UPRIGHT, $55.00 ,03,,
OREGON,072812,THUJA OC DEGROOT'S SPIRE,#2,CONIFER UPRIGHT, $14.00 ,03,,
OREGON,072815,THUJA OC DEGROOT'S SPIRE,#5,CONIFER UPRIGHT, $22.00 ,03,,
OREGON,073011,THUJA OC EMERALD,#1,CONIFER UPRIGHT, $6.25 ,04,,
OREGON,07301M,THUJA OC EMERALD,#10 Squat,CONIFER UPRIGHT, $61.00 ,04,,
OREGON,073019,THUJA OC EMERALD,#15,CONIFER UPRIGHT, $79.00 ,04,,
OREGON,073012,THUJA OC EMERALD,#2,CONIFER UPRIGHT, $14.25 ,04,,
OREGON,073015,THUJA OC EMERALD,#5,CONIFER UPRIGHT, $22.00 ,04,,
OREGON,053931,THUJA OC HIGHLIGHTS TM PP21967,#1,CONIFER UPRIGHT, $7.00 ,05,,
OREGON,05393M,THUJA OC HIGHLIGHTS TM PP21967,#10 Squat,CONIFER UPRIGHT, $59.00 ,05,,
OREGON,053932,THUJA OC HIGHLIGHTS TM PP21967,#2,CONIFER UPRIGHT, $15.50 ,05,,
OREGON,07293M,THUJA OC HOLMSTRUP,#10 Squat,CONIFER UPRIGHT, $55.00 ,03,,
OREGON,072932,THUJA OC HOLMSTRUP,#2,CONIFER UPRIGHT, $14.25 ,03,,
OREGON,03118M,THUJA OC MALONYANA,#10 Squat,CONIFER UPRIGHT, $55.00 ,04,,
OREGON,031185,THUJA OC MALONYANA,#5,CONIFER UPRIGHT, $22.00 ,04,,
OREGON,073055,THUJA OC RUSHMORE,#5,CONIFER UPRIGHT, $22.00 ,04,,
OREGON,07291M,THUJA OC YELLOW RIBBON,#10 Squat,CONIFER UPRIGHT, $55.00 ,03,,
OREGON,072912,THUJA OC YELLOW RIBBON,#2,CONIFER UPRIGHT, $14.25 ,03,,
OREGON,072915,THUJA OC YELLOW RIBBON,#5,CONIFER UPRIGHT, $22.00 ,03,,
CALIFORNIA,073152,THUJA OR WESTMONT,#2,CONIFER UPRIGHT, $14.25 ,06,,
OREGON,03119M,THUJA PLICATA GREEN SPORT,#10 Squat,CONIFER UPRIGHT, $55.00 ,05,,
OREGON,031195,THUJA PLICATA GREEN SPORT,#5,CONIFER UPRIGHT, $22.00 ,05,,
OREGON,01945M,THUJA PLICATA SUNSHINE,#10 Squat,CONIFER UPRIGHT, $55.00 ,05,,
OREGON,019455,THUJA PLICATA SUNSHINE,#5,CONIFER UPRIGHT, $22.00 ,05,,
OREGON,05514M,THUJA X EMBER WAVES TM PP25363,#10 Squat,CONIFER UPRIGHT, $55.00 ,05,,
OREGON,055142,THUJA X EMBER WAVES TM PP25363,#2,CONIFER UPRIGHT, $15.50 ,05,,
OREGON,055145,THUJA X EMBER WAVES TM PP25363,#5,CONIFER UPRIGHT, $24.00 ,05,,
OREGON,072405,THUJA X TINY TOWER R PPAF,#5,CONIFER UPRIGHT, $23.50 ,05,,
OREGON,073285,TSUGA CAN PENDULA,#5,CONIFER UPRIGHT, $46.50 ,04,,
OREGON,073287,TSUGA CAN PENDULA,#7,CONIFER UPRIGHT, $75.00 ,04,,
OREGON,073265,TSUGA CANADENSIS,#5,CONIFER UPRIGHT, $23.50 ,04,,
