Loc,Item,Plant Name,CAT,Zone,,,,,,,,
160000,035931,GR-CAREX DOL KAGA NISHIKI,GRS,05,,,,,,,,
170000,035931,GR-CAREX DOL KAGA NISHIKI,GRS,05,,,,,,,,
160000,022591,GR-CAREX ELATA BOWLES GOLDEN,GRS,05,,,,,,,,
170000,022591,GR-CAREX ELATA BOWLES GOLDEN,GRS,05,,,,,,,,
170000,022661,GR-CAREX GLAUCA,GRS,05,,,,,,,,
160000,035831,GR-CAREX MOR ICE DANCE,GRS,05,,,,,,,,
170000,035831,GR-CAREX MOR ICE DANCE,GRS,05,,,,,,,,
160000,035832,GR-CAREX MOR ICE DANCE,GRS,05,,,,,,,,
170000,022601,GR-CAREX MORROWII AUREA VAR,GRS,05,,,,,,,,
160000,024091,GR-CHASMANTHIUM LATIFOLIUM,GRS,04,,,,,,,,
170000,024091,GR-CHASMANTHIUM LATIFOLIUM,GRS,04,,,,,,,,
170000,038641,GR-CHONDROPETALUM TECTORUM,GRS,08,,,,,,,,
160000,005391,GR-DESCHAMPSIA NORTHERN LIGHTS,GRS,04,,,,,,,,
160000,005392,GR-DESCHAMPSIA NORTHERN LIGHTS,GRS,04,,,,,,,,
160000,089282,GR-DESCHAMPSIA SCHOTTLAND,GRS,04,,,,,,,,
170000,089282,GR-DESCHAMPSIA SCHOTTLAND,GRS,04,,,,,,,,
160000,031941,GR-ELYMUS ARENARIUS BLUE DUNE,GRS,04,,,,,,,,
170000,031941,GR-ELYMUS ARENARIUS BLUE DUNE,GRS,04,,,,,,,,
160000,031942,GR-ELYMUS ARENARIUS BLUE DUNE,GRS,04,,,,,,,,
170000,031942,GR-ELYMUS ARENARIUS BLUE DUNE,GRS,04,,,,,,,,
160000,028051,GR-ERIANTHUS RAVENNAE,GRS,04,,,,,,,,
170000,028051,GR-ERIANTHUS RAVENNAE,GRS,04,,,,,,,,
170000,028052,GR-ERIANTHUS RAVENNAE,GRS,04,,,,,,,,
170000,028055,GR-ERIANTHUS RAVENNAE,GRS,04,,,,,,,,
160000,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS,04,,,,,,,,
170000,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS,04,,,,,,,,
160000,03667UT,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS,04,,,,,,,,
160000,089291,GR-HAKONECHLOA FUBUKI,GRS,04,,,,,,,,
160000,035911,GR-HAKONECHLOA MACRA ALL GOLD,GRS,04,,,,,,,,
170000,035911,GR-HAKONECHLOA MACRA ALL GOLD,GRS,04,,,,,,,,
160000,03591UT,GR-HAKONECHLOA MACRA ALL GOLD,GRS,04,,,,,,,,
160000,038681,GR-HAKONECHLOA MACRA AUREOLA,GRS,04,,,,,,,,
170000,038681,GR-HAKONECHLOA MACRA AUREOLA,GRS,04,,,,,,,,
160000,039971,GR-HELICTOTRICHON SEMPERVIRENS,GRS,04,,,,,,,,
160000,039972,GR-HELICTOTRICHON SEMPERVIRENS,GRS,04,,,,,,,,
170000,089301,GR-JUNCUS EF BIG TWISTER,GRS,05,,,,,,,,
170000,094351,GR-LOMANDRA CN SEASCAPE P20010,GRS,08,,,,,,,,
170000,410541,GR-LOMANDRA KTIE BELLES TM PAF,GRS,08,,,,,,,,
170000,098891,GR-LOMANDRA LON BREEZE PP15420,GRS,08,,,,,,,,
170000,098892,GR-LOMANDRA LON BREEZE PP15420,GRS,08,,,,,,,,
170000,061741,GR-MIS SIN CABARET,GRS,05,,,,,,,,
170000,061742,GR-MIS SIN CABARET,GRS,05,,,,,,,,
170000,061745,GR-MIS SIN CABARET,GRS,05,,,,,,,,
160000,005451,GR-MIS SIN DIXIELAND,GRS,04,,,,,,,,
160000,044581,GR-MIS SIN GOLD BAR PP15193,GRS,05,,,,,,,,
170000,044581,GR-MIS SIN GOLD BAR PP15193,GRS,05,,,,,,,,
160000,044582,GR-MIS SIN GOLD BAR PP15193,GRS,05,,,,,,,,
170000,044582,GR-MIS SIN GOLD BAR PP15193,GRS,05,,,,,,,,
170000,044585,GR-MIS SIN GOLD BAR PP15193,GRS,05,,,,,,,,
160000,061561,GR-MIS SIN GRACILLIMUS,GRS,05,,,,,,,,
170000,061561,GR-MIS SIN GRACILLIMUS,GRS,05,,,,,,,,
170000,061562,GR-MIS SIN GRACILLIMUS,GRS,05,,,,,,,,
170000,061565,GR-MIS SIN GRACILLIMUS,GRS,05,,,,,,,,
170000,044591,GR-MIS SIN LITTLE ZEBRA P13008,GRS,05,,,,,,,,
170000,044592,GR-MIS SIN LITTLE ZEBRA P13008,GRS,05,,,,,,,,
170000,005572,GR-MIS SIN MALEPARTUS,GRS,05,,,,,,,,
160000,061661,GR-MIS SIN MORNING LIGHT,GRS,05,,,,,,,,
170000,061661,GR-MIS SIN MORNING LIGHT,GRS,05,,,,,,,,
170000,061662,GR-MIS SIN MORNING LIGHT,GRS,05,,,,,,,,
160000,061761,GR-MIS SIN PURPURASCENS,GRS,04,,,,,,,,
160000,061765,GR-MIS SIN PURPURASCENS,GRS,04,,,,,,,,
160000,061551,GR-MIS SIN STRICTUS,GRS,04,,,,,,,,
170000,061551,GR-MIS SIN STRICTUS,GRS,04,,,,,,,,
170000,061552,GR-MIS SIN STRICTUS,GRS,04,,,,,,,,
160000,061555,GR-MIS SIN STRICTUS,GRS,04,,,,,,,,
170000,061555,GR-MIS SIN STRICTUS,GRS,04,,,,,,,,
170000,061571,GR-MIS SIN VARIEGATUS,GRS,05,,,,,,,,
170000,061572,GR-MIS SIN VARIEGATUS,GRS,05,,,,,,,,
170000,061575,GR-MIS SIN VARIEGATUS,GRS,05,,,,,,,,
170000,061641,GR-MIS SIN YAKUSHIMA,GRS,05,,,,,,,,
170000,061642,GR-MIS SIN YAKUSHIMA,GRS,05,,,,,,,,
170000,061645,GR-MIS SIN YAKUSHIMA,GRS,05,,,,,,,,
160000,005621,GR-MOLINIA CAER ARUND SKYRACER,GRS,04,,,,,,,,
170000,005621,GR-MOLINIA CAER ARUND SKYRACER,GRS,04,,,,,,,,
160000,005622,GR-MOLINIA CAER ARUND SKYRACER,GRS,04,,,,,,,,
160000,061701,GR-MOLINIA CAER VARIEGATA,GRS,05,,,,,,,,
160000,061704PTC,GR-MOLINIA CAER VARIEGATA,GRS,05,,,,,,,,
170000,061791,GR-PAN VIR HEAVY METAL,GRS,04,,,,,,,,
170000,061795,GR-PAN VIR HEAVY METAL,GRS,04,,,,,,,,
170000,022961,GR-PAN VIR NORTHWIND,GRS,04,,,,,,,,
170000,022962,GR-PAN VIR NORTHWIND,GRS,04,,,,,,,,
160000,063881,GR-PAN VIR SHENANDOAH,GRS,04,,,,,,,,
170000,063881,GR-PAN VIR SHENANDOAH,GRS,04,,,,,,,,
170000,063882,GR-PAN VIR SHENANDOAH,GRS,04,,,,,,,,
160000,063885,GR-PAN VIR SHENANDOAH,GRS,04,,,,,,,,
170000,063885,GR-PAN VIR SHENANDOAH,GRS,04,,,,,,,,
170000,088952,GR-PENN ALO BRGNDY BNNY P21917,GRS,05,,,,,,,,
160000,064261,GR-PENN ALO HAMELN,GRS,04,,,,,,,,
170000,064261,GR-PENN ALO HAMELN,GRS,04,,,,,,,,
160000,064262,GR-PENN ALO HAMELN,GRS,04,,,,,,,,
170000,064262,GR-PENN ALO HAMELN,GRS,04,,,,,,,,
160000,063591,GR-PENN ALO LITTLE BUNNY,GRS,05,,,,,,,,
170000,063591,GR-PENN ALO LITTLE BUNNY,GRS,05,,,,,,,,
160000,06359UT,GR-PENN ALO LITTLE BUNNY,GRS,05,,,,,,,,
170000,063611,GR-PENN ALO MOUDRY,GRS,05,,,,,,,,
170000,063612,GR-PENN ALO MOUDRY,GRS,05,,,,,,,,
170000,044801,GR-PENN OR KARLEY ROSE PP12909,GRS,05,,,,,,,,
170000,044802,GR-PENN OR KARLEY ROSE PP12909,GRS,05,,,,,,,,
170000,064271,GR-PENN SET RUBRUM,GRS,08,,,,,,,,
170000,064272,GR-PENN SET RUBRUM,GRS,08,,,,,,,,
170000,064275,GR-PENN SET RUBRUM,GRS,08,,,,,,,,
160000,049931,GR-RHODOCOMA CAPENSIS,GRS,08,,,,,,,,
160000,086111,GR-SCHIZACH BL HEAVN TM P17310,GRS,03,,,,,,,,
170000,086111,GR-SCHIZACH BL HEAVN TM P17310,GRS,03,,,,,,,,
170000,086112,GR-SCHIZACH BL HEAVN TM P17310,GRS,03,,,,,,,,
170000,005811,GR-SORGHASTRUM SIOUX BLUE,GRS,04,,,,,,,,
170000,005812,GR-SORGHASTRUM SIOUX BLUE,GRS,04,,,,,,,,
170000,005815,GR-SORGHASTRUM SIOUX BLUE,GRS,04,,,,,,,,
160000,012082,GR-SPOROBOLUS HETEROLEPIS,GRS,03,,,,,,,,
160000,073391,GR-TYPHA MINIMA,GRS,04,,,,,,,,
160000,056051,HEBE BARNETTII,EVS,08,,,,,,,,
160000,050921,HEBE IMBRICATA,EVS,08,,,,,,,,
160000,051031,HEBE PIMELEOIDES QUICKSILVER,EVS,08,,,,,,,,
160000,051032,HEBE PIMELEOIDES QUICKSILVER,EVS,08,,,,,,,,
160000,051042,HEBE PINGUIFOLIA PAGEI,EVS,08,,,,,,,,
160000,412821,HELENIUM AUT CAN CAN,PRN,04,,,,,,,,
170000,040001,HELIOTROPIUM ARB IOWA,PRN,09,,,,,,,,
160000,067241,HELLE WJEWELS R APRICOT BLUSH,PRN,04,,,,,,,,
160000,067261,HELLE WJEWELS R CHERRY BLOSSOM,PRN,04,,,,,,,,
170000,067261,HELLE WJEWELS R CHERRY BLOSSOM,PRN,04,,,,,,,,
160000,068041,HELLE WJEWELS R COTTON CANDY,PRN,04,,,,,,,,
160000,412921,HELLE WJEWELS R DBL SLATE,PRN,04,,,,,,,,
160000,096151,HELLE WJEWELS R SPRKLG DIAMOND,PRN,05,,,,,,,,
160000,039991,HELLE X IVORY PRINCE PP16199,PRN,04,,,,,,,,
160000,075431,HELLEBORUS X DOUBLE FANTASY,PRN,03,,,,,,,,
160000,083961,HEM CHICAGO APACHE,PRN,04,,,,,,,,
160000,414791,HEM EVERYDAYLILY PINK WING PAF,PRN,04,,,,,,,,
160000,040511,HEM HAPPY RETURNS,PRN,04,,,,,,,,
160000,040512,HEM HAPPY RETURNS,PRN,04,,,,,,,,
160000,040071,HEM JOAN SENIOR,PRN,04,,,,,,,,
160000,040091,HEM LITTLE BUSINESS,PRN,04,,,,,,,,
160000,040121,HEM LITTLE GRAPETTE,PRN,04,,,,,,,,
160000,040131,HEM MINI PEARL,PRN,04,,,,,,,,
160000,083981,HEM PINK PLAYMATE,PRN,04,,,,,,,,
