Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
OR,1356443,                              ,05/01/14  ,000415MU,#5 CLUMP,ACER CIRCINATUM,Vine Maple                                                                                          ,    ,30.00 ,,27.00 , 5 , 5 , 135.00 ,Not Avl     ,DORMANT,,3.85 , 30.85 ,     ,,     ,014949305638 
OR,1356443,                              ,05/01/14  ,00052M,#10 Squat,ACER JAPONICUM ACONITIFOLIUM,Fernleaf Full-Moon Maple                                                                            ,    ,109.00 ,,98.10 , 2 , 2 , 196.20 ,Now         ,DORMANT,"56""H-24""S",13.87 , 111.97 ,     ,,     ,014949005286 
OR,1356443,                              ,05/01/14  ,01039MST,#10 Squat STAKED,ACER PAL RED DRAGON R,Red Dragon®  Japanese Maple                                                                         ,2011,109.00 ,,98.10 , 2 , 4 , 392.40 ,05/01/14    ,DORMANT,,13.87 , 111.97 ,     ,,     ,014949274002 
CA,1359651,KATIE                         ,05/01/14  ,068792,#2,AGAVE NEOMEXICANA,New Mexico Century Plant                                                                            ,2013,17.75 ,,15.98 , 5 , 5 , 79.90 ,Now         ,-,CAN FULL,3.02 , 19.00 ,     ,,     ,014949327555 
CA,1359651,KATIE                         ,05/01/14  ,001995,#5,ALBIZIA J SUMMER CHOC PP13822,Summer Chocolate Mimosa Tree                                                                        ,2010,33.00 ,,29.70 , 5 , 5 , 148.50 ,Now         ,DORMANT,"54""H",4.03 , 33.73 ,     ,,     ,014949312193 
CA,1359651,KATIE                         ,05/01/14  ,001955,#5,ALBIZIA JUL ROSEA,Mimosa Tree                                                                                         ,    ,25.75 ,,23.18 , 5 , 5 , 115.90 ,Now         ,DORMANT,"54""H",4.03 , 27.21 ,     ,,     ,014949019559 
OR,1356443,                              ,05/01/14  ,001591,#1,ASTILBE BRIDAL VEIL,Bridal Veil®  Astilbe                                                                               ,    ,4.75 ,,4.28 , 10 , 10 , 42.80 ,Now         ,DORMANT,3-5 EYES,0.77 , 5.05 ,     ,,     ,014949000274 
GA,1359652,KATIE                         ,05/01/14  ,003621,#1,ASTILBE CHINENSIS VISIONS,Visions Astilbe                                                                                     ,    ,4.75 ,,4.28 , 10 , 10 , 42.80 ,Now         ,DORMANT,3-5 EYES,0.53 , 4.81 ,     ,,     ,014949036211 
OR,1356443,                              ,05/01/14  ,003501,#1,ASTILBE FANAL,Fanal Astilbe                                                                                       ,    ,4.75 ,,4.28 , 10 , 10 , 42.80 ,Now         ,DORMANT,3-5 EYES,0.77 , 5.05 ,     ,,     ,014949035016 
GA,1359652,KATIE                         ,05/01/14  ,059151,#1,ASTILBE VISION IN PINK PP11860,Visions in Pink Astilbe                                                                             ,2010,4.75 ,,4.28 , 10 , 10 , 42.80 ,04/01/14    ,,,0.53 , 4.81 ,     ,,     ,014949315026 
