Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Cfm,YOUR BOOKED QTY REMAIN,Condition,Current Specs,"QTY 
AVAIL NOW","2ND 
QTY 
AVAIL","2ND 
QTY 
READY DATE",2014 List Price,"YOUR 
20%
DISC PRICE",Freight,Landed Price,YOUR RETAIL PRICE,SKU,UPC#
CA,    ,005252,#2,AZALEA B ROSE GLOW,Rose Glow Azalea                                            ,RHO,09,     ,,BUDS & BLOOMS,"10""H - 12""S", 33 ,     ,          , 14.50 , 11.60 , 1.24 , 12.84 ,     ,,014949052525
CA,    ,005252PT,#2 PATIO TREE,AZALEA B ROSE GLOW,Rose Glow Azalea                                            ,RHO,09,     ,,BUDS & BLOOMS,"12""S", 20 ,     ,          , 28.50 , 22.80 , 1.85 , 24.65 ,     ,,014949052624
CA,    ,005605,#5,AZALEA S BRILLIANT,Brilliant Azalea                                            ,RHO,08,     ,,BUDS,"16""H - 18""S", 247 ,     ,          , 19.75 , 15.80 , 2.47 , 18.27 ,     ,,014949056059
CA,    ,005755PT,#5 PATIO TREE,AZALEA S GEORGE L TABER,George L. Taber Azalea                                      ,RHO,08,     ,,BUDS,"15""S", 88 ,     ,          , 42.50 , 34.00 , 3.71 , 37.71 ,     ,,014949057759
CA,    ,005955,#5,AZALEA S IMP PRINCESS TM,Imperial Princess™  Azalea,RHO,08,     ,,BUDS,"12""H - 12""S", 10 ,     ,          , 19.75 , 15.80 , 2.47 , 18.27 ,     ,,014949059555
CA,    ,006101,#1,AZALEA S L J BOBBINK,L. J. Bobbink Azalea                                        ,RHO,08,     ,,BUDS,"8""H - 8""S", 8 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949061015
CA,    ,006301,#1,AZALEA S PHOENICIA,Phoenicia Azalea                                            ,RHO,08,     ,,BUDS,"10""H - 10""S", 904 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949063019
CA,    ,006305,#5,AZALEA S PHOENICIA,Phoenicia Azalea                                            ,RHO,08,     ,,BUDS,"12""H - 15""S", 85 ,     ,          , 19.75 , 15.80 , 2.47 , 18.27 ,     ,,014949063057
CA,    ,006305PT,#5 PATIO TREE,AZALEA S PHOENICIA,Phoenicia Azalea                                            ,RHO,08,     ,,BUDS,"18""S", 45 ,     ,          , 42.50 , 34.00 , 3.71 , 37.71 ,     ,,014949063156
CA,    ,006505,#5,AZALEA S SOUTHERN CHARM,Southern Charm Azalea                                       ,RHO,08,     ,,BUDS,"14""H - 15""S", 51 ,     ,          , 19.75 , 15.80 , 2.47 , 18.27 ,     ,,014949065051
CA,    ,006505PT,#5 PATIO TREE,AZALEA S SOUTHERN CHARM,Southern Charm Azalea                                       ,RHO,08,     ,,BUDS,"18""S", 325 ,     ,          , 42.50 , 34.00 , 3.71 , 37.71 ,     ,,014949065259
CA,    ,011407,#7,BAM-OTATEA AC AZTECTORUM (CLP),Mexican Weeping Bamboo                                      ,GRS,09,     ,,-,"46""H",     , 3 ,05/01/14  , 70.00 , 56.00 , 6.18 , 62.18 ,     ,,014949114070
CA,    ,011327,#7,BAMBUSA TULDOIDES (CLUMP),Punting Pole Bamboo                                         ,GRS,09,     ,,-,"60""H",     , 148 ,05/01/14  , 70.00 , 56.00 , 6.18 , 62.18 ,     ,,014949113271
CA,2010,064021,#1,BASIL PESTO PERPETUO PP16260,Pesto Perpetuo Basil                                        ,PRN,09,     ,,-,"6""H-6""S", 64 ,,, 4.25 , 3.40 , 0.49 , 3.89 ,     ,,014949315477
CA,2012,079142,#2,BESCHORNERIA FLMNG GLW P22162,Flamingo Glow Mexican Lily                                  ,CAC,09,     ,,-,"10""H", 13 , 490 ,04/30/14  , 18.25 , 14.60 , 1.24 , 15.84 ,     ,,014949357224
CA,    ,012701,#1 STAKED,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                 ,VIN,10,     ,,BUDS & BLOOMS,"24""H"," 4,090 ",     ,          , 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949127018
CA,    ,012705,#5 STAKED,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                 ,VIN,10, 6 ,6,BUDS & BLOOMS,"48""H",     ,     ,          , 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949127056
CA,2012,090122BH,#2 BUSH,BOUG BLUEBERRY ICE,Blueberry Ice Bougainvillea                                 ,VIN,10,     ,,BUDS & BLOOMS,"10""S", 21 ,     ,          , 16.75 , 13.40 , 1.24 , 14.64 ,     ,,014949360415
CA,    ,012901,#1 STAKED,BOUG CAMARILLO FIESTA TM,Camarillo Fiesta™  Bougainvillea,VIN,10,     ,,BUDS,"24""H", 785 , 829 ,04/15/14  , 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949129012
CA,    ,012905,#5 STAKED,BOUG CAMARILLO FIESTA TM,Camarillo Fiesta™  Bougainvillea,VIN,10,     ,,,"48""H",     , 307 ,04/01/14  , 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949129050
CA,    ,012951,#1 STAKED,BOUG CHERRY BLOSSOM,Cherry Blossom Bougainvillea                                ,VIN,10,     ,,BUDS & BLOOMS,"24""H", 307 ,,, 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949129517
CA,    ,012955,#5 STAKED,BOUG CHERRY BLOSSOM,Cherry Blossom Bougainvillea                                ,VIN,10,     ,,,"48""H",     , 109 ,04/01/14  , 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949129555
CA,    ,013031,#1 STAKED,BOUG DON MARIO R,Don Mario®  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,"24""H", 674 ,     ,          , 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949130315
CA,    ,012661,#1 STAKED,BOUG GOLD RUSH TM,Gold Rush™  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,"24""H", 566 ,,, 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949126516
CA,    ,012662,#2 STAKED,BOUG GOLD RUSH TM,Gold Rush™  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,"32""H", 447 ,     ,          , 17.50 , 14.00 , 1.24 , 15.24 ,     ,,014949232071
CA,    ,012665,#5 STAKED,BOUG GOLD RUSH TM,Gold Rush™  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,"48""H", 269 ,,, 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949126554
CA,    ,016482,#2 STAKED,BOUG GOLDEN JACKPOT R,Golden Jackpot®  Bougainvillea,VIN,10,     ,,,,     , 209 ,04/15/14  , 18.50 , 14.80 , 1.24 , 16.04 ,     ,,014949345269
CA,    ,013121,#1 STAKED,BOUG JAMES WALKER,James Walker Bougainvillea                                  ,VIN,10,     ,,BUDS & BLOOMS,"24""H", 957 ,     ,          , 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949131213
CA,    ,013125,#5 STAKED,BOUG JAMES WALKER,James Walker Bougainvillea                                  ,VIN,10, 6 ,6,BUDS & BLOOMS,"48""H", 8 ,     ,          , 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949131251
CA,    ,013205,#5 STAKED,BOUG ORANGE KING,Orange King Bougainvillea                                   ,VIN,10,     ,,BUDS & BLOOMS,"48""H", 62 ,,, 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949132050
CA,    ,013051BH,#1 BUSH,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,"6""H-8""S", 102 ,,, 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949130711
CA,    ,013052,#2 STAKED,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,"30""H", 15 ,     ,          , 17.50 , 14.00 , 1.24 , 15.24 ,     ,,014949130520
CA,    ,013052BH,#2 BUSH,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,"10""H-12""S", 10 ,,, 16.75 , 13.40 , 1.24 , 14.64 ,     ,,014949130728
CA,    ,013055,#5 STAKED,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,3/4ST, 115 ,,, 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949130551
CA,    ,013055BH,#5 BUSH,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,"12""H-15""S", 567 ,     ,          , 21.50 , 17.20 , 2.47 , 19.67 ,     ,,014949130759
CA,    ,013055PT,#5 PATIO TREE,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10, 2 ,2,BUDS & BLOOMS,"18""S", 233 ,     ,          , 38.50 , 30.80 , 3.71 , 34.51 ,     ,,014949130650
CA,    ,013211BH,#1 BUSH,BOUG RASPBERRY ICE,Raspberry Ice Bougainvillea                                 ,VIN,10,     ,,,"6""H - 8""S",     , 358 ,04/01/14  , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949219003
CA,    ,037022BH,#2 BUSH,BOUG RED,                                                            ,VIN,10,     ,,BUDS & BLOOMS,"10""H-12""S"," 1,379 ",     ,          , 16.75 , 13.40 , 1.24 , 14.64 ,     ,,014949372647
CA,    ,037025BH,#5 BUSH,BOUG RED,                                                            ,VIN,10,     ,,BUDS & BLOOMS,"13""H-15""S", 274 ,     ,          , 21.50 , 17.20 , 2.47 , 19.67 ,     ,,014949288085
CA,    ,013231BH,#1 BUSH,BOUG ROSENKA,Rosenka Bougainvillea                                       ,VIN,10,     ,,BUDS & BLOOMS,"6""H-8""S", 762 ,     ,          , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949345276
CA,    ,013235BH,#5 BUSH,BOUG ROSENKA,Rosenka Bougainvillea                                       ,VIN,10,     ,,BUDS & BLOOMS,"12""H-15""S", 5 ,     ,          , 21.50 , 17.20 , 2.47 , 19.67 ,     ,,014949009710
CA,    ,013235PT,#5 PATIO TREE,BOUG ROSENKA,Rosenka Bougainvillea                                       ,VIN,10,     ,,BUDS & BLOOMS,"18""S", 26 ,     ,          , 38.50 , 30.80 , 3.71 , 34.51 ,     ,,014949132852
CA,    ,013251,#1 STAKED,BOUG SCARLETT OHARA(SN DGO RED,Scarlett O'Hara Bougainvillea                               ,VIN,10,     ,,BUDS,"24""H", 482 ,,, 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949132517
CA,    ,013255,#5 STAKED,BOUG SCARLETT OHARA(SN DGO RED,Scarlett O'Hara Bougainvillea                               ,VIN,10,     ,,BUDS & BLOOMS,"48""H", 386 ,,, 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949132555
CA,    ,038141,#1 STAKED,BOUG SHARON WESLEY,Sharon Wesley Bougainvillea                                 ,VIN,10,     ,,BUDS & BLOOMS,"24""H", 162 ,     ,          , 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949233818
CA,    ,038145,#5 STAKED,BOUG SHARON WESLEY,Sharon Wesley Bougainvillea                                 ,VIN,10,     ,,BUDS & BLOOMS,"48""H", 25 ,,, 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949218648
CA,2014,095752BH,#2 BUSH,BOUG SUNVILLEA TM PINK PP22113,Sunvillea™  Pink Dwarf Bougainvillea,VIN,09,     ,,,,     , 12 ,04/15/14  , 17.50 , 14.00 , 1.24 , 15.24 ,     ,,014949378571
CA,    ,013451,#1 STAKED,BOUG TEXAS DAWN TM,Texas Dawn™  Bougainvillea,VIN,10,     ,,BUDS & BLOOMS,"24""H", 31 ,,, 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949134511
CA,    ,012671BH,#1 BUSH,BOUG TORCH GLOW,Torch Glow Bougainvillea                                    ,VIN,10,     ,,BUDS & BLOOMS,"6""H-8""S", 45 ,     ,          , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949345283
CA,2012,090111BH,#1 BUSH,BOUG WHITE STRIPE,White Stripe Bougainvillea                                  ,VIN,09,     ,,BUDS & BLOOMS,"6""H-8""S", 74 ,     ,          , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949360422
CA,    ,013501,#1,BRUNFELSIA FLORIBUNDA,"Yesterday, Today And Tomorrow                               ",EVS,09,     ,,-,"8""H - 6""S",     , 17 ,04/01/14  , 6.25 , 5.00 , 0.49 , 5.49 ,     ,,014949135013
CA,    ,025282,#2,CAESALPINIA GILLIESII,Yellow Bird Of Paradise                                     ,EVS,08,     ,,-,"15""H - 10""S *", 525 ,     ,          , 14.50 , 11.60 , 1.24 , 12.84 ,     ,,014949068465
CA,    ,025285PT,#5 PATIO TREE,CAESALPINIA GILLIESII,Yellow Bird Of Paradise                                     ,EVS,08,     ,,-,"15""S",     , 248 ,04/01/14  , 38.50 , 30.80 , 3.71 , 34.51 ,     ,,014949051436
CA,    ,014351,#1,CALLISTEMON CITRINUS,Scarlet Bottlebrush                                         ,EVS,08,     ,,BUDS,"8""H - 8""S *", 762 ," 1,092 ",04/01/14  , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949143513
CA,    ,014355,#5,CALLISTEMON CITRINUS,Scarlet Bottlebrush                                         ,EVS,08,     ,,BUDS,"20""H - 15""S *", 108 ,     ,          , 20.00 , 16.00 , 2.47 , 18.47 ,     ,,014949143551
CA,    ,014401,#1,CALLISTEMON LITTLE JOHN,Dwarf Bottlebrush                                           ,EVS,08,     ,,BUDS,"8""H - 8""S", 551 ,,, 6.00 , 4.80 , 0.49 , 5.29 ,     ,,014949144015
CA,    ,014402,#2,CALLISTEMON LITTLE JOHN,Dwarf Bottlebrush                                           ,EVS,08,     ,,LIGHT BUDS,"10''H - 10""S", 309 ," 1,302 ",04/01/14  , 14.75 , 11.80 , 1.24 , 13.04 ,     ,,014949045633
CA,    ,014405,#5,CALLISTEMON LITTLE JOHN,Dwarf Bottlebrush                                           ,EVS,08,     ,,BUDS,"14""H - 15""S *", 382 ," 1,353 ",04/15/14  , 20.25 , 16.20 , 2.47 , 18.67 ,     ,,014949144053
CA,    ,023261,#1,CESTRUM FAS NEWELLII,Newell Cestrum                                              ,EVS,08,     ,,-,"13""H - 6""S *",     , 168 ,04/15/14  , 6.00 , 4.80 , 0.49 , 5.29 ,     ,,014949232613
CA,    ,024515,#5,CISTUS BRILLIANCY,Brillancy Rock Rose                                         ,EVS,08,     ,,-,"8""H - 13""S", 65 ,,, 20.25 , 16.20 , 2.47 , 18.67 ,     ,,014949245156
CA,    ,024605,#5,CISTUS PURPUREUS,Purple Rock Rose                                            ,EVS,08,     ,,BUDS,"10""H - 15""S", 75 ,     ,          , 20.25 , 16.20 , 2.47 , 18.67 ,     ,,014949246054
CA,    ,024755,#5,CITRUS BEARSS SEEDLESS LIME,Bearss Seedless Lime                                        ,CIT,09, 5 ,5,-,"15""H-15""S",     ,     ,          , 24.25 , 19.40 , 2.47 , 21.87 ,     ,,014949247556
CA,    ,024755PT,#5 PATIO TREE,CITRUS BEARSS SEEDLESS LIME,Bearss Seedless Lime                                        ,CIT,09,     ,,-,"15""S", 243 ,,, 38.50 , 30.80 , 3.71 , 34.51 ,     ,,014949247655
CA,    ,026262,#2,CITRUS CALAMONDIN VARIEGATA,Variegated Calamondin Orange                                ,CIT,09,     ,,-,"14""H-12""S", 448 ,     ,          , 16.75 , 13.40 , 1.24 , 14.64 ,     ,,014949025963
CA,    ,024795,#5,CITRUS CAMPBELL VALENCIA,Campbell Valencia Orange                                    ,CIT,09,     ,,-,"14""H-15""S", 60 ,,, 24.25 , 19.40 , 2.47 , 21.87 ,     ,,014949247952
CA,    ,024955PT,#5 PATIO TREE,CITRUS DANCY TANGERINE,Dancy Tangerine                                             ,CIT,09,     ,,-,"14""S", 121 ,     ,          , 38.50 , 30.80 , 3.71 , 34.51 ,     ,,014949249659
CA,    ,024745,#5,CITRUS DWF BEARSS SEEDLSS LIME,Dwarf Bearss Seedless Lime                                  ,CIT,09,     ,,-,"14""H-15""S",     , 106 ,04/25/14  , 30.00 , 24.00 , 2.47 , 26.47 ,     ,,014949247457
CA,    ,024812,#2,CITRUS DWF CAMPBELL VALENCIA,Dwarf Campbell Valencia Orange                              ,CIT,09,     ,,-,"10""H-10""S", 10 ,     ,          , 16.75 , 13.40 , 1.24 , 14.64 ,     ,,014949375921
CA,    ,024815,#5,CITRUS DWF CAMPBELL VALENCIA,Dwarf Campbell Valencia Orange                              ,CIT,09,     ,,,"12""H - 15""S",     , 44 ,04/25/14  , 30.00 , 24.00 , 2.47 , 26.47 ,     ,,014949248157
CA,    ,025742,#2,CITRUS DWF LISBON LEMON,Dwarf Lisbon Lemon                                          ,CIT,09,     ,,-,"10""H-10""S", 20 ,     ,          , 16.75 , 13.40 , 1.24 , 14.64 ,     ,,014949375938
CA,    ,025745,#5,CITRUS DWF LISBON LEMON,Dwarf Lisbon Lemon                                          ,CIT,09,     ,,-,"18""H-15""S",     , 74 ,04/25/14  , 30.00 , 24.00 , 2.47 , 26.47 ,     ,,014949257159
CA,    ,024625,#5,CITRUS DWF REDBLUSH GRAPEFRUIT,Dwarf Redblush Grapefruit                                   ,CIT,09,     ,,,"12""H - 15""S",     , 72 ,04/25/14  , 30.00 , 24.00 , 2.47 , 26.47 ,     ,,014949246252
CA,    ,026105,#5,CITRUS DWF WASHINGTON NAVEL,Dwarf Washington Navel Orange                               ,CIT,09,     ,,-,"14""H-15""S",     , 32 ,04/25/14  , 30.00 , 24.00 , 2.47 , 26.47 ,     ,,014949261057
CA,    ,025055,#5,CITRUS EUREKA LEMON,Eureka Lemon                                                ,CIT,09,     ,,,"15""H - 15""S",     , 13 ,04/25/14  , 24.25 , 19.40 , 2.47 , 21.87 ,     ,,014949250556
CA,    ,026001,#1,CITRUS IMPROVED MEYER LEMON,Improved Meyer Lemon                                        ,CIT,09,     ,,BUDS & BLOOMS,"8""H-8""S", 548 ,     ,          , 9.00 , 7.20 , 0.49 , 7.69 ,     ,,014949260012
CA,    ,026002,#2,CITRUS IMPROVED MEYER LEMON,Improved Meyer Lemon                                        ,CIT,09,     ,,-,"14""H-12""S"," 1,369 ",     ,          , 16.75 , 13.40 , 1.24 , 14.64 ,     ,,014949260029
