Loc,Item,Description,,Product,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
550000,099571,AGAPANTHUS BABY PETE TMPP21705,x,EVS,Baby Pete»  Lily Of The Nile                                                                        ,2009,7,,5.6,10,40,224,Now         ,,"4""H",0.5,6.1,     ,,14.99,14949265208
550000,001732,AGAPANTHUS BLUE STORM PP14332,x,EVS,Blue Storm»  Lily Of The Nile                                                                       ,    ,14,,11.2,5,50,560,Now         ,,5-7 FANS,1.26,12.46,     ,,29.99,14949007990
170000,001805,AGAPANTHUS QUEEN ANNE-DIVISION,x,EVS,Queen Anne Lily Of The Nile                                                                         ,    ,18,,14.4,5,19,273.6,Now         ,-,"10""H",4.49,18.89,     ,,39.99,14949018057
170000,021595,AGAVE DESMETTIANA VARIEGATA,x,CAC,Variegated Dwarf Agave                                                                              ,    ,22,,17.6,5,10,176,Now         ,-,"8""H - 14""S",6.73,24.33,     ,,49.99,14949040850
170000,068812,AGAVE POTATORUM KISSHO KAN,x,CAC,Lucky Crown Century Plant                                                                           ,2011,17.75,,14.2,5,10,142,Now         ,-,"4""H - 8""S",3.36,17.56,     ,,34.99,14949327623
170000,025242,AGAVE VICTORIA-REGINAE,x,CAC,Queen Victoria Agave                                                                                ,    ,17.75,,14.2,5,10,142,5/1/14,-,,3.36,17.56,     ,,34.99,14949051337
170000,001995,ALBIZIA J SUMMER CHOC PP13822,x,TRE,Summer Chocolate Mimosa Tree                                                                        ,2010,33,,26.4,5,10,264,Now         ,DORMANT,"54""H",4.49,30.89,     ,,79,14949312193
170000,063801,ALOE DOROTHEAE,x,CAC,Retro Succulents¬  Sunset»  Aloe                                                                    ,2010,7,,5.6,10,30,168,Now         ,-,"4""S",0.9,6.5,     ,,14.99,14949314951
170000,063791,ALOE HYBRID CHRISTMAS CAROL,x,CAC,Christmas Carol Aloe                                                                                ,2011,8,,6.4,10,30,192,4/1/14,,,0.9,7.3,     ,,14.99,14949314944
550000,002002,ALPINIA ZERUMBET VARIEGATA,x,PRN,Variegated Shell Ginger                                                                             ,    ,15.5,,12.4,5,30,372,5/1/14,,,1.26,13.66,     ,,29.99,14949000786
