Loc,Item,Description,,Product,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
550000,003151,ASPARAGUS MYERS,x,FRN,Foxtail Fern                                                                                        ,    ,7.5,,6,10,60,360,Now         ,,"8""H",0.5,6.5,     ,,14.99,14949031513
550000,012701,BOUG BARBARA KARST,x,VIN,Barbara Karst Bougainvillea                                                                         ,    ,7,,5.6,10,25,140,Now         ,BUDS & BLOOMS,"24""H",0.5,6.1,     ,,14.99,14949127018
550000,012705,BOUG BARBARA KARST,x,VIN,Barbara Karst Bougainvillea                                                                         ,    ,23,,18.4,5,15,276,Now         ,BUDS & BLOOMS,"48""H",2.52,20.92,     ,,39.99,14949127056
550000,012705PT,BOUG BARBARA KARST,x,VIN,Barbara Karst Bougainvillea                                                                         ,    ,38.5,,30.8,2,12,369.6,Now         ,,"18""S",3.78,34.58,     ,,79,14949127155
550000,035041,BOUG BENGAL ORANGE,x,VIN,Bengal Orange Bougainvillea                                                                         ,    ,7,,5.6,10,25,140,Now         ,BUDS & BLOOMS,"24""H",0.5,6.1,     ,,14.99,14949205624
550000,035045PT,BOUG BENGAL ORANGE,x,VIN,Bengal Orange Bougainvillea                                                                         ,    ,38.5,,30.8,2,6,184.8,Now         ,BUDS & BLOOMS,"18""S",3.78,34.58,     ,,79,14949240649
550000,013265PT,BOUG OO-LA-LA R,x,VIN,Oo-La-La¬  Bougainvillea                                                                            ,    ,38.5,,30.8,2,6,184.8,Now         ,,"18""S",3.78,34.58,     ,,79,14949132753
550000,013205,BOUG ORANGE KING,x,VIN,Orange King Bougainvillea                                                                           ,    ,23,,18.4,5,10,184,Now         ,,"48""H",2.52,20.92,     ,,39.99,14949132050
550000,013051,BOUG PURPLE QUEEN R,x,VIN,Purple Queen¬  Bougainvillea                                                                        ,    ,7.5,,6,10,25,150,Now         ,,"24""H",0.5,6.5,     ,,14.99,14949130513
550000,013051BH,BOUG PURPLE QUEEN R,x,VIN,Purple Queen¬  Bougainvillea                                                                        ,    ,6.75,,5.4,10,22,118.8,4/1/14,,,0.5,5.9,     ,,12.99,14949130711
550000,013052BH,BOUG PURPLE QUEEN R,x,VIN,Purple Queen¬  Bougainvillea                                                                        ,    ,16.75,,13.4,5,15,201,3/3/14,,,1.26,14.66,     ,,29.99,14949130728
550000,013055,BOUG PURPLE QUEEN R,x,VIN,Purple Queen¬  Bougainvillea                                                                        ,    ,23,,18.4,5,20,368,3/10/14,,,2.52,20.92,     ,,39.99,14949130551
550000,013055PT,BOUG PURPLE QUEEN R,x,VIN,Purple Queen¬  Bougainvillea                                                                        ,    ,38.5,,30.8,2,20,616,Now         ,BUDS,"18""S",3.78,34.58,     ,,79,14949130650
550000,013211,BOUG RASPBERRY ICE,x,VIN,Raspberry Ice Bougainvillea                                                                         ,    ,7,,5.6,10,25,140,Now         ,BUDS & BLOOMS,"24""H",0.5,6.1,     ,,14.99,14949132111
550000,013215,BOUG RASPBERRY ICE,x,VIN,Raspberry Ice Bougainvillea                                                                         ,    ,23,,18.4,5,15,276,Now         ,,"48""H",2.52,20.92,     ,,39.99,14949132159
550000,013215PT,BOUG RASPBERRY ICE,x,VIN,Raspberry Ice Bougainvillea                                                                         ,    ,38.5,,30.8,2,6,184.8,Now         ,,"18""S",3.78,34.58,     ,,79,14949131855
550000,029212,CANNA TROP BLACK TM PP21350,x,PRN,Tropicanna¬  Black Canna                                                                            ,    ,18.5,QTYDISC,12.95,5,100,"1,295.00",4/1/14,,,1.26,14.21,     ,,29.99,14949065921
170000,017412,CANNA TROPICANNA GLD TM P13809,x,PRN,Tropicanna¬  Gold Canna                                                                             ,    ,18.5,,14.8,5,50,740,Now         ,EMERGING,3-5 EYES,2.24,17.04,     ,,29.99,14949010969
550000,022482,CANNA TROPICANNA TM PP10569,x,PRN,Tropicanna¬  Canna                                                                                  ,    ,18.5,QTYDISC,12.95,5,150,"1,942.50",4/1/14,,,1.26,14.21,     ,,29.99,14949224823
170000,024751,CITRUS BEARSS SEEDLESS LIME,x,CIT,Bearss Seedless Lime                                                                                ,    ,9,,7.2,10,40,288,Now         ,-,"10""H-10""S",0.9,8.1,     ,,19.99,14949247518
170000,024752PT,CITRUS BEARSS SEEDLESS LIME,x,CIT,Bearss Seedless Lime                                                                                ,    ,30,,24,5,8,192,4/25/14,,,3.36,27.36,     ,,49.99,14949375860
170000,024755PT,CITRUS BEARSS SEEDLESS LIME,x,CIT,Bearss Seedless Lime                                                                                ,    ,38.5,,30.8,2,10,308,4/25/14,,,6.73,37.53,     ,,79,14949247655
170000,026002,CITRUS IMPROVED MEYER LEMON,x,CIT,Improved Meyer Lemon                                                                                ,    ,16.75,,13.4,5,10,134,Now         ,-,"14""H-12""S",2.24,15.64,     ,,29.99,14949260029
170000,026002PT,CITRUS IMPROVED MEYER LEMON,x,CIT,Improved Meyer Lemon                                                                                ,    ,30,,24,5,30,720,Now         ,BUDS & BLOOMS,"10""S",3.36,27.36,     ,,49.99,14949367483
170000,026005PT,CITRUS IMPROVED MEYER LEMON,x,CIT,Improved Meyer Lemon                                                                                ,    ,38.5,,30.8,2,20,616,Now         ,LIGHT FRUIT,"15""S",6.73,37.53,     ,,79,14949260159
170000,025602PT,CITRUS KUMQUAT NAGAMI,x,CIT,Nagami Kumquat                                                                                      ,    ,30,,24,5,10,240,Now         ,FULL FRUIT,"10""S",3.36,27.36,     ,,49.99,14949375990
170000,026052PT,CITRUS WASHINGTON NAVEL ORANGE,x,CIT,Washington Navel Orange                                                                             ,    ,30,,24,5,10,240,Now         ,-,"10""S",2.24,26.24,     ,,49.99,14949376102
170000,026055PT,CITRUS WASHINGTON NAVEL ORANGE,x,CIT,Washington Navel Orange                                                                             ,    ,38.5,,30.8,2,5,154,4/25/14,,,6.73,37.53,     ,,79,14949260654
550000,024175,COLOCASIA ANT ILLUSTRIS,x,PRN,Imperial Taro                                                                                       ,    ,20,,16,5,15,240,3/15/14,,,2.52,18.52,     ,,39.99,14949207284
550000,024205,COLOCASIA ESC BLACK MAGIC,x,PRN,Black Magic Elephant Ear                                                                            ,    ,20,,16,5,15,240,Now         ,,"15""H",2.52,18.52,     ,,39.99,14949207277
550000,031732,CORD FESTIVAL TM BRGNDY P14224,x,EVS,Festival»  Burgundy Cordyline                                                                       ,    ,15.5,,12.4,5,10,124,5/15/14,,,1.26,13.66,     ,,29.99,14949040676
550000,031721,CORDYLINE BAUERI,x,EVS,Bauer's Dracaena Palm                                                                               ,    ,7.5,,6,10,60,360,Now         ,EXCEPTIONAL / ATTR'CTV FOLIAGE,"18""H",0.5,6.5,     ,,14.99,14949317211
170000,031725,CORDYLINE BAUERI,x,EVS,Bauer's Dracaena Palm                                                                               ,    ,27,,21.6,5,20,432,Now         ,-,"22""H",4.49,26.09,     ,,49.99,14949317259
550000,017421,CORDYLINE RED STAR,x,EVS,Red Star Dracaena Palm                                                                              ,    ,8,,6.4,10,60,384,4/1/14,,,0.5,6.9,     ,,14.99,14949005149
170000,035572PT,EURYOPS PECT VIRIDIS,x,EVS,Green-Leaved Euryops                                                                                ,    ,24,,19.2,5,10,192,Now         ,BUDS & BLOOMS,"12""S",3.36,22.56,     ,,49.99,14949355824
170000,035901,FERN-ALSOPHILA AUSTRALIS,x,FRN,Australian Tree Fern                                                                                ,    ,6.5,,5.2,10,11,57.2,Now         ,-,"12""H",0.9,6.1,     ,,14.99,14949359013
170000,035905,FERN-ALSOPHILA AUSTRALIS,x,FRN,Australian Tree Fern                                                                                ,    ,21.75,,17.4,5,10,174,Now         ,-,"36""H",4.49,21.89,     ,,39.99,14949359051
170000,036785,FICUS CAR BROWN TURKEY,x,TRE,Brown Turkey Fig                                                                                    ,    ,27,,21.6,5,10,216,Now         ,BREAKING DORMANCY,"34""H",4.49,26.09,     ,,59,14949367858
170000,036795,FICUS CAR KADOTA,x,TRE,Kadota Fig                                                                                          ,    ,27,,21.6,5,5,108,Now         ,BREAKING DORMANCY,"36""H",4.49,26.09,     ,,59,14949367957
170000,036815,FICUS CAR MISSION,x,TRE,Mission Fig                                                                                         ,    ,27,,21.6,5,5,108,Now         ,BREAKING DORMANCY,"36""H",4.49,26.09,     ,,59,14949368152
550000,037701SPT,GARDENIA AUGUST BEAUTY,x,EVS,August Beauty Gardenia                                                                              ,    ,15,,12,5,20,240,Now         ,BUDS,"10""S",0.84,12.84,     ,,24.99,14949221006
550000,037801,GARDENIA VEITCHII,x,EVS,Everblooming Gardenia                                                                               ,    ,6,,4.8,10,75,360,Now         ,,"8""H - 8""S",0.5,5.3,     ,,14.99,14949378014
550000,022201,GR-PENN SET FIREWORKS PP18504,x,GRS,Fireworks Fountain Grass                                                                            ,2010,7,,5.6,10,60,336,Now         ,,"6""H",0.5,6.1,     ,,14.99,14949312308
550000,022205,GR-PENN SET FIREWORKS PP18504,x,GRS,Fireworks Fountain Grass                                                                            ,2010,18.75,,15,5,20,300,Now         ,PLUMES,"15""H",2.52,17.52,     ,,39.99,14949346839
550000,022261,GR-PENN SET SKY ROCKET PP21497,x,GRS,Sky Rocket Fountain Grass                                                                           ,2012,7,,5.6,10,60,336,4/1/14,,,0.5,6.1,     ,,14.99,14949358917
550000,040802,HIB R AMOUR,x,EVS,Amour Hibiscus                                                                                      ,    ,13.75,,11,5,25,275,Now         ,BUDS & BLOOMS,"16""H - 12""S",1.01,12.01,     ,,29.99,14949355312
550000,040985,HIB R CHERIE,x,EVS,Cherie Hibiscus                                                                                     ,    ,20.5,,16.4,5,15,246,Now         ,BUDS & BLOOMS,"21""H - 15""S",2.52,18.92,     ,,39.99,14949409855
550000,025205,HIB R ERIN RACHEL,x,EVS,Erin Rachel Hibiscus                                                                                ,    ,20.5,,16.4,5,10,164,Now         ,BUDS & BLOOMS,"21"" H- 15""S",2.52,18.92,     ,,39.99,14949049990
550000,025205PT,HIB R ERIN RACHEL,x,EVS,Erin Rachel Hibiscus                                                                                ,    ,38.5,,30.8,2,6,184.8,3/1/14,,,3.78,34.58,     ,,79,14949260609
550000,041205,HIB R FULLMOON R,x,EVS,Fullmoon¬  Hibiscus                                                                                 ,    ,20.5,,16.4,5,10,164,4/1/14,,,2.52,18.92,     ,,39.99,14949412053
550000,041205PT,HIB R FULLMOON R,x,EVS,Fullmoon¬  Hibiscus                                                                                 ,    ,38.5,,30.8,2,6,184.8,Now         ,BUDS & BLOOMS,"18""S",3.78,34.58,     ,,79,14949412251
550000,041251,HIB R GOLDEN DUST,x,EVS,Golden Dust Hibiscus                                                                                ,    ,6.5,,5.2,10,50,260,Not Avl     ,,,0.5,5.7,     ,,     ,14949412510
550000,041255PT,HIB R GOLDEN DUST,x,EVS,Golden Dust Hibiscus                                                                                ,    ,38.5,,30.8,2,6,184.8,Now         ,BUDS & BLOOMS,"18""S",3.78,34.58,     ,,79,14949412657
550000,041305,HIB R HULA GIRL,x,EVS,Hula Girl Hibiscus                                                                                  ,    ,20.5,,16.4,5,15,246,4/1/14,,,2.52,18.92,     ,,39.99,14949413050
550000,091425,HIB R RED DARLING R,x,EVS,Red Darling¬  Hibiscus                                                                              ,2012,21.5,,17.2,5,30,516,4/1/14,,,2.52,19.72,     ,,39.99,14949352403
550000,091425PT,HIB R RED DARLING R,x,EVS,Red Darling¬  Hibiscus                                                                              ,2012,38.5,,30.8,2,12,369.6,Now         ,,"18""S",3.78,34.58,     ,,79,14949360316
550000,041595PT,HIB R THE PATH,x,EVS,The Path Hibiscus                                                                                   ,    ,38.5,,30.8,2,15,462,Now         ,BUDS & BLOOMS,"18""S",3.78,34.58,     ,,79,14949260623
170000,071781,JASMINUM SAMBAC,x,EVS,Arabian Jasmine                                                                                     ,2011,7,,5.6,10,30,168,4/1/14,-,,0.9,6.5,     ,,14.99,14949329689
170000,071782,JASMINUM SAMBAC,x,EVS,Arabian Jasmine                                                                                     ,2011,15.5,,12.4,5,15,186,4/1/14,-,,2.24,14.64,     ,,29.99,14949329696
550000,009133PT,LANTANA CAM MOZELLE,x,PRN,Mozelle Lantana                                                                                     ,    ,34,,27.2,2,10,272,3/1/14,,,3.02,30.22,     ,,59,14949053065
550000,056631SPT,LANTANA CHAPEL HILL YLW P19548,x,PRN,Chapel Hill Yellow Lantana                                                                          ,2009,15,,12,5,12,144,4/1/14,,,0.84,12.84,     ,,24.99,14949282786
550000,056633PT,LANTANA CHAPEL HILL YLW P19548,x,PRN,Chapel Hill Yellow Lantana                                                                          ,2009,34,,27.2,2,4,108.8,4/1/14,,,3.02,30.22,     ,,59,14949263495
550000,056953PT,LANTANA CONFETTI TM,x,PRN,Confetti»  Spreading Lantana                                                                        ,    ,34,,27.2,2,15,408,3/1/14,,,3.02,30.22,     ,,59,14949032299
550000,009093PT,LANTANA NEW GOLD,x,PRN,New Gold Lantana                                                                                    ,    ,34,,27.2,2,6,163.2,3/7/14,,,3.02,30.22,     ,,59,14949006139
550000,057231SPT,LANTANA S LAVENDER SWIRL R,x,PRN,Lavender Swirl¬  Trailing Lantana                                                                   ,    ,15,,12,5,10,120,4/1/14,,,0.84,12.84,     ,,24.99,14949154014
550000,057201SPT,LANTANA TANGERINE TM,x,PRN,Tangerine»  Spreading Lantana                                                                       ,    ,15,,12,5,10,120,4/1/14,,,0.84,12.84,     ,,24.99,14949260678
550000,057203PT,LANTANA TANGERINE TM,x,PRN,Tangerine»  Spreading Lantana                                                                       ,    ,34,,27.2,2,10,272,Now         ,,"15""S",3.02,30.22,     ,,59,14949032329
550000,024461,LANTANA TEENIE GENIE R PP17612,x,PRN,Teenie Genie¬  Compact Lantana                                                                      ,    ,5.5,,4.4,10,75,330,4/1/14,,,0.5,4.9,     ,,12.99,14949048870
170000,05729EPT,LAURUS NOBILIS,x,EVS,Sweet Bay                                                                                           ,    ,15.5,,12.4,10,20,248,3/15/14,-,,1.35,13.75,     ,,29.99,14949063606
550000,061201,MAN ALICE DU PONT,x,VIN,Alice Du Pont Mandevilla                                                                            ,    ,7.75,,6.2,10,30,186,4/15/14,,,0.5,6.7,     ,,19.99,14949612019
550000,061205,MAN ALICE DU PONT,x,VIN,Alice Du Pont Mandevilla                                                                            ,    ,26,,20.8,5,10,208,4/15/14,,,2.52,23.32,     ,,49.99,14949612057
170000,061195,MAN PNK PRFT R P11787-P6300547,x,VIN,Pink Parfait¬  Mandevilla                                                                           ,    ,26,,20.8,5,20,416,4/1/14,,,4.49,25.29,     ,,49.99,14949780657
550000,061241BH,MAN RED RIDING HOOD,x,VIN,Red Riding Hood Mandevilla                                                                          ,    ,7.25,,5.8,10,30,174,4/1/14,,,0.5,6.3,     ,,19.99,14949231807
550000,061245ST,MAN RED RIDING HOOD,x,VIN,Red Riding Hood Mandevilla                                                                          ,    ,26,,20.8,5,21,436.8,Now         ,BUDS & BLOOMS,"48""H",2.52,23.32,     ,,49.99,14949612552
170000,072655,MAN SUN PAR R CARMINE KING PAF,x,VIN,Sun Parasol¬  Carmine King»  Mandevilla                                                             ,2011,26,,20.8,5,10,208,4/1/14,,,4.49,25.29,     ,,49.99,14949345238
550000,09238UT,MAN SUN PAR R GARDEN CRIMSON,x,VIN,Sun Parasol¬  Garden Crimson Mandevilla                                                             ,New ,4,QTYDISC,2.8,16,200,560,4/1/14,,,0.38,3.18,     ,,7.99,14949377062
170000,057062,MAN SUN PAR R GNT WHITE P11556,x,VIN,Sun Parasol¬  Giant White Mandevilla                                                                ,2010,17,,13.6,5,6,81.6,4/1/14,,,2.24,15.84,     ,,29.99,14949311134
170000,057072,MAN SUN PAR R PRTY PNK P19399,x,VIN,Sun Parasol¬  Pretty Pink Mandevilla                                                                ,2011,17,,13.6,5,20,272,4/15/14,,,2.24,15.84,     ,,29.99,14949290002
550000,061291,MAN TANGO TWIRL R P14290,x,VIN,Tango Twirl¬  Mandevilla                                                                            ,    ,8.75,,7,10,30,210,4/15/14,,,0.5,7.5,     ,,19.99,14949612910
170000,061295,MAN TANGO TWIRL R P14290,x,VIN,Tango Twirl¬  Mandevilla                                                                            ,    ,26,,20.8,5,10,208,4/1/14,,,4.49,25.29,     ,,49.99,14949612934
170000,016605,MAN X CRIMSON JEWEL R,x,VIN,Crimson Jewel¬  Mandevilla                                                                          ,    ,26,,20.8,5,20,416,4/1/14,,,4.49,25.29,     ,,49.99,14949058664
170000,061935,MUSA ACUM ENANO GIGANTE,x,PRN,Dwarf Giant Banana                                                                                  ,    ,27,,21.6,5,10,216,Now         ,-,"30""H",4.49,26.09,     ,,59,14949619353
550000,061945,MUSA ACUM ZEBRINA,x,PRN,Blood Banana                                                                                        ,    ,27,,21.6,5,25,540,4/1/14,,,2.52,24.12,     ,,59,14949619452
550000,066375PT,PLUMBAGO ROYAL CAPE R,x,EVS,Royal Cape¬  Plumbago                                                                               ,    ,38.5,,30.8,2,15,462,Now         ,,"15""S",3.78,34.58,     ,,79,14949663455
170000,070282PY,ROSMARINUS OFF TUSCAN BLUE,x,EVS,Tuscan Blue Rosemary                                                                                ,    ,25,,20,5,10,200,4/15/14,-,,2.24,22.24,     ,,49.99,14949062883
170000,070285PY,ROSMARINUS OFF TUSCAN BLUE,x,EVS,Tuscan Blue Rosemary                                                                                ,    ,38.5,,30.8,2,1,30.8,5/15/14,-,,4.49,35.29,     ,,79,14949062890
170000,07028EPT,ROSMARINUS OFF TUSCAN BLUE,x,EVS,Tuscan Blue Rosemary                                                                                ,    ,15.5,,12.4,10,20,248,4/15/14,-,,1.35,13.75,     ,,29.99,14949063583
170000,07028EST,ROSMARINUS OFF TUSCAN BLUE,x,EVS,Tuscan Blue Rosemary                                                                                ,    ,15.5,,12.4,     ,20,248,3/15/14,-,,0.9,13.3,     ,,29.99,14949357880
550000,011881,SETCREASEA PALLIDA,x,PRN,Purple Heart                                                                                        ,    ,4.75,,3.8,10,60,228,Now         ,,CAN FULL,0.5,4.3,     ,,9.99,14949023921
170000,071755,STRELITZIA REGINAE,x,EVS,Bird Of Paradise                                                                                    ,    ,21.5,,17.2,5,7,120.4,Now         ,-,"24""H",4.49,21.69,     ,,59,14949717554
550000,047912,STROMANTHE SANG TRIOSTAR,x,PRN,Triostar Stromanthe                                                                                 ,2010,13.5,,10.8,5,25,270,Now         ,,"14""S",1.26,12.06,     ,,29.99,14949260180
550000,070051ST,TRACH JASMINOIDES,x,VIN,Star Jasmine                                                                                        ,    ,6.75,,5.4,10,60,324,Now         ,,"21""H",0.5,5.9,     ,,14.99,14949700419
