Loc,New Plant,Item,Size,Plant Name,
GA,2012,078762S,SuperTwo,AZ BLM-A-THON TM DB PK PP21477,
GA,2013,078771S,SuperOne TM,AZ BLM-A-THON TM RED PP21562,
GA,2013,078782S,SuperTwo,AZ BLM-A-THON TM WHITE PP21512,
OR,    ,030462,#2,RHOD (H-1) ELVIIRA,
OR,    ,018012,#2,RHOD (H-1) HAAGA,
OR,    ,030215,#5,RHOD (H-1) MIKKELI,
OR,2010,019775,#5,RHOD (H-1) RTR HOOPLA,
OR,2013,020195,#5,RHOD (H-1) RTR MARCH MADNESS,
OR,    ,019742,#2,RHOD (H-1) RTR SLAM DUNK,
OR,2011,019892,#2,RHOD (H-1) WOJNAR'S PURPLE,
OR,    ,010202,#2,RHOD (H-2) SCARLET WONDER DWRF,
OR,    ,010191,#1,RHOD (H-2) SNEEZY,
OR,    ,009492,#2,RHOD (H-3) HOTEI,
OR,2010,026385,#5,RHOD (H-3) RAC ROCK ROSE,
OR,    ,010295,#5,RHOD (H-3) TAURUS,
CA,2013,079572,#2,ROSA FLWR CAR R PNK SPLSH PPAF,
GA,2011,074962S,SuperTwo,ROSA OSO EASY R CHERRYPIE PPAF,
GA,2011,075002S,SuperTwo,ROSA OSO EASY R HONEY BUN PPAF,
CA,2013,080721S,SuperOne TM,ROSA OSO EASY R MNGO SALSA PAF,
CA,2011,074982S,SuperTwo,ROSA OSO EASY R PAPRIKA PPAF,
OR,2013,080731S,SuperOne TM,ROSA OSO EASY R STBY CR P20601,
OR,2011,074972S,SuperTwo,ROSA OSO HPY TM CNDY OH!P20471,
GA,2013,089102,#2,ROSA SUNROSA TM SOFT PINK,
OR,2013,081502,#2,ROSA SWT SPOT TM PEACH PPAF,
CA,    ,090795ST,#5 STAKED,ROSA-CL-CECILE BRUNNER,
CA,    ,037125ST,#5 STAKED,ROSA-CL-CRIMSON SKY TM PP18564,
CA,    ,051105ST,#5 STAKED,ROSA-CL-EDEN CLIMBER R,
CA,    ,051095ST,#5 STAKED,ROSA-CL-GARDEN SUN TM PPAF,
CA,    ,069445ST,#5 STAKED,ROSA-CL-JOSEPH'S COAT,
CA,2011,075415ST,#5 STAKED,ROSA-CL-SKY'S THE LIMIT TM PAF,
OR,2010,058912,#2,ROSA-CL-WILLIAM BAFFIN,
OR,    ,049405,#5,ACER PAL KAMAGATA,
OR,    ,018345,#5,ACER PAL OSAKAZUKI,
OR,2014,049585,#5,ACER PSEUDO ESKIMO SUNSET,
OR,2010,030335,#5,ACER SHIR AUTUMN MOON,
OR,    ,031555,#5,DAPHNIPHYLLUM MACROPODUM,
OR,    ,025675,#5,DAVIDIA INVOLUCRATA,
OR,    ,006665,#5,HEPTACODIUM MICONIOIDES,
GA,2010,039865,#5,QUERCUS NUTTALLII CHARISMA R,
OR,2014,032985,#5,STYRAX FRAG FOUNTAIN TM P19664,
OR,2011,053125,#5,TROCHODENDRON ARALIOIDES,
OR,2013,056525,#5,ULMUS X FRONTIER,
OR,    ,001495,#5 STAKED,ACTINIDIA KOLOMIKTA,
OR,    ,090681,#1 STAKED,CLEM ALP CONSTANCE,
