Item,Size,Plant Name,Botanical Name,Common Name,Category 2
028343,#3,ABELIA GRA KALEIDOSCOPE P16988,"Abelia x grandiflora 'Kaleidoscope' P.P.# 16,988            ",Kaleidoscope Abelia                                         ,Evergreen sumr flower'g shrub
003015,#5,BUXUS CHICAGOLAND GREEN R,Buxus x 'Glencoe'                                           ,Chicagoland Green™  Boxwood,Evergreen small shrub/hedge
013955,#5,BUXUS J GREEN BEAUTY,Buxus microphylla japonica 'Green Beauty'                   ,Green Beauty Boxwood                                        ,Evergreen small shrub/hedge
013835,#5,BUXUS MIC WINTER GEM,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,Evergreen small shrub/hedge
013902,#2,BUXUS S GREEN TOWER R PP15243,"Buxus sempervirens 'Monrue' P.P. #15,243                    ",Green Tower®  Boxwood,Evergreen small shrub/hedge
057381,#1,CESTRUM AUR ORANGE PEEL,Cestrum 'Orange Peel'                                       ,Orange Peel Jessamine                                       ,Evergreen early flower'g shrub
044095,#5,GARDENIA FROSTPROOF,Gardenia jasminoides 'Frostproof'                           ,Frostproof Gardenia                                         ,Evergreen fragrant shrub
092655,#5,ILEX EMRLD COLONNADE R PP23905,"Ilex x 'RutHol1' P.P.#23,905                                ",Emerald Colonnade®  Holly,Ilex
074952S,SuperTwo,ILEX X CASTLE SPIRE R PP14310,"Ilex x meserveae 'Hachfee' P.P. #14,310                     ",Castle Spire®  Blue Holly,Ilex
074942S,SuperTwo,ILEX X CASTLE WALL TM PP14308,"Ilex x meserveae 'Heckenstar' P.P. #14,308                  ",Castle Wall™  Blue Holly,Ilex
019655,#5,ILEX X RED BEAUTY R PP14750,Ilex x 'Rutzan' P.P.# 14750                                 ,Red Beauty®  Holly,Ilex
023967,#7,ILEX X SANTA'S DELIGHT R,Ilex aquifolium 'Sadezam'                                   ,Santa's Delight®  English Holly,Ilex
021093,#3,ILEX X SCALLYWAG TM PP21941,"Ilex x meservae 'MonNieves' P.P.# 21,941                    ",Scallywag™  Holly,Ilex
037425,#5,LORO C EVER RED R,Loropetalum chinense 'Chang Nian Hong'                      ,Ever Red®  Fringe Flower,Evergreen early flower'g shrub
040202,#2,LORO C PIPA'S RED,Loropetalum chinense 'Pipa's Red'                           ,Pipa's Red Chinese Fringe Flower                            ,Evergreen early flower'g shrub
062222,#2,NAND D SIENNA SUNRISE R P14693,"Nandina domestica 'Monfar' P.P. #14,693                     ",Sienna Sunrise®  Heavenly Bamboo,Evergreen small shrub/hedge
063232,#2,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         ,Evergreen small shrub/hedge
065222,#2,PIERIS TAIWAN PRELUDE,Pieris japonica 'Prelude'                                   ,Prelude Lily Of The Valley                                  ,Evergreen early flower'g shrub
019095,#5,PRUNUS LAUR ETNA,Prunus laurocerasus 'Anbri'                                 ,Etna English Laurel                                         ,Evergreen large shrub/hedge
067101,#1,PRUNUS LAUR MT VERNON,Prunus laurocerasus 'Mount Vernon'                          ,Mount Vernon English Laurel                                 ,Evergreen large shrub/hedge
020491,#1,ROSMARINUS OFF ARP,Rosmarinus officinalis 'Arp'                                ,Arp Rosemary                                                ,Edible berries/fruit
070502,#2,SARCOCOCCA HUMILIS,Sarcococca hookeriana var. humilis                          ,Himalayan Sweet Box                                         ,Evergreen small shrub/hedge
071052,#2,SKIMMIA JAPONICA-FEMALE,Skimmia japonica (Female)                                   ,Japanese Skimmia (Female)                                   ,Evergreen shade shrub
071062,#2,SKIMMIA JAPONICA-MALE,Skimmia japonica (Male)                                     ,Japanese Skimmia (Male)                                     ,Evergreen shade shrub
071082,#2,SKIMMIA REEVESIANA,Skimmia reevesiana                                          ,Reeves Skimmia                                              ,Evergreen shade shrub
090152,#2,YUCCA FIL COLOR GUARD,Yucca filamentosa 'Color Guard'                             ,Color Guard Adam's Needle                                   ,Grass-like plant
022061,#1,FERN-ATHYRIUM BURG LACE P15072,Athyrium niponicum 'Burgundy Lace' P.P.# 15072              ,Burgundy Lace Painted Fern                                  ,Fern
018762,#2,FERN-ATHYRIUM GHOST,Athyrium 'Ghost'                                            ,Ghost Fern                                                  ,Fern
036262,#2,FERN-DRYOPTERIS FELIX-MAS ROB,Dryopteris filix-mas 'Robusta'                              ,Robust Male Fern                                            ,Fern
083721,#1,FERN-POLYSTICHUM POLYBLEPHARUM,Polystichum polyblepharum                                   ,Tassel Fern                                                 ,Fern
005093,#3,FERN-THELYPTERIS DECUR-PINNATA,Thelypteris decursive-pinnata                               ,Japanese Beech Fern                                         ,Fern
025215,#5,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,Bambusa/bamboo
011447,#7,BAM-PHYLLO NIGRA (RUN),Phyllostachys nigra                                         ,Black Bamboo                                                ,Bambusa/bamboo
001421,#1,GR-ACORUS GR OGON,Acorus gramineus 'Ogon'                                     ,Golden Variegated Sweet Flag                                ,Small grasses
059031,#1,GR-ACORUS GRAMINEUS OBOROZUKI,Acorus gramineus 'Oborozuki'                                ,Grassy-Leaved Sweet Flag                                    ,Small grasses
067792,#2,GR-BOUT BLOND AMBITION PP22048,"Bouteloua gracilis 'Blonde Ambition' P.P. # 22,048          ",Blonde Ambition Blue Grama Grass                            ,Small grasses
022591,#1,GR-CAREX ELATA BOWLES GOLDEN,Carex elata 'Bowles Golden'                                 ,Bowles Golden Sedge                                         ,Sedge
036672,#2,GR-FESTUCA GLAUCA ELIJAH BLUE,Festuca glauca 'Elijah Blue'                                ,Elijah Blue Fescue                                          ,Small grasses
089291,#1,GR-HAKONECHLOA FUBUKI PP21757,"Hakonechloa macra 'Fubuki' PP# 21,757                       ",Fubuki Japanese Forest Grass                                ,Small grasses
035911,#1,GR-HAKONECHLOA MACRA ALL GOLD,Hakonechloa macra 'All Gold'                                ,All Gold Japanese Forest Grass                              ,Small grasses
