GA#,"Product 
Category",Category 2,Item,Size,"Stock
Type","Fall
Selling
Factor","Item
Selling
Factor","Cold 
Zone","Plant
Rank","Royalty 
Flag",Description,"Orig
Start Date","Ready/
Effective 
Date","Expire 
Date",WO#,Lot#,"Stock 
Location","Assembly 
Seq Priorty","WO 
Status",WIP Qty,F/G Qty,"Unit 
Cost","Extended
Cost","Next 
Location","Qty 
Committed",Qty Held,"Lot 
Status","Release 
Date","Last 
Cycle Count",Memo Lot1,Memo Lot2,Memo Lot3,Item Comment,Item Specs,"Plant Status
Best by Date","Comment 
Expiration 
Date","Intro 
Year","BMP 
Code","Crop 
Code","EQU 
Factor","EQUs
On Hand",Price,Value,
45- 500004,PRN,Mid/late interm. flowering,022831,1,S,100,A,04,C,,ECHINACEA CRNBRY CUPCAKE PPAF,08/01/14,05/01/15,11/30/15,157910,157910,4Q 10 E,,97,0,386,4.5974 ,"1,774.60 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2012,A0,,1.00,386.00 ,6.95 ,"2,682.70 ",
45- 500004,PRN,Mid/late interm. flowering,054441,1,S,,A,04,,OLD,ECHINACEA FLAME THROWER P21932,08/01/14,05/01/15,11/30/15,157912,157912,4Q 10 E,,97,0,474,4.0572 ,"1,923.11 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2015,A0,,1.00,474.00 ,6.95 ,"3,294.30 ",
45- 500004,PRN,Mid/late interm. flowering,037511,1,S,100,A,04,C,OLD,ECHINACEA GREEN EYES PP17172,08/01/14,05/01/15,11/30/15,157920,157920,4Q 10 E,,97,0,107,3.7448 ,400.69 ,,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2006,A0,,1.00,107.00 ,6.95 ,743.65 ,
45- 500007,PRN,Mid/late interm. flowering,03751BYL,BYL,P,100,A,04,C,OLD,ECHINACEA GREEN EYES PP17172,09/30/14,09/30/14,09/30/15,0,14967,7GH6,,,0,504,0.0000 ,0.00 ,,0,0,,,,,,,,,,,2006,A0,,0.30,151.20 ,0.00 ,0.00 ,
45- 500004,PRN,Mid/late interm. flowering,004892,2,S,100,A,04,C,SBN,ECHINACEA KIMS KNEE HI PP12242,05/15/15,05/15/15,10/15/15,0,C3-29903902-14,4J 1 W,,,0,303,4.9000 ,"1,484.70 ",,0,0,,,,,,,,,,,,A0,,2.30,696.90 ,10.50 ,"3,181.50 ",
45- 500004,PRN,Mid/late interm. flowering,038921,1,S,100,A,04,C,,ECHINACEA MAC'N CHEESE PP19464,08/01/14,05/01/15,11/30/15,157915,157915,4Q 10 E,,97,0,446,4.1135 ,"1,834.62 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2010,A0,,1.00,446.00 ,6.95 ,"3,099.70 ",
45- 500004,PRN,Mid/late interm. flowering,077121,1,S,100,A,04,C,,ECHINACEA NOW CHEESIER PPAF,04/15/15,04/15/15,11/30/15,0,C3-29895314-14,4MH7,,,0,40,2.1300 ,85.20 ,,0,0,,,08/06/14,,,,DORMANT,,PS0,7/25/2015,2011,A0,,1.00,40.00 ,6.95 ,278.00 ,
45- 500004,PRN,Mid/late interm. flowering,047511,1,S,100,A,04,B,OLD,ECHINACEA PNK DBL DLITE P18803,08/08/14,05/15/15,11/30/15,159496,159496,4Q 11 W,,45,756,0,3.6200 ,"2,736.69 ",,0,0,,,,,MN green,,,,,,2008,A0,,1.00,756.00 ,6.95 ,"5,254.20 ",
45- 500004,PRN,Mid/late interm. flowering,003121,1,S,100,A,03,C,,ECHINACEA POWWOW R WHITE,03/19/14,03/24/15,09/01/15,0,C3-29905914-14,4MH7,,,0,4,2.1300 ,8.52 ,,4,0,,,,,,,EMERGING,,PS0,4/20/2015,2012,A0,,1.00,4.00 ,5.75 ,23.00 ,
45- 500004,PRN,Mid/late interm. flowering,002991,1,S,100,A,03,,,ECHINACEA POWWOW R WILDBERRY,08/04/14,05/01/15,11/30/15,157989,157989,4Q 11 E,,97,0,644,1.7571 ,"1,131.57 ",,0,0,,,12/15/14,EMERGING,,,EMERGING,,PS0,4/16/2015,2011,A0,,1.00,644.00 ,5.75 ,"3,703.00 ",
