Loc,Item,Size,Plant Name,Chosen Items
OR,9492,#2,RHOD (H-3) HOTEI,1
OR,10172,#2,RHOD (H-3) SEPTEMBER SONG,1
OR,10502,#2,RHOD (H-3) YELLOW PETTICOATS,1
GA,36292,#2,ROSA FLWR CAR R AMBER PPAF,1
GA,36382,#2,ROSA FLWR CAR R PNK SUP P16276,1
GA,36312,#2,ROSA FLWR CAR R SCARLET P17373,1
CA,70212,#2,ROSA FLWR CAR R WHITE P9573,1
CA,18242,#2,ROSA FLWR CAR R YELLOW PP13869,1
GA,89112,#2,ROSA SUNROSA TM RED,1
GA,89102,#2,ROSA SUNROSA TM SOFT PINK,1
GA,89122,#2,ROSA SUNROSA TM YELLOW,1
GA,70321,#1,ROSMARINUS HUNTINGTON CARPET,1
CA,79382,#2,RUBUS RSPBRY SHRTCKE TM P22141,1
GA,71111,#1,RUDBECKIA ERLY BRD GLD PP20286,su
OR,70615,#5,SALIX INTEGRA HAKURO NISHIKI,1
CA,99451,#1,SALVIA HTWV BLAZE TM PP24151,1
CA,94271,#1,SALVIA HTWV GLITTER TM PP24152,1
CA,94281,#1,SALVIA HTWV SPARKLE TM PP24154,1
OR,49952,#2,SCHEFFLERA TAIW YUAN SHAN,1
OR,71021,#1 STAKED,SCHIZOPHRAGMA HYD MOONLIGHT,1
OR,71031,#1,SOLIDAGO CROWN OF RAYS,s
OR,075011S,SuperOne TM,SPIRAEA DBLPLAY R ARTIST PPAF,1
OR,075031S,SuperOne TM,SPIRAEA DBLPLAY R BIGBANG PPAF,1
OR,075021S,SuperOne TM,SPIRAEA DBLPLAY R GOLD PPAF,1
OR,71795,#5,SYRINGA V BLUE SKIES R,1
OR,72342,#2,TAXUS EMERALD SPREADR R P10335,1
OR,72322,#2,TAXUS X MEDIA DENSIFORMIS,1
OR,72332,#2,TAXUS X MEDIA HICKSII,1
OR,72942,#2,THUJA OC DANICA,1
OR,22175,#5,THUJA OC MR BOWLING BALL R,1
CA,12731,#1,TRACH JASMINOIDES MADISON,1
GA,56232,#2,VACC BOUNTIFUL BLUE R PP19381,1
CA,81712,#2,VACCINIUM PEACH SORBET TM PPAF,1
CA,81702,#2,VACCINIUM X JELLY BEAN TM PPAF,1
OR,74202,#2,VIB DAVIDII,1
OR,75102,#2,VIB OPULUS STERILE,1
OR,73585,#5,VIB X BODNAN PINK DAWN,1
OR,17572,#2,WEIGELA MAGICAL R FNTSY P13567,1
OR,080941S,SuperOne TM,WEIGELA SONIC BLOOM TM PNK PAF,1
OR,080931S,SuperOne TM,WEIGELA SONIC BLOOM TM RED PAF,1
GA,76815,#5 STAKED,WISTERIA FRU AMETHYST FALLS,1
GA,90151,#1,YUCCA FIL COLOR GUARD,1
CA,77225,#5,YUCCA FIL IVORY TOWER,1
