Branch,item
CA,001752
CA,046532
CA,025432
CA,059232
CA,020062
CA,039752
CA,014402
CA,06304EPT
CA,025982
CA,013432
CA,046762
CA,037672
CA,044092
CA,037902
CA,037802
CA,037942
CA,098402
CA,065042
CA,065872
CA,097892S
CA,097902S
CA,097912S
CA,037422S
CA,027602
CA,080752
CA,001655
CA,001705
CA,072435
CA,001805
CA,035565
CA,035575
CA,023265
CA,023605
CA,038205
CA,033665
CA,074755
CA,092675
CA,074395
CA,086185
CA,062205
CA,065955
CA,066005
CA,013505
CA,014355
CA,060905
CA,014405
CA,040805
CA,040985
CA,041115
CA,025205
CA,041155
CA,017375
CA,041205
CA,041255
CA,041305
CA,041355
CA,041505
CA,039795
CA,041595
CA,009935
CA,009945
CA,063155
CA,066375
CA,066365
CA,068005
CA,020065
CA,069855
CA,037675
CA,044095
CA,037565
CA,068605
CA,025345
CA,040405
CA,055245
CA,055255
CA,055315
CA,061885
CA,065875
CA,039755
CA,066305
CA,025565
CA,063305
CA,080755
CA,035285
CA,070375
CA,013435
CA,033425
CA,054675
CA,035572PT
CA,098405
CA,067705ST
CA,034155
CA,037575
CA,037595
CA,037815
CA,058205Y2
CA,013705GL
CA,035575PT
CA,000135PT
CA,000205PT
CA,046765PT
CA,014355PT
CA,035705PT
CA,037705PT
CA,037675PT
CA,037805PT
CA,040805PT
CA,040905PT
CA,040985PT
CA,025205PT
CA,041155PT
CA,041205PT
CA,041255PT
CA,041305PT
CA,041505PT
CA,041595PT
CA,046665PT
CA,054675PT
CA,058205PT
CA,066375PT
CA,039755PT
CA,066305PT
CA,013705PY
CA,063157
CA,064857
CA,034155PT
CA,037425PT
CA,059235PT
CA,059195PT
CA,014405PT
CA,063045PT
CA,077357
CA,033305PP
CA,035405ES
CA,003567
CA,069005DE
CA,033305P2
CA,033425P2
CA,058205P2
CA,06700M
CA,058209BH
CA,033305SP
CA,033425SP
CA,058207PT
CA,069607PT
CA,013705SP
CA,01370MGL
CA,013837CU
CA,013837GL
CA,013837PY
CA,01383MGL
CA,067009
CA,058207Y5
CA,058207P2
CA,069609PT
CA,058207P3
CA,09265MSP
CA,410551
CA,000101
CA,000091
CA,033301
CA,035001
CA,035561
CA,412111
CA,098621
CA,025291
CA,031651
CA,033251
CA,068001
CA,068501
CA,020061
CA,021371
CA,070961
CA,044101
CA,034901
CA,033661
CA,037901
CA,038951
CA,046451
CA,062171
CA,068601
CA,071991
CA,040311
CA,002421
CA,071291
CA,022811
CA,024561
CA,024551
CA,028841
CA,028841
CA,017591
CA,056931
CA,040871
CA,041031
CA,017371
CA,041351
CA,039791
CA,054091
CA,065921
CA,085681
CA,071701
CA,071751
CA,072211
CA,066301
CA,076951
CA,066131
CA,025981
CA,035121
CA,071781
CA,046631
CA,080741
CA,067701ST
CA,069001ST
CA,068501ST
CA,047831
CA,000171ST
CA,000151ST
CA,098621ST
CA,000131ST
CA,000201ST
CA,098611ST
CA,000191ST
CA,049741ST
CA,055241
CA,055311
CA,098401
CA,413061
CA,074011
CA,025561
CA,084531
CA,054781
CA,096451
CA,064741
CA,028341
CA,097841S
CA,094081S
CA,089412
CA,030132
CA,034902
CA,033662
CA,038202
CA,025362
CA,035122
CA,078012
CA,017592
CA,046202
CA,025402
CA,025412
CA,025442
CA,040202
CA,069852
CA,021372
CA,072742
CA,025282
CA,044102
CA,025292
CA,033252
CA,057492
CA,085682
CA,012542
CA,03770EPT
CA,03794E
CA,05729EST
CA,06304ECN
CA,07028E
CA,07028EPT
CA,07028EST
CA,042432
CA,022812
CA,071782
CA,046632
CA,087782
CA,412732
CA,412742
CA,024322
CA,065172
CA,092572
CA,035005
CA,034905
CA,071995
CA,037845
CA,059192ST
CA,066372ST
CA,081165
CA,025285
CA,062695
CA,070325
CA,070285
CA,077775
CA,040025
CA,031655
CA,033305
CA,038955
CA,078025
CA,046205
CA,046155
CA,046455
CA,068505
CA,021375
CA,070965
CA,076955
CA,074015
CA,03557KPT
CA,029585
CA,061715
CA,065925
CA,071705
CA,072215
CA,047825
CA,047835
CA,090155
CA,040315
CA,002425
CA,056935
CA,061535
CA,064505
CA,071005
CA,034845
CA,031705
CA,024405
CA,046665
CA,078025TR
CA,040315ST
CA,002425ST
CA,037802ST
CA,000175ST
CA,000155ST
CA,000135ST
CA,000205ST
CA,034295TR
CA,069005ST
CA,068505ST
CA,062692CN
CA,070282CN
CA,040905ST
CA,040985ST
CA,017375ST
CA,041205ST
CA,066375ST
CA,013822GL
CA,013822P2
CA,037672PT
CA,034295PT
CA,033252BO
CA,064855TR
CA,037705ST
CA,037675ST
CA,037805ST
CA,069605TR
CA,040315PT
CA,025285PT
CA,041115PT
CA,063045PTS
CA,066365PT
CA,070965PT
CA,072215PT
CA,013702P2
CA,033305CN
CA,033305PY
CA,034805CN
CA,033665CN
CA,035005CN
CA,035205CN
CA,057295CN
CA,062695CN
CA,070285CN
CA,037575PT
CA,037595PT
CA,037815PT
CA,098405PT
CA,071005PT
CA,013702SP
CA,033665ES
CA,035005ES
CA,035205ES
CA,064855ES
CA,067705ES
CA,069005ES
CA,068505ES
CA,03165M
CA,067705DE
CA,025349
CA,074019
CA,025569
CA,063045P2
CA,024405SP
CA,033425P3
CA,033665PY
CA,064857ES
CA,03366MES
CA,03540MES
CA,069609TR
CA,083711
CA,022041
CA,022061S
CA,018762
CA,00315UT
CA,003301
CA,036151
CA,033011
CA,036001
CA,003151
CA,003152
CA,035905
CA,036205
CA,035901
CA,097691
CA,097701
CA,036201
CA,097641
CA,097711
CA,097611
CA,097621
CA,097671
CA,097661
CA,028181
CA,097651
CA,097681
CA,097631
CA,035981
CA,019242
CA,097642
CA,033015
CA,036207
CA,009671
CA,009791
CA,063121
CA,089271
CA,022201
CA,061662
CA,036672
CA,06427UT
CA,06311UT
CA,058851
CA,009761
CA,009771
CA,058901
CA,058921
CA,063101
CA,038651
CA,024671
CA,036541
CA,074881
CA,092031
CA,044801
CA,022261
CA,077621
CA,094351
CA,098891S
CA,063111
CA,030221
CA,024092
CA,077622
CA,061812
CA,061742
CA,061552
CA,024672
CA,064272
CA,094352
CA,098892
CA,022202
CA,064275
CA,024675
CA,092065
CA,005665
CA,061795
CA,092035
CA,022205
CA,011335
CA,011445
CA,412041
CA,038641
CA,044591
CA,092061
CA,034881
CA,005791
CA,028342P
CA,011451
CA,011471
CA,058852
CA,058902
CA,036542
CA,038642
CA,028052
CA,005452
CA,061562
CA,005572
CA,061642
CA,044592
CA,044802
CA,005815
CA,044595
CA,091495
CA,011367
CA,011317
CA,011327
CA,011407
CA,011427
CA,011437
CA,011447
CA,00472UT
CA,02489UT
CA,03733UT
CA,000471
CA,002191
CA,401061
CA,401081
CA,094501
CA,042201
CA,064021
CA,064371
CA,075951
CA,057161
CA,068111
CA,040971
CA,412691
CA,086641
CA,023022
CA,004222
CA,004592
CA,004842
CA,023212
CA,037612
CA,019542
CA,070742
CA,022422
CA,033672
CA,071012
CA,057312
CA,084782
CA,046745
CA,04593UT
CA,04596UT
CA,04661UT
CA,06228UT
CA,01954UT
CA,05869UT
CA,01291UT
CA,03693UT
CA,083041
CA,030121
CA,033711
CA,004741
CA,035421
CA,058861
CA,077631
CA,070271
CA,034921
CA,070481
CA,058691
CA,041281
CA,045251
CA,011891
CA,073141
CA,056611
CA,056641
CA,056841
CA,056951
CA,009091
CA,057251
CA,057151
CA,057201
CA,093881
CA,093891
CA,061601
CA,036471
CA,056881
CA,057231
CA,057031
CA,024461
CA,003451
CA,040141
CA,094291
CA,094261
CA,094271
CA,094281
CA,091401
CA,056011
CA,070541
CA,074341
CA,077641
CA,077651
CA,093361
CA,065611
CA,046741
CA,039571
CA,098301S
CA,098371S
CA,046741S
CA,074341S
CA,070681
CA,020121
CA,029211
CA,017411
CA,022481
CA,021912
CA,047914P
CA,003452
CA,022472
CA,054222
CA,096532
CA,096502
CA,096522
CA,096482
CA,096492
CA,096542
CA,096512
CA,089382
CA,034722
CA,024462
CA,017842
CA,030491SPT
CA,057231SPT
CA,061605
CA,072522
CA,002005
CA,072525
CA,057153PT
CA,057203PT
CA,056955PT
CA,057055PT
CA,057155PT
CA,057205PT
CA,057105PT
CA,062009
CA,06367UT
CA,05731UT
CA,02813UT
CA,058471
CA,083001
CA,032891
CA,084121
CA,073531
CA,058481
CA,028511
CA,097741
CA,088861
CA,097761
CA,025621
CA,025541
CA,066291
CA,070451
CA,041011
CA,097751
CA,063991
CA,075941
CA,094841
CA,096461
CA,088841
CA,089451
CA,089461
CA,056801
CA,056851
CA,057051
CA,068671
CA,011821
CA,074381
CA,065241
CA,097981
CA,098531
CA,021891
CA,022651
CA,093391
CA,037241
CA,056871
CA,018211
CA,028491
CA,088871
CA,026591
CA,068181
CA,090221
CA,090211
CA,073521
CA,088831
CA,040001
CA,040241
CA,079391
CA,090471
CA,085121
CA,054851
CA,057831
CA,057841
CA,080521
CA,097771
CA,097781
CA,097801
CA,097831
CA,079441
CA,068661
CA,069971
CA,065501
CA,065591
CA,074141
CA,089481
CA,069691
CA,066061
CA,046021
CA,025491
CA,025491S
CA,097741S
CA,097761S
CA,069691S
CA,089241S
CA,097751S
CA,002001S
CA,054691S
CA,061931
CA,061941
CA,090471S
CA,089631
CA,066342
CA,044192
CA,022652
CA,094292
CA,099452
CA,094272
CA,094282
CA,070592
CA,068422
CA,054872
CA,089332
CA,022372
CA,022452
CA,022462
CA,037242
CA,089392
CA,094712
CA,089462
CA,056612
CA,056842
CA,089482
CA,090201PT
CA,089442
CA,089472
CA,002192
CA,088912
CA,046742
CA,034712
CA,092092
CA,036322
CA,034732
CA,018212
CA,057392
CA,026592
CA,068182
CA,024172
CA,03049EPT
CA,02813EPT
CA,05696E
CA,057052ST
CA,091405
CA,017845
CA,026595
CA,061935
CA,056635PT
CA,024465PT
CA,411531
CA,410441
CA,410471
CA,410451
CA,410461
CA,006402
CA,006402PT
CA,005755PT
CA,004401
CA,004751
CA,005251
CA,002071
CA,005601
CA,005651
CA,005751
CA,005951
CA,006001
CA,006101
CA,006051
CA,006151
CA,006301
CA,006501
CA,008421
CA,004402
CA,004752
CA,005252
CA,004405
CA,004755
CA,005605
CA,005655
CA,005755
CA,005955
CA,006055
CA,004835
CA,006155
CA,006305
CA,006405
CA,006505
CA,004402PT
CA,004752PT
CA,005252PT
CA,004405PT
CA,005605PT
CA,006055PT
CA,006305PT
CA,006505PT
CA,00630M
CA,00650M
CA,036023
CA,042825PT
CA,070151
CA,089112
CA,089102
CA,089122
CA,079572L
CA,071943
CA,071652PT
CA,084955ST
CA,060915ST
CA,082275ST
CA,037125ST
CA,051105ST
CA,051095ST
CA,069445ST
CA,060895ST
CA,075415ST
CA,002535MU
CA,023557
CA,070305
CA,023587
CA,059439
CA,063772
CA,077662
CA,064105
CA,010555
CA,063605
CA,063755
CA,077665
CA,036725
CA,036785
CA,036795
CA,036815
CA,036745
CA,091285
CA,031965
CA,023575
CA,023525
CA,009985
CA,060435
CA,039735
CA,059455
CA,059575
CA,011505
CA,036785ES
CA,036815ES
CA,031967
CA,063657
CA,023527
CA,020107
CA,063659
CA,063609
CA,060439
CA,010039
CA,020109
CA,059437ES
CA,05943X
CA,032561BH
CA,062991
CA,064101
CA,063651
CA,063601
CA,066401ST
CA,066451ST
CA,062995
CA,027515
CA,060085
CA,036825
CA,066405ST
CA,066505ST
CA,032565TR
CA,036115
CA,043015
CA,022985BH
CA,032565BH
CA,070705
CA,024155
CA,024135
CA,065705
CA,092715
CA,023585BH
CA,023525BH
CA,022985
CA,060085TR
CA,062995TR
CA,036825TR
CA,066405TR
CA,070625
CA,026045
CA,059505
CA,069285
CA,022945
CA,034835
CA,034835TR
CA,031965TR
CA,058495
CA,061485
CA,072205
CA,027515PT
CA,019075
CA,06797MT
CA,06796MT
CA,06733MT
CA,06743MT
CA,06144MT
CA,06798MT
CA,06142MT
CA,06143MT
CA,06741MT
CA,06735MT
CA,06799MT
CA,06802MT
CA,06110MT
CA,06116MT
CA,066457ST
CA,06109MT
CA,05895MT
CA,06104MT
CA,06105MT
CA,05898MT
CA,05896MT
CA,07030MT
CA,06167MT
CA,06168MT
CA,06128MT
CA,06795MT
CA,05996MT
CA,06141MT
CA,06149MT
CA,06146MT
CA,06152MT
CA,06163MT
CA,060087
CA,03608MT
CA,062997
CA,023577
CA,031967TR
CA,024159
CA,031969
CA,001999
CA,031969TR
CA,05943Z
CA,06360Z
CA,057072BH
CA,058992ST
CA,057082
CA,057062
CA,072642
CA,057085
CA,061235
CA,057065
CA,036851
CA,070051
CA,012731
CA,012701
CA,035041
CA,012901
CA,012661
CA,013121
CA,013201
CA,013051BH
CA,013211
CA,013211BH
CA,013251
CA,090081
CA,036851ST
CA,038161
CA,038101
CA,022551
CA,002651
CA,013261BH
CA,013051
CA,059201
CA,059271
CA,061201
CA,064151
CA,064131
CA,064161
CA,064011
CA,061211
CA,061191
CA,061241
CA,072651
CA,016601
CA,05709P72
CA,022712ST
CA,067512
CA,067522
CA,067532
CA,067542
CA,067552
CA,064012
CA,035042BH
CA,013052BH
CA,061192
CA,057072
CA,013262BH
CA,036855ST
CA,038165
CA,038105
CA,072555
CA,013055BH
CA,013215BH
CA,013235BH
CA,070055ST
CA,012705
CA,012665
CA,013205
CA,013215
CA,013255
CA,013025
CA,013455
CA,090085
CA,045295
CA,013265BH
CA,086365
CA,059275
CA,061245ST
CA,072655
CA,064015
CA,071555
CA,001465
CA,001415
CA,012705PT
CA,013265PT
CA,013055PT
CA,070055ES
CA,059101
CA,035041BH
CA,012951
CA,013031
CA,013191
CA,013231BH
CA,038141
CA,013021
CA,013451
CA,012671BH
CA,090111BH
CA,090141BH
CA,012451
CA,012471
CA,059381
CA,413401
CA,072031
CA,072551
CA,059101ST
CA,045011BH
CA,057091BH
CA,057071BH
CA,072641BH
CA,066601
CA,070901
CA,033721
CA,076311
CA,076221
CA,076301
CA,076251
CA,076211
CA,076331
CA,076261
CA,059001
CA,002451
CA,071961
CA,001461
CA,001411
CA,045012BH
CA,022382ST
CA,022552ST
CA,059272ST
CA,071962
CA,070052ST
CA,060792
CA,089492
CA,022142
CA,071552
CA,016482BH
CA,037022BH
CA,090112BH
CA,090142BH
CA,037002
CA,045012
CA,012662
CA,013052
CA,095742BH
CA,095752BH
CA,095732BH
CA,016482
CA,07005KST
CA,012555
CA,012455
CA,012475
CA,059385
CA,037025BH
CA,012675BH
CA,076315
CA,076225
CA,076305
CA,076255
CA,076215
CA,076335
CA,076265
CA,059105ST
CA,066605
CA,012905
CA,012955
CA,013035
CA,013125
CA,013195
CA,038145
CA,06124K
CA,04501K
CA,04501KBH
CA,05708K
CA,064155
CA,033725
CA,064135
CA,070905
CA,413405
CA,072035
CA,064165
CA,01305KPT
CA,013052PT
CA,013235PT
CA,401435PT
CA,401425PT
CA,022715PT
CA,022385PT
CA,022555PT
CA,076777TR
