Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2014 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CT,    ,021222,#2,FERN-DRYOPTERIS ERY BRILLIANCE,Dryopteris erythrosora 'Brilliance'                         ,Brilliance Autumn Fern                                      ,Fern,FRN,05,, 11.50 ,,,     , 5 ,     , 20 ,04/15/14  ,     ,          ,     ,          
CT,    ,02122UT,LittleOne,FERN-DRYOPTERIS ERY BRILLIANCE,Dryopteris erythrosora 'Brilliance'                         ,Brilliance Autumn Fern                                      ,Fern,FRN,05,, 2.50 ,,,     , 16 ,     , 988 ,04/15/14  ,     ,          ,     ,          
CT,    ,005062,#2,FERN-DRYOPTERIS F UNDULATA ROB,Dryopteris filix-mas 'Undulata Robusta'                     ,Robust Male Fern                                            ,Fern,FRN,04,, 13.50 ,,,     , 5 ,     , 33 ,04/15/14  ,     ,          ,     ,          
CT,    ,404801S,SuperOne TM,FERN-MATTEUCCIA STRU THE KING,                                                            ,                                                            ,Fern,FRN,03,, 7.95 ,,,     , 10 ,     , 669 ,04/15/14  ,     ,          ,     ,          
CT,    ,404802,#2,FERN-MATTEUCCIA STRU THE KING,                                                            ,                                                            ,Fern,FRN,03,, 11.50 ,,,     , 5 ,     , 5 ,04/15/14  ,     ,          ,     ,          
CT,    ,404922,#2,FERN-OSMUNDA REG SPECTABILIS,                                                            ,                                                            ,Fern,FRN,03,, 13.50 ,,,     , 5 ,     , 44 ,04/15/14  ,     ,          ,     ,          
CT,    ,083711,#1,FERN-POLYSTICHUM ACROSTICHOIDS,Polystichum acrostichoides                                  ,Christmas Fern                                              ,Fern,FRN,04,, 7.50 ,,,     , 10 , 280 ,     ,          ,     ,          ,     ,          
CT,    ,08371UT,LittleOne,FERN-POLYSTICHUM ACROSTICHOIDS,Polystichum acrostichoides                                  ,Christmas Fern                                              ,Fern,FRN,04,, 2.50 ,,,     , 16 , 106 , 766 ,04/15/14  ,     ,          ,     ,          
,,,,Grasses,,,,,,,,,,,,,,,,,,
CT,    ,40077UT,LittleOne,ARTEMISIA VIR TINY GREEN,                                                            ,                                                            ,Mid/late border flowering,GRS,04,, 1.80 ,,,     , 16 , 440 ,     ,          ,     ,          ,     ,          
CT,    ,402541S,SuperOne TM,BAM-FARGESIA DENUDATA,                                                            ,                                                            ,Bambusa/bamboo,GRS,05,, 10.50 ,,,     , 10 ,     , 5 ,04/15/14  ,     ,          ,     ,          
CT,    ,025211S,SuperOne TM,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,Bambusa/bamboo,GRS,05,, 10.50 ,,,     , 10 ,     , 1 ,04/15/14  ,     ,          ,     ,          
CT,    ,025213,#3,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,Bambusa/bamboo,GRS,05,, 28.50 ,,,     , 5 , 5 , 191 ,06/01/14  ,     ,          ,     ,          
CT,    ,402581S,SuperOne TM,BAM-FARGESIA SCABRIDA,                                                            ,                                                            ,Bambusa/bamboo,GRS,06,, 10.50 ,,,     , 10 ,     , 147 ,04/15/14  ,     ,          ,     ,          
CT,    ,00305UT,LittleOne,GR-ARRHENATHERUM EL VAR,Arrhenatherum elatius bulbosum 'Variegatum'                 ,Bulbous Oat Grass                                           ,Small grasses,GRS,04,, 2.50 ,,,     , 16 , 317 ,     ,          ,     ,          ,     ,          
CT,    ,401721S,SuperOne TM,GR-CAREX SIDER BANANA BOAT,                                                            ,                                                            ,Sedge,GRS,05,, 7.95 ,,,     , 10 , 670 ,     ,          ,     ,          ,     ,          
CT,    ,065801S,SuperOne TM,GR-CHASMANTHIUM LAT RIVER MIST,                                                            ,                                                            ,Small grasses,GRS,04,, 7.95 ,,,     , 10 , 2 , 885 ,05/01/14  ,     ,          ,     ,          
CT,    ,024093,#3,GR-CHASMANTHIUM LATIFOLIUM,Chasmanthium latifolium                                     ,Northern Sea Oats                                           ,Small grasses,GRS,04,, 12.25 ,,,     , 5 ,     , 81 ,06/01/14  ,     ,          ,     ,          
CT,    ,005373,#3,GR-DESCHAMPSIA CAESPITOSA,                                                            ,                                                            ,Small grasses,GRS,04,, 12.25 ,,,     , 5 ,     , 195 ,06/01/14  ,     ,          ,     ,          
CT,2014,089291S,SuperOne TM,GR-HAKONECHLOA FUBUKI PP21757,"Hakonechloa macra 'Fubuki' PP# 21,757                       ",Fubuki Japanese Forest Grass                                ,Small grasses,GRS,04,, 7.95 ,,,     , 10 ,     , 472 ,04/15/14  ,     ,          ,     ,          
CT,    ,035911S,SuperOne TM,GR-HAKONECHLOA MACRA ALL GOLD,Hakonechloa macra 'All Gold'                                ,All Gold Japanese Forest Grass                              ,Small grasses,GRS,04,, 7.95 ,,,     , 10 ,     ," 1,618 ",04/15/14  ,     ,          ,     ,          
CT,    ,038681S,SuperOne TM,GR-HAKONECHLOA MACRA AUREOLA,Hakonechloa macra 'Aureola'                                 ,Golden Japanese Forest Grass                                ,Small grasses,GRS,04,, 7.95 ,,,     , 10 ,     ," 1,778 ",04/15/14  ," 1,949 ",05/01/14  ,     ,          
CT,    ,005483,#3,GR-MIS SIN GRAZIELLA,Miscanthus sinensis 'Graziella'                             ,GRAZIELLA MAIDEN GRASS                                      ,Large grass,GRS,05,, 12.25 ,,,     , 5 ,     , 160 ,06/01/14  ,     ,          ,     ,          
CT,    ,005522,#2,GR-MIS SIN LITTLE KITTEN,Miscanthus sinensis 'Little Kitten'                         ,Little Kitten Maiden Grass                                  ,Large grass,GRS,05,, 8.50 ,,,     , 5 ,     , 114 ,06/01/14  ,     ,          ,     ,          
CT,    ,405023,#3,GR-PAN VIR RUBY RIBBONS P17944,                                                            ,                                                            ,Large grass,GRS,04,, 12.25 ,,,     , 5 , 119 ,     ,          ,     ,          ,     ,          
CT,    ,405063,#3,GR-PENN A DESERT PLAINS P20751,                                                            ,                                                            ,Large grass,GRS,05,, 12.25 ,,,     , 5 ,     , 209 ,06/01/14  ,     ,          ,     ,          
CT,    ,088952,#2,GR-PENN ALO BRGNDY BNNY P21917,                                                            ,                                                            ,Small grasses,GRS,06,PHI, 11.50 ,,,     , 5 , 335 ,     ,          ,     ,          ,     ,          
CT,    ,064263,#3,GR-PENN ALO HAMELN,Pennisetum alopecuroides 'Hameln'                           ,Dwarf Fountain Grass                                        ,Small grasses,GRS,04,, 12.25 ,,,     , 5 ,     , 233 ,06/01/14  ,     ,          ,     ,          
CT,    ,406583,#3,GR-SCHIZACH PRAIRIE MNCHKN PAF,                                                            ,                                                            ,Large grass,GRS,03,, 12.25 ,,,     , 5 ,     , 679 ,06/01/14  ,     ,          ,     ,          
CT,    ,406563,#3,GR-SCHIZACHYRIUM CAROUSEL PAF,                                                            ,                                                            ,Large grass,GRS,03,, 12.25 ,,,     , 5 ,     , 347 ,06/01/14  ,     ,          ,     ,          
CT,    ,005793,#3,GR-SCHIZACHYRIUM SCO THE BLUES,Schizachyrium scoparium 'The Blues'                         ,The Blues Little Bluestem                                   ,Large grass,GRS,03,, 12.25 ,,,     , 5 ,     , 655 ,06/01/14  ,     ,          ,     ,          
,,,,Perennials,,,,,,,,,,,,,,,,,,
