Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
GA,400343,#3,ABELIA SUNSHNE DAYDRM PP20961,"Abelia x grandiflora 'Sunshine Daydream' P.P.#20,961        ",Sunshine Daydream Abelia                                    ,Evergreen sumr flower'g shrub,EVS,06,BHC, 16.75 ,,, 30 , 5 , 568 ," 1,008 ",05/15/15  ,     ,          ,     ,          
CT,400363,#3,ACER PAL FIREGLOW,Acer palmatum 'Fireglow'                                    ,Fireglow Japanese Maple                                     ,Japanese maple,TRE,05,, 35.50 ,,, 20 , 5 ,     , 258 ,05/15/15  ,     ,          ,     ,          
CT,400443,#3,ACER PAL RYUSEN PP18501,"Acer palmatum 'Ryusen' P.P. #18,501                         ",Ryusen Weeping Japanese Maple                               ,Japanese maple,TRE,05,ITS, 35.50 ,,,     , 5 ,     , 57 ,05/01/15  , 660 ,05/15/15  ,     ,          
CT,029095,#5,ACER PAL TAMUKEYAMA,Acer palmatum var. dissectum 'Tamukeyama'                   ,Tamukeyama Japanese Maple                                   ,Japanese maple,TRE,05,, 58.00 ,-,"40-68 "" H", 10 , 5 , 10 , 10 ,06/15/15  ,     ,          ,     ,          
OR,056411,#1 STAKED,ACTINIDIA TETRA  VAR MALOIDES,Actinidia tetramera var. maloides                           ,Rosy Crabapple Kiwi                                         ,Tropical flowering vine,VIN,06,HIN, 11.25 ,-,3/4 STK, 60 , 10 ,     , 61 ,05/01/15  ,     ,          ,     ,          
CA,099571,#1,AGAPANTHUS BABY PETE TMPP21705,"Agapanthus orientalis 'Benfran' P.P. #21,705                ",Baby Pete™  Lily Of The Nile,Grass-like plant,EVS,08,PPP, 7.50 ,-,"5""H",     , 10 ," 12,419 "," 12,419 ",04/01/15  ,     ,          ,     ,          
OR,050011,#1,AGAPANTHUS BLUE LEAP,Agapanthus 'Blue Leap'                                      ,Blue Leap Lily of the Nile                                  ,Grass-like plant,DCS,07,HIN, 7.00 ,-,2-3 FANS, 110 , 10 ,     , 110 ,05/01/15  ,     ,          ,     ,          
OR,050002,#2,AGAPANTHUS INAPTERUS GRASKOP,Agapanthus inapertus 'Graskop'                              ,Graskop Lily of the Nile                                    ,Grass-like plant,DCS,07,HIN, 16.00 ,-,5-7 FANS, 40 , 5 ," 1,317 "," 1,409 ",05/01/15  ,     ,          ,     ,          
GA,070372,#2,AGAPANTHUS MOOD INDIGO,Agapanthus 'Mood Indigo'                                    ,Mood Indigo Lily of the Nile                                ,Grass-like plant,EVS,07,, 14.50 ,,4 TO 6 FANS, 18 , 5 ,     , 18 ,04/01/15  ,     ,          ,     ,          
GA,072435,#5,AGAPANTHUS ORI BLACK PANTHA,Agapanthus orientalis 'Black Pantha'                        ,Black Pantha Lily of the Nile                               ,Grass-like plant,EVS,07,, 19.25 ,,, 29 , 5 ,     , 29 ,04/01/15  ,     ,          ,     ,          
CA,001965,#5,ALBIZIA JUL OMBRELLA TM,Albizia julibrissin 'Boubri'                                ,Ombrella™  Mimosa Tree,Temperate flowering tree,TRE,06,CPC, 35.00 ,,"54""H", 18 , 5 ,     , 18 ,04/01/15  ,     ,          ,     ,          
CA,001955,#5,ALBIZIA JUL ROSEA,Albizia julibrissin 'Rosea'                                 ,Mimosa Tree                                                 ,Temperate flowering tree,TRE,06,, 27.00 ,-,"54""H", 30 , 5 , 12 , 621 ,04/01/15  ,     ,          ,     ,          
GA,087422,#2,ALOCASIA IVORY COAST PPAF,Alocasia 'Ivory Coast' P.P.A.F.                             ,Ivory Coast Elephant Ears                                   ,Tropical perennial,PRN,09,, 15.50 ,,, 38 , 5 ,     , 38 ,04/01/15  ,     ,          ,     ,          
GA,087432,#2,ALOCASIA SERENGETI PPAF,                                                            ,                                                            ,Tropical perennial,PRN,09,, 15.50 ,,, 43 , 5 ,     , 43 ,04/01/15  ,     ,          ,     ,          
GA,096532,#2,ALST INTICANCHA R BRYCE,Alstroemeria x 'Tesbryce'                                   ,Inticancha®  Bryce Peruvian Lily,Early spring border flowering,PRN,08,, 14.75 ,,, 50 , 5 ,     , 970 ,05/15/15  ,     ,          ,     ,          
GA,096502,#2,ALST INTICANCHA R MACHU,Alstroemeria x 'Tesmach'                                    ,Inticancha®  Machu Peruvian Lily,Early spring border flowering,PRN,08,, 14.75 ,,,     , 5 ,     , 990 ,05/15/15  ,     ,          ,     ,          
GA,096522,#2,ALST INTICANCHA R NAVAYO,Alstroemeria x 'Tesnavayo'                                  ,Inticancha®  Navayo Peruvian Lily,Early spring border flowering,PRN,08,, 14.75 ,,,     , 5 ,     ," 1,000 ",05/15/15  ,     ,          ,     ,          
GA,096482,#2,ALST INTICANCHA R PURPLE,Alstroemeria x 'Tesdarklin'                                 ,Inticancha®  Dark Purple Peruvian Lily,Early spring border flowering,PRN,08,, 14.75 ,,,     , 5 ,     , 995 ,05/15/15  ,     ,          ,     ,          
GA,096492,#2,ALST INTICANCHA R SUNLIGHT,Alstroemeria x 'Tessunlight'                                ,Inticancha®  Sunlight Peruvian Lily,Early spring border flowering,PRN,08,, 14.75 ,,,     , 5 ,     ," 1,000 ",05/15/15  ,     ,          ,     ,          
GA,096542,#2,ALST INTICANCHA R WHITE,Alstroemeria x 'Teswhitin'                                  ,Inticancha®  White Peruvian Lily,Early spring border flowering,PRN,08,, 14.75 ,,,     , 5 ,     ," 1,000 ",05/15/15  ,     ,          ,     ,          
GA,096512,#2,ALST INTICANCHA R WHT BLSH PNK,Alstroemeria x 'Tesblushin'                                 ,Inticancha®  White Pink Blush Peruvian Lily,Early spring border flowering,PRN,08,, 14.75 ,,, 50 , 5 ,     , 970 ,05/15/15  ,     ,          ,     ,          
OR,039021,#1,ANEMONE X WILD SWAN TM PP23132,"Anemone x 'Macane001' Wild Swan™  P.P.# 23,132",Wild Swan™  Hybrid Anemone,Mid/late border flowering,PRN,06,PPP, 7.50 ,-,CAN FULL, 31 , 10 ,     ," 1,966 ",06/01/15  ,     ,          ,     ,          
GA,003151,#1,ASPARAGUS MYERS,Asparagus densiflorus 'Myers'                               ,Foxtail Fern                                                ,Sun/shade foliage-groundcover,FRN,09,, 7.75 ,,"8""H", 22 , 10 , 922 ," 3,612 ",04/01/15  ,     ,          ,     ,          
OR,050021,#1,BEESIA DELTOPHYLLA,Beesia deltophylla                                          ,Beesia                                                      ,Ground cover,PRN,06,HIN, 6.35 ,-,CAN FULL, 110 , 10 , 440 , 462 ,04/01/15  ,     ,          ,     ,          
