Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2016 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
OR,    ,01388UT,LittleOne,BUXUS SEMP VARIEGATA,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  ,EVS,05,, 5.25 , 4.41 , 0.66 , 5.07 ,,     ,014949068960,     ,     ,,"4""H", 16 , 112 , 112 ,01/01/16  ,     ,          ,     ,          ,4C 172
OR,    ,035971,#1,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,EVS,05,SWE, 9.00 , 7.56 , 0.89 , 8.45 ,,     ,014949208717,     ,     ,-,"6""H - 6""S", 10 ,     , 102 ,04/27/16  ,     ,          ,     ,          ,1D 199
OR,    ,03597UT,LittleOne,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,EVS,05,SWE, 5.25 , 4.41 , 0.66 , 5.07 ,,     ,014949212226,     ,     ,,"3""H", 16 , 45 , 45 ,03/01/16  , 45 ,04/01/16  ,     ,          ,4C 173
OR,    ,013991,#1,CALLICARPA BOD PROFUSION,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       ,DCS,05,, 6.75 , 5.67 , 0.89 , 6.56 ,,     ,014949139912,     ,     ,-,8''H - 8''S, 10 , 75 , 107 ,10/01/15  ,     ,          ,     ,          ,1D 172
OR,    ,013995,#5,CALLICARPA BOD PROFUSION,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       ,DCS,05,, 23.25 , 19.53 , 4.43 , 23.96 ,,     ,014949139950,     ,     ,-,21''H - 15''S, 5 , 97 ,     ,          ,     ,          ,     ,          ,"1F 194, 1F 195"
OR,    ,003175,#5,CALLICARPA DICH EARLY AMETHYST,Callicarpa dichotoma 'Early Amethyst'                       ,Early Amethyst Beautyberry                                  ,DCS,05,, 23.25 , 19.53 , 4.43 , 23.96 ,,     ,014949001134,     ,     ,-,"18""H - 18""S", 5 , 12 ,     ,          ,     ,          ,     ,          ,"1F 194, 1F 195"
OR,2011,092922,#2,CALLICARPA DICH SUMMER SNOW R,Callicarpa dichotoma Summer Snow® ,Summer Snow®  Beauty Berry,DCS,06,HIN, 16.00 , 13.44 , 2.21 , 15.65 ,,     ,014949305935,     ,     ,-,14''H - 14''S, 5 , 101 ,     ,          ,     ,          ,     ,          ,1E 174
OR,    ,029051,#1,CALLUNA MRS. RONALD GRAY,Calluna vulgaris 'Mrs. Ronald Gray'                         ,Mrs. Ronald Gray Scotch Heather                             ,EVS,05,, 9.00 , 7.56 , 0.89 , 8.45 ,,     ,014949124796,     ,     ,-,"4""H - 8""S", 10 , 55 ,     ,          ,     ,          ,     ,          ,1E 162
OR,    ,014515,#5,CALYCANTHUS FLORIDUS,Calycanthus floridus                                        ,Carolina Allspice                                           ,DCS,05,, 23.25 , 19.53 , 4.43 , 23.96 ,,     ,014949145159,     ,     ,-,"18""H - 14""S", 5 , 19 ,     ,          ,     ,          ,     ,          ,1F 197
OR,    ,02235UT,LittleOne,CAMPANULA CAR DEEP BLUE CLIPS,Campanula carpatica 'Deep Blue Clips'                       ,Deep Blue Clips Bellflower                                  ,PRN,04,, 3.25 , 2.73 , 0.66 , 3.39 ,,     ,014949010495,     ,     ,-,., 16 , 12 , 12 ,04/27/16  ,     ,          ,     ,          ,4C 173
OR,2015,408421,#1,CAMPANULA GLOM GENTI BLUE PPAF,Campanula glomerata 'Genti Blue'                            ,Genti Blue Bellflower                                       ,PRN,04,Y, 5.75 , 4.83 , 0.89 , 5.72 ,,     ,014949413586,     ,     ,,, 10 ," 1,062 ",     ,          ,     ,          ,     ,          ,4B 185
OR,2015,408411,#1,CAMPANULA GLOM GENTI WHITE PAF,Campanula glomerata 'Genti White'                           ,Genti White Bellflower                                      ,PRN,04,Y, 5.75 , 4.83 , 0.89 , 5.72 ,,     ,014949413579,     ,     ,,, 10 , 250 ,     ,          ,     ,          ,     ,          ,4B 185
OR,    ,022361,#1,CAMPANULA PORTENSCHLAGIANA,Campanula portenschlagiana                                  ,Dalmatian Bellflower                                        ,PRN,04,, 5.25 , 4.41 , 0.89 , 5.30 ,,     ,014949223611,     ,     ,BUDS & BLOOMS,CAN FULL, 10 , 9 , 9 ,01/01/16  ,     ,          ,     ,          ,4B 185
OR,    ,038611,#1,CAMPANULA SAMANTHA,Campanula 'Samantha'                                        ,Samantha Bellflower                                         ,PRN,05,, 5.75 , 4.83 , 0.89 , 5.72 ,,     ,014949230398,     ,     ,BUDS & BLOOMS,CAN FULL, 10 , 393 ,     ,          ,     ,          ,     ,          ,4B 173
OR,    ,022495,#5,CARAGANA ARB WALKER,Caragana arborescens 'Walker'                               ,Walker Siberian Peashrub                                    ,TRE,03,, 34.75 , 29.19 , 4.43 , 33.62 ,,     ,014949224953,     ,     ,-,"45""H - 12""S", 5 , 69 , 69 ,10/01/15  ,     ,          ,     ,          ,4G 198
OR,    ,092891,#1,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,DCS,05,KJU, 7.50 , 6.30 , 0.89 , 7.19 ,,     ,014949324134,     ,     ,BUDS,10''H - 6''S, 10 , 515 , 775 ,06/01/16  ,     ,          ,     ,          ,1D 199
OR,    ,092892,#2,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,DCS,05,KJU, 16.00 , 13.44 , 2.21 , 15.65 ,,     ,014949280645,     ,     ,-,"10""H - 8""S", 5 , 6 , 91 ,06/01/16  ,     ,          ,     ,          ,1E 197
OR,    ,022891,#1,CARY X DARK KNIGHT,Caryopteris x clandonensis 'Dark Knight'                    ,Dark Knight Bluebeard                                       ,DCS,05,, 6.50 , 5.46 , 0.89 , 6.35 ,,     ,014949228913,     ,     ,-,"9""H - 8""S", 10 ,     , 161 ,06/01/16  ,     ,          ,     ,          ,
OR,    ,022895,#5,CARY X DARK KNIGHT,Caryopteris x clandonensis 'Dark Knight'                    ,Dark Knight Bluebeard                                       ,DCS,05,, 22.25 , 18.69 , 4.43 , 23.12 ,,     ,014949228951,     ,     ,-,"15""H - 15""S", 5 , 15 , 15 ,06/01/16  ,     ,          ,     ,          ,1F 205
OR,2013,031295,#5,CEANOTHUS CENTENNIAL,Ceanothus 'Centennial'                                      ,Centennial Hybrid Wild Lilac                                ,EVS,08,,     ,     , 4.43 , 4.43 ,,     ,014949274491,     ,     ,-,18''S, 5 , 53 ,     ,          ,     ,          ,     ,          ,1E 160
OR,    ,023185,#5,CEANOTHUS THY VICTORIA,Ceanothus thyrsiflorus 'Victoria'                           ,Victoria California Lilac                                   ,EVS,08,, 24.50 , 20.58 , 4.43 , 25.01 ,,     ,014949231852,     ,     ,-,"22""H - 18""S", 5 , 22 , 22 ,04/27/16  ,     ,          ,     ,          ,1D 170
OR,2011,074432S,SuperTwo,CEANOTHUS X MARIE BLEU TM PPAF,Ceanothus x pallidus 'Minmari' P.P.A.F.                     ,Marie Bleu™  New Jersey Tea,DCS,06,PW, 18.00 , 15.12 , 2.95 , 18.07 ,,     ,014949349243,     ,     ,BUDS & BLOOMS,14''H - 12''S, 5 , 26 ,     ,          ,     ,          ,     ,          ,1E 175
OR,    ,038785,#5,CEDRUS ATLANTICA FASTIGIATA,Cedrus atlantica 'Glauca Fastigiata'                        ,Columnar Blue Atlas Cedar                                   ,CON,06,, 43.25 , 36.33 , 4.43 , 40.76 ,,     ,014949233085,     ,     ,,"42""H - 14""S", 5 ,     , 14 ,04/27/16  ,     ,          ,     ,          ,
OR,    ,038787,#7,CEDRUS ATLANTICA FASTIGIATA,Cedrus atlantica 'Glauca Fastigiata'                        ,Columnar Blue Atlas Cedar                                   ,CON,06,, 78.50 , 65.94 , 11.07 , 77.01 ,,     ,014949233092,     ,     ,-,"54""H", 2 , 6 ,     ,          ,     ,          ,     ,          ,"3E 130, 3E 131"
OR,    ,023305,#5,CEDRUS ATLANTICA GLAUCA,Cedrus atlantica 'Glauca'                                   ,Blue Atlas Cedar                                            ,CON,06,, 43.25 , 36.33 , 4.43 , 40.76 ,,     ,014949233054,     ,     ,-,"40""H-10""S", 5 , 142 ,     ,          ,     ,          ,     ,          ,"3E 219, 3E 222"
OR,    ,023307,#7,CEDRUS ATLANTICA GLAUCA,Cedrus atlantica 'Glauca'                                   ,Blue Atlas Cedar                                            ,CON,06,, 78.50 , 65.94 , 11.07 , 77.01 ,,     ,014949233078,     ,     ,-,"54""H - 18""S", 2 , 5 , 5 ,09/01/15  ,     ,          ,     ,          ,3E 131
OR,    ,023315SE,#5 SERPENTINE,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON,06,, 56.50 , 47.46 , 6.64 , 54.10 ,,     ,014949233153,     ,     ,-,"32""H", 2 , 178 ,     ,          ,     ,          ,     ,          ,3E 219
OR,    ,023315ST,#5 STAKED,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON,06,, 53.25 , 44.73 , 4.43 , 49.16 ,,     ,014949069394,     ,     ,-,"48""H", 5 , 147 , 147 ,04/27/16  ,     ,          ,     ,          ,3E 219
OR,    ,023317SE,#7 SERPENTINE,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON,06,, 95.00 , 79.80 , 16.60 , 96.40 ,,     ,014949233177,     ,     ,-,45''H, 2 , 15 ,     ,          ,     ,          ,     ,          ,3E 130
OR,    ,023319SE,#15 SERPENTINE,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON,06,, 138.00 , 115.92 , 33.21 , 149.13 ,,     ,014949264775,     ,     ,-,"46""H",     , 7 ,     ,          ,     ,          ,     ,          ,3E 130
OR,    ,023325,#5,CEDRUS ATLANTICA HORSTMANN,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  ,CON,06,, 43.25 , 36.33 , 4.43 , 40.76 ,,     ,014949233351,     ,     ,-,"42""H - 14""S", 5 , 12 ,     ,          ,     ,          ,     ,          ,3E 222
OR,    ,023327,#7,CEDRUS ATLANTICA HORSTMANN,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  ,CON,06,, 78.50 , 65.94 , 11.07 , 77.01 ,,     ,014949233375,     ,     ,-,"54""H - 18""S", 2 , 202 ,     ,          ,     ,          ,     ,          ,"3E 130, 3E 131"
OR,    ,023355,#5,CEDRUS DEODARA,Cedrus deodara                                              ,Deodar Cedar                                                ,CON,07,, 26.75 , 22.47 , 4.43 , 26.90 ,,     ,014949233559,     ,     ,-,"33""H", 5 , 27 ,     ,          ,     ,          ,     ,          ,"3E 219, 3E 221"
OR,    ,023357,#7,CEDRUS DEODARA,Cedrus deodara                                              ,Deodar Cedar                                                ,CON,07,, 61.75 , 51.87 , 11.07 , 62.94 ,,     ,014949233573,     ,     ,-,"48""H - 21""S", 2 , 328 , 328 ,04/27/16  ,     ,          ,     ,          ,"3E 127, 3H 206"
OR,    ,023359,#15,CEDRUS DEODARA,Cedrus deodara                                              ,Deodar Cedar                                                ,CON,07,, 95.00 , 79.80 , 22.14 , 101.94 ,,     ,014949233597,     ,     ,-,"56""H - 24""S", 1 , 1 , 1 ,09/01/15  , 1 ,10/01/15  ,     ,          ,3E 125
OR,    ,023365,#5,CEDRUS DEODARA AUREA,Cedrus deodara 'Aurea'                                      ,Golden Deodar Cedar                                         ,CON,07,, 43.25 , 36.33 , 4.43 , 40.76 ,,     ,014949233658,     ,     ,-,"32""H - 14""S", 5 , 112 ,     ,          ,     ,          ,     ,          ,"3E 219, 3E 222"
OR,    ,023367,#7,CEDRUS DEODARA AUREA,Cedrus deodara 'Aurea'                                      ,Golden Deodar Cedar                                         ,CON,07,, 86.75 , 72.87 , 11.07 , 83.94 ,,     ,014949233672,     ,     ,-,"60""H", 2 , 7 ,     ,          ,     ,          ,     ,          ,3E 131
OR,    ,023285,#5,CEDRUS DEODARA FEELIN BLUE,Cedrus deodara 'Feelin' Blue'                               ,Feelin' Blue Deodar Cedar                                   ,CON,07,, 38.75 , 32.55 , 4.43 , 36.98 ,,     ,014949003596,     ,     ,-,"18""S", 5 , 32 ,     ,          ,     ,          ,     ,          ,3E 220
OR,    ,023285PT,#5 PATIO TREE,CEDRUS DEODARA FEELIN BLUE,Cedrus deodara 'Feelin' Blue'                               ,Feelin' Blue Deodar Cedar                                   ,CON,07,, 61.75 , 51.87 , 6.64 , 58.51 ,,     ,014949005385,     ,     ,-,"14""S", 2 , 8 ,     ,          ,     ,          ,     ,          ,3E 218
OR,    ,023285ST,#5 STAKED,CEDRUS DEODARA FEELIN BLUE,Cedrus deodara 'Feelin' Blue'                               ,Feelin' Blue Deodar Cedar                                   ,CON,07,, 50.25 , 42.21 , 4.43 , 46.64 ,,     ,014949066300,     ,     ,-,"24""H", 5 , 11 ,     ,          ,     ,          ,     ,          ,"3E 220, 3E 222"
OR,    ,02328MST,#10 Squat STAKED,CEDRUS DEODARA FEELIN BLUE,Cedrus deodara 'Feelin' Blue'                               ,Feelin' Blue Deodar Cedar                                   ,CON,07,, 100.25 , 84.21 , 15.94 , 100.15 ,,     ,014949070550,     ,     ,-,"33""H - 16""S", 2 , 3 ,     ,          ,     ,          ,     ,          ,"3E 130, 3E 131"
OR,2012,051275,#5,CEDRUS FEELIN SUNNY R PP23886,"Cedrus deodara 'MonKinn' P.P.# 23,886                       ",Feelin' Sunny®  Deodar Cedar,CON,07,, 38.75 , 32.55 , 4.43 , 36.98 ,,     ,014949359938,     ,     ,-,"16""S", 5 , 25 ,     ,          ,     ,          ,     ,          ,"3E 219, 3E 220"
OR,2012,051275PT,#5 PATIO TREE,CEDRUS FEELIN SUNNY R PP23886,"Cedrus deodara 'MonKinn' P.P.# 23,886                       ",Feelin' Sunny®  Deodar Cedar,CON,07,, 63.75 , 53.55 , 6.64 , 60.19 ,,     ,014949273029,     ,     ,-,"12""S", 2 , 6 ,     ,          ,     ,          ,     ,          ,3E 218
OR,2012,051275ST,#5 STAKED,CEDRUS FEELIN SUNNY R PP23886,"Cedrus deodara 'MonKinn' P.P.# 23,886                       ",Feelin' Sunny®  Deodar Cedar,CON,07,, 50.25 , 42.21 , 4.43 , 46.64 ,,     ,014949369197,     ,     ,-,"34""H - 18""S", 5 , 72 ,     ,          ,     ,          ,     ,          ,"3E 219, 3E 220, 3E 222"
OR,2011,003961,#1,CENTRANTHUS RUBER COCCINEUS,Centranthus ruber 'Coccineus'                               ,Red Valerian                                                ,PRN,03,, 5.25 , 4.41 , 0.89 , 5.30 ,,     ,014949053423,     ,     ,-,CAN FULL, 10 ,     , 479 ,03/28/16  ,     ,          ,     ,          ,
OR,2011,024662,#2,CEPHALOTAXUS HAR DUKE GARDENS,Cephalotaxus harringtonia 'Duke Gardens'                    ,Duke Gardens Japanese Plum Yew                              ,CON,06,, 16.75 , 14.07 , 2.21 , 16.28 ,,     ,014949049280,     ,     ,-,"8""H - 8""S", 5 , 16 ,     ,          ,     ,          ,     ,          ,3G 213
OR,2011,024665,#5,CEPHALOTAXUS HAR DUKE GARDENS,Cephalotaxus harringtonia 'Duke Gardens'                    ,Duke Gardens Japanese Plum Yew                              ,CON,06,, 25.50 , 21.42 , 4.43 , 25.85 ,,     ,014949049297,     ,     ,-,"14""H - 15""S", 5 ,     , 17 ,04/27/16  ,     ,          ,     ,          ,3E 227
OR,    ,017381,#1,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON,06,,     ,     , 0.89 , 0.89 ,,     ,014949040218,     ,     ,-,"8""H", 10 , 98 ,     ,          ,     ,          ,     ,          ,3B 216
OR,    ,017382,#2,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON,06,, 16.75 , 14.07 , 2.21 , 16.28 ,,     ,014949040270,     ,     ,-,"10""H", 5 , 154 ,     ,          ,     ,          ,     ,          ,3G 213
OR,    ,017385,#5,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON,06,, 25.50 , 21.42 , 4.43 , 25.85 ,,     ,014949040287,     ,     ,-,"20""H - 12""S", 5 ,     , 77 ,04/27/16  ,     ,          ,     ,          ,3E 227
OR,    ,028832,#2,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 ,CON,06,, 16.75 , 14.07 , 2.21 , 16.28 ,,     ,014949259672,     ,     ,-,"10""H - 12""S", 5 , 6 ,     ,          ,     ,          ,     ,          ,3G 213
OR,    ,028835,#5,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 ,CON,06,, 25.50 , 21.42 , 4.43 , 25.85 ,,     ,014949065044,     ,     ,-,"10""H - 24""S", 5 , 42 ,     ,          ,     ,          ,     ,          ,"3E 228, 3E 232"
OR,    ,023481,#1,CERATOSTIGMA PLUMBAGINOIDES,Ceratostigma plumbaginoides                                 ,Dwarf Plumbago                                              ,PRN,05,, 5.25 , 4.41 , 0.89 , 5.30 ,,     ,014949234815,     ,     ,,CAN FULL, 10 , 360 , 360 ,04/27/16  ,     ,          ,     ,          ,"4B 173, 4B 182"
OR,    ,038425,#5,CERCIS C ACE OF HEARTS PP17161,"Cercis canadensis 'Ace Of Hearts' P.P. #17,161              ",Ace of Hearts Redbud                                        ,TRE,05,PHI, 42.50 , 35.70 , 4.43 , 40.13 ,,     ,014949219461,     ,     ,-,"33""H", 5 , 3 ,     ,          ,     ,          ,     ,          ,4G 195
OR,2011,049545,#5,CERCIS C LITTLE WOODY PPAF,"Cercis canadensis 'Little Woody' P.P. #15,854               ",Little Woody Redbud                                         ,TRE,05,PHI, 42.50 , 35.70 , 4.43 , 40.13 ,,     ,014949268216,     ,     ,-,"36""H", 5 , 1 ,     ,          ,     ,          ,     ,          ,4G 195
OR,    ,023585,#5,CERCIS CAN FOREST PANSY,Cercis canadensis 'Forest Pansy'                            ,Forest Pansy Redbud                                         ,TRE,05,, 36.00 , 30.24 , 4.43 , 34.67 ,,     ,014949235850,     ,     ,-,"45""H", 5 , 4 ,     ,          ,     ,          ,     ,          ,4G 195
OR,    ,017855,#5,CERCIS LAVENDER TWIST R P10328,"Cercis canadensis 'Covey' P.P. #10,328                      ",Lavender Twist®  Redbud,TRE,05,BNU, 36.00 , 30.24 , 4.43 , 34.67 ,,     ,014949052914,     ,     ,-,"44""H", 5 , 6 ,     ,          ,     ,          ,     ,          ,4G 195
OR,2011,074442S,SuperTwo,CHAEN DBLTKE TM OR STRM P20950,"Chaenomeles speciosa 'Orange Storm' P.P. #20,950, C.B.R.A.F.",Double Take™  Orange Storm Flowering Quince,DCS,05,PW, 18.00 , 15.12 , 2.95 , 18.07 ,,     ,014949337196,     ,     ,-,"12""H - 12""S", 5 , 354 , 354 ,04/27/16  ,     ,          ,     ,          ,1E 175
OR,2011,074452S,SuperTwo,CHAEN DBLTKE TM PK STRM P20920,"Chaenomeles speciosa 'Pink Storm' P.P.# 20,920, CBRAF       ",Double Take™  Pink Storm Flowering Quince,DCS,05,PW, 18.00 , 15.12 , 2.95 , 18.07 ,,     ,014949337219,     ,     ,-,"12""H - 12""S", 5 , 376 , 519 ,04/27/16  ,     ,          ,     ,          ,1E 175
OR,2011,074772S,SuperTwo,CHAEN DBLTKE TM SCR STRM PPAF,"Chaenomeles speciosa 'Scarlet Storm' P.P.# PP 20,951        ",Double Take™  Scarlet Storm Flowering Quince,DCS,05,PW, 18.00 , 15.12 , 2.95 , 18.07 ,,     ,014949337233,     ,     ,-,"12""H - 12""S", 5 , 6 ,     ,          ,     ,          ,     ,          ,"1B 157, 1D 166"
OR,    ,033805,#5,CHAM L YVONNE-GUARDIAN R,Chamaecyparis lawsoniana 'Yvonne'                           ,Yvonne Port Orford Cedar - The Guardian®  Series,CON,06,OSU, 31.25 , 26.25 , 4.43 , 30.68 ,,     ,014949232798,     ,     ,-,"30""H - 18""S", 5 , 6 ,     ,          ,     ,          ,     ,          ,"3E 220, 3E 227"
OR,    ,023655,#5,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON,05,, 36.00 , 30.24 , 4.43 , 34.67 ,,     ,014949236550,     ,     ,-,"42""H - 20""S", 5 , 109 ,     ,          ,     ,          ,     ,          ,"3E 220, 3E 221, 3E 222"
OR,    ,02365M,#10 Squat,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON,05,, 82.50 , 69.30 , 15.94 , 85.24 ,,     ,014949236673,     ,     ,-,"60""H - 21'S", 2 , 63 ,     ,          ,     ,          ,     ,          ,"3E 130, 3E 131"
OR,    ,023902,#2,CHAM OBT FILICOIDES,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,CON,04,, 13.75 , 11.55 , 2.21 , 13.76 ,,     ,014949239025,     ,     ,-,"18""H", 5 , 22 ,     ,          ,     ,          ,     ,          ,3G 213
OR,    ,023905,#5,CHAM OBT FILICOIDES,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,CON,04,, 31.25 , 26.25 , 4.43 , 30.68 ,,     ,014949239056,     ,     ,-,"20""H", 5 , 49 ,     ,          ,     ,          ,     ,          ,"3E 224, 3E 228"
OR,    ,023682,#2,CHAM OBT GRACILIS,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                ,CON,04,, 13.75 , 11.55 , 2.21 , 13.76 ,,     ,014949236826,     ,     ,-,"15""H", 5 , 23 ,     ,          ,     ,          ,     ,          ,3G 213
OR,    ,023685,#5,CHAM OBT GRACILIS,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                ,CON,04,, 31.25 , 26.25 , 4.43 , 30.68 ,,     ,014949236857,     ,     ,-,"32""H", 5 , 73 ,     ,          ,     ,          ,     ,          ,"3D 127, 3E 224, 3E 228"
OR,    ,02368M,#10 Squat,CHAM OBT GRACILIS,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                ,CON,04,, 76.25 , 64.05 , 15.94 , 79.99 ,,     ,014949236864,     ,     ,-,"48""H", 2 , 4 ,     ,          ,     ,          ,     ,          ,"3E 127, 3H 206"
OR,    ,023792,#2,CHAM OBT KOSTERI,Chamaecyparis obtusa 'Kosteri'                              ,Koster's False Cypress                                      ,CON,04,, 18.75 , 15.75 , 2.21 , 17.96 ,,     ,014949237922,     ,     ,-,"10""S", 5 , 6 , 20 ,10/01/15  ,     ,          ,     ,          ,3G 213
OR,    ,023912,#2,CHAM OBT TEMPELHOF,Chamaecyparis obtusa 'Tempelhof'                            ,Tempelhof Cypress                                           ,CON,04,, 18.75 , 15.75 , 2.21 , 17.96 ,,     ,014949239124,     ,     ,-,"14""S", 5 , 36 ,     ,          ,     ,          ,     ,          ,"3F 210, 3F 212, 3G 213"
OR,    ,082401,#1,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,04,, 7.25 , 6.09 , 0.89 , 6.98 ,,     ,014949824016,     ,     ,-,"10""H - 6""S", 10 , 17 ,     ,          ,     ,          ,     ,          ,3B 217
OR,    ,082402,#2,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,04,, 15.25 , 12.81 , 2.21 , 15.02 ,,     ,014949824023,     ,     ,-,"12""H - 12""S", 5 , 617 ,     ,          ,     ,          ,     ,          ,"3F 211, 3F 212"
OR,    ,082405,#5,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,04,, 23.00 , 19.32 , 4.43 , 23.75 ,,     ,014949824054,     ,     ,-,"17""H", 5 , 97 , 273 ,04/27/16  ,     ,          ,     ,          ,"3E 224, 3E 228"
OR,    ,082405OP,#5 ORIENTAL POMPON,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,04,, 77.25 , 64.89 , 6.64 , 71.53 ,,     ,014949040638,     ,     ,-,"24""H - 14""S", 2 , 1 , 7 ,04/27/16  ,     ,          ,     ,          ,3E 224
OR,    ,08240UT,LittleOne,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,04,, 5.00 , 4.20 , 0.66 , 4.86 ,,     ,014949069028,     ,     ,,"3""H", 16 , 187 , 505 ,01/01/16  ,     ,          ,     ,          ,4B 177
OR,    ,024031,#1,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON,04,, 7.50 , 6.30 , 0.89 , 7.19 ,,     ,014949240311,     ,     ,-,"12""S", 10 , 363 ,     ,          ,     ,          ,     ,          ,3E 214
OR,    ,024032,#2,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON,04,, 15.75 , 13.23 , 2.21 , 15.44 ,,     ,014949240328,     ,     ,-,"12""S", 5 , 576 ,     ,          ,     ,          ,     ,          ,"3E 213, 3E 214"
OR,    ,024035,#5,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON,04,, 25.50 , 21.42 , 4.43 , 25.85 ,,     ,014949240359,     ,     ,-,18''S, 5 , 229 ,     ,          ,     ,          ,     ,          ,"3E 210, 3E 213"
OR,2011,074782S,SuperTwo,CHAM PIS SOFT SERVE R PPAF,Chamaecyparis pisifera 'Dow Whiting' P.P.A.F.               ,Soft Serve®  False Cypress,CON,05,PW, 17.75 , 14.91 , 2.95 , 17.86 ,,     ,014949337257,     ,     ,-,"22""H - 14""S", 5 , 666 ,     ,          ,     ,          ,     ,          ,"3F 209, 3F 211, 3G 213"
OR,2011,074785,#5,CHAM PIS SOFT SERVE R PPAF,Chamaecyparis pisifera 'Dow Whiting' P.P.A.F.               ,Soft Serve®  False Cypress,CON,05,PW, 28.25 , 23.73 , 4.43 , 28.16 ,,     ,014949349236,     ,     ,-,"18""S", 5 , 10 , 10 ,09/01/15  ,     ,          ,     ,          ,3E 232
OR,    ,023822,#2,CHAM PIS SQUARROSA MINIMA,Chamaecyparis pisifera 'Squarrosa Minima'                   ,Miniature Moss False Cypress                                ,CON,04,, 18.75 , 15.75 , 2.21 , 17.96 ,,     ,014949238226,     ,     ,-,"12""S", 5 , 51 ,     ,          ,     ,          ,     ,          ,"3F 210, 3F 212, 3G 213"
OR,    ,024191,#1,CHELONE HOT LIPS,Chelone lyonii 'Hot Lips'                                   ,Hot Lips Turtlehead                                         ,PRN,03,, 5.25 , 4.41 , 0.89 , 5.30 ,,     ,014949241912,     ,     ,-,., 10 ,     , 65 ,08/15/15  , 65 ,09/01/15  , 65 ,03/28/16  ,
