Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2016 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
OR,    ,000705MU,#5 CLUMP,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,TRE,05,, 30.00 , 25.20 , 4.43 , 29.63 ,,     ,014949416600,     ,     ,,, 5 ,     , 303 ,09/01/15  ,     ,          ,     ,          ,
OR,    ,000752,#2,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949007525,     ,     ,-,"27""H", 5 , 213 ,     ,          ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,    ,000755,#5,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949007556,     ,     ,-,"45""H", 5 , 86 ,     ,          ,     ,          ,     ,          ,"4G 198, 4G 199, 4H 195, 4H 198"
OR,    ,000759,#15,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,TRE,05,, 154.00 , 129.36 , 22.14 , 151.50 ,,     ,014949007594,     ,     ,-,"60""H", 1 , 1 , 12 ,04/27/16  ,     ,          ,     ,          ,4G 201
OR,    ,00075M,#10 Squat,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949007679,     ,     ,-,"64""H", 2 , 25 ,     ,          ,     ,          ,     ,          ,4H 201
OR,    ,000802,#2,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,TRE,05,, 39.75 , 33.39 , 2.21 , 30.04 ,,     ,014949008027,     ,     ,-,"30""H", 5 ," 1,741 ",     ,          ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,    ,000805,#5,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949008058,     ,     ,-,"36""H", 5 , 51 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 195, 4H 196, 4H 198"
OR,    ,00080M,#10 Squat,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949008171,     ,     ,-,"56""H", 2 , 5 , 5 ,09/01/15  ,     ,          ,     ,          ,"4G 201, 4H 201"
OR,    ,000952ST,#2 STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949009529,     ,     ,-,25''H, 5 , 467 , 467 ,04/26/16  ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,    ,000955,#5,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949009451,     ,     ,-,"24""H - 15""S", 5 , 23 , 23 ,04/26/16  ,     ,          ,     ,          ,4H 196
OR,    ,000955ST,#5 STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 60.00 , 50.40 , 4.43 , 54.83 ,,     ,014949009550,     ,     ,-,"36""H - 12""S", 5 , 116 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 196"
OR,    ,000959ST,#15 STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 154.00 , 129.36 , 22.14 , 151.50 ,,     ,014949009598,     ,     ,-,"48""H", 1 , 6 ,     ,          ,     ,          ,     ,          ,"4G 201, 4H 201"
OR,    ,00095M,#10 Squat,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949005842,     ,     ,-,"26""H - 24""S", 2 , 3 ,     ,          ,     ,          ,     ,          ,"4G 201, 4H 201"
OR,    ,00095MST,#10 Squat STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949009673,     ,     ,-,"40""H", 2 , 19 ,     ,          ,     ,          ,     ,          ,"4G 201, 4G 203"
OR,    ,000845,#5,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,TRE,05,AJO, 61.00 , 51.24 , 4.43 , 47.13 ,,     ,014949008454,     ,     ,-,"45""H", 5 , 796 ,     ,          ,     ,          ,     ,          ,"4H 195, 4H 198"
OR,    ,000849,#15,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,TRE,05,AJO, 154.00 , 129.36 , 22.14 , 151.50 ,,     ,014949008485,     ,     ,-,"70""H - 30""S", 1 ,     , 8 ,04/27/16  ,     ,          ,     ,          ,
OR,    ,00084M,#10 Squat,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,TRE,05,AJO, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949008577,     ,     ,-,"62""H", 2 , 20 ,     ,          ,     ,          ,     ,          ,"4G 201, 4G 203, 4H 201"
OR,    ,03321M,#10 Squat,ACER PAL KAGIRI NISHIKI,Acer palmatum 'Kagiri Nishiki'                              ,Kagiri Nishiki Japanese Maple                               ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949317624,     ,     ,-,"64""H", 2 ,     , 16 ,10/01/15  ,     ,          ,     ,          ,
OR,    ,018345,#5,ACER PAL OSAKAZUKI,Acer palmatum 'Osakazuki'                                   ,Osakazuki Japanese Maple                                    ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949007761,     ,     ,-,"44""H - 15""S", 5 , 205 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 195, 4H 196"
OR,    ,01834M,#10 Squat,ACER PAL OSAKAZUKI,Acer palmatum 'Osakazuki'                                   ,Osakazuki Japanese Maple                                    ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949007778,     ,     ,-,"56""H", 2 , 17 ,     ,          ,     ,          ,     ,          ,"4G 201, 4H 201"
OR,    ,001052,#2,ACER PAL OSHIO BENI,Acer palmatum 'Oshio-Beni'                                  ,Oshio-Beni Japanese Maple                                   ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949010525,     ,     ,-,"30""H", 5 , 191 , 191 ,10/01/15  ,     ,          ,     ,          ,4G 200
OR,    ,001055,#5,ACER PAL OSHIO BENI,Acer palmatum 'Oshio-Beni'                                  ,Oshio-Beni Japanese Maple                                   ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949010556,     ,     ,-,"44""H", 5 , 165 ,     ,          ,     ,          ,     ,          ,"4G 198, 4G 199, 4H 196"
OR,    ,00105M,#10 Squat,ACER PAL OSHIO BENI,Acer palmatum 'Oshio-Beni'                                  ,Oshio-Beni Japanese Maple                                   ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949010563,     ,     ,-,"60""H", 2 , 14 ,     ,          ,     ,          ,     ,          ,"4G 201, 4H 201"
OR,2011,010395ST,#5 STAKED,ACER PAL RED DRAGON,Acer palmatum dissectum 'Red Dragon'                        ,Red Dragon Japanese Maple                                   ,TRE,05,, 60.00 , 50.40 , 4.43 , 54.83 ,,     ,014949273999,     ,     ,-,"30""H - 12""S", 5 ,     , 8 ,04/26/16  ,     ,          ,     ,          ,
OR,2011,01039MST,#10 Squat STAKED,ACER PAL RED DRAGON,Acer palmatum dissectum 'Red Dragon'                        ,Red Dragon Japanese Maple                                   ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949274002,     ,     ,-,"36""H", 2 ,     , 2 ,04/27/16  ,     ,          ,     ,          ,4H 201
OR,    ,001022,#2,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949220221,     ,     ,-,"30""H", 5 , 195 ,     ,          ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,    ,001025,#5,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949010259,     ,     ,-,"40""H", 5 , 49 , 49 ,04/27/16  ,     ,          ,     ,          ,"4G 198, 4H 198"
OR,    ,001029,#15,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,TRE,05,, 154.00 , 129.36 , 22.14 , 151.50 ,,     ,014949010297,     ,     ,-,"60""H -24""S", 1 ,     , 1 ,10/01/15  , 1 ,05/11/16  ,     ,          ,
OR,    ,00102M,#10 Squat,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949010372,     ,     ,-,"60""H", 2 ,     , 19 ,04/27/16  ,     ,          ,     ,          ,
