Code,Item#,Item Description,Common,OR 2013,,,,,,
038572,3857,CLEM ALP STOLWIJK GOLD PP18648,Stolwijk Gold Alpine Clematis,16.50 ,,,,,,
027151,2715,CLEM ARMANDII,Evergreen Clematis,8.00 ,,,,,,
027151S,2715,CLEM ARMANDII,Evergreen Clematis,9.00 ,,,,,,
027152,2715,CLEM ARMANDII,Evergreen Clematis,16.25 ,,,,,,
027155,2715,CLEM ARMANDII,Evergreen Clematis,26.75 ,,,,,,
056191,5619,CLEM ARMANDII APPLEBLOSSOM,,,,,,,,
048041,4804,CLEM CENTER STAR TM PP17010,Center Star Clematis,9.50 ,,,,,,
039302,3930,CLEM GLADYS PICARD,GLADYS PICARD CLEMATIS,16.25 ,,,,,,
027251,2725,CLEM INTEGRIFOLIA CAERULEA,Bushy Blue Bell Clematis,7.00 ,,,,,,
027285,2728,CLEM LAN CANDIDA,White Flowering Clematis,26.75 ,,,,,,
046252,4625,CLEM LOUISE ROWE,Louise Rowe Clematis,16.25 ,,,,,,
027431,2743,CLEM MONTANA FREDA,Freda Anemone Clematis,8.00 ,,,,,,
027431S,2743,CLEM MONTANA FREDA,Freda Anemone Clematis,9.00 ,,,,,,
027435,2743,CLEM MONTANA FREDA,Freda Anemone Clematis,26.75 ,,,,,,
055391,5539,CLEM MONTANA PINK-A-BOO R,Pink-A-Boo ® Anemone Clematis,8.50 ,,,,,,
055392,5539,CLEM MONTANA PINK-A-BOO R,Pink-A-Boo ® Anemone Clematis,17.00 ,,,,,,
055395,5539,CLEM MONTANA PINK-A-BOO R,Pink-A-Boo ® Anemone Clematis,27.50 ,,,,,,
027401,2740,CLEM MONTANA RUBENS,Pink Anemone Clematis,8.00 ,,,,,,
027401S,2740,CLEM MONTANA RUBENS,Pink Anemone Clematis,9.00 ,,,,,,
027405,2740,CLEM MONTANA RUBENS,Pink Anemone Clematis,26.75 ,,,,,,
027471,2747,CLEM PANICULATA,Sweet Autumn Clematis,8.00 ,,,,,,
027472,2747,CLEM PANICULATA,Sweet Autumn Clematis,16.25 ,,,,,,
027475,2747,CLEM PANICULATA,Sweet Autumn Clematis,26.75 ,,,,,,
021791,2179,CLEM PIILU TM PPAF,Piilu ™ Clematis,8.00 ,,,,,,
021792,2179,CLEM PIILU TM PPAF,Piilu ™ Clematis,16.25 ,,,,,,
021861S,2186,CLEM SAPPHIRE INDIGO TMPP17012,Sapphire Indigo ™ Clematis,9.00 ,,,,,,
021862,2186,CLEM SAPPHIRE INDIGO TMPP17012,Sapphire Indigo ™ Clematis,17.00 ,,,,,,
021865,2186,CLEM SAPPHIRE INDIGO TMPP17012,Sapphire Indigo ™ Clematis,26.75 ,,,,,,
055211,5521,CLEM SIEBOLDII,Florida Seiboldii Clematis,8.00 ,,,,,,
055215,5521,CLEM SIEBOLDII,Florida Seiboldii Clematis,26.75 ,,,,,,
089921S,8992,CLEM SWEET SUMMER LOVE PPAF,Sweet Summer Love Clematis,,,,,,,
038001,3800,CLEM TEX PRINCESS DIANA,Princess Diana Clematis,8.00 ,,,,,,
038001S,3800,CLEM TEX PRINCESS DIANA,Princess Diana Clematis,9.00 ,,,,,,
038002,3800,CLEM TEX PRINCESS DIANA,Princess Diana Clematis,16.25 ,,,,,,
038005,3800,CLEM TEX PRINCESS DIANA,Princess Diana Clematis,26.75 ,,,,,,
051481,5148,CLEM VANCOUVER TM DANIELLE,Vancouver ™ Danielle Clematis,9.00 ,,,,,,
051481S,5148,CLEM VANCOUVER TM DANIELLE,Vancouver ™ Danielle Clematis,10.00 ,,,,,,
051482,5148,CLEM VANCOUVER TM DANIELLE,Vancouver ™ Danielle Clematis,16.50 ,,,,,,
051485,5148,CLEM VANCOUVER TM DANIELLE,Vancouver ™ Danielle Clematis,26.75 ,,,,,,
046271,4627,CLEM VANCOUVER TM FRGRNT STAR,Vancouver ™ Fragrant Star Clematis,9.00 ,,,,,,
046271S,4627,CLEM VANCOUVER TM FRGRNT STAR,Vancouver ™ Fragrant Star Clematis,10.00 ,,,,,,
046272,4627,CLEM VANCOUVER TM FRGRNT STAR,Vancouver ™ Fragrant Star Clematis,16.50 ,,,,,,
046275,4627,CLEM VANCOUVER TM FRGRNT STAR,Vancouver ™ Fragrant Star Clematis,26.75 ,,,,,,
048741,4874,CLEM VANCOUVER TM STARRY NGHTS,Vancouver ™ Starry Nights Clematis,9.00 ,,,,,,
048741S,4874,CLEM VANCOUVER TM STARRY NGHTS,Vancouver ™ Starry Nights Clematis,9.00 ,,,,,,
048742,4874,CLEM VANCOUVER TM STARRY NGHTS,Vancouver ™ Starry Nights Clematis,16.50 ,,,,,,
048745,4874,CLEM VANCOUVER TM STARRY NGHTS,Vancouver ™ Starry Nights Clematis,26.75 ,,,,,,
038081,3808,CLEM VIT BETTY CORNING,Betty Corning Clematis,8.00 ,,,,,,
027111S,2711,CLEM VIT BLUE ANGEL,Blue Angel Clematis,9.00 ,,,,,,
027211,2721,CLEM VIT ETOILE VIOLETTE,Etoile Violette Clematis,8.00 ,,,,,,
027211S,2721,CLEM VIT ETOILE VIOLETTE,Etoile Violette Clematis,9.00 ,,,,,,
027212,2721,CLEM VIT ETOILE VIOLETTE,Etoile Violette Clematis,16.25 ,,,,,,
027215,2721,CLEM VIT ETOILE VIOLETTE,Etoile Violette Clematis,26.75 ,,,,,,
027301,2730,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis,8.00 ,,,,,,
027301S,2730,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis,,,,,,,
027302,2730,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis,16.25 ,,,,,,
027305,2730,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis,26.75 ,,,,,,
046285,4628,CLEM X 01-04-13,,26.75 ,,,,,,
021781,2178,CLEM X ARABELLA,Arabella Clematis,8.00 ,,,,,,
021782,2178,CLEM X ARABELLA,Arabella Clematis,16.25 ,,,,,,
015901,1590,CLEM X BLUE LIGHT R PP15953,Blue Light ® Clematis,8.00 ,,,,,,
015901S,1590,CLEM X BLUE LIGHT R PP15953,Blue Light ® Clematis,9.00 ,,,,,,
015905,1590,CLEM X BLUE LIGHT R PP15953,Blue Light ® Clematis,26.75 ,,,,,,
027191,2719,CLEM X BLUE RAVINE,Blue Ravine Clematis,8.00 ,,,,,,
027191S,2719,CLEM X BLUE RAVINE,Blue Ravine Clematis,9.00 ,,,,,,
027195,2719,CLEM X BLUE RAVINE,Blue Ravine Clematis,26.75 ,,,,,,
090612,9061,CLEM X CART AVALANCHE,Avalanche Evergreen Clematis,16.25 ,,,,,,
090615,9061,CLEM X CART AVALANCHE,Avalanche Evergreen Clematis,26.75 ,,,,,,
044242,4424,CLEM X CEZANNE TM PP15166,Cezanne ™ Clematis,16.50 ,,,,,,
027221,2722,CLEM X COMTESSE DE BOUCHAUD,Comtesse De Bouchaud Clematis,8.00 ,,,,,,
027221S,2722,CLEM X COMTESSE DE BOUCHAUD,Comtesse De Bouchaud Clematis,9.00 ,,,,,,
027225,2722,CLEM X COMTESSE DE BOUCHAUD,Comtesse De Bouchaud Clematis,26.75 ,,,,,,
027011,2701,CLEM X ERNEST MARKHAM,Ernest Markham Clematis,8.00 ,,,,,,
027011S,2701,CLEM X ERNEST MARKHAM,Ernest Markham Clematis,9.00 ,,,,,,
027015,2701,CLEM X ERNEST MARKHAM,Ernest Markham Clematis,26.75 ,,,,,,
027021,2702,CLEM X GIPSY QUEEN,Gipsy Queen Clematis,8.00 ,,,,,,
027021S,2702,CLEM X GIPSY QUEEN,Gipsy Queen Clematis,9.00 ,,,,,,
027171,2717,CLEM X HAGLEY HYBRID,Hagley Hybrid Clematis,8.00 ,,,,,,
027175,2717,CLEM X HAGLEY HYBRID,Hagley Hybrid Clematis,26.75 ,,,,,,
033492,3349,CLEM X HANIA,Hania Clematis,16.25 ,,,,,,
027411,2741,CLEM X HENRYI,Henry Clematis,8.00 ,,,,,,
027261,2726,CLEM X JACKMANII,Jackman Clematis,8.00 ,,,,,,
027261S,2726,CLEM X JACKMANII,Jackman Clematis,9.00 ,,,,,,
027262,2726,CLEM X JACKMANII,Jackman Clematis,16.25 ,,,,,,
027265,2726,CLEM X JACKMANII,Jackman Clematis,26.75 ,,,,,,
044481,4448,CLEM X JACKMANII SUPERBA,Jackman Superba Clematis,8.00 ,,,,,,
044481S,4448,CLEM X JACKMANII SUPERBA,Jackman Superba Clematis,9.00 ,,,,,,
044482,4448,CLEM X JACKMANII SUPERBA,Jackman Superba Clematis,16.25 ,,,,,,
044485,4448,CLEM X JACKMANII SUPERBA,Jackman Superba Clematis,26.75 ,,,,,,
033511,3351,CLEM X JULKA,Julka Clematis,8.00 ,,,,,,
033512,3351,CLEM X JULKA,Julka Clematis,16.25 ,,,,,,
034431,3443,CLEM X KILIAN DONAHUE,Kilian Donahue Clematis,8.00 ,,,,,,
034432,3443,CLEM X KILIAN DONAHUE,Kilian Donahue Clematis,16.25 ,,,,,,
055201,5520,CLEM X MRS. SPENCER CASTLE,Mrs. Spencer Castle Clematis,8.00 ,,,,,,
055205,5520,CLEM X MRS. SPENCER CASTLE,Mrs. Spencer Castle Clematis,26.75 ,,,,,,
027061,2706,CLEM X MULTI-BLUE,Multi-Blue Clematis,8.00 ,,,,,,
027061S,2706,CLEM X MULTI-BLUE,Multi-Blue Clematis,9.00 ,,,,,,
027065,2706,CLEM X MULTI-BLUE,Multi-Blue Clematis,26.75 ,,,,,,
027441,2744,CLEM X NELLY MOSER,Nelly Moser Clematis,8.00 ,,,,,,
027441S,2744,CLEM X NELLY MOSER,Nelly Moser Clematis,9.00 ,,,,,,
027442,2744,CLEM X NELLY MOSER,Nelly Moser Clematis,16.25 ,,,,,,
027445,2744,CLEM X NELLY MOSER,Nelly Moser Clematis,26.75 ,,,,,,
027461,2746,CLEM X NIOBE,Niobe Clematis,8.00 ,,,,,,
027461S,2746,CLEM X NIOBE,Niobe Clematis,9.00 ,,,,,,
027462,2746,CLEM X NIOBE,Niobe Clematis,16.25 ,,,,,,
027465,2746,CLEM X NIOBE,Niobe Clematis,26.75 ,,,,,,
044282,4428,CLEM X PARISIENNE TM PP16069,Parisienne ™ Clematis,16.25 ,,,,,,
027071,2707,CLEM X PINK CHAMPAGNE,Pink Champagne Clematis,8.00 ,,,,,,
027071S,2707,CLEM X PINK CHAMPAGNE,Pink Champagne Clematis,9.00 ,,,,,,
027072,2707,CLEM X PINK CHAMPAGNE,Pink Champagne Clematis,16.25 ,,,,,,
027075,2707,CLEM X PINK CHAMPAGNE,Pink Champagne Clematis,26.75 ,,,,,,
027481,2748,CLEM X RAMONA,Ramona Clematis,8.00 ,,,,,,
027481S,2748,CLEM X RAMONA,Ramona Clematis,9.00 ,,,,,,
027482,2748,CLEM X RAMONA,Ramona Clematis,16.25 ,,,,,,
027485,2748,CLEM X RAMONA,Ramona Clematis,26.75 ,,,,,,
027491,2749,CLEM X ROUGE CARDINAL,Rouge Cardinal Clematis,8.00 ,,,,,,
027491S,2749,CLEM X ROUGE CARDINAL,Rouge Cardinal Clematis,9.00 ,,,,,,
027492,2749,CLEM X ROUGE CARDINAL,Rouge Cardinal Clematis,16.25 ,,,,,,
027495,2749,CLEM X ROUGE CARDINAL,Rouge Cardinal Clematis,26.75 ,,,,,,
027321S,2732,CLEM X THE PRESIDENT,The President Clematis,9.00 ,,,,,,
027325,2732,CLEM X THE PRESIDENT,The President Clematis,26.75 ,,,,,,
026371,2637,CLEM X TOKI,Toki Clematis,8.00 ,,,,,,
026372,2637,CLEM X TOKI,Toki Clematis,16.25 ,,,,,,
026375,2637,CLEM X TOKI,Toki Clematis,26.75 ,,,,,,
056212,5621,CLEM X WESTERPLATTE,Westerplatte Clematis,16.25 ,,,,,,
056215,5621,CLEM X WESTERPLATTE,Westerplatte Clematis,26.75 ,,,,,,
022431,2243,CLEMATIS INT BLUE RIBBONS,,,,,,,,
052105,5210,CLEMATIS UNCINATA (7019),,26.75 ,,,,,,
027515,2751,CLERODENDRUM UGANDENSE,Blue Glorybower,,,,,,,
027515PT,2751,CLERODENDRUM UGANDENSE,Blue Glorybower,,,,,,,
074462S,7446,CLETHRA AL SUGARTINA TM P21561,Sugartina ™ Summersweet,,,,,,,
074465,7446,CLETHRA AL SUGARTINA TM P21561,Sugartina ™ Summersweet,,,,,,,
027521,2752,CLETHRA ALN HUMMINGBIRD,Hummingbird Summersweet,6.50 ,,,,,,
027522,2752,CLETHRA ALN HUMMINGBIRD,Hummingbird Summersweet,13.00 ,,,,,,
027525,2752,CLETHRA ALN HUMMINGBIRD,Hummingbird Summersweet,,,,,,,
027531,2753,CLETHRA ALN RUBY SPICE,Ruby Spice Summersweet,6.50 ,,,,,,
027532,2753,CLETHRA ALN RUBY SPICE,Ruby Spice Summersweet,13.00 ,,,,,,
027535,2753,CLETHRA ALN RUBY SPICE,Ruby Spice Summersweet,,,,,,,
020091,2009,CLETHRA ALN SIXTEEN CANDLES,Sixteen Candles Summersweet,6.50 ,,,,,,
020092,2009,CLETHRA ALN SIXTEEN CANDLES,Sixteen Candles Summersweet,13.00 ,,,,,,
074471S,7447,CLETHRA ALN VNLA SPICE TM PPAF,Vanilla Spice ® Summersweet,,,,,,,
074472S,7447,CLETHRA ALN VNLA SPICE TM PPAF,Vanilla Spice ® Summersweet,,,,,,,
074475,7447,CLETHRA ALN VNLA SPICE TM PPAF,Vanilla Spice ® Summersweet,,,,,,,
081531,8153,CLETHRA ALNIFOLIA,Summersweet,6.50 ,,,,,,
081532,8153,CLETHRA ALNIFOLIA,Summersweet,13.00 ,,,,,,
055531,5553,CLETHRA BARBINERVIS VARIEGATA,,,,,,,,
055532,5553,CLETHRA BARBINERVIS VARIEGATA,,,,,,,,
055535,5553,CLETHRA BARBINERVIS VARIEGATA,,,,,,,,
030441,3044,CLIVIA BELGIAN HYB ORANGE,Belgian Hybrid Orange Bush Lily,,,,,,,
030442,3044,CLIVIA BELGIAN HYB ORANGE,Belgian Hybrid Orange Bush Lily,14.50 ,,,,,,
030445,3044,CLIVIA BELGIAN HYB ORANGE,Belgian Hybrid Orange Bush Lily,,,,,,,
028841,2884,CLIVIA BELGIUM HYB YELLOW,Belgian Hybrid Yellow Bush Lily,,,,,,,
028842,2884,CLIVIA BELGIUM HYB YELLOW,Belgian Hybrid Yellow Bush Lily,14.50 ,,,,,,
027605,2760,CLIVIA MIN FLAME R,Flame ® Bush Lily,25.00 ,,,,,,
027655,2765,CLIVIA MIN FRENCH HYBRID,Bush Lily,,,,,,,
012551,1255,CLYTOSTOMA CALLISTEGIOIDES,Lavender Trumpet Vine,6.50 ,,,,,,
012555,1255,CLYTOSTOMA CALLISTEGIOIDES,Lavender Trumpet Vine,,,,,,,
037241,3724,COLEONEMA PUL SUNSET GOLD,Sunset Gold Breath of Heaven,,,,,,,
024172,2417,COLOCASIA ANT ILLUSTRIS,Imperial Taro,,,,,,,
024175,2417,COLOCASIA ANT ILLUSTRIS,Imperial Taro,,,,,,,
024201,2420,COLOCASIA ESC BLACK MAGIC,Black Magic Elephant Ear,,,,,,,
024202,2420,COLOCASIA ESC BLACK MAGIC,Black Magic Elephant Ear,,,,,,,
024205,2420,COLOCASIA ESC BLACK MAGIC,Black Magic Elephant Ear,,,,,,,
027891,2789,CONVALLARIA MAJALIS,Lily-Of-The-Valley,,,,,,,
027741,2774,CONVOLVULUS MAURITANICUS,Ground Morning Glory,,,,,,,
051351,5135,COPROSMA BLACK CLOUD,Black Cloud Mirror Bush,8.50 ,,,,,,
051352,5135,COPROSMA BLACK CLOUD,Black Cloud Mirror Bush,15.25 ,,,,,,
082751,8275,COPROSMA EVENING GLOW,Evening Glow Mirror Plant,,,,,,,
082752,8275,COPROSMA EVENING GLOW,Evening Glow Mirror Plant,,,,,,,
082761,8276,COPROSMA RAINBOW SURPRISE,Rainbow Surprise Mirror Plant,,,,,,,
082762,8276,COPROSMA RAINBOW SURPRISE,Rainbow Surprise Mirror Plant,,,,,,,
090451,9045,COPROSMA TEQUILA SUNRISE PPAF,Tequila Sunrise Mirror Plant,,,,,,,
090451S,9045,COPROSMA TEQUILA SUNRISE PPAF,Tequila Sunrise Mirror Plant,,,,,,,
031731,3173,CORD FESTIVAL TM BRGNDY P14224,Festival ™ Burgundy Cordyline,,,,,,,
031732,3173,CORD FESTIVAL TM BRGNDY P14224,Festival ™ Burgundy Cordyline,,,,,,,
075251,7525,CORD FESTIVAL TM RASPBERRY PAF,Festival ™ Raspberry Cordyline,,,,,,,
075252,7525,CORD FESTIVAL TM RASPBERRY PAF,Festival ™ Raspberry Cordyline,,,,,,,
091482,9148,CORD SOUTHRN SPLENDOR PP19102,Southern Splendor Dracaena Palm,,,,,,,
027851,2785,CORDYLINE AUS TORBAY DAZZLER,Torbay Dazzler Dracaena Palm,,,,,,,
027855,2785,CORDYLINE AUS TORBAY DAZZLER,Torbay Dazzler Dracaena Palm,,,,,,,
017431,1743,CORDYLINE AUSTRALIS SUNDANCE,Sundance Dracaena,,,,,,,
094081S,9408,CORDYLINE B ELECTRIC PINK PPAF,Electric Pink Dracaena Palm,,,,,,,
03172UT,3172,CORDYLINE BAUERI,Bauer's Dracaena Palm,,,,,,,
031721,3172,CORDYLINE BAUERI,Bauer's Dracaena Palm,,,,,,,
031725,3172,CORDYLINE BAUERI,Bauer's Dracaena Palm,,,,,,,
038821,3882,CORDYLINE BURGUNDY SPIRE PPAF,Burgundy Spire ™ Dracaena Palm,,,,,,,
038825,3882,CORDYLINE BURGUNDY SPIRE PPAF,Burgundy Spire ™ Dracaena Palm,,,,,,,
092731,9273,CORDYLINE CABERNETT,Cabernett Dracaena Palm,,,,,,,
03170UT,3170,CORDYLINE INDIVISA,Blue Dracaena Palm,,,,,,,
031701,3170,CORDYLINE INDIVISA,Blue Dracaena Palm,,,,,,,
031705,3170,CORDYLINE INDIVISA,Blue Dracaena Palm,,,,,,,
01742UT,1742,CORDYLINE RED STAR,Red Star Dracaena Palm,,,,,,,
017421,1742,CORDYLINE RED STAR,Red Star Dracaena Palm,7.75 ,,,,,,
078721,7872,CORE BIGBANG TM CSMC EY P22601,Big Bang ™ Cosmic Eye Tickseed,,,,,,,
068091,6809,CORE BIGBANG TM FULLMN PP19364,Big Bang ™ Full Moon Tickseed,5.75 ,,,,,,
088891,8889,CORE BIGBANG TM MRCRY RSNG PAF,Big Bang ™ Mercury Rising Tickseed,,,,,,,
068081,6808,CORE BIGBANG TM RDSHFT PP20412,Big Bang ™ Redshift Tickseed,5.75 ,,,,,,
027911,2791,CORE GRA FLYING SAUCERS P10299,Flying Saucers Tickseed,,,,,,,
041001,4100,CORE ROSEA HEAVENS GATE P16016,Heaven's Gate Tickseed,,,,,,,
041001S,4100,CORE ROSEA HEAVENS GATE P16016,Heaven's Gate Tickseed,,,,,,,
023011,2301,CORE ROSEA SWEET DREAMS P12720,Sweet Dreams Tickseed,,,,,,,
02212UT,2212,CORE X CREME BRULEE PP16096,Creme Brulee ™ Tickseed,,,,,,,
022121,2212,CORE X CREME BRULEE PP16096,Creme Brulee ™ Tickseed,,,,,,,
018301,1830,CORE X LIMEROCK RUBY PP15455,Limerock Ruby Tickseed,,,,,,,
02795UT,2795,COREOPSIS AURICULATA NANA,Dwarf Tickseed,,,,,,,
027951,2795,COREOPSIS AURICULATA NANA,Dwarf Tickseed,,,,,,,
02898UT,2898,COREOPSIS AURICULATA ZAMPHIR,Zamphir Dwarf Tickseed,,,,,,,
028981,2898,COREOPSIS AURICULATA ZAMPHIR,Zamphir Dwarf Tickseed,,,,,,,
039531,3953,COREOPSIS AUTUMN BLUSH P18184,Autumn Blush Tickseed,,,,,,,
00659UT,659,COREOPSIS GRAND 'HELIOT',Heliot Largeflower Tickseed,,,,,,,
05934UT,5934,COREOPSIS GRAND RISING SUN,Rising Sun Tickseed,,,,,,,
00675UT,675,COREOPSIS GRAND SUNFIRE,Sunfire Tickseed,,,,,,,
006751,675,COREOPSIS GRAND SUNFIRE,Sunfire Tickseed,,,,,,,
048081,4808,COREOPSIS JETHRO TULL PP18789,Jethro Tull Tickseed,5.75 ,,,,,,
048971,4897,COREOPSIS MOONLIGHT PPAF,Moonlight Tickseed,,,,,,,
073901,7390,COREOPSIS PINEAPPLE PIE P22486,Pineapple Pie Tickseed,,,,,,,
073891,7389,COREOPSIS PINK LEMNADE PP18265,Pink Lemonade Tickseed,,,,,,,
039541,3954,COREOPSIS PINWHEEL PP18880,Pinwheel Tickseed,,,,,,,
072851,7285,COREOPSIS RUBY FROST PP21758,Ruby Frost Tickseed,,,,,,,
039601,3960,COREOPSIS SNOWBERRY PP18560,Snowberry Tickseed,,,,,,,
073921,7392,COREOPSIS STRW LEMNADE PP18299,Strawberry Lemonade Tickseed,,,,,,,
058261,5826,COREOPSIS VER ROUTE 66 PP20609,Route 66 Tickseed,5.75 ,,,,,,
058262,5826,COREOPSIS VER ROUTE 66 PP20609,Route 66 Tickseed,10.50 ,,,,,,
018991,1899,COREOPSIS VER TWEETY PPAF,Tweety Tickseed,,,,,,,
02796UT,2796,COREOPSIS VERT MOONBEAM,Moonbeam Threadleaf Tickseed,,,,,,,
027961,2796,COREOPSIS VERT MOONBEAM,Moonbeam Threadleaf Tickseed,4.80 ,,,,,,
027962,2796,COREOPSIS VERT MOONBEAM,Moonbeam Threadleaf Tickseed,10.50 ,,,,,,
02797UT,2797,COREOPSIS VERT ZAGREB,Zagreb Threadleaf Tickseed,3.00 ,,,,,,
027971,2797,COREOPSIS VERT ZAGREB,Zagreb Threadleaf Tickseed,4.80 ,,,,,,
027972,2797,COREOPSIS VERT ZAGREB,Zagreb Threadleaf Tickseed,10.50 ,,,,,,
017361,1736,COREOPSIS X TQUILA SNRIS P9875,Tequila Sunrise Tickseed,,,,,,,
027731,2773,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood,7.35 ,,,,,,
027732,2773,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood,14.50 ,,,,,,
027735,2773,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood,21.00 ,,,,,,
027735PT,2773,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood,47.25 ,,,,,,
082785,8278,CORNUS ALBA HEDGEROW GOLD,Hedgerow Gold Redosier Dogwood,21.00 ,,,,,,
027861,2786,CORNUS ALBA IVORYHALO TM,Ivory Halo ® Dogwood,7.35 ,,,,,,
027862,2786,CORNUS ALBA IVORYHALO TM,Ivory Halo ® Dogwood,14.50 ,,,,,,
027865,2786,CORNUS ALBA IVORYHALO TM,Ivory Halo ® Dogwood,21.00 ,,,,,,
045281,4528,CORNUS ALBA PRAIRIE FIRE AUREA,Prairie Fire Dogwood,7.35 ,,,,,,
045285,4528,CORNUS ALBA PRAIRIE FIRE AUREA,Prairie Fire Dogwood,21.00 ,,,,,,
027751,2775,CORNUS ALBA SIBIRICA,Red Twig Dogwood,7.35 ,,,,,,
027755,2775,CORNUS ALBA SIBIRICA,Red Twig Dogwood,21.00 ,,,,,,
027872,2787,CORNUS ALTERNIFOLIA,Pagoda Dogwood,15.75 ,,,,,,
027875,2787,CORNUS ALTERNIFOLIA,Pagoda Dogwood,26.50 ,,,,,,
02787M,2787,CORNUS ALTERNIFOLIA,Pagoda Dogwood,57.50 ,,,,,,
027641,2764,CORNUS CANADENSIS,Bunchberry,7.35 ,,,,,,
030405,3040,CORNUS FL CHEROKEE CHIEF,Cherokee Chief Flowering Dogwood,36.50 ,,,,,,
030407,3040,CORNUS FL CHEROKEE CHIEF,Cherokee Chief Flowering Dogwood,57.50 ,,,,,,
03040M,3040,CORNUS FL CHEROKEE CHIEF,Cherokee Chief Flowering Dogwood,57.50 ,,,,,,
030655,3065,CORNUS KOUSA CHIN (FEATHERBED),,36.50 ,,,,,,
030657,3065,CORNUS KOUSA CHIN (FEATHERBED),,57.50 ,,,,,,
03065M,3065,CORNUS KOUSA CHIN (FEATHERBED),,57.50 ,,,,,,
027795,2779,CORNUS KOUSA SATOMI,Pink Japanese Dogwood,36.50 ,,,,,,
019615,1961,CORNUS KOUSA WOLF EYES,Wolf Eyes Japanese Dogwood,36.50 ,,,,,,
01961M,1961,CORNUS KOUSA WOLF EYES,Wolf Eyes Japanese Dogwood,62.50 ,,,,,,
077325,7732,CORNUS MAS GOLDEN GLORY,Cornelian Cherry Dogwood,36.50 ,,,,,,
034315,3431,CORNUS NUTTALLII,,26.50 ,,,,,,
074801S,7480,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire ™ Red Twig Dogwood,7.75 ,,,,,,
074802S,7480,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire ™ Red Twig Dogwood,13.75 ,,,,,,
074805,7480,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire ™ Red Twig Dogwood,21.00 ,,,,,,
074791S,7479,CORNUS SA ARCTIC SUN TM P19892,Arctic Sun ™ Red Twig Dogwood,7.75 ,,,,,,
074792S,7479,CORNUS SA ARCTIC SUN TM P19892,Arctic Sun ™ Red Twig Dogwood,13.75 ,,,,,,
027801,2780,CORNUS SERICEA FLAVIRAMEA,Yellow Twig Dogwood,7.35 ,,,,,,
027805,2780,CORNUS SERICEA FLAVIRAMEA,Yellow Twig Dogwood,21.00 ,,,,,,
027821,2782,CORNUS SERICEA ISANTI,Isanti Red-Osier Dogwood,7.35 ,,,,,,
027825,2782,CORNUS SERICEA ISANTI,Isanti Red-Osier Dogwood,21.00 ,,,,,,
044701,4470,CORNUS SERICEA KELSEYI,Kelsey's Dwarf Red-Osier Dogwood,7.35 ,,,,,,
044702,4470,CORNUS SERICEA KELSEYI,Kelsey's Dwarf Red-Osier Dogwood,14.50 ,,,,,,
044705,4470,CORNUS SERICEA KELSEYI,Kelsey's Dwarf Red-Osier Dogwood,21.00 ,,,,,,
080841S,8084,CORNUS STO PUCKERED UP TM PPAF,Pucker Up! ™ Red Twig Dogwood,7.75 ,,,,,,
080842S,8084,CORNUS STO PUCKERED UP TM PPAF,Pucker Up! ™ Red Twig Dogwood,13.75 ,,,,,,
080845,8084,CORNUS STO PUCKERED UP TM PPAF,Pucker Up! ™ Red Twig Dogwood,21.00 ,,,,,,
027615,2761,CORNUS X AURORA R,Aurora ® Dogwood,36.50 ,,,,,,
027625,2762,CORNUS X CONSTELLATION R,Constellation ® Dogwood,36.50 ,,,,,,
027627,2762,CORNUS X CONSTELLATION R,Constellation ® Dogwood,62.50 ,,,,,,
02762M,2762,CORNUS X CONSTELLATION R,Constellation ® Dogwood,62.50 ,,,,,,
027585,2758,CORNUS X STELLAR PINK R,Stellar Pink ® Dogwood,36.50 ,,,,,,
027587,2758,CORNUS X STELLAR PINK R,Stellar Pink ® Dogwood,62.50 ,,,,,,
02758M,2758,CORNUS X STELLAR PINK R,Stellar Pink ® Dogwood,62.50 ,,,,,,
030395,3039,CORNUS X VENUS R PP16309,Venus ® Dogwood,36.50 ,,,,,,
030397,3039,CORNUS X VENUS R PP16309,Venus ® Dogwood,62.50 ,,,,,,
03039M,3039,CORNUS X VENUS R PP16309,Venus ® Dogwood,62.50 ,,,,,,
036831,3683,COROKIA COTONEASTER,Wire Netting Bush,6.00 ,,,,,,
03683E,3683,COROKIA COTONEASTER,Wire Netting Bush,13.00 ,,,,,,
090462,9046,COROKIA X VIR PHANTOM PP19257,Phantom Cotoneaster,15.25 ,,,,,,
047181,4718,CORYDALIS CNRY FEATHERS P17212,Canary Feathers Fumewort,,,,,,,
047181S,4718,CORYDALIS CNRY FEATHERS P17212,Canary Feathers Fumewort,,,,,,,
028171,2817,CORYDALIS FLEX CHINA BLUE,China Blue Fumewort,5.75 ,,,,,,
017945,1794,CORYLOPSIS SPICATA,Spike Winterhazel,20.25 ,,,,,,
