Code,Item#,Item Description,Common,OR 2013,,,,,,
021805,2180,ACER CIR PACIFIC FIRE,Pacific Fire Vine Maple,51.50 ,,,,,,
02180M,2180,ACER CIR PACIFIC FIRE,Pacific Fire Vine Maple,99.50 ,,,,,,
000415,41,ACER CIRCINATUM,Vine Maple,23.00 ,,,,,,
000415MU,41,ACER CIRCINATUM,Vine Maple,28.50 ,,,,,,
001285,128,ACER F AUTUMN BLAZE R,Autumn Blaze ® Maple,31.50 ,,,,,,
00128M,128,ACER F AUTUMN BLAZE R,Autumn Blaze ® Maple,68.50 ,,,,,,
000481,48,ACER GIN RED RHAPSODY R,Red Rhapsody ® Amur Maple,7.50 ,,,,,,
000485,48,ACER GIN RED RHAPSODY R,Red Rhapsody ® Amur Maple,23.50 ,,,,,,
000445,44,ACER GRISEUM,Paperbark Maple,31.50 ,,,,,,
000447,44,ACER GRISEUM,Paperbark Maple,68.50 ,,,,,,
000525,52,ACER JAPONICUM ACONITIFOLIUM,Fernleaf Full-Moon Maple,51.50 ,,,,,,
00052M,52,ACER JAPONICUM ACONITIFOLIUM,Fernleaf Full-Moon Maple,99.50 ,,,,,,
000555,55,ACER NEGUNDO FLAMINGO,Flamingo Boxelder Maple,25.75 ,,,,,,
036235,3623,ACER NEGUNDO KELLY'S GOLD,Kelly's Gold Boxelder Maple,25.75 ,,,,,,
030352,3035,ACER PAL AOYAGI,Aoyagi Japanese Maple,34.25 ,,,,,,
030355,3035,ACER PAL AOYAGI,Aoyagi Japanese Maple,51.50 ,,,,,,
03035M,3035,ACER PAL AOYAGI,Aoyagi Japanese Maple,95.00 ,,,,,,
000701,70,ACER PAL ATROPURPUREUM-S.,Red-Leaf Japanese Maple,7.75 ,,,,,,
000702,70,ACER PAL ATROPURPUREUM-S.,Red-Leaf Japanese Maple,15.75 ,,,,,,
000705,70,ACER PAL ATROPURPUREUM-S.,Red-Leaf Japanese Maple,25.75 ,,,,,,
000751,75,ACER PAL BLOODGOOD,Bloodgood Japanese Maple,10.50 ,,,,,,
000752,75,ACER PAL BLOODGOOD,Bloodgood Japanese Maple,34.25 ,,,,,,
000755,75,ACER PAL BLOODGOOD,Bloodgood Japanese Maple,51.50 ,,,,,,
000759,75,ACER PAL BLOODGOOD,Bloodgood Japanese Maple,131.50 ,,,,,,
00075M,75,ACER PAL BLOODGOOD,Bloodgood Japanese Maple,99.50 ,,,,,,
00075Z,75,ACER PAL BLOODGOOD,Bloodgood Japanese Maple,200.00 ,,,,,,
000801,80,ACER PAL BURGUNDY LACE,Burgundy Lace Japanese Maple,10.50 ,,,,,,
000802,80,ACER PAL BURGUNDY LACE,Burgundy Lace Japanese Maple,34.25 ,,,,,,
000805,80,ACER PAL BURGUNDY LACE,Burgundy Lace Japanese Maple,51.50 ,,,,,,
00080M,80,ACER PAL BURGUNDY LACE,Burgundy Lace Japanese Maple,99.50 ,,,,,,
021241,2124,ACER PAL BUTTERFLY,Butterfly Japanese Maple,10.50 ,,,,,,
021242,2124,ACER PAL BUTTERFLY,Butterfly Japanese Maple,34.25 ,,,,,,
021245,2124,ACER PAL BUTTERFLY,Butterfly Japanese Maple,51.50 ,,,,,,
034385,3438,ACER PAL CRAIG FRICK,,51.50 ,,,,,,
000951ST,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,12.50 ,,,,,,
000952,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,34.25 ,,,,,,
000952ST,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,34.25 ,,,,,,
000952STLR,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,34.25 ,,,,,,
000955,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,51.50 ,,,,,,
000955ST,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,51.50 ,,,,,,
000959ST,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,131.50 ,,,,,,
000959STLR,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,131.50 ,,,,,,
00095M,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,99.50 ,,,,,,
00095MST,95,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple,99.50 ,,,,,,
000841,84,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple,10.50 ,,,,,,
000842,84,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple,36.00 ,,,,,,
000845,84,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple,54.00 ,,,,,,
000849,84,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple,131.50 ,,,,,,
00084M,84,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple,99.50 ,,,,,,
00084Z,84,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple,225.00 ,,,,,,
000871ST,87,ACER PAL EVER RED,Ever Red Japanese Maple,12.50 ,,,,,,
000872ST,87,ACER PAL EVER RED,Ever Red Japanese Maple,34.25 ,,,,,,
000875ST,87,ACER PAL EVER RED,Ever Red Japanese Maple,51.50 ,,,,,,
00087MST,87,ACER PAL EVER RED,Ever Red Japanese Maple,99.50 ,,,,,,
033212,3321,ACER PAL KAGIRI NISHIKI,Kagiri Nishiki Japanese Maple,34.25 ,,,,,,
033215,3321,ACER PAL KAGIRI NISHIKI,Kagiri Nishiki Japanese Maple,51.50 ,,,,,,
03321M,3321,ACER PAL KAGIRI NISHIKI,Kagiri Nishiki Japanese Maple,99.50 ,,,,,,
047735,4773,ACER PAL LINEARILOBUM,,51.50 ,,,,,,
001042,104,ACER PAL NIGRUM,Black Japanese Maple,34.25 ,,,,,,
001045,104,ACER PAL NIGRUM,Black Japanese Maple,51.50 ,,,,,,
00104M,104,ACER PAL NIGRUM,Black Japanese Maple,99.50 ,,,,,,
029965,2996,ACER PAL OMURAYAMA,,51.50 ,,,,,,
018345,1834,ACER PAL OSAKAZUKI,Osakazuki Japanese Maple,51.50 ,,,,,,
01834M,1834,ACER PAL OSAKAZUKI,Osakazuki Japanese Maple,99.50 ,,,,,,
001051,105,ACER PAL OSHIO BENI,Oshio-Beni Japanese Maple,10.50 ,,,,,,
001052,105,ACER PAL OSHIO BENI,Oshio-Beni Japanese Maple,34.25 ,,,,,,
001055,105,ACER PAL OSHIO BENI,Oshio-Beni Japanese Maple,51.50 ,,,,,,
00105M,105,ACER PAL OSHIO BENI,Oshio-Beni Japanese Maple,99.50 ,,,,,,
010392ST,1039,ACER PAL RED DRAGON R,Red Dragon ® Japanese Maple,34.25 ,,,,,,
010395ST,1039,ACER PAL RED DRAGON R,Red Dragon ® Japanese Maple,51.50 ,,,,,,
01039MST,1039,ACER PAL RED DRAGON R,Red Dragon ® Japanese Maple,99.50 ,,,,,,
057285MU,5728,ACER PAL RED STEM SEEDLING,Red Stem Japanese Maple,25.50 ,,,,,,
001022,102,ACER PAL SANGOKAKU,Coral Bark Japanese Maple,34.25 ,,,,,,
001025,102,ACER PAL SANGOKAKU,Coral Bark Japanese Maple,51.50 ,,,,,,
001029,102,ACER PAL SANGOKAKU,Coral Bark Japanese Maple,131.50 ,,,,,,
00102M,102,ACER PAL SANGOKAKU,Coral Bark Japanese Maple,99.50 ,,,,,,
000911,91,ACER PAL SEIRYU,Seiryu Japanese Maple,10.50 ,,,,,,
000912,91,ACER PAL SEIRYU,Seiryu Japanese Maple,34.25 ,,,,,,
000915,91,ACER PAL SEIRYU,Seiryu Japanese Maple,51.50 ,,,,,,
00091M,91,ACER PAL SEIRYU,Seiryu Japanese Maple,99.50 ,,,,,,
001211,121,ACER PAL SHAINA,Shaina Japanese Maple,10.50 ,,,,,,
001212,121,ACER PAL SHAINA,Shaina Japanese Maple,34.25 ,,,,,,
001215,121,ACER PAL SHAINA,Shaina Japanese Maple,51.50 ,,,,,,
031825,3182,ACER PAL SHIN DESHOJO,Deshojo Japanese Maple,51.50 ,,,,,,
03182M,3182,ACER PAL SHIN DESHOJO,Deshojo Japanese Maple,99.50 ,,,,,,
018331,1833,ACER PAL SHISHIGASHIRA,Shishigashira Japanese Maple,10.50 ,,,,,,
018332,1833,ACER PAL SHISHIGASHIRA,Shishigashira Japanese Maple,34.25 ,,,,,,
018335,1833,ACER PAL SHISHIGASHIRA,Shishigashira Japanese Maple,51.50 ,,,,,,
01833M,1833,ACER PAL SHISHIGASHIRA,Shishigashira Japanese Maple,99.50 ,,,,,,
033969,3396,ACER PAL TROMPENBURG,Trompenburg Japanese Maple,131.50 ,,,,,,
03396M,3396,ACER PAL TROMPENBURG,Trompenburg Japanese Maple,99.50 ,,,,,,
000902,90,ACER PAL WATERFALL,Waterfall Japanese Maple,34.25 ,,,,,,
000902ST,90,ACER PAL WATERFALL,Waterfall Japanese Maple,34.25 ,,,,,,
000905,90,ACER PAL WATERFALL,Waterfall Japanese Maple,51.50 ,,,,,,
000905ST,90,ACER PAL WATERFALL,Waterfall Japanese Maple,51.50 ,,,,,,
000909ST,90,ACER PAL WATERFALL,Waterfall Japanese Maple,131.50 ,,,,,,
00090M,90,ACER PAL WATERFALL,Waterfall Japanese Maple,99.50 ,,,,,,
00090MST,90,ACER PAL WATERFALL,Waterfall Japanese Maple,99.50 ,,,,,,
000651,65,ACER PALMATUM,Japanese Maple,7.75 ,,,,,,
000655,65,ACER PALMATUM,Japanese Maple,20.50 ,,,,,,
000655MU,65,ACER PALMATUM,Japanese Maple,25.50 ,,,,,,
00065MMU,65,ACER PALMATUM,Japanese Maple,57.50 ,,,,,,
001135,113,ACER PLAT CRIMSON KING,Crimson King Norway Maple,25.75 ,,,,,,
017985,1798,ACER PLAT CRIMSON SENTRY,Crimson Sentry Norway Maple,25.75 ,,,,,,
049585,4958,ACER PSEUDO ESKIMO SUNSET,Eskimo Sunset Sycamore Maple,51.50 ,,,,,,
060205,6020,ACER PSEUDOSIEBOLDIANUM,Korean Maple,23.00 ,,,,,,
001275,127,ACER RUB RED SUNSET R,Red Sunset ® Red Maple,31.50 ,,,,,,
030332,3033,ACER SHIR AUTUMN MOON,Autumn Moon Fullmoon Maple,34.25 ,,,,,,
030335,3033,ACER SHIR AUTUMN MOON,Autumn Moon Fullmoon Maple,51.50 ,,,,,,
03033M,3033,ACER SHIR AUTUMN MOON,Autumn Moon Fullmoon Maple,99.50 ,,,,,,
058241,5824,ACHILLEA APRICOT DLGHT PP18738,Tutti Frutti Apricot Delight Yarrow,4.80 ,,,,,,
05856UT,5856,ACHILLEA MILL APPLEBLOSSOM,Appleblossom Yarrow,,,,,,,
00134UT,134,ACHILLEA MILL PAPRIKA,Paprika Common Yarrow,,,,,,,
001341,134,ACHILLEA MILL PAPRIKA,Paprika Common Yarrow,,,,,,,
029061,2906,ACHILLEA MILL RED VELVET,Red Velvet Yarrow,4.80 ,,,,,,
00624UT,624,ACHILLEA MILL SUMMER BERRIES,Summer Berries Yarrow,,,,,,,
006241,624,ACHILLEA MILL SUMMER BERRIES,Summer Berries Yarrow,,,,,,,
02496UT,2496,ACHILLEA MILL SUMMERWINE,Summerwine Common Yarrow,,,,,,,
024961,2496,ACHILLEA MILL SUMMERWINE,Summerwine Common Yarrow,,,,,,,
00047UT,47,ACHILLEA MILL TERRA COTTA,Terra Cotta Common Yarrow,,,,,,,
000471,47,ACHILLEA MILL TERRA COTTA,Terra Cotta Common Yarrow,,,,,,,
000511,51,ACHILLEA OERTEL'S ROSE,Oertel's Rose Yarrow,4.80 ,,,,,,
000421,42,ACHILLEA PINK GRAPEFRUIT PPAF,Tutti Frutti Pink Grapefruit Yarrow,,,,,,,
058251,5825,ACHILLEA STRWBRY SDCTN P18401,Strawberry Seduction Yarrow,4.80 ,,,,,,
00056UT,56,ACHILLEA X CORONATION GOLD,Coronation Gold Yarrow,,,,,,,
000561,56,ACHILLEA X CORONATION GOLD,Coronation Gold Yarrow,,,,,,,
001351,135,ACHILLEA X MOONSHINE,Moonshine Yarrow,4.80 ,,,,,,
001391,139,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine,10.25 ,,,,,,
001395,139,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine,27.00 ,,,,,,
001461,146,ACTINIDIA CH TOMURI (MALE),Tomuri Kiwi Vine,,,,,,,
001465,146,ACTINIDIA CH TOMURI (MALE),Tomuri Kiwi Vine,,,,,,,
001411,141,ACTINIDIA CH VINCENT (FEMALE),Vincent Kiwi Vine,,,,,,,
