Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
OR,1354950,                              ,06/13/14  ,001591,#1,ASTILBE BRIDAL VEIL,Bridal Veil®  Astilbe                                                                               ,    ,4.75 ,PRNADV,3.71 , 10 , 25 , 92.75 ,Now         ,DORMANT,3-5 EYES,0.81 , 4.52 , 4.92 ,, 12.99 ,014949000274 
OR,1354950,                              ,06/13/14  ,003621,#1,ASTILBE CHINENSIS VISIONS,Visions Astilbe                                                                                     ,    ,4.75 ,PRNADV,3.71 , 10 , 20 , 74.20 ,Now         ,DORMANT,3-5 EYES,0.81 , 4.52 , 4.92 ,, 16.99 ,014949036211 
GA,1354973,                              ,06/15/14  ,003621,#1,ASTILBE CHINENSIS VISIONS,Visions Astilbe                                                                                     ,    ,4.75 ,PRNADV,3.71 , 10 , 20 , 74.20 ,Now         ,DORMANT,3-5 EYES,0.47 , 4.18 , 4.41 ,, 16.99 ,014949036211 
GA,1354973,                              ,06/15/14  ,027501,#1,ASTILBE COLOR FLASH R PP17343,Color Flash®  Astilbe                                                                               ,    ,6.75 ,PRNADV,5.27 , 10 , 40 , 210.80 ,Now         ,DORMANT,3-5 EYES,0.47 , 5.74 , 5.97 ,, 16.99 ,014949061862 
GA,1354973,                              ,06/15/14  ,003511,#1,ASTILBE DEUTSCHLAND,Deutschland Astilbe                                                                                 ,    ,4.75 ,PRNADV,3.71 , 10 , 10 , 37.10 ,04/01/14    ,,,0.47 , 4.18 , 4.41 ,, 12.99 ,014949035115 
OR,1354950,                              ,06/13/14  ,001631,#1,ASTILBE HENNIE GRAAFLAND,Hennie Graafland Star Astilbe                                                                       ,    ,4.75 ,PRNADV,3.71 , 10 , 10 , 37.10 ,Now         ,DORMANT,3-5 EYES,0.81 , 4.52 , 4.92 ,, 12.99 ,014949000281 
OR,1354950,                              ,06/13/14  ,001681,#1,ASTILBE RED SENTINEL,Red Sentinel Astilbe                                                                                ,    ,4.75 ,PRNADV,3.71 , 10 , 20 , 74.20 ,Now         ,DORMANT,3-5 EYES,0.81 , 4.52 , 4.92 ,, 12.99 ,014949010174 
GA,1354973,                              ,06/15/14  ,003541,#1,ASTILBE RHEINLAND,Rheinland Astilbe                                                                                   ,    ,4.75 ,PRNADV,3.71 , 10 , 15 , 55.65 ,04/01/14    ,,,0.47 , 4.18 , 4.41 ,, 12.99 ,014949035412 
OR,1354950,                              ,06/13/14  ,003561,#1,AUCUBA MR GOLDSTRIKE,Mr. Goldstrike Aucuba                                                                               ,    ,7.25 ,,6.02 , 10 , 10 , 60.20 ,Now         ,BUDS,"10""H - 8""S",0.81 , 6.83 , 7.23 ,, 16.99 ,014949035610 
OR,1354950,                              ,06/13/14  ,003562,#2,AUCUBA MR GOLDSTRIKE,Mr. Goldstrike Aucuba                                                                               ,    ,14.75 ,,12.24 , 5 , 15 , 183.60 ,Now         ,BUDS,12''H - 10''S,2.01 , 14.25 , 15.26 ,, 24.99 ,014949035627 
GA,1354973,                              ,06/15/14  ,003565,#5,AUCUBA MR GOLDSTRIKE,Mr. Goldstrike Aucuba                                                                               ,    ,22.00 ,,18.26 , 5 , 5 , 91.30 ,03/01/14    ,,,2.35 , 20.61 , 21.78 ,, 39.99 ,014949035658 
OR,1354950,                              ,06/13/14  ,078762S,SuperTwo,AZ BLM-A-THON TM DB PK PP21477,Bloom-A-Thon®  Pink Double Reblooming Azalea                                                        ,2012,16.50 ,,13.70 , 5 , 15 , 205.50 ,Now         ,-,"8""H - 12""S",2.68 , 16.38 , 17.73 ,, 29.99 ,014949359730 
OR,1354950,                              ,06/13/14  ,007075,#5,AZALEA EX CANNON'S DOUBLE,Cannon's Double Azalea                                                                              ,    ,21.75 ,,18.05 , 5 , 6 , 108.30 ,Now         ,BUDS,24''H - 18''S,4.03 , 22.08 , 24.09 ,, 39.99 ,014949070758 
GA,1354973,                              ,06/15/14  ,002781,#1,BAPTISIA 'PURPLE SMOKE',Purple Smoke False Indigo                                                                           ,2011,4.75 ,PRNADV,3.71 , 10 , 10 , 37.10 ,04/01/14    ,,,0.47 , 4.18 , 4.41 ,, 12.99 ,014949352618 
OR,1354950,                              ,06/13/14  ,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,Sunjoy®  Mini Salsa Barberry                                                                        ,New ,9.75 ,,8.09 , 10 , 10 , 80.90 ,Not Avl     ,DORMANT,,1.34 , 9.43 , 10.10 ,, 19.99 ,014949359501 
OR,1354950,                              ,06/13/14  ,035231,#1,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry                                                                              ,2009,8.00 ,,6.64 , 10 , 10 , 66.40 ,Now         ,BREAKING DORMANCY,6''H - 8''S,0.81 , 7.45 , 7.85 ,, 16.99 ,014949213865 
OR,1354950,                              ,06/13/14  ,035232,#2,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry                                                                              ,2009,15.25 ,,12.66 , 5 , 14 , 177.24 ,Now         ,BREAKING DORMANCY,8''H - 12''S,2.01 , 14.67 , 15.68 ,, 24.99 ,014949214626 
OR,1354950,                              ,06/13/14  ,011931,#1,BER T SUNSATION R PP11332 CBR,Sunsation®  Japanese Barberry                                                                       ,    ,5.75 ,,4.77 , 10 , 10 , 47.70 ,Now         ,BREAKING DORMANCY,8''H - 10''S,0.81 , 5.58 , 5.98 ,, 16.99 ,014949119310 
OR,1354950,                              ,06/13/14  ,022021,#1,BERGENIA COR WINTERGLOW,Winterglow Bergenia                                                                                 ,    ,6.00 ,PRNADV,4.68 , 10 , 15 , 70.20 ,Now         ,-,CAN FULL,0.81 , 5.49 , 5.89 ,, 12.99 ,014949043349 
OR,1354950,                              ,06/13/14  ,013651,#1,BRUNNERA MAC VARIEGATA,Variegated Siberian Bugloss                                                                         ,    ,6.00 ,PRNADV,4.68 , 10 , 20 , 93.60 ,Now         ,CUT BACK,.,0.81 , 5.49 , 5.89 ,, 16.99 ,014949136515 
GA,1354973,                              ,06/15/14  ,074401S,SuperOne TM,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                                                              ,2011,9.00 ,,7.47 , 10 , 10 , 74.70 ,04/01/14    ,,,0.78 , 8.25 , 8.64 ,, 19.99 ,014949350171 
GA,1354973,                              ,06/15/14  ,074402S,SuperTwo,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                                                              ,2011,15.50 ,,12.87 , 5 , 5 , 64.35 ,04/01/14    ,,,1.56 , 14.43 , 15.22 ,, 29.99 ,014949335666 
CA,1355316,                              ,06/15/14  ,013821,#1,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,    ,6.00 ,,4.98 , 10 , 20 , 99.60 ,Now         ,WINTER COLOR,"10""H - 6""S *",0.84 , 5.82 , 6.24 ,, 14.99 ,014949138212 
CA,1355316,                              ,06/15/14  ,013825SP,#5 SPIRAL,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,    ,75.00 ,,62.25 , 2 , 10 , 622.50 ,04/01/14    ,-,,6.30 , 68.55 , 71.69 ,, 129.99 ,014949138267 
OR,1354950,                              ,06/13/14  ,013891,#1,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,    ,6.50 ,,5.40 , 10 , 70 , 378.00 ,Now         ,-,"8""H - 8""S",0.81 , 6.21 , 6.61 ,, 14.99 ,014949138915 
OR,1354950,                              ,06/13/14  ,013891S,SuperOne TM,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,    ,7.50 ,,6.23 , 10 , 50 , 311.50 ,Now         ,-,8''H - 8''S,1.34 , 7.57 , 8.24 ,, 19.99 ,014949047712 
OR,1354950,                              ,06/13/14  ,013892,#2,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,    ,14.75 ,,12.24 , 5 , 20 , 244.80 ,Now         ,-,"10""H - 12""S",2.01 , 14.25 , 15.26 ,, 24.99 ,014949138922 
OR,1354950,                              ,06/13/14  ,013893,#3,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,    ,21.00 ,,17.43 , 5 , 60 ," 1,045.80 ",Now         ,-,"12""H - 14""S",3.22 , 20.65 , 22.26 ,, 36.99 ,014949138939 
