Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
OR,1354950,                              ,06/13/14  ,019472,#2,CROCOSMIA EMBERGLOW,Emberglow Montbretia                                                                                ,    ,12.50 ,,10.38 , 5 , 5 , 51.90 ,Now         ,CUT BACK,.,2.01 , 12.39 , 13.40 ,, 24.99 ,014949017630 
OR,1354950,                              ,06/13/14  ,049232,#2,DAPHNE ETRNL FRAGRANCE PP18361,Eternal Fragrance Daphne                                                                            ,2010,17.75 ,,14.73 , 5 , 5 , 73.65 ,Now         ,-,10''H - 10''S,2.01 , 16.74 , 17.75 ,, 24.99 ,014949288436 
OR,1354950,                              ,06/13/14  ,029892S,SuperTwo,DEUTZIA CHRDNY PERLS R PP16098,Chardonnay Pearls®  Deutzia                                                                         ,    ,15.00 ,,12.45 , 5 , 10 , 124.50 ,Now         ,DORMANT,12''H - 10''S,2.68 , 15.13 , 16.48 ,, 29.99 ,014949337424 
OR,1354950,                              ,06/13/14  ,091882,#2,DEUTZIA X NIKKO BLUSH NA74356,Nikko Blush Deutzia                                                                                 ,2013,13.75 ,,11.41 , 5 , 5 , 57.05 ,Now         ,BREAKING DORMANCY,"12""H - 12""S",2.01 , 13.42 , 14.43 ,, 24.99 ,014949368343 
OR,1354950,                              ,06/13/14  ,067731,#1,DIANTHUS FIRST LOVE R,First Love®  Cheddar Pink                                                                           ,2012,5.50 ,PRNADV,4.29 , 10 , 10 , 42.90 ,Now         ,CUT BACK,.,0.81 , 5.10 , 5.50 ,, 12.99 ,014949357798 
GA,1354973,                              ,06/15/14  ,03133UT,LittleOne,DIANTHUS FROSTY FIRE,Frosty Fire Cheddar Pink                                                                            ,    ,2.95 ,,2.45 , 16 , 16 , 39.20 ,04/01/14    ,,,0.35 , 2.80 , 2.98 ,, 5.99 ,014949010532 
GA,1354973,                              ,06/15/14  ,04596UT,LittleOne,DIANTHUS NEON STAR PP14549,Neon Star Maiden Pink                                                                               ,    ,2.95 ,,2.45 , 16 , 32 , 78.40 ,04/01/14    ,,,0.35 , 2.80 , 2.98 ,, 5.99 ,014949238851 
GA,1354973,                              ,06/15/14  ,036471,#1,DIANTHUS RASPBRY SWIRL PP14377,Raspberry Swirl Maiden Pink                                                                         ,    ,5.50 ,PRNADV,4.29 , 10 , 15 , 64.35 ,04/01/14    ,,,0.47 , 4.76 , 4.99 ,, 12.99 ,014949271971 
OR,1354950,                              ,06/13/14  ,004901,#1,DICENTRA SP VALENTINE R P22739,Valentine®  Bleeding Heart                                                                          ,2013,6.00 ,PRNADV,4.68 , 10 , 10 , 46.80 ,04/01/14    ,,,0.81 , 5.49 , 5.89 ,, 14.99 ,014949369500 
OR,1354950,                              ,06/13/14  ,031611,#1,DICENTRA X LUXURIANT,Luxuriant Fringed Bleeding Heart                                                                    ,    ,4.75 ,PRNADV,3.71 , 10 , 25 , 92.75 ,Now         ,DORMANT,.,0.81 , 4.52 , 4.92 ,, 12.99 ,014949316115 
GA,1354973,                              ,06/15/14  ,004871,#1,DIGITALIS PURPUREA FOXY,Foxy Foxglove                                                                                       ,    ,4.75 ,PRNADV,3.71 , 10 , 15 , 55.65 ,04/01/14    ,,,0.47 , 4.18 , 4.41 ,, 12.99 ,014949014578 
OR,1354950,                              ,06/13/14  ,032271,#1,ECHIN PXIE MEADWBRTE TM P18546,Pixie Meadowbrite™  Coneflower                                                                      ,    ,5.50 ,PRNADV,4.29 , 10 , 10 , 42.90 ,Now         ,CUT BACK,.,0.81 , 5.10 , 5.50 ,, 16.99 ,014949229323 
OR,1354950,                              ,06/13/14  ,004891,#1,ECHINACEA KIMS KNEE HI PP12242,Kim's Knee High Purple Coneflower                                                                   ,    ,5.50 ,PRNADV,4.29 , 10 , 10 , 42.90 ,Now         ,CUT BACK,.,0.81 , 5.10 , 5.50 ,, 14.99 ,014949052570 
GA,1354973,                              ,06/15/14  ,004891,#1,ECHINACEA KIMS KNEE HI PP12242,Kim's Knee High Purple Coneflower                                                                   ,    ,5.50 ,PRNADV,4.29 , 10 , 10 , 42.90 ,04/01/14    ,,,0.47 , 4.76 , 4.99 ,, 14.99 ,014949052570 
GA,1354973,                              ,06/15/14  ,039591,#1,ECHINACEA RASPBRY TART PP18560,Raspberry Tart Coneflower                                                                           ,    ,6.75 ,PRNADV,5.27 , 10 , 15 , 79.05 ,04/01/14    ,,,0.47 , 5.74 , 5.97 ,, 16.99 ,014949264416 
GA,1354973,                              ,06/15/14  ,057301,#1,ECHINACEA TOMATO SOUP PPAF,Tomato Soup Coneflower                                                                              ,2009,6.75 ,,5.60 , 10 , 7 , 39.20 ,Now         ,,CAN FULL,0.47 , 6.07 , 6.30 ,, 16.99 ,014949322796 
OR,1354950,                              ,06/13/14  ,032071,#1,ERICA MEDITERRANEAN PINK,Mediterranean Pink Heath                                                                            ,    ,7.00 ,,5.81 , 10 , 10 , 58.10 ,Now         ,BUDS & BLOOMS,6''H - 8''S,0.81 , 6.62 , 7.02 ,, 14.99 ,014949320716 
CA,1355316,                              ,06/15/14  ,074341S,SuperOne TM,ERYNGIUM PLANUM BLUE HOBBIT,Blue Hobbit Dwarf Sea Holly                                                                         ,    ,7.00 ,,5.81 , 10 , 10 , 58.10 ,Now         ,-,CAN FULL,1.40 , 7.21 , 7.91 ,, 14.99 ,014949335161 
OR,1354950,                              ,06/13/14  ,034001,#1,EUO F EMERALD 'N GOLD,Emerald 'N Gold Wintercreeper                                                                       ,    ,5.50 ,,4.57 , 10 , 10 , 45.70 ,Now         ,-,8''H - 8''S,0.81 , 5.38 , 5.78 ,, 16.99 ,014949340011 
OR,1354950,                              ,06/13/14  ,034002,#2,EUO F EMERALD 'N GOLD,Emerald 'N Gold Wintercreeper                                                                       ,    ,13.00 ,,10.79 , 5 , 5 , 53.95 ,Now         ,-,8''H - 12''S,2.01 , 12.80 , 13.81 ,, 24.99 ,014949340028 
OR,1354950,                              ,06/13/14  ,034501,#1,EUO F MOONSHADOW,Moonshadow Wintercreeper                                                                            ,    ,7.00 ,,5.81 , 10 , 12 , 69.72 ,Now         ,-,"4""H - 8""S",0.81 , 6.62 , 7.02 ,, 16.99 ,014949345016 
CA,1355316,                              ,06/15/14  ,034802,#2,EUO J AUREO MARGINATUS,Golden Euonymus                                                                                     ,    ,13.00 ,,10.79 , 5 , 5 , 53.95 ,04/01/14    ,-,,2.10 , 12.89 , 13.94 ,, 24.99 ,014949348024 
OR,1354950,                              ,06/13/14  ,034805,#5,EUO J AUREO MARGINATUS,Golden Euonymus                                                                                     ,    ,18.50 ,,15.36 , 5 , 5 , 76.80 ,04/15/14    ,,,4.03 , 19.39 , 21.40 ,, 39.99 ,014949348055 
CA,1355316,                              ,06/15/14  ,035405ES,#5 ESPALIER,EUO KIA MANHATTAN,Manhattan Euonymus                                                                                  ,    ,48.00 ,,39.84 , 2 , 2 , 79.68 ,Now         ,WINTER COLOR,"36""H - 42""S",6.30 , 46.14 , 49.28 ,, 79.99 ,014949354155 
CA,1355316,                              ,06/15/14  ,035905,#5,FERN-ALSOPHILA AUSTRALIS,Australian Tree Fern                                                                                ,    ,21.75 ,,18.05 , 5 , 5 , 90.25 ,Now         ,-,"36""H",4.20 , 22.25 , 24.35 ,, 49.99 ,014949359051 
GA,1354973,                              ,06/15/14  ,022061,#1,FERN-ATHYRIUM BURG LACE P15072,Burgundy Lace Painted Fern                                                                          ,    ,5.50 ,,4.57 , 10 , 10 , 45.70 ,Now         ,,CAN FULL,0.47 , 5.04 , 5.27 ,, 14.99 ,014949042847 
CA,1355316,                              ,06/15/14  ,036121,#1,FERN-ATHYRIUM NIP PICTUM,Japanese Painted Fern                                                                               ,    ,6.50 ,,5.40 , 10 , 20 , 108.00 ,Now         ,EMERGING,CAN FULL,0.84 , 6.24 , 6.66 ,, 14.99 ,014949361214 
OR,1354950,                              ,06/13/14  ,028121,#1,FERN-BLECHNUM SPICANT,Deer Fern                                                                                           ,    ,6.50 ,,5.40 , 10 , 10 , 54.00 ,Now         ,CUT BACK,.,0.81 , 6.21 , 6.61 ,, 14.99 ,014949070895 
GA,1354973,                              ,06/15/14  ,005041,#1,FERN-DRYOPTERIS CELSA,Log Fern                                                                                            ,    ,5.50 ,,4.57 , 10 , 10 , 45.70 ,04/01/14    ,,,0.47 , 5.04 , 5.27 ,, 14.99 ,014949014783 
OR,1354950,                              ,06/13/14  ,021221,#1,FERN-DRYOPTERIS ERY BRILLIANCE,Brilliance Autumn Fern                                                                              ,    ,6.50 ,,5.40 , 10 , 10 , 54.00 ,Now         ,-,8''H - 8''S,0.81 , 6.21 , 6.61 ,, 14.99 ,014949023648 
GA,1354973,                              ,06/15/14  ,021221,#1,FERN-DRYOPTERIS ERY BRILLIANCE,Brilliance Autumn Fern                                                                              ,    ,5.50 ,,4.57 , 10 , 5 , 22.85 ,04/01/14    ,,,0.47 , 5.04 , 5.27 ,, 14.99 ,014949023648 
OR,1354950,                              ,06/13/14  ,036261,#1,FERN-DRYOPTERIS FELIX-MAS ROB,Robust Male Fern                                                                                    ,    ,6.50 ,,5.40 , 10 , 10 , 54.00 ,Now         ,CUT BACK,.,0.81 , 6.21 , 6.61 ,, 14.99 ,014949362617 
GA,1354973,                              ,06/15/14  ,021231,#1,FERN-DRYOPTERIS X AUSTRALIS,Dixie Wood Fern                                                                                     ,    ,5.50 ,,4.57 , 10 , 15 , 68.55 ,04/01/14    ,,,0.47 , 5.04 , 5.27 ,, 14.99 ,014949023655 
GA,1354973,                              ,06/15/14  ,036451,#1,FERN-MATTEUCCIA STRUTHIOPTERIS,European Ostrich Fern                                                                               ,    ,5.50 ,,4.57 , 10 , 10 , 45.70 ,04/01/14    ,,,0.47 , 5.04 , 5.27 ,, 14.99 ,014949364512 
GA,1354973,                              ,06/15/14  ,083721,#1,FERN-POLYSTICHUM POLYBLEPHARUM,Tassel Fern                                                                                         ,    ,5.50 ,,4.57 , 10 , 20 , 91.40 ,04/01/14    ,,,0.47 , 5.04 , 5.27 ,, 14.99 ,014949837214 
OR,1354950,                              ,06/13/14  ,036491,#1,FERN-POLYSTICHUM SET(ANGULARE),Soft Shield Fern                                                                                    ,    ,6.50 ,,5.40 , 10 , 20 , 108.00 ,06/01/14    ,,,0.81 , 6.21 , 6.61 ,, 14.99 ,014949364918 
OR,1354950,                              ,06/13/14  ,036492,#2,FERN-POLYSTICHUM SET(ANGULARE),Soft Shield Fern                                                                                    ,    ,14.75 ,,12.24 , 5 , 5 , 61.20 ,Now         ,-,10''H - 12''S,2.01 , 14.25 , 15.26 ,, 29.99 ,014949364925 
OR,1354950,                              ,06/13/14  ,005081,#1,FERN-POLYSTICHUM X DYCEI,Dyce's Holly Fern                                                                                   ,2010,6.50 ,,5.40 , 10 , 10 , 54.00 ,Now         ,-,"10""H - 8""S",0.81 , 6.21 , 6.61 ,, 14.99 ,014949327777 
GA,1354973,                              ,06/15/14  ,005091,#1,FERN-THELYPTERIS DECUR-PINNATA,Japanese Beech Fern                                                                                 ,    ,6.00 ,,4.98 , 10 , 10 , 49.80 ,Now         ,,"8""H",0.47 , 5.45 , 5.68 ,, 14.99 ,014949014899 
GA,1354973,                              ,06/15/14  ,036441,#1,GAILLARDIA ORNGS&LEMONS P17092,Oranges & Lemons Blanket Flower                                                                     ,    ,5.50 ,PRNADV,4.29 , 10 , 15 , 64.35 ,04/01/14    ,,,0.47 , 4.76 , 4.99 ,, 12.99 ,014949215562 
GA,1354973,                              ,06/15/14  ,037961,#1,GAURA L SISKIYOU PINK,Siskiyou Pink Gaura                                                                                 ,    ,4.75 ,PRNADV,3.71 , 10 , 20 , 74.20 ,04/01/14    ,,,0.47 , 4.18 , 4.41 ,, 12.99 ,014949379615 
GA,1354973,                              ,06/15/14  ,036481,#1,GAURA PASSIONATE RAINBW P17002,Passionate Rainbow Gaura                                                                            ,    ,4.75 ,PRNADV,3.71 , 10 , 10 , 37.10 ,04/01/14    ,,,0.47 , 4.18 , 4.41 ,, 12.99 ,014949219676 
OR,1354950,                              ,06/13/14  ,038121,#1,GENISTA PIL GOLD FLASH,Gold Flash Broom                                                                                    ,    ,6.50 ,,5.40 , 10 , 10 , 54.00 ,Now         ,-,"8""S",0.81 , 6.21 , 6.61 ,, 16.99 ,014949381212 
OR,1354950,                              ,06/13/14  ,038241,#1,GERANIUM CIN BALLERINA,Ballerina Cranesbill                                                                                ,    ,4.75 ,PRNADV,3.71 , 10 , 10 , 37.10 ,Now         ,-,CAN FULL,0.81 , 4.52 , 4.92 ,, 12.99 ,014949382417 
OR,1354950,                              ,06/13/14  ,023081,#1,GERANIUM ROZANNE PP12175,Rozanne Cranesbill                                                                                  ,    ,6.75 ,PRNADV,5.27 , 10 , 10 , 52.70 ,04/01/14    ,-,,0.81 , 6.08 , 6.48 ,, 16.99 ,014949043004 
GA,1354973,                              ,06/15/14  ,023081,#1,GERANIUM ROZANNE PP12175,Rozanne Cranesbill                                                                                  ,    ,6.75 ,PRNADV,5.27 , 10 , 20 , 105.40 ,Now         ,BUDS & BLOOMS,CAN FULL,0.47 , 5.74 , 5.97 ,, 16.99 ,014949043004 
OR,1354950,                              ,06/13/14  ,067792,#2,GR-BOUT BLOND AMBITION PP22048,Blonde Ambition Blue Grama Grass                                                                    ,2012,14.25 ,,11.83 , 5 , 15 , 177.45 ,Now         ,CUT BACK,.,2.01 , 13.84 , 14.85 ,, 29.99 ,014949358078 
OR,1354950,                              ,06/13/14  ,024091,#1,GR-CHASMANTHIUM LATIFOLIUM,Northern Sea Oats                                                                                   ,    ,6.25 ,,5.19 , 10 , 10 , 51.90 ,Now         ,CUT BACK,.,0.81 , 6.00 , 6.40 ,, 16.99 ,014949240915 
CA,1355316,                              ,06/15/14  ,031941,#1,GR-ELYMUS ARENARIUS BLUE DUNE,Blue Dune Lyme Grass                                                                                ,    ,6.25 ,,5.19 , 10 , 15 , 77.85 ,Now         ,CUT BACK,"3""H",0.84 , 6.03 , 6.45 ,, 16.99 ,014949319413 
OR,1354950,                              ,06/13/14  ,028051,#1,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                                                                  ,    ,6.25 ,,5.19 , 10 , 10 , 51.90 ,Now         ,CUT BACK,.,0.81 , 6.00 , 6.40 ,, 16.99 ,014949280515 
CA,1355316,                              ,06/15/14  ,028051,#1,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                                                                  ,    ,6.25 ,,5.19 , 10 , 10 , 51.90 ,Now         ,CUT BACK,"4""H",0.84 , 6.03 , 6.45 ,, 16.99 ,014949280515 
GA,1354973,                              ,06/15/14  ,028055,#5,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                                                                  ,    ,17.50 ,,14.53 , 5 , 5 , 72.65 ,04/01/14    ,,,2.35 , 16.88 , 18.05 ,, 39.99 ,014949280553 
GA,1354973,                              ,06/15/14  ,036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,Elijah Blue Fescue                                                                                  ,    ,5.75 ,,4.77 , 10 , 20 , 95.40 ,04/01/14    ,,,0.47 , 5.24 , 5.47 ,, 16.99 ,014949366714 
OR,1354950,                              ,06/13/14  ,089291,#1,GR-HAKONECHLOA FUBUKI PP21757,Fubuki Japanese Forest Grass                                                                        ,New ,10.25 ,,8.51 , 10 , 10 , 85.10 ,Now         ,CUT BACK,.,0.81 , 9.32 , 9.72 ,, 16.99 ,014949380031 
OR,1354950,                              ,06/13/14  ,038681,#1,GR-HAKONECHLOA MACRA AUREOLA,Golden Japanese Forest Grass                                                                        ,    ,8.00 ,,6.64 , 10 , 10 , 66.40 ,Now         ,CUT BACK,.,0.81 , 7.45 , 7.85 ,, 16.99 ,014949386811 
OR,1354950,                              ,06/13/14  ,061561,#1,GR-MIS SIN GRACILLIMUS,Maiden Grass                                                                                        ,    ,6.25 ,,5.19 , 10 , 20 , 103.80 ,Now         ,CUT BACK,.,0.81 , 6.00 , 6.40 ,, 16.99 ,014949615614 
CA,1355316,                              ,06/15/14  ,061562,#2,GR-MIS SIN GRACILLIMUS,Maiden Grass                                                                                        ,    ,13.50 ,,11.21 , 5 , 10 , 112.10 ,Now         ,CUT BACK,"4""H",2.10 , 13.31 , 14.36 ,, 24.99 ,014949615621 
OR,1354950,                              ,06/13/14  ,061661,#1,GR-MIS SIN MORNING LIGHT,Morning Light Maiden Grass                                                                          ,    ,6.25 ,,5.19 , 10 , 20 , 103.80 ,Now         ,CUT BACK,.,0.81 , 6.00 , 6.40 ,, 16.99 ,014949616611 
GA,1354973,                              ,06/15/14  ,061571,#1,GR-MIS SIN VARIEGATUS,Variegated Japanese Silver Grass                                                                    ,    ,6.25 ,,5.19 , 10 , 10 , 51.90 ,04/01/14    ,,,0.47 , 5.66 , 5.89 ,, 16.99 ,014949615713 
CA,1355316,                              ,06/15/14  ,061572,#2,GR-MIS SIN VARIEGATUS,Variegated Japanese Silver Grass                                                                    ,    ,13.50 ,,11.21 , 5 , 5 , 56.05 ,Now         ,CUT BACK,"4""H",2.10 , 13.31 , 14.36 ,, 24.99 ,014949615720 
GA,1354973,                              ,06/15/14  ,024671,#1,GR-MUHLEN CAP REGAL MIST R,Regal Mist®  Pink Muhly                                                                             ,    ,6.25 ,,5.19 , 10 , 10 , 51.90 ,04/01/14    ,,,0.47 , 5.66 , 5.89 ,, 16.99 ,014949049389 
CA,1355316,                              ,06/15/14  ,092061,#1,GR-MUHLEN LIND AUTUMN GLOW TM,Autumn Glow™  Muhly                                                                                 ,2010,6.25 ,,5.19 , 10 , 10 , 51.90 ,Now         ,CUT BACK,"8""H",0.84 , 6.03 , 6.45 ,, 16.99 ,014949907962 
GA,1354973,                              ,06/15/14  ,064261,#1,GR-PENN ALO HAMELN,Dwarf Fountain Grass                                                                                ,    ,6.25 ,,5.19 , 10 , 10 , 51.90 ,Now         ,DORMANT,CAN FULL,0.47 , 5.66 , 5.89 ,, 16.99 ,014949642610 
GA,1354973,                              ,06/15/14  ,064262,#2,GR-PENN ALO HAMELN,Dwarf Fountain Grass                                                                                ,    ,13.50 ,,11.21 , 5 , 15 , 168.15 ,04/01/14    ,,,1.17 , 12.38 , 12.97 ,, 24.99 ,014949642627 
GA,1354973,                              ,06/15/14  ,063591,#1,GR-PENN ALO LITTLE BUNNY,Little Bunny Dwarf Fountain Grass                                                                   ,    ,6.25 ,,5.19 , 10 , 10 , 51.90 ,Not Avl     ,,,0.47 , 5.66 , 5.89 ,, 16.99 ,014949635919 
GA,1354973,                              ,06/15/14  ,022201,#1,GR-PENN SET FIREWORKS PP18504,Fireworks Fountain Grass                                                                            ,2010,7.00 ,,5.81 , 10 , 40 , 232.40 ,04/01/14    ,,,0.47 , 6.28 , 6.51 ,, 14.99 ,014949312308 
OR,1354950,                              ,06/13/14  ,089051,#1,HELLE WINDCLIFF DBL PINK SDLNG,Windcliff Double Pink Lenten Rose                                                                   ,2013,8.00 ,PRNADV,6.24 , 10 , 10 , 62.40 ,Now         ,LIGHT BUD & BLOOM,PA2*,0.81 , 7.05 , 7.45 ,, 16.99 ,014949380147 
OR,1354950,                              ,06/13/14  ,08905UT,LittleOne,HELLE WINDCLIFF DBL PINK SDLNG,Windcliff Double Pink Lenten Rose                                                                   ,2013,4.25 ,PRNADV,3.32 , 16 , 16 , 53.12 ,Now         ,,,0.60 , 3.92 , 4.23 ,, 9.99 ,014949380291 
OR,1354950,                              ,06/13/14  ,089081,#1,HELLE WINDCLIFF SLATY BLUE SDL,Windcliff Slaty Blue Lenten Rose                                                                    ,New ,8.00 ,PRNADV,6.24 , 10 , 30 , 187.20 ,Now         ,LIGHT BUD & BLOOM,PA2*,0.81 , 7.05 , 7.45 ,, 16.99 ,014949380154 
OR,1354950,                              ,06/13/14  ,035441,#1,HELLE WINTER QUEEN R MIX,Winter Queen Lenten Rose                                                                            ,    ,8.00 ,PRNADV,6.24 , 10 , 10 , 62.40 ,04/01/14    ,,,0.81 , 7.05 , 7.45 ,, 16.99 ,014949353233 
OR,1354950,                              ,06/13/14  ,067241,#1,HELLE WJEWELS R APRICOT BLUSH,Winter Jewels®  Apricot Blush Lenten Rose                                                           ,2011,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,Now         ,-,CAN FULL,0.81 , 6.66 , 7.06 ,, 16.99 ,014949320334 
OR,1354950,                              ,06/13/14  ,067281,#1,HELLE WJEWELS R BLACK DIAMOND,Winter Jewels®  Black Diamond Lenten Rose                                                           ,2011,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,04/01/14    ,-,,0.81 , 6.66 , 7.06 ,, 16.99 ,014949353967 
OR,1354950,                              ,06/13/14  ,067261,#1,HELLE WJEWELS R CHERRY BLOSSOM,Winter Jewels®  Cherry Blossom Lenten Rose                                                          ,2011,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,Now         ,-,CAN FULL,0.81 , 6.66 , 7.06 ,, 16.99 ,014949320358 
OR,1354950,                              ,06/13/14  ,065791,#1,HELLE WJEWELS R GOLDEN SUNRISE,Winter Jewels®  Golden Sunrise Lenten Rose                                                          ,2011,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,Now         ,-,,0.81 , 6.66 , 7.06 ,, 16.99 ,014949320297 
OR,1354950,                              ,06/13/14  ,067231,#1,HELLE WJEWELS R PAINTED,Winter Jewels®  Painted Lenten Rose                                                                 ,2011,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,04/01/14    ,-,,0.81 , 6.66 , 7.06 ,, 16.99 ,014949320310 
OR,1354950,                              ,06/13/14  ,039991,#1,HELLE X IVORY PRINCE PP16199,Ivory Prince Lenten Rose                                                                            ,    ,9.00 ,PRNADV,7.02 , 10 , 10 , 70.20 ,Now         ,BUDS & BLOOMS,PA1*,0.81 , 7.83 , 8.23 ,, 19.99 ,014949237410 
GA,1354973,                              ,06/15/14  ,039991,#1,HELLE X IVORY PRINCE PP16199,Ivory Prince Lenten Rose                                                                            ,    ,9.00 ,PRNADV,7.02 , 10 , 15 , 105.30 ,05/01/14    ,,,0.47 , 7.49 , 7.72 ,, 19.99 ,014949237410 
OR,1354950,                              ,06/13/14  ,017991,#1,HELLEBORUS RED LADY,Red Lady Lenten Rose                                                                                ,    ,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,Now         ,LIGHT BUD & BLOOM,PA2*,0.81 , 6.66 , 7.06 ,, 19.99 ,014949006252 
CA,1355316,                              ,06/15/14  ,017991,#1,HELLEBORUS RED LADY,Red Lady Lenten Rose                                                                                ,    ,7.50 ,,6.23 , 10 , 5 , 31.15 ,03/15/14    ,-,,0.84 , 7.07 , 7.49 ,, 19.99 ,014949006252 
OR,1354950,                              ,06/13/14  ,075451,#1,HELLEBORUS X CASSIS RED,Cassis Red Lenten Rose (Winter Dreams Series)                                                       ,2012,9.00 ,PRNADV,7.02 , 10 , 10 , 70.20 ,Now         ,,,0.81 , 7.83 , 8.23 ,, 19.99 ,014949364758 
OR,1354950,                              ,06/13/14  ,075431,#1,HELLEBORUS X DOUBLE FANTASY,Winter Dreams Double Fantasy Christmas Rose                                                         ,2012,9.00 ,PRNADV,7.02 , 10 , 10 , 70.20 ,Now         ,BUDS & BLOOMS,PA1*,0.81 , 7.83 , 8.23 ,, 16.99 ,014949369388 
CA,1355316,                              ,06/15/14  ,072991,#1,HELLEBORUS X PINK FROST PPAF,Gold Collection®  Pink Frost Lenten Rose                                                            ,2011,9.00 ,PRNADV,7.02 , 10 , 10 , 70.20 ,03/15/14    ,LIGHT BUD & BLOOM,,0.84 , 7.86 , 8.28 ,, 19.99 ,014949332641 
OR,1354950,                              ,06/13/14  ,075461,#1,HELLEBORUS X RUSE BLACK,Ruse Black Lenten Rose (Winter Dreams Series)                                                       ,2012,9.00 ,PRNADV,7.02 , 10 , 2 , 14.04 ,Now         ,LIGHT BUD & BLOOM,PA2*,0.81 , 7.83 , 8.23 ,, 16.99 ,014949364734 
GA,1354973,                              ,06/15/14  ,039611,#1,HEUCHERA BLACK BEAUTY PP13288,Black Beauty Coral Bells                                                                            ,    ,6.75 ,PRNADV,5.27 , 10 , 40 , 210.80 ,04/01/14    ,,,0.47 , 5.74 , 5.97 ,, 14.99 ,014949237755 
CA,1355316,                              ,06/15/14  ,047531,#1,HEUCHERA GEORGIA PEACH PP19375,Georgia Peach Coral Bells                                                                           ,    ,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,03/15/14    ,-,,0.84 , 6.69 , 7.11 ,, 16.99 ,014949255957 
GA,1354973,                              ,06/15/14  ,022231,#1,HEUCHERA GINGER ALE PP18173,Ginger Ale Coral Bells                                                                              ,2010,7.50 ,PRNADV,5.85 , 10 , 30 , 175.50 ,Now         ,,CAN FULL,0.47 , 6.32 , 6.55 ,, 14.99 ,014949279267 
GA,1354973,                              ,06/15/14  ,029531,#1,HEUCHERA LIME RICKEY PP16210,Lime Rickey Coral Bells                                                                             ,    ,7.50 ,PRNADV,5.85 , 10 , 40 , 234.00 ,04/15/14    ,,,0.47 , 6.32 , 6.55 ,, 16.99 ,014949066164 
OR,1354950,                              ,06/13/14  ,053681,#1,HEUCHERA MAHOGANY PPAF,Mahogany Coral Bells                                                                                ,2009,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,Now         ,,CAN FULL,0.81 , 6.66 , 7.06 ,, 14.99 ,014949283660 
GA,1354973,                              ,06/15/14  ,028871,#1,HEUCHERA MARMALADE PP15945,Marmalade Coral Bells                                                                               ,    ,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,Now         ,,CAN FULL,0.47 , 6.32 , 6.55 ,, 16.99 ,014949065846 
GA,1354973,                              ,06/15/14  ,054531,#1,HEUCHERA MIDNIGHT BAYOU P21858,Midnight Bayou Coral Bells                                                                          ,2013,7.50 ,PRNADV,5.85 , 10 , 7 , 40.95 ,04/01/14    ,,,0.47 , 6.32 , 6.55 ,, 16.99 ,014949355053 
GA,1354973,                              ,06/15/14  ,049711,#1,HEUCHERA SOUTHERN COMFORT PPAF,Southern Comfort Coral Bells                                                                        ,2009,7.50 ,PRNADV,5.85 , 10 , 25 , 146.25 ,04/01/14    ,,,0.47 , 6.32 , 6.55 ,, 16.99 ,014949276136 
GA,1354973,                              ,06/15/14  ,046641,#1,HEUCHERA VIL CARAMEL PP16560,Caramel Coral Bells                                                                                 ,    ,7.50 ,PRNADV,5.85 , 10 , 30 , 175.50 ,Now         ,,CAN FULL,0.47 , 6.32 , 6.55 ,, 14.99 ,014949273562 
OR,1354950,                              ,06/13/14  ,076241,#1,HEUCHERELLA REDSTONE FALLS PAF,Redstone Falls Trailing Foamy Bells                                                                 ,2013,7.50 ,PRNADV,5.85 , 10 , 15 , 87.75 ,Now         ,,,0.81 , 6.66 , 7.06 ,, 16.99 ,014949369531 
GA,1354973,                              ,06/15/14  ,033531,#1,HEUCHERELLA STOPLIGHT PP16835,Stoplight Foamy Bells                                                                               ,    ,7.50 ,PRNADV,5.85 , 10 , 20 , 117.00 ,04/01/14    ,,,0.47 , 6.32 , 6.55 ,, 16.99 ,014949071427 
OR,1354950,                              ,02/13/14  ,076271,#1,HEUCHERELLA YLWSTN FLS P22313,Yellowstone Falls Trailing Foamy Bells                                                              ,2013,7.50 ,PRNADV,5.85 , 10 , 10 , 58.50 ,Now         ,CUT BACK,,0.81 , 6.66 , 7.06 ,, 16.99 ,014949369548 
