Loc,Item,Plant Name,CAT,,,,,,,,,UPC#
160000,46342,PAEONIA COTTAGE MIX,PRN,,,,,,,,,
160000,39085,PAEONIA ITOH BARTZELLA (YLW),PRN,,,,,,,,,
160000,39095,PAEONIA ITOH CORA LOUISE (WHT),PRN,,,,,,,,,
160000,39135,PAEONIA ITOH JULIA ROSE,PRN,,,,,,,,,14949226599
160000,47085,PAEONIA ITOH KEIKO TM (PK D D),PRN,,,,,,,,,14949250365
170000,52605,PAEONIA ITOH MISAKA TM PP22192,PRN,,,,,,,,,
160000,68585,PAEONIA ITOH MORNING LILAC,PRN,,,,,,,,,
160000,19585,PAEONIA ITOH SING IN THE RAIN,PRN,,,,,,,,,
160000,44325,PAEONIA ITOH SQUESTERD SUNSHIN,PRN,,,,,,,,,
160000,52595,PAEONIA ITOH TAKARA TM PP22374,PRN,,,,,,,,,14949278864
160000,47075,PAEONIA ITOH YUMI TM (YLW),PRN,,,,,,,,,14949250358
160000,24242,PAEONIA X BLAZE (RED),PRN,,,,,,,,,14949044728
160000,19522,PAEONIA X BOWL OF BEAUTY (PK),PRN,,,,,,,,,14949018453
160000,16252,PAEONIA X BOWL OF CREAM (WT),PRN,,,,,,,,,14949162521
160000,50282,PAEONIA X BUCKEYE BELLE (RED),PRN,,,,,,,,,14949269336
160000,63512,PAEONIA X DBL WHITE,PRN,,,,,,,,,14949635124
160000,51532,PAEONIA X DO TELL (PINK),PRN,,,,,,,,,14949334423
160000,63562,PAEONIA X FESTIVA MAXIMA (WT),PRN,,,,,,,,,14949635629
160000,96432,PAEONIA X GENERAL MACMAHON,PRN,,,,,,,,,
160000,36332,PAEONIA X INSPECTEUR LAVERGNE,PRN,,,,,,,,,14949211854
160000,46132,PAEONIA X JAN VAN LEEUWEN (WT),PRN,,,,,,,,,14949238905
160000,63742,PAEONIA X KANSAS (RED),PRN,,,,,,,,,14949637425
160000,63572,PAEONIA X KARL ROSENFIELD(RED),PRN,,,,,,,,,14949635728
160000,46212,PAEONIA X LADY ORCHID (PINK),PRN,,,,,,,,,14949240373
160000,64912,PAEONIA X MME EMILE DEBATENE,PRN,,,,,,,,,14949649121
160000,51192,PAEONIA X NANCY NORA (PINK),PRN,,,,,,,,,14949271797
160000,24272,PAEONIA X PAUL M WILD (RED),PRN,,,,,,,,,14949044742
160000,46072,PAEONIA X RASPBERRY SUNDAE(PK),PRN,,,,,,,,,14949238882
160000,46122,PAEONIA X SEA SHELL (PINK),PRN,,,,,,,,,14949238899
160000,63762,PAEONIA X SHIRLEY TEMPLE (WT),PRN,,,,,,,,,14949637623
160000,081521S,PARTH Q RED WALL TM PPAF,VIN,,,,,,,,,14949361085
170000,2475,PARTH Q STAR SHOWERS R P10128,VIN,,,,,,,,,14949024751
170000,2451,PARTH QUINQUEFOLIA,VIN,,,,,,,,,14949024515
170000,2585,PARTH TRI GREEN SHOWERS,VIN,,,,,,,,,
170000,2501,PARTH TRI VEITCHII,VIN,,,,,,,,,14949025017
160000,66791,PENSTEMON X DOROTHY WILSON,PRN,,,,,,,,,14949337868
170000,67781,PENSTEMON X PIKES PEAK PURPL R,PRN,,,,,,,,,14949358047
160000,66811,PENSTEMON X PRETTY PETTICOAT,PRN,,,,,,,,,14949337875
160000,405141,PEROVSKIA ATR PEEK-A-BLUE PPAF,PRN,,,,,,,,,14949395332
170000,64211,PEROVSKIA ATRIPLICIFOLIA,PRN,,,,,,,,,14949642115
170000,84782,PEROVSKIA LACEY BLUE PP20845,PRN,,,,,,,,,14949377581
170000,10591,PEROVSKIA LITTLE SPIRE,PRN,,,,,,,,,
160000,10591,PEROVSKIA LITTLE SPIRE P11643,PRN,,,,,,,,,14949001882
170000,64411,PHILADELPHUS VIR DWF SNOWFLAKE,DCS,,,,,,,,,
170000,64425,PHILADELPHUS VIR NATCHEZ,DCS,,,,,,,,,
160000,411761,PHLOX PAN COTTON CANDY PP21369,PRN,,,,,,,,,14949427132
160000,64531,PHLOX PAN ICE CAP,PRN,,,,,,,,,14949354520
160000,64611,PHLOX PAN RED EYES,PRN,,,,,,,,,14949354537
160000,64341,PHLOX SUB CANDY STRIPE,PRN,,,,,,,,,
160000,06445UT,PHLOX SUB EMERALD BLUE,PRN,,,,,,,,,14949043288
160000,64601,PHLOX SUB RED WINGS,PRN,,,,,,,,,14949646014
160000,31211,PHLOX VLCNO R PK RD EYE P16341,PRN,,,,,,,,,14949070062
170000,23691,PHLOX VLCNO R PK WT EYE P16722,PRN,,,,,,,,,14949048900
160000,23731,PHLOX VLCNO R WHITE PP16436,PRN,,,,,,,,,14949048931
160000,34651,PHYSOCARPUS CENTER GLOW P16894,DCS,,,,,,,,,14949072080
160000,074675PT,PHYSOCARPUS COPPRTNA TM P16371,DCS,,,,,,,,,14949349328
160000,63931,PHYSOCARPUS DIABOLO R P11211,DCS,,,,,,,,,14949639313
160000,409892,PHYSOCARPUS OP PETITE PLUM R,DCS,,,,,,,,,
160000,68262,PHYSOCARPUS OPU DART'S GOLD,DCS,,,,,,,,,14949324424
160000,029941S,PHYSOCARPUS SUMR WINE R P14821,DCS,,,,,,,,,14949337189
160000,64525,PICEA ABIES,CON,,,,,,,,,
160000,64545,PICEA ABIES CUPRESSINA,CON,,,,,,,,,14949645451
160000,64551,PICEA ABIES LITTLE GEM,CON,,,,,,,,,14949645512
160000,64562,PICEA ABIES NIDIFORMIS,CON,,,,,,,,,14949645628
160000,064575ST,PICEA ABIES PENDULA,CON,,,,,,,,,14949645758
160000,64582,PICEA ABIES PUMILA,CON,,,,,,,,,
160000,52552,PICEA ABIES PUSCH,CON,,,,,,,,,
160000,33265,PICEA ENG BUSH'S LACE,CON,,,,,,,,,14949274606
160000,64642,PICEA GL ALBERTA BLUE P11473,CON,,,,,,,,,
160000,64621,PICEA GL CONICA,CON,,,,,,,,,14949646212
160000,19372,PICEA GL CONICA TINY TOWER R,CON,,,,,,,,,14949232866
160000,64652,PICEA GL DENSATA,CON,,,,,,,,,
160000,33275,PICEA GL DENSATA WELLS' WEEPER,CON,,,,,,,,,14949342466
160000,36275,PICEA GL PENDULA,CON,,,,,,,,,
160000,64475,PICEA MARIANA NANA,CON,,,,,,,,,
160000,64875,PICEA OMORIKA BRUNS,CON,,,,,,,,,14949780251
160000,64832,PICEA OMORIKA NANA,CON,,,,,,,,,14949648322
160000,53345,PICEA OMORIKA PENDULA BRUNS,CON,,,,,,,,,
160000,21532,PICEA OMORIKA PIMOKO,CON,,,,,,,,,14949040423
160000,47615,PICEA OMORIKA SKY TRAILS,CON,,,,,,,,,14949264478
160000,06481M,PICEA ORIEN ATROVIRENS,CON,,,,,,,,,
160000,38435,PICEA PUN BABY BLUE EYES,CON,,,,,,,,,14949361245
160000,64662,PICEA PUN GLAUCA,CON,,,,,,,,,14949646625
160000,06478M,PICEA PUN GLAUCA FAT ALBERT,CON,,,,,,,,,
160000,64692,PICEA PUN GLOBOSA,CON,,,,,,,,,14949646922
160000,64719,PICEA PUN HOOPSII,CON,,,,,,,,,14949647196
160000,44635,PICEA PUN ISELI FASTIGATE,CON,,,,,,,,,14949274682
160000,64765,PICEA PUN MOERHEIM,CON,,,,,,,,,14949647653
160000,64725,PICEA PUN MONTGOMERY,CON,,,,,,,,,14949647257
160000,38745,PICEA PUN SPARKLER R,CON,,,,,,,,,14949317983
160000,01939M,PICEA PUN THE BLUES,CON,,,,,,,,,14949016596
160000,47375,PICEA PUN THOMPSENII,CON,,,,,,,,,14949361887
160000,06542M,PINUS CEM SILVER WHISPERS TM,CON,,,,,,,,,14949039984
160000,65399,PINUS FL VANDERWOLFES PYRAMID,CON,,,,,,,,,14949653999
160000,21545,PINUS KOR SILVERAY,CON,,,,,,,,,14949040522
160000,65555,PINUS LEUCODERMIS,CON,,,,,,,,,
160000,49092,PINUS MUGO BIG TUNA,CON,,,,,,,,,
160000,48695,PINUS MUGO CARSTENS WINTERGOLD,CON,,,,,,,,,
160000,49572,PINUS MUGO JAKOBSEN,CON,,,,,,,,,14949272992
160000,65451,PINUS MUGO PUMILIO,CON,,,,,,,,,14949654514
160000,51175,PINUS MUGO SLOWMOUND,CON,,,,,,,,,14949362167
160000,65465,PINUS NIGRA,CON,,,,,,,,,14949654651
160000,49135,PINUS NIGRA FRANK ,CON,,,,,,,,,14949267226
160000,19415,PINUS NIGRA OREGON GREEN,CON,,,,,,,,,
160000,65485,PINUS STROBUS,CON,,,,,,,,,14949654859
160000,49115,PINUS STROBUS BLUE SHAG,CON,,,,,,,,,14949267202
160000,65495,PINUS STROBUS NANA,CON,,,,,,,,,
160000,49605,PINUS STROBUS TINY KURLS,CON,,,,,,,,,14949342800
160000,65525,PINUS SYL FRENCH BLUE,CON,,,,,,,,,14949655252
160000,65535,PINUS SYL GLAUCA NANA,CON,,,,,,,,,14949655351
160000,49145,PINUS SYL GLOBOSA VIRIDIS,CON,,,,,,,,,14949267233
160000,20981,PLATYCODON GR ZWERG,PRN,,,,,,,,,14949023419
160000,36561,POLE STAIRWAY TO HEAVEN P15187,PRN,,,,,,,,,14949213230
160000,65361,POLEMONIUM BRISE D'ANJOU P9781,PRN,,,,,,,,,14949653616
160000,15161,POLYGONATUM FAL VARIEGATUM,PRN,,,,,,,,,
160000,18315,POPULUS TREMULA ERECTA,TRE,,,,,,,,,14949007969
160000,66691,POTENTILLA ABBOTSWOOD,DCS,,,,,,,,,14949666913
160000,66782,POTENTILLA FROSTY R P10987,DCS,,,,,,,,,14949667828
160000,66801,POTENTILLA GOLD STAR,DCS,,,,,,,,,14949668016
160000,66685,POTENTILLA GOLDFINGER,DCS,,,,,,,,,
160000,86651,POTENTILLA PINK BEAUTY P9874,DCS,,,,,,,,,14949866511
160000,66772,POTENTILLA RED ACE,DCS,,,,,,,,,14949667729
160000,66741,POTENTILLA SUNSET,DCS,,,,,,,,,14949667415
160000,412841,POTENTILLA TWINKLING STAR,PRN,,,,,,,,,14949425213
160000,66835,PRUNUS CER KRAUTER VESUVIUS,TRE,,,,,,,,,
160000,31815,PRUNUS CRMSON POINTE TM P19564,TRE,,,,,,,,,14949218686
160000,66955,PRUNUS PEN PLENO ROSEA,TRE,,,,,,,,,14949669556
160000,66915,PRUNUS SER KWANZAN,TRE,,,,,,,,,
160000,81785,PRUNUS VIR CANADA RED,TRE,,,,,,,,,14949375082
170000,06167MT,PRUNUS X BEAUTY PLUM,TRE,,,,,,,,,14949314579
170000,66875,PRUNUS X CISTENA,DCS,,,,,,,,,
160000,066935ST,PRUNUS X SNOW FOUNTAIN TM,TRE,,,,,,,,,
160000,66985,PRUNUS X YEDOENSIS AKEBONO,TRE,,,,,,,,,14949669853
160000,84701,PULMONARIA DE VROOMAN'S PRIDE,PRN,,,,,,,,,14949373187
160000,11061,PULMONARIA RASP SPLASH PP12138,PRN,,,,,,,,,14949002032
160000,35611,PULMONARIA TREVI FOUNTN P13047,PRN,,,,,,,,,14949208168
160000,69455,QUERCUS PALUSTRIS,TRE,,,,,,,,,14949694558
160000,69255,QUERCUS RUBRA,TRE,,,,,,,,,
170000,69711,RATIBIDA COLUMNIFERA,PRN,,,,,,,,,
160000,020791S,RHAMNUS FRA FINELINE R PP14791,DCS,,,,,,,,,14949337912
160000,9401,RHOD (H-1) ENGLISH ROSEUM,RHO,,,,,,,,,14949094013
160000,18015,RHOD (H-1) HAAGA,RHO,,,,,,,,,14949101773
160000,16222,RHOD (H-1) HELLIKKI,RHO,,,,,,,,,14949162224
160000,16235,RHOD (H-1) HELSINKI UNIVERSITY,RHO,,,,,,,,,14949162354
160000,9485,RHOD (H-1) IGNATIUS SARGENT,RHO,,,,,,,,,14949094853
160000,9735,RHOD (H-1) NORMANDY,RHO,,,,,,,,,14949097359
160000,9752,RHOD (H-1) NOVA ZEMBLA,RHO,,,,,,,,,
160000,9801,RHOD (H-1) P.J.M.,RHO,,,,,,,,,14949098011
160000,9972,RHOD (H-1) PURPLE GEM,RHO,,,,,,,,,14949099728
160000,10051,RHOD (H-1) RAMAPO,RHO,,,,,,,,,14949100516
160000,10155,RHOD (H-1) ROSEUM ELEGANS,RHO,,,,,,,,,
160000,19762,RHOD (H-1) RTR FIRESTORM,RHO,,,,,,,,,
160000,19772,RHOD (H-1) RTR HOOPLA,RHO,,,,,,,,,14949019894
160000,20195,RHOD (H-1) RTR MARCH MADNESS,RHO,,,,,,,,,14949021514
160000,19742,RHOD (H-1) RTR SLAM DUNK,RHO,,,,,,,,,14949019771
160000,69891,RHUS AROMATICA GRO-LOW,DCS,,,,,,,,,14949698914
170000,58142,RIBES HERTELLUM PIXWELL,DCS,,,,,,,,,14949318447
170000,68251,RIBES RUBRUM RED LAKE,DCS,,,,,,,,,14949360033
170000,36292,ROSA FLWR CAR R AMBER PPAF,ROS,,,,,,,,,14949211762
160000,69292,ROSA FLWR CAR R APLBLSM P10239,ROS,,,,,,,,,14949692929
170000,69782,ROSA FLWR CAR R PINK,ROS,,,,,,,,,14949697825
170000,036385PT,ROSA FLWR CAR R PNK SUP P16276,ROS,,,,,,,,,14949288405
170000,71602,ROSA FLWR CAR R RED P11308,ROS,,,,,,,,,14949716021
170000,018245PT,ROSA FLWR CAR R YELLOW PP13869,ROS,,,,,,,,,14949062814
170000,042822S,ROSA KNCK OUT R DBL PNK P18507,ROS,,,,,,,,,14949370209
170000,030902S,ROSA KNCK OUT R DBL RD P16202,ROS,,,,,,,,,
170000,011625PT,ROSA KNCK OUT R P11836 (RED),ROS,,,,,,,,,
170000,022152S,ROSA KNCK OUT R P15070 (PINK),ROS,,,,,,,,,
160000,080722S,ROSA OSO EASY R MNGO SALSA PAF,ROS,,,,,,,,,14949359662
160000,074982S,ROSA OSO EASY R PAPRIKA PPAF,ROS,,,,,,,,,14949348857
170000,090791ST,ROSA-CL-CECILE BRUNNER,ROS,,,,,,,,,14949907917
170000,075415ST,ROSA-CL-SKY'S THE LIMIT TM PAF,ROS,,,,,,,,,14949361627
160000,58912,ROSA-CL-WILLIAM BAFFIN,ROS,,,,,,,,,14949327272
170000,70345,RUBUS CANBY RED RASPBERRY,DCS,,,,,,,,,
170000,70041,RUBUS HERITAGE RASPBERRY,DCS,,,,,,,,,14949779613
170000,406432,RUBUS IDAEUS JEWEL BLK RASPBRY,DCS,,,,,,,,,14949398210
170000,67841,RUBUS IDEAUS FALL GOLD RASPBRY,DCS,,,,,,,,,14949327128
160000,070061S,RUBUS INDIAN SUMMER RASPBERRY,DCS,,,,,,,,,14949264911
170000,67871,RUBUS PRIME-JIM R BKBRY P16989,DCS,,,,,,,,,14949330371
170000,70081,RUBUS WILLAMETTE RASPBERRY,DCS,,,,,,,,,14949700815
160000,71011,RUDBECKIA FULGIDA GOLDSTURM,PRN,,,,,,,,,14949782118
160000,70465,SALIX CAP KILMARNOCK(S C PEND),TRE,,,,,,,,,14949704653
160000,39491,SALIX INTEGRA FLAMINGO PP17490,DCS,,,,,,,,,14949422502
160000,070615PT,SALIX INTEGRA HAKURO NISHIKI,DCS,,,,,,,,,
160000,86701,SALIX PURPUREA CANYON BLUE,DCS,,,,,,,,,
160000,412691,SALVIA NEM BLUE MARVEL PPAF,PRN,,,,,,,,,14949424773
160000,19541,SALVIA NEM MARCUS R PP13322,PRN,,,,,,,,,14949052136
170000,20412,SALVIA NEMOROSA CARADONNA,PRN,,,,,,,,,14949212011
170000,70591,SALVIA NEMOROSA EAST FRIESLAND,PRN,,,,,,,,,14949705919
160000,44341,SALVIA SENSATION RSE TM P18230,PRN,,,,,,,,,14949233443
170000,407941,SALVIA SNSATION R DEEP ROS PAF,PRN,,,,,,,,,
160000,400271,SALVIA SNSATION R SKY BLUE PAF,PRN,,,,,,,,,14949382608
160000,70261,SALVIA X SYL MAY NIGHT,PRN,,,,,,,,,14949787014
160000,30321,SALVIA X SYL SNOW HILL,PRN,,,,,,,,,14949067635
160000,035942S,SAMBUCUS BLACK LACE TM PP15575,DCS,,,,,,,,,
160000,19995,SAMBUCUS BLK BEAUTY TM PP12305,DCS,,,,,,,,,14949020999
160000,70971,SCABIOSA COL BUTTERFLY BLUE,PRN,,,,,,,,,14949785515
160000,88961,SCABIOSA COL GIGA TM BLUE,PRN,,,,,,,,,14949423370
160000,71661,SCABIOSA COL PINK MIST,PRN,,,,,,,,,14949002704
160000,06501UT,SEDUM ACRE,PRN,,,,,,,,,14949309759
160000,06500UT,SEDUM ALB C BABY TEARS,PRN,,,,,,,,,14949309742
160000,03026UT,SEDUM ALB CORAL CARPET,PRN,,,,,,,,,14949281932
160000,29141,SEDUM BLUE SPRUCE,PRN,,,,,,,,,14949276334
170000,70941,SEDUM BRONZE CARPET,PRN,,,,,,,,,14949709412
160000,54641,SEDUM CRYSTAL PINK PPAF,PRN,,,,,,,,,14949333921
160000,03028UT,SEDUM DRAGON'S BLOOD,PRN,,,,,,,,,14949067574
160000,92351,SEDUM ELSIE GOLD PP20368,PRN,,,,,,,,,14949383698
170000,11811,SEDUM FROSTY MORN,PRN,,,,,,,,,14949008447
170000,68671,SEDUM HISPANICUM,PRN,,,,,,,,,14949326879
170000,11821,SEDUM JOHN CREECH,PRN,,,,,,,,,14949326206
170000,44871,SEDUM RUP ANGELINA PPAF,PRN,,,,,,,,,14949314272
160000,06368UT,SEDUM SIEBOLDII,PRN,,,,,,,,,14949322420
160000,35171,SEDUM SPURIUM VOODOO,PRN,,,,,,,,,14949206010
160000,08748UT,SEDUM SSPKLR R CHERRY TART PAF,PRN,,,,,,,,,14949369777
160000,41272UT,SEDUM SSPKLR R FIRE CRACKR PAF,PRN,,,,,,,,,14949424919
160000,7331,SEDUM SSPRKLR R DZLBRY PP22457,PRN,,,,,,,,,14949378991
160000,00730UT,SEDUM SSPRKLR R LIME ZNGR PPAF,PRN,,,,,,,,,14949372432
160000,46311,SEDUM STRAWBERRIES & CREAM,PRN,,,,,,,,,14949240564
160000,39011,SEDUM TELEPHIUM RUP HAB GRAY,PRN,,,,,,,,,14949226308
160000,07073UT,SEDUM TRICOLOR,PRN,,,,,,,,,14949046289
170000,70911,SEDUM VERA JAMESON,PRN,,,,,,,,,14949709115
160000,57161,SEDUM X AUTUMN CHARM PP14421,PRN,,,,,,,,,14949290774
170000,25041,SEDUM X AUTUMN FIRE,PRN,,,,,,,,,14949049969
160000,70741,SEDUM X AUTUMN JOY,PRN,,,,,,,,,14949707418
170000,69971,SEMPERVIVUM ARACH RED COBWEB,PRN,,,,,,,,,14949328620
170000,65591,SEMPERVIVUM BLACK,PRN,,,,,,,,,14949337431
170000,65601,SEMPERVIVUM GREEN WHEEL,PRN,,,,,,,,,14949321423
170000,65611,SEMPERVIVUM KREBS DES ROSE,PRN,,,,,,,,,14949321430
160000,04491UT,SEMPERVIVUM RUBIKON,PRN,,,,,,,,,14949249864
160000,56961,SEMPERVIVUM RUBY HEARTS,PRN,,,,,,,,,14949361658
170000,70011,SEMPERVIVUM SILVER KING,PRN,,,,,,,,,14949328651
160000,71031,SOLIDAGO CROWN OF RAYS,PRN,,,,,,,,,14949786314
160000,94752,SORBARIA SORB SEM PP16336,DCS,,,,,,,,,14949422557
160000,71185,SORBUS HUPEHEN CORAL FIRE TM,TRE,,,,,,,,,14949711859
160000,075012S,SPIRAEA DBLPLAY R ARTIST PPAF,DCS,,,,,,,,,14949349359
160000,075032S,SPIRAEA DBLPLAY R BGBNG P21588,DCS,,,,,,,,,14949349373
160000,408162S,SPIRAEA DBLPLAY R BL KZO TMPAF,DCS,,,,,,,,,
160000,075021S,SPIRAEA DBLPLAY R GOLD PPAF,DCS,,,,,,,,,
160000,71252,SPIRAEA JAP LITTLE PRINCESS,DCS,,,,,,,,,14949712528
160000,71571,SPIRAEA JAP MAGIC CARPET P9363,DCS,,,,,,,,,14949715710
160000,71585,SPIRAEA JAP NEON FLASH,DCS,,,,,,,,,14949715857
160000,71281,SPIRAEA JAP SHIROBANA,DCS,,,,,,,,,14949712818
160000,71305,SPIRAEA NIPPON SNOWMOUND,DCS,,,,,,,,,14949713051
160000,71151,SPIRAEA X ANTHONY WATERER,DCS,,,,,,,,,14949711514
160000,71175,SPIRAEA X GOLDFLAME,DCS,,,,,,,,,14949711750
160000,71231,SPIRAEA X LIMEMOUND R,DCS,,,,,,,,,
170000,71612,SPIRAEA X VAN RENAISSANCE,DCS,,,,,,,,,14949785621
160000,12091,STACHYS BIG EARS,PRN,,,,,,,,,14949307991
160000,12111,STACHYS SILVER CARPET,PRN,,,,,,,,,14949050811
160000,17675,SYMPH CHARMNG FANTSY TM P13204,DCS,,,,,,,,,14949030547
160000,17695,SYMPH SCARLET PEARL PP13244,DCS,,,,,,,,,
160000,086431S,SYRINGA BLOOMERNG R DK PPL PAF,DCS,,,,,,,,,14949373002
160000,406802S,SYRINGA BLOOMERNG R PNK PRFM,DCS,,,,,,,,,14949420607
160000,074681S,SYRINGA BLOOMERNG R PUR P20575,DCS,,,,,,,,,14949336632
160000,71972,SYRINGA PATULA,DCS,,,,,,,,,14949719725
160000,072025PT,SYRINGA PATULA MISS KIM,DCS,,,,,,,,,14949720455
160000,71801,SYRINGA V ANGEL WHITE,DCS,,,,,,,,,14949718018
160000,71795,SYRINGA V BLUE SKIES R,DCS,,,,,,,,,14949717950
160000,072101S,SYRINGA V CHARLES JOLY,DCS,,,,,,,,,14949059845
160000,72155,SYRINGA V LAVENDER LADY,DCS,,,,,,,,,14949721551
