,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
170000,012031,BER GOLDN NUGGET TM P9577 CBR,DCS,+,22,22,-,-,-,-,,-,$6.00 ,55,-,,
170000,074741S,BER SUNJOY R GOLD PILLAR PPAF,DCS,+,5,-,-,5,5,-,4/15/2014,-,$9.75 ,10,-,,
170000,074742S,BER SUNJOY R GOLD PILLAR PPAF,DCS,+,55,10,-,45,45,-,5/1/2014,-,$16.00 ,-,-,,
170000,012051,BER T CRIMSON PYGMY,DCS,+,12,-,-,12,12,31,4/1/2014,31,$5.75 ,20,-,,
170000,012511,BIGNONIA CAP TANGERINE BEAUTY,VIN,+,30,20,10,-,-,-,,-,$8.50 ,65,-,,
170000,012515,BIGNONIA CAP TANGERINE BEAUTY,VIN,+,15,5,5,5,5,53,,53,$26.50 ,21,-,,
170000,090121BH,BOUG BLUEBERRY ICE,VIN,+,15,-,-,15,15,5,,5,$6.75 ,14,-,,
170000,090122BH,BOUG BLUEBERRY ICE,VIN,+,40,-,-,40,40,76,,76,$16.75 ,-,-,,
170000,016482,BOUG GOLDEN JACKPOT R,VIN,+,25,-,-,25,-,-,4/15/2014,252,$18.50 ,5,-,,
170000,016482BH,BOUG GOLDEN JACKPOT R,VIN,+,25,-,-,25,25,150,,150,$17.00 ,5,-,,
170000,013052,BOUG PURPLE QUEEN R,VIN,+,25,-,-,25,25,-,,-,$17.50 ,22,-,,
170000,013052PT,BOUG PURPLE QUEEN R,VIN,+,9,-,-,9,9,-,,-,$28.50 ,-,-,,
170000,013055PT,BOUG PURPLE QUEEN R,VIN,+,15,4,-,11,11,263,,263,$38.50 ,6,-,,
170000,095742BH,BOUG SUNVILLEA TM CREAM P22112,VIN,+,11,11,-,-,-,-,4/15/2014,-,$17.50 ,-,-,,
170000,095752BH,BOUG SUNVILLEA TM PINK PP22113,VIN,+,12,12,-,-,-,-,4/15/2014,-,$17.50 ,-,-,,
170000,013501,BRUNFELSIA FLORIBUNDA,EVS,+,12,-,-,12,-,-,4/1/2014,17,$6.25 ,-,-,,
170000,013505,BRUNFELSIA FLORIBUNDA,EVS,+,4,-,-,4,-,-,4/1/2014,-,$20.00 ,-,-,,
170000,080811S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,+,100,20,-,80,-,-,3/15/2014,150,$9.75 ,-,-,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,+,100,20,-,80,-,-,3/15/2014,91,$16.00 ,-,-,,
170000,080791S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS,+,16,16,-,-,-,-,3/15/2014,-,$9.75 ,-,-,,
170000,080792S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS,+,20,20,-,-,-,-,3/15/2014,44,$16.00 ,-,-,,
170000,034662S,BUDDLEJA DAV ADONIS BLUE TM,DCS,+,6,6,-,-,-,-,3/15/2014,135,$15.00 ,38,-,,
170000,013782,BUDDLEJA DAV BLACK KNIGHT,DCS,+,24,-,-,24,24,231,4/1/2014,231,$13.75 ,5,-,,
170000,013785,BUDDLEJA DAV BLACK KNIGHT,DCS,+,20,12,-,8,8,"1,404",3/15/2014,"1,404",$19.25 ,10,-,,
170000,013772,BUDDLEJA DAV PETITE INDIGO R,DCS,+,20,-,-,20,20,126,4/1/2014,126,$13.75 ,-,-,,
170000,013775,BUDDLEJA DAV PETITE INDIGO R,DCS,+,20,-,-,20,20,475,3/15/2014,521,$19.25 ,-,-,,
170000,013765,BUDDLEJA DAV PETITE PLUM R,DCS,+,20,-,-,20,20,17,3/15/2014,17,$19.25 ,2,-,,
170000,013572,BUDDLEJA DAV PETITE SNOW TM,DCS,+,15,-,-,15,15,259,3/15/2014,367,$13.75 ,-,-,,
170000,013575,BUDDLEJA DAV PETITE SNOW TM,DCS,+,20,-,-,20,20,87,3/15/2014,87,$19.25 ,5,-,,
170000,013792,BUDDLEJA DAV PINK DELIGHT,DCS,+,20,-,-,20,20,810,4/1/2014,810,$13.75 ,-,-,,
