Description,Loc,Item,Size,Quan,2014 Catalog Price ,2014 Net Price,Unit Freight,Landed Price,SKU,Retail Price,SPECIAL LABELS,
CUP LEY EMERALD ISLE R,GA,030519,#15, 30 ,80.00 ,64.00 ,16.94 , 80.94 ,,     ,DER,
DAPHNE ETRNL FRAGRANCE PP18361,OR,049232,#2                            , 20 ,17.75 ,,2.44 ,16.64 ,,,DER,
DEUTZIA CHRDNY PERLS R PP16098,OR,029892S,SuperTwo, 20 ,15.00 ,12.00 ,3.26 , 15.26 ,,     ,DER,
DEUTZIA X NIKKO BLUSH NA74356 ,OR,091882,#2                            , 20 ,13.75 ,,2.44 ,13.44 ,,,DER,
ENSETE MAURELII,CA,062005,#5, 25 ,31.00 ,24.80 ,5.12 , 29.92 ,,     ,TRP,
EUO F EMERALD 'N GOLD,OR,034002,#2, 25 ,13.00 ,10.40 ,2.44 , 12.84 ,,     ,,
EUO F IVORY JADE,OR,034452,#2, 25 ,13.00 ,10.40 ,2.44 , 12.84 ,,     ,,
EUO J AUREO MARGINATUS        ,CA,034805,#5                            , 25 ,18.50 ,,5.12 ,19.92 ,,,,
EUO J CHOLLIPO                ,CA,033665,#5                            , 25 ,18.50 ,,5.12 ,19.92 ,,,,
EUO J CHOLLIPO                ,CA,033665ES,#5 ESPALIER                   , 2 ,48.00 ,,7.68 ,46.08 ,,,,
EUO J MICRO VARIEGATUS,CA,035151,#1, 25 ,5.50 ,4.40 ,1.02 , 5.42 ,,     ,,
EUO J SILVER KING             ,CA,035205ES,#5 ESPALIER                   , 2 ,48.00 ,,7.68 ,46.08 ,,,,
EUO KIA MANHATTAN,GA,035405,#5, 15 ,18.25 ,14.60 ,2.92 , 17.52 ,,     ,,
EURYOPS PECT VIRIDIS,CA,035572,#2, 20 ,13.00 ,10.40 ,2.56 , 12.96 ,,     ,TRP,
FERN-ALSOPHILA AUSTRALIS,CA,035905,#5, 15 ,21.75 ,17.40 ,5.12 , 22.52 ,,     ,TRP,
FERN-ATHYRIUM GHOST,CA,018762,#2, 10 ,14.75 ,11.80 ,2.56 , 14.36 ,,     ,DER,
FERN-MATTEUCCIA STRUTHIOPTERIS,CA,036455,#5, 25 ,21.75 ,17.40 ,5.12 , 22.52 ,,     ,DER,
FERN-POLYSTICHUM SET(ANGULARE),OR,036492,#2, 10 ,14.75 ,11.80 ,2.44 , 14.24 ,,     ,DER,
FICUS CAR BLACK JACK,GA,036725ES,#5 ESPALIER, 3 ,46.50 ,37.20 ,2.92 , 40.12 ,,     ,TRP,
FICUS CAR BROWN TURKEY,GA,036785,#5, 5 ,27.00 ,21.60 ,2.92 , 24.52 ,,     ,TRP,
FICUS CAR BROWN TURKEY        ,CA,036785,#5                            , 5 ,27.00 ,,5.12 ,26.72 ,,,TRP,
FICUS CAR KADOTA,CA,036795,#5, 5 ,27.00 ,21.60 ,5.12 , 26.72 ,,     ,TRP,
FICUS CAR PETERS HONEY,GA,036745ES,#5 ESPALIER, 2 ,46.50 ,37.20 ,2.92 , 40.12 ,,     ,TRP,
GR-CAREX ELATA BOWLES GOLDEN,OR,022591,#1, 15 ,6.25 ,5.00 ,0.98 , 5.98 ,,     ,DER,
GR-FESTUCA GLAUCA ELIJAH BLUE,CA,036671,#1, 25 ,5.75 ,4.60 ,1.02 , 5.62 ,,     ,DER,
GR-MIS SIN DIXIELAND,OR,005455,#5, 15 ,17.50 ,14.00 ,4.89 , 18.89 ,,     ,DER,
GR-MIS SIN GRACILLIMUS,CA,061565,#5, 25 ,17.50 ,14.00 ,5.12 , 19.12 ,,     ,DER,
GR-PENN ALO HAMELN,CA,064262,#2, 100 ,13.50 ,10.80 ,2.56 , 13.36 ,,     ,DER,
GR-PENN SET FIREWORKS PP18504,GA,022201,#1, 25 ,7.00 ,5.60 ,0.58 , 6.18 ,,     ,TRP,
HEM GOLDEN ZEBRA R PP14221,CA,039831,#1, 12 ,7.50 ,6.00 ,1.02 , 7.02 ,,     ,,
HEM GOLDEN ZEBRA R PP14221    ,OR,039831,#1                            , 8 ,0.00 ,,0.98 ,0.98 ,,,,
HYD ABRACADABRA TM ORB PP21635,GA,077445,#5, 10 ,22.00 ,17.60 ,2.92 , 20.52 ,,     ,,
HYD M ENCHANTRESS R PPAF,CA,092755,#5, 10 ,22.50 ,18.00 ,5.12 , 23.12 ,,     ,,
HYD MAC CTYLN TM PARIS PP10906,CA,074562S,SuperTwo, 1 ,16.00 ,12.80 ,3.41 , 16.21 ,,     ,,
HYD MAC CTYLN TM PARIS PP10906,GA,074562S,SuperTwo, 25 ,16.00 ,12.80 ,1.95 , 14.75 ,,     ,,
HYD MAC CTYLN TM RIO,CA,074542S,SuperTwo, 69 ,16.00 ,12.80 ,3.41 , 16.21 ,,     ,,
HYD MAC CTYLN TM RIO,GA,074542S,SuperTwo, 100 ,16.00 ,12.80 ,1.95 , 14.75 ,,     ,,
HYD MAC LD R BIG EASY PPAF,CA,077465,#5, 150 ,22.00 ,17.60 ,5.12 , 22.72 ,,     ,,
HYD MAC LD R MOONLIGHT PP20020,CA,074595,#5, 15 ,22.00 ,17.60 ,5.12 , 22.72 ,,     ,,
HYD MAC MINI PENNY TM PP15744 ,OR,038775,#5                            , 10 ,22.25 ,,4.89 ,22.69 ,,,,
HYD MAC PARAPLU TM PPAF,GA,089932S,SuperTwo, 25 ,16.00 ,12.80 ,1.95 , 14.75 ,,     ,,
HYD MAC PINK ELF R (PIA),CA,042072,#2, 10 ,15.25 ,12.20 ,2.56 , 14.76 ,,     ,,
HYD PAN BOBO R PP22782        ,OR,080952S,SuperTwo                      , 15 ,16.00 ,,3.26 ,16.06 ,,,,
HYD PAN FIRE LIGHT TM PPAF,GA,089945,#5, 15 ,22.00 ,17.60 ,2.92 , 20.52 ,,     ,,
HYD PAN LIMELIGHT PP12874,CA,024375,#5, 15 ,22.00 ,17.60 ,5.12 , 22.72 ,,     ,,
HYD PAN QUICK FIRE R PP16812,CA,074605,#5, 15 ,22.00 ,17.60 ,5.12 , 22.72 ,,     ,,
HYD SER TUFF STUFF TM PPAF,CA,080962S,SuperTwo, 15 ,16.00 ,12.80 ,3.41 , 16.21 ,,     ,,
ILEX AQ ARGENTEOMARGINATA,OR,042605,#5, 25 ,20.50 ,16.40 ,4.89 , 21.29 ,,     ,,
ILEX AQ ARGENTEOMARGINATA,OR,042607,#7, 10 ,57.50 ,46.00 ,12.22 , 58.22 ,,     ,,
ILEX AQ GOLD COAST R,OR,043055,#5, 10 ,20.50 ,16.40 ,4.89 , 21.29 ,,     ,,
JASMINUM SAMBAC GRAND DUKE,CA,046632,#2, 10 ,15.50 ,12.40 ,2.56 , 14.96 ,,     ,TRP,
JUN C BLUE POINT,GA,046875,#5, 15 ,24.00 ,19.20 ,2.92 , 22.12 ,,     ,DER,
JUN C BLUE POINT,GA,046879,#15, 15 ,82.50 ,66.00 ,16.94 , 82.94 ,,     ,DER,
JUN C DAUB'S FROSTED,OR,084655,#5, 10 ,17.50 ,14.00 ,4.89 , 18.89 ,,     ,DER,
JUN C SAN JOSE,CA,048452P3,#2 3BALL POODLE, 2 ,42.50 ,34.00 ,3.84 , 37.84 ,,     ,DER,
JUN C SAN JOSE,CA,048455P3,#5 3BALL POODLE, 2 ,60.00 ,48.00 ,7.68 , 55.68 ,,     ,DER,
JUN C SEA OF GOLD R PP17622   ,OR,048132,#2                            , 25 ,13.00 ,,2.44 ,12.84 ,,,DER,
JUN C SPARTAN                 ,OR,047307,#7                            , 20 ,0.00 ,,12.22 ,12.22 ,,,DER,
JUN C SPARTAN                 ,OR,04730M,#10 Squat                     , 20 ,59.00 ,,17.60 ,64.80 ,,,DER,
JUN C TORULOSA                ,CA,048707OP,#7 ORIENTAL POMPON            , 2 ,95.00 ,,19.19 ,95.19 ,,,DER,
JUN H ICEE BLUE R P9639,OR,049902,#2, 50 ,12.50 ,10.00 ,2.44 , 12.44 ,,     ,DER,
JUN PRO NANA,CA,050905ST,#5 STAKED, 2 ,26.50 ,21.20 ,5.12 , 26.32 ,,     ,DER,
JUN SC MEDORA                 ,CA,052705SP,#5 SPIRAL                     , 6 ,65.00 ,,7.68 ,59.68 ,,,DER,
JUN V BLUE ARROW,CA,053659,#15, 10 ,82.50 ,66.00 ,25.59 , 91.59 ,,     ,DER,
LAG DYNAMITE R P10296,GA,008869BH,#15 BUSH, 6 ,75.00 ,60.00 ,16.94 , 76.94 ,,     ,DER,
LAG MUSKOGEE,GA,008899,#15 CLUMP, 6 ,75.00 ,60.00 ,16.94 , 76.94 ,,     ,DER,
LAG TUSCARORA,GA,009039,#15 CLUMP, 6 ,75.00 ,60.00 ,16.94 , 76.94 ,,     ,DER,
LANTANA CHAPEL HILL YLW P19548,CA,056632ST,#2 STAKED                     , 5 ,17.25 ,,2.56 ,16.36 ,,,TRP,
LIRIOPE EMRLD GODDESS R P15471,GA,036541,#1, 150 ,6.00 ,4.80 ,0.58 , 5.38 ,,     ,DER,
LORO C PIPA'S RED,CA,040202,#2, 10 ,14.00 ,11.20 ,2.56 , 13.76 ,,     ,DER,
MAHONIA BEALEI,GA,060905,#5, 10 ,20.25 ,16.20 ,2.92 , 19.12 ,,     ,DER,
MAN SUN PAR R GARDEN CRIMSON,GA,09238UT,LittleOne, 160 ,4.00 ,3.20 ,0.44 , 3.64 ,,     ,,
MUSA SIAM RUBY,GA,072522,#2, 15 ,19.50 ,15.60 ,1.46 , 17.06 ,,     ,TRP,
NAND DOM GULF STREAM,OR,062125,#5, 10 ,21.50 ,17.20 ,4.89 , 22.09 ,,     ,DER,
OPHIOPOGON EBONY KNIGHT TM,GA,063111,#1, 25 ,8.50 ,6.80 ,0.58 , 7.38 ,,     ,DER,
PACHYSANDRA TERM GREEN SHEEN,CA,063351,#1, 25 ,5.00 ,4.00 ,1.02 , 5.02 ,,     ,DER,
PAEONIA ITOH KEIKO TM (PK D D),OR,047085,#5, 5 ,41.00 ,32.80 ,4.89 , 37.69 ,,     ,DER,
PAEONIA ITOH TAKARA TM PP22374,OR,052595,#5                            , 5 ,41.00 ,,4.89 ,37.69 ,,,DER,
PARTH TRI GREEN SHOWERS,CA,002585,#5 STAKED, 12 ,27.00 ,21.60 ,5.12 , 26.72 ,,     ,DER,
PHOTINIA X FRASERI,CA,064857,#7, 5 ,40.00 ,32.00 ,12.79 , 44.79 ,,     ,DER,
PHYSOCARPUS OPU DART'S GOLD,OR,068262,#2, 20 ,13.75 ,11.00 ,2.44 , 13.44 ,,     ,DER,
PHYSOCARPUS OPU DART'S GOLD,OR,068265,#5, 20 ,19.25 ,15.40 ,4.89 , 20.29 ,,     ,DER,
PICEA ABIES PUMILA            ,OR,064585,#5                            , 10 ,21.75 ,,4.89 ,22.29 ,,,,
PICEA GL ALBERTA BLUE P11473,OR,064642LR,#2, 15 ,17.25 ,8.63 ,2.44 , 11.07 ,,     ,DER,
PICEA GL CONICA TINY TOWER R  ,OR,019372,#2                            , 15 ,17.25 ,,2.44 ,16.24 ,,,,
PICEA PUN THE BLUES           ,OR,01939M,#10 Squat                     , 2 ,75.00 ,,17.60 ,77.60 ,,,DER,
POTENTILLA RED ACE,OR,066772,#2, 15 ,12.50 ,10.00 ,2.44 , 12.44 ,,     ,DER,
POTENTILLA SUNSET,OR,066742,#2, 15 ,12.50 ,10.00 ,2.44 , 12.44 ,,     ,DER,
PRUNUS LAUR NANA              ,OR,067075,#5                            , 50 ,21.50 ,,4.89 ,22.09 ,,,DER,
RHOD (H-2) PONTICUM           ,OR,019575,#5                            , 15 ,24.75 ,,4.89 ,24.69 ,,,,
ROSA FLWR CAR R AMBER PPAF,GA,036292L,#2 LANDSCAPE ONLY, 10 ,13.75 ,11.00 ,1.46 , 12.46 ,,     ,,
ROSA FLWR CAR R PNK SUP P16276,GA,036382L,#2 LANDSCAPE ONLY, 10 ,13.75 ,11.00 ,1.46 , 12.46 ,,     ,,
ROSA FLWR CAR R SCARLET P17373,GA,036312L,#2 LANDSCAPE ONLY, 10 ,13.75 ,11.00 ,1.46 , 12.46 ,,     ,,
ROSA FLWR CAR R WHITE P9573,CA,070212L,#2 LANDSCAPE ONLY, 10 ,13.75 ,11.00 ,2.56 , 13.56 ,,     ,,
ROSMARINUS OFF TUSCAN BLUE,CA,070281,#1, 25 ,6.75 ,5.40 ,1.02 , 6.42 ,,     ,TRP,
ROSMARINUS OFF TUSCAN BLUE,CA,070282,#2, 1 ,14.75 ,11.80 ,2.56 , 14.36 ,,     ,TRP,
RUBUS RSPBRY SHRTCKE TM P22141,CA,079382,#2, 10 ,15.50 ,12.40 ,2.56 , 14.96 ,,     ,,
SARCOCOCCA HUMILIS,OR,070502,#2, 20 ,17.75 ,14.20 ,2.44 , 16.64 ,,     ,DER,
SKIMMIA J BERRI MAGIC R,OR,036682,#2, 50 ,19.50 ,15.60 ,2.44 , 18.04 ,,     ,DER,
SPIRAEA X LIMEMOUND R,OR,071232,#2, 50 ,12.25 ,9.80 ,2.44 , 12.24 ,,     ,DER,
SYRINGA X DECLARATION NA62975,OR,028425,#5, 15 ,22.50 ,18.00 ,4.89 , 22.89 ,,     ,DER,
TAXUS EMERALD SPREADR R P10335,OR,072342LR,#2, 15 ,14.50 ,7.25 ,2.44 , 9.69 ,,     ,,
THUJA KORAIENSIS,OR,087055,#5, 20 ,20.50 ,16.40 ,4.89 , 21.29 ,,     ,DER,
THUJA OC LITTLE GIANT         ,OR,072872,#2                            , 15 ,13.50 ,,2.44 ,13.24 ,,,,
THUJA PLICATA SUNSHINE,OR,019455,#5, 20 ,20.50 ,16.40 ,4.89 , 21.29 ,,     ,DER,
VACC BOUNTIFUL BLUE R PP19381,OR,056235LR,#5, 10 ,21.50 ,10.75 ,4.89 , 15.64 ,,     ,DER,
VITIS LAB HIMROD,CA,076305,#5 STAKED, 5 ,22.00 ,17.60 ,5.12 , 22.72 ,,     ,,
WEIGELA FL GHOST TM PP20025,OR,075082S,SuperTwo, 20 ,16.00 ,12.80 ,3.26 , 16.06 ,,     ,DER,
WISTERIA FRU AMETHYST FALLS,OR,076815,#5 STAKED, 6 ,22.00 ,17.60 ,4.89 , 22.49 ,,     ,DER,
,,,,,,,,,,,,
,,,,,,,,,,,,
