Branch,item,Description,category,shipable,open,rep,rep,now,price,code,future
450000,409011,PENST ROCK CANDY TM PRPL PPAF,PRN, 490 ,     ,          ,     ,, 6.00 ,,05/01/16  
550000,084781,PEROVSKIA LACEY BLUE PP20845,PRN, 380 ,     ,          ,     ,, 6.75 ,,04/27/16  
550000,405201,PHLOX P BUBBLEGUM PK TM P21171,PRN, 83 ,     ,          ,     ,, 5.25 ,,04/27/16  
550000,411761,PHLOX PAN COTTON CANDY PP21369,PRN, 507 ,     ,          ,     ,, 5.25 ,,04/27/16  
160000,085861,PHYGELIUS CAPENSIS MAGENTA,PRN,     ,     ,          ,     ,, 6.00 ,,          
550000,055421,RUDBECKIA HIR CHERRY BRANDY,PRN, 129 ,     ,          ,     ,, 5.75 ,,04/27/16  
170000,409171,SALVIA GREGGII RADIO RED,PRN, 307 ,     ,          ,     ,, 5.25 ,,04/01/16  
550000,412691,SALVIA NEM BLUE MARVEL PPAF,PRN, 96 ,     ,          ,     ,, 6.00 ,,03/28/16  
170000,070451,SANTOLINA VIRENS,PRN, 289 ,     ,          ,     ,, 5.25 ,,04/01/16  
160000,076641,SAXIFRAGA FORT BERRY BRIGHT TM,PRN,     ,     ,          ,     ,, 7.25 ,,          
450000,070941,SEDUM BRONZE CARPET,PRN, 915 ,     ,          ,     ,, 5.50 ,,05/04/16  
550000,065021,SEDUM DASYPHYLLUM MAJOR,PRN, 332 ,     ,          ,     ,, 5.50 ,,04/15/16  
160000,034281,SEDUM SPATH CAPE BLANCO,PRN, 452 ,     ,          ,     ,, 5.50 ,,04/01/16  
450000,412721,SEDUM SSPKLR R FIRE CRACKR PAF,PRN, 9 ,     ,          ,     ,, 5.75 ,,05/01/16  
450000,070742,SEDUM X AUTUMN JOY,PRN," 1,098 ",     ,          ,     ,, 11.25 ,,06/01/16  
550000,011011,SISYRINCHIUM ANG BLUE NOTE TM,PRN, 52 ,     ,          ,     ,,,,03/28/16  
550000,011891,SISYRINCHIUM ANG LUCERNE,PRN, 426 , 708 ,04/15/16  ,     ,,,,01/15/16  
550000,073141,TULBAGHIA VIO TRICOLOR,PRN, 705 ,     ,          ,     ,,,,04/27/16  
550000,409271,VERONICA MDY BLUES MAUVE PPAF,PRN, 83 ,     ,          ,     ,,,,04/15/16  
550000,409251,VERONICA MDY BLUES PINK PPAF,PRN, 547 ,     ,          ,     ,,,,04/15/16  
160000,412881,VIOLA MGNFI SCNT TM AMY PPAF,PRN, 101 ,     ,          ,     ,,,,06/01/16  
160000,412891,VIOLA MGNFI SCNT TM BONNY PAF,PRN, 74 ,     ,          ,     ,,,,06/01/16  
160000,412901,VIOLA MGNFI SCNT TM SNY JM PAF,PRN, 52 ,     ,          ,     ,,,,06/01/16  

