Branch,item,Description,category,shipable,open,rep,rep,now,price,code,future
450000,058241,ACHILLEA APRICOT DLGHT PP18738,PRN, 275 ,     ,          ,     ,, 5.25 ,,05/01/16  
550000,407531,ACHILLEA MILL PRETTY BELINDA,PRN, 245 ,     ,          ,     ,, 5.25 ,,04/28/16  
550000,059041,AGASTACHE HEATWAVE PP19662,PRN, 370 ,     ,          ,     ,, 5.25 ,,04/27/16  
170000,412511,AGASTACHE KUDOS CORAL PPAF,PRN, 727 ,     ,          ,     ,, 5.75 ,,04/15/16  
450000,412521,AGASTACHE KUDOS GOLD PPAF,PRN, 764 ,     ,          ,     ,, 5.75 ,,05/01/16  
160000,408331,AGASTACHE LITTLE ADDER PPAF,PRN," 1,112 "," 1,384 ",06/01/16  , 91 ,, 5.75 ,,04/01/16  
450000,400561,ALLIUM HYB MILLENNIUM,PRN, 397 ,     ,          ,     ,, 5.25 ,,04/01/16  
550000,065991,ANEMONE SEPTEMBER CHARM,PRN, 68 ,     ,          ,     ,, 5.25 ,,04/11/16  
550000,039021,ANEMONE X WILD SWAN TM PP23132,PRN, 391 ,     ,          ,     ,, 8.00 ,,04/27/16  
450000,036901,AQUILEGIA CAE ORIGAMI RED & WT,PRN, 977 , 469 ,04/13/16  ,     ,, 5.25 ,,05/04/16  
450000,045931,AQUILEGIA CAE ORIGAMI YELLOW,PRN," 1,138 ",     ,          ,     ,, 5.25 ,,05/04/16  
450000,025761,ARMERIA MAR NIFTY THRIFTY,PRN,     ,     ,          ,     ,, 5.25 ,,          
170000,028282,ASCLEPIAS GAY BUTTERFLIES,PRN, 5 ,     ,          ,     ,, 12.00 ,,03/15/16  
160000,401181,BRUNNERA MAC SILVER HEART PPAF,PRN, 202 ,     ,          ,     ,, 7.25 ,,03/28/16  
170000,017412,CANNA TROPICANNA GLD TM P13809,PRN,     ,     ,          ,     ,, 20.75 ,,          
450000,003961,CENTRANTHUS RUBER COCCINEUS,PRN, 154 , 236 ,05/11/16  , 12 ,, 5.25 ,,05/04/16  
450000,023481,CERATOSTIGMA PLUMBAGINOIDES,PRN, 743 ,     ,          ,     ,, 5.25 ,,04/01/16  
550000,407861,CHRY (LEUCA) X REAL GLORY,PRN, 807 ,     ,          ,     ,, 5.75 ,,04/11/16  
450000,039512,CIMI S BLACK NEGLIGEE (ACTAEA),PRN, 55 , 55 ,05/11/16  ,     ,, 17.25 ,,05/01/16  
450000,078721,CORE BIGBANG TM CSMC EY P22601,PRN, 304 ,     ,          ,     ,, 5.75 ,,04/01/16  
450000,408541,CORE LIL' BANG TM RED ELF,PRN, 91 ,     ,          ,     ,, 5.75 ,,04/01/16  
550000,408531,CORE LIL' BANG TM STARLIGHT,PRN, 155 ,     ,          ,     ,, 5.75 ,,03/28/16  
550000,030491,CUPHEA HYSSOPIFOLIA,PRN," 1,116 ",     ,          ,     ,, 5.25 ,,03/28/16  
450000,097991,DELOS JWL OF DSRT GARNT P23471,PRN, 548 ,     ,          ,     ,, 5.75 ,,04/01/16  
450000,084671,DELOS JWL OF DSRT RUBY P23453,PRN, 482 , 482 ,05/01/16  ,     ,, 5.75 ,,04/01/16  
450000,098591,DELOS JWL OF DSRT TOPAZ P23492,PRN, 158 , 353 ,06/15/16  ,     ,, 5.75 ,,04/01/16  
550000,078741,DELOSPERMA FIRE SPINNER R,PRN, 546 ,     ,          ,     ,, 5.75 ,,04/11/16  
550000,097231,DELOSPERMA FIRE WONDER PPAF,PRN, 298 , 332 ,04/15/16  ,     ,, 5.75 ,,04/11/16  
550000,094501,DIANTHUS RASP SURPRISE PP16029,PRN, 123 ,     ,          ,     ,, 5.25 ,,04/15/16  
550000,004801,DICENTRA BURNINGHEARTS PP20797,PRN, 301 ,     ,          ,     ,, 6.75 ,,04/15/16  
450000,407711,ECHIN VANILLA CUPCAKE,PRN, 305 ,     ,          ,     ,, 7.25 ,,05/01/16  
450000,402651,FRAGARIA X ANA EARLIGLOW,PRN, 777 ,     ,          ,     ,, 4.50 ,,04/13/16  
550000,036441,GAILLARDIA ORNGS&LEMONS P17092,PRN, 2 ,     ,          ,     ,, 6.00 ,,04/27/16  
450000,408811,GAILLARDIA SUNSET CELEBRATION,PRN, 33 ,     ,          ,     ,, 6.00 ,,05/01/16  
550000,408761,GAILLARDIA SUNSET CUTIE PPAF,PRN, 12 ,     ,          ,     ,, 6.00 ,,04/27/16  
450000,408801,GAILLARDIA SUNSET SNAPPY PPAF,PRN, 311 , 311 ,05/01/16  ,     ,, 6.00 ,,05/04/16  
450000,408831,GERANIUM MISS HEIDI PPAF,PRN, 154 ,     ,          ,     ,, 5.75 ,,05/01/16  
450000,067241,HELLE WJEWELS R APRICOT BLUSH,PRN, 640 ,     ,          ,     ,, 9.25 ,,04/01/16  
450000,013471,HELLE WJEWELS R BLUE DIAMOND,PRN, 501 ,     ,          ,     ,, 9.25 ,,04/01/16  
450000,067261,HELLE WJEWELS R CHERRY BLOSSOM,PRN, 248 ,     ,          ,     ,, 9.25 ,,04/01/16  
450000,412921,HELLE WJEWELS R DBL SLATE,PRN, 317 ,     ,          ,     ,, 9.25 ,,04/01/16  
450000,065791,HELLE WJEWELS R GOLDEN SUNRISE,PRN, 546 ,     ,          ,     ,, 9.25 ,,04/01/16  
450000,067231,HELLE WJEWELS R PAINTED,PRN, 407 ,     ,          ,     ,, 9.25 ,,04/01/16  
450000,413241,HELLEBORUS X FLORENCE PICOTEE,PRN, 539 ,     ,          ,     ,, 9.50 ,,04/01/16  
450000,414781,HEM EVERYDAYLILY CREAM PPAF,PRN, 521 ,     ,          ,     ,, 5.25 ,,05/15/16  
450000,414791,HEM EVERYDAYLILY PINK WING PAF,PRN, 784 ,     ,          ,     ,, 5.25 ,,05/15/16  
550000,403231,HEUCHERA BERRY SMOOTHIE P21871,PRN, 6 ,     ,          ,     ,, 8.25 ,,03/28/16  
450000,403241,HEUCHERA CHERRY COLA P22967,PRN, 94 , 94 ,04/01/16  ,     ,, 8.25 ,,05/11/16  
550000,047531,HEUCHERA GEORGIA PEACH PP19375,PRN," 1,407 ",     ,          ,     ,, 8.25 ,,03/28/16  
170000,412671,HEUCHERA GRAPE SODA PPAF,PRN, 45 ,     ,          ,     ,, 8.25 ,,04/01/16  
550000,045721,HEUCHERA MIDNIGHT ROSE PP18551,PRN, 306 ,     ,          ,     ,, 8.25 ,,04/27/16  
550000,076241,HEUCHERELLA REDSTN FLLS P22394,PRN, 512 ,     ,          ,     ,, 8.25 ,,04/27/16  
550000,033531,HEUCHERELLA STOPLIGHT PP16835,PRN, 192 , 756 ,04/15/16  ,     ,, 8.25 ,,03/28/16  
450000,068241,HOSTA EMPRESS WU PP20774,PRN, 541 ,     ,          ,     ,, 7.25 ,,05/15/16  
450000,041471,HOSTA EOLA SAPPHIRE,PRN, 795 ,     ,          ,     ,, 6.00 ,,04/13/16  
550000,028391,HOSTA OLIVE BAILEY LANGDON,PRN, 405 , 405 ,05/15/16  ,     ,, 7.25 ,,01/15/16  
550000,016301,HOSTA TOKUDAMA FLAVOCIRCINALIS,PRN, 508 ,     ,          ,     ,, 7.25 ,,01/15/16  
550000,041851,HOSTA WIDE BRIM,PRN,     ,     ,          ,     ,, 6.00 ,,          
170000,086691,LAVAN PEN WITH LOVE TM PP22709,PRN, 207 ,     ,          ,     ,, 7.25 ,,04/15/16  
170000,057311,LAVANDULA ANG MUNSTEAD,PRN," 1,220 "," 1,220 ",05/01/16  ,     ,, 5.75 ,,04/15/16  
170000,028481,LAVANDULA THUMBELINA LE P15231,PRN," 2,409 "," 2,409 ",05/01/16  ,     ,, 5.75 ,,04/15/16  
170000,028131,LAVANDULA X INT PROVENCE,PRN, 763 , 763 ,05/01/16  ,     ,, 5.75 ,,04/15/16  
160000,058941,LITHODORA GRACE WARD,PRN," 4,647 ",     ,          ,     ,, 5.25 ,,03/01/16  
450000,404851,NEPETA JNR WALKER TM PP23074,PRN, 6 ,     ,          ,     ,, 5.25 ,,04/01/16  
450000,046132,PAEONIA X JAN VAN LEEUWEN (WT),PRN, 97 ,     ,          ,     ,, 20.75 ,,03/01/16  
450000,063742,PAEONIA X KANSAS (RED),PRN, 676 , 929 ,03/15/16  ,     ,, 20.75 ,,03/01/16  
