Loc,Item,Plant Name,Botanical Name,Common Name,Chosen Items,Royalty Code,UPC#,
OR,001531,ASTER WOOD'S PINK,Aster novi-belgii 'Wood's Pink'                             ,Woods Pink New York Aster                                   ,,,014949008911,
OR,001591,ASTILBE BRIDAL VEIL,Astilbe x arendsii 'Bridal Veil'                            ,Bridal Veil®  Astilbe,,,014949000274,
CT,00159UT,ASTILBE BRIDAL VEIL,Astilbe x arendsii 'Bridal Veil'                            ,Bridal Veil®  Astilbe,,,014949356449,
OR,003521,ASTILBE CHINENSIS PUMILA,Astilbe chinensis 'Pumila'                                  ,Chinese Astilbe                                             ,,,014949035214,
OR,003621,ASTILBE CHINENSIS VISIONS,Astilbe chinensis 'Visions'                                 ,Visions Astilbe                                             ,,,014949036211,
GA,003621,ASTILBE CHINENSIS VISIONS,Astilbe chinensis 'Visions'                                 ,Visions Astilbe                                             ,,,014949036211,
CT,00362UT,ASTILBE CHINENSIS VISIONS,Astilbe chinensis 'Visions'                                 ,Visions Astilbe                                             ,,,014949384732,
OR,027501,ASTILBE COLOR FLASH R PP17343,Astilbe x arendsii 'Beauty of Ernst' P.P.# 17343            ,Color Flash®  Astilbe,,OLD,014949061862,
GA,027501,ASTILBE COLOR FLASH R PP17343,Astilbe x arendsii 'Beauty of Ernst' P.P.# 17343            ,Color Flash®  Astilbe,,OLD,014949061862,
GA,003511,ASTILBE DEUTSCHLAND,Astilbe x arendsii 'Deutschland'                            ,Deutschland Astilbe                                         ,,,014949035115,
OR,003501,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,,,014949035016,
CT,003501,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,,,014949035016,
CT,003502,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,,,014949035023,
CT,00350UT,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,,,014949010860,
GA,001621,ASTILBE GRANAT,Astilbe x arendsii 'Granat'                                 ,Granat Astilbe                                              ,,,014949009703,
OR,001631,ASTILBE HENNIE GRAAFLAND,Astilbe simplicifolia 'Hennie Graafland'                    ,Hennie Graafland Star Astilbe                               ,,,014949000281,
GA,001631,ASTILBE HENNIE GRAAFLAND,Astilbe simplicifolia 'Hennie Graafland'                    ,Hennie Graafland Star Astilbe                               ,,,014949000281,
OR,001634PTC,ASTILBE HENNIE GRAAFLAND,Astilbe simplicifolia 'Hennie Graafland'                    ,Hennie Graafland Star Astilbe                               ,,,014949244449,
GA,001641,ASTILBE JAPONICA EUROPA,Astilbe japonica 'Europa'                                   ,Europa Japanese Astilbe                                     ,,,014949009819,
OR,034331,ASTILBE MAGGIE DALEY,Astilbe chinensis 'Maggie Daley'                            ,Maggie Daley Astilbe                                        ,,,014949071731,
GA,001671,ASTILBE MONTGOMERY,Astilbe japonica 'Montgomery'                               ,Montgomery Astilbe                                          ,,,014949053102,
OR,001681,ASTILBE RED SENTINEL,Astilbe x arendsii 'Red Sentinel'                           ,Red Sentinel Astilbe                                        ,,,014949010174,
OR,003541,ASTILBE RHEINLAND,Astilbe x arendsii 'Rheinland'                              ,Rheinland Astilbe                                           ,,,014949035412,
OR,00354UT,ASTILBE RHEINLAND,Astilbe x arendsii 'Rheinland'                              ,Rheinland Astilbe                                           ,,,014949010891,
CT,00353UT,ASTILBE SPRITE,Astilbe simplicifolia 'Sprite'                              ,Sprite Dwarf Astilbe                                        ,,,014949001196,
GA,00353UT,ASTILBE SPRITE,Astilbe simplicifolia 'Sprite'                              ,Sprite Dwarf Astilbe                                        ,,,014949001196,
CT,059151,ASTILBE VISION IN PINK PP11860,Astilbe chinensis 'Visions In Pink' P.P.# 11860             ,Visions in Pink Astilbe                                     ,,,014949315026,
GA,059151,ASTILBE VISION IN PINK PP11860,Astilbe chinensis 'Visions In Pink' P.P.# 11860             ,Visions in Pink Astilbe                                     ,,,014949315026,
CT,059152,ASTILBE VISION IN PINK PP11860,Astilbe chinensis 'Visions In Pink' P.P.# 11860             ,Visions in Pink Astilbe                                     ,,,014949315026,
CT,016341,ASTILBE VISION IN RED PP11965,Astilbe chinensis 'Vision In Red' P.P.# 11965               ,Vision In Red Astilbe                                       ,,,014949004692,
GA,016341,ASTILBE VISION IN RED PP11965,Astilbe chinensis 'Vision In Red' P.P.# 11965               ,Vision In Red Astilbe                                       ,,,014949004692,
CT,016342,ASTILBE VISION IN RED PP11965,Astilbe chinensis 'Vision In Red' P.P.# 11965               ,Vision In Red Astilbe                                       ,,,014949400685,
CT,017601,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,,,014949378427,
GA,017601,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,,,014949378427,
CT,017602,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,,,014949378427,
OR,037391,ASTILBE WHT SENSATION PP18462,Astilbe simplicifolia 'White Sensation' P.P.# 18462         ,White Sensation Astilbe                                     ,,,014949217139,
OR,037394PTC,ASTILBE WHT SENSATION PP18462,Astilbe simplicifolia 'White Sensation' P.P.# 18462         ,White Sensation Astilbe                                     ,,,014949291573,
CT,400811,ASTILBE YOUNIQUE CRM TM P20324,                                                            ,                                                            ,,,014949388594,
CT,400821,ASTILBE YOUNIQUE SLP TM P20656,                                                            ,                                                            ,,,014949388600,
OR,023191,ASTRANTIA ABBEY ROAD PP14961,Astrantia major 'Abbey Road' P.P.# 14961                    ,Abbey Road Masterwort                                       ,,REZ,014949043103,
OR,003551,AUBRIETA ROKEY'S PURPLE,Aubrieta x cultorum 'Rokey's Purple'                        ,Rokey's Purple Aubrieta                                     ,,,014949035511,
CA,003561,AUCUBA MR GOLDSTRIKE,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,,,014949035610,
OR,003562,AUCUBA MR GOLDSTRIKE,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,,,014949035627,
GA,003562,AUCUBA MR GOLDSTRIKE,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,,,014949035627,
CA,003651,AUCUBA SERRATIFOLIA,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,,,014949036518,
GA,003651,AUCUBA SERRATIFOLIA,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,,,014949036518,
CA,003655,AUCUBA SERRATIFOLIA,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,,,014949036556,
GA,003655,AUCUBA SERRATIFOLIA,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,,,014949036556,
CA,078761S,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,,PW,014949359747,
GA,078761S,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,,PW,014949359747,
GA,078762S,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,,PW,014949359730,
CA,078751S,AZ BLM-A-THON TM LVNDR PP21476,"Rhododendron x 'RLH14P19' P.P.# 21,476                      ",Bloom-A-Thon®  Lavender Reblooming Azalea,,PW,014949359716,
GA,078771S,AZ BLM-A-THON TM RED PP21562,"Rhododendron x 'RLH1-1P2' P.P. #21,562                      ",Bloom-A-Thon®  Red Reblooming Azalea,,PW,014949359693,
GA,078772S,AZ BLM-A-THON TM RED PP21562,"Rhododendron x 'RLH1-1P2' P.P. #21,562                      ",Bloom-A-Thon®  Red Reblooming Azalea,,PW,014949359709,
GA,078782S,AZ BLM-A-THON TM WHITE PP21512,"Rhododendron x 'RLH1-3P3' P.P.#21,512                       ",Bloom-A-Thon®  White Reblooming Azalea,,PW,014949359686,
CA,004401,AZALEA B ALASKA,Azalea indica 'Alaska' (Rutherfordiana hybrid)              ,Alaska Azalea                                               ,,,014949044018,
CA,004752PT,AZALEA B HAPPY DAYS,Azalea indica 'Happy Days'                                  ,Happy Days Azalea                                           ,,,014949047620,
CA,004755,AZALEA B HAPPY DAYS,Azalea indica 'Happy Days'                                  ,Happy Days Azalea                                           ,,,014949047552,
CA,005252PT,AZALEA B ROSE GLOW,Azalea indica 'Rose Glow'                                   ,Rose Glow Azalea                                            ,,,014949052624,
CT,400923,AZALEA BOLLYWOOD R PPAF,                                                            ,                                                            ,,,014949388617,
OR,007072,AZALEA EX CANNON'S DOUBLE,Azalea x 'Cannon's Double' (Exbury hybrid)                  ,Cannon's Double Azalea                                      ,,,014949070727,
