003651,,,,1,CA,10,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,EVS,E Shrub,06,    ,, $8.84 , $8.41 ,,014949036518,255,565,565,0,0,0,0,0,, $7.75 , $1.09 
003655,,,,5,CA,5,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,EVS,E Shrub,06,    , $28.73 , $28.96 ,,,014949036556,0,1263,476,0,787,0,0,0,, $23.50 , $5.46 
049772,,,,2,OR,5,Azara microphylla                                           ,Box-leaf Azara                                              ,EVS,E Shrub,07,2010, $17.62 ,,,,014949375273,305,0,0,          ,0,          ,0,          ,, $15.00 , $2.62 
049775,,,,5,OR,5,Azara microphylla                                           ,Box-leaf Azara                                              ,EVS,E Shrub,07,2010, $27.73 ,,,,014949288542,547,690,690,06/15/15  ,0,          ,0,          ,, $22.50 , $5.23 
049782,,,,2,OR,5,Azara microphylla 'Variegata'                               ,Variegated Box-Leaf Azara                                   ,EVS,E Shrub,08,2012, $17.62 ,,,,014949282526,8,8,8,05/01/15  ,0,          ,0,          ,, $15.00 , $2.62 
049785,,,,5,OR,5,Azara microphylla 'Variegata'                               ,Variegated Box-Leaf Azara                                   ,EVS,E Shrub,08,2012, $27.73 ,,,,014949282533,126,126,126,06/01/15  ,0,          ,0,          ,, $22.50 , $5.23 
049795,,,,5,OR,5,Azara serrata Andean Gold™ ,Andean Gold™  Saw-toothed Azara,EVS,E Shrub,07,2010, $27.73 ,,,,014949342862,38,0,0,          ,0,          ,0,          ,, $22.50 , $5.23 
078461,,,,1,OR,10,Baccharis magellanica                                       ,Christmas Bush                                              ,EVS,E Shrub,07,2013, $8.30 ,,,,014949368299,685,1130,1130,06/01/15  ,0,          ,0,          ,, $7.25 , $1.05 
013891,,,,1,OR,10,Buxus 'Green Velvet'                                        ,Green Velvet Boxwood                                        ,EVS,E Shrub,04,    , $8.55 ,,,,014949138915,0,264,264,09/15/14  ,0,          ,0,          ,, $7.50 , $1.05 
013892,,,,2,OR,5,Buxus 'Green Velvet'                                        ,Green Velvet Boxwood                                        ,EVS,E Shrub,04,    , $18.12 ,, $17.16 ,,014949138922,44,9,9,0,0,0,0,0,, $15.50 , $2.62 
013893,,,,3,OR,5,Buxus 'Green Velvet'                                        ,Green Velvet Boxwood                                        ,EVS,E Shrub,04,    , $26.69 ,,,,014949138939,5,0,0,          ,0,          ,0,          ,, $22.50 , $4.19 
013895,,,,5,OR,5,Buxus 'Green Velvet'                                        ,Green Velvet Boxwood                                        ,EVS,E Shrub,04,    , $30.73 ,,,,014949138953,0,231,231,10/01/14  ,0,          ,0,          ,, $25.50 , $5.23 
013897,,,,7,OR,2,Buxus 'Green Velvet'                                        ,Green Velvet Boxwood                                        ,EVS,E Shrub,04,    , $55.58 ,,,,014949283455,0,2,2,10/01/14  ,0,          ,0,          ,, $42.50 , $13.08 
013702,,,,2,CA,5,Buxus microphylla 'Faulkner'                                ,Faulkner Boxwood                                            ,EVS,E Shrub,05,    ,, $17.73 , $16.66 ,,014949006016,0,60,60,0,0,0,0,0,, $15.00 , $2.73 
