Loc,Order#,PO#,Request Date,Item,Size,Description,Product,Zone,Common Name,New Plant,Catalog Price      ,Price Code,Net Price     ,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,Condition,Current Specs,Plant Status,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
CT,1494979,SPRING 2015 CT                ,06/01/15  ,035341,#1,AMSONIA HUBRICHTII,PRN,05,Arkansas Blue Star                                                                                  ,2012,6.35,,5.59, 10 , 12 , 67.08 ,     ,     ,     ,05/15/15    ,,,PS0,0.55, 6.14 ,     ,, 12.99 ,014949357972 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,039021,#1,ANEMONE X WILD SWAN TM PP23132,PRN,06,Wild Swan™  Hybrid Anemone                                                                          ,2013,7.5,,6.6, 10 , 12 , 79.20 ,     ,     ,     ,05/01/15    ,,,PS0,0.58, 7.18 ,     ,, 14.99 ,014949226315 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,407602,#2,ARALIA CORDATA SUN KING,PRN,04,Sun King Spikenard                                                                                  ,    ,10.5,,9.24, 5 , 10 , 92.40 ,     ,     ,     ,06/01/15    ,,,PS0,1.05, 10.29 ,     ,, 19.99 ,014949414828 
OR,1494529,SP 2015 OR                    ,06/15/15  ,003041,#1,ARMERIA MAR BLOODSTONE,PRN,03,Bloodstone Thrift                                                                                   ,    ,4.9,,4.31, 10 , 12 , 51.72 ,     ,     ,     ,Now         ,-,CAN FULL,PS0,0.98, 5.29 ,     ,, 10.99 ,014949030417 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,028281,#1,ASCLEPIAS GAY BUTTERFLIES,PRN,04,GAY BUTTERFLIES MILKWEED                                                                            ,    ,4.9,,4.31, 10 , 24 , 103.44 ,     ,     ,     ,05/15/15    ,,,PS0,0.55, 4.86 ,     ,, 11.99 ,014949062968 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,003151,#1,ASPARAGUS MYERS,FRN,09,Foxtail Fern                                                                                        ,    ,7.75,,6.82, 10 , 12 , 81.84 ,     ,     ,     ,Now         ,,"8""H",,0.58, 7.40 ,     ,, 14.99 ,014949031513 
GA,1494978,SPRING 2015 GA                ,04/01/15  ,003155,#5,ASPARAGUS MYERS,FRN,09,Foxtail Fern                                                                                        ,    ,25,,22, 5 , 6 , 132.00 ,     ,     ,     ,Now         ,,"15""H",,2.92, 24.92 ,     ,, 49.99 ,014949031551 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,003621,#1,ASTILBE CHINENSIS VISIONS,PRN,04,Visions Astilbe                                                                                     ,    ,4.9,,4.31, 10 , 12 , 51.72 ,     ,     ,     ,Now         ,DORMANT,3-5 EYES,,0.58, 4.89 ,     ,, 9.99 ,014949036211 
OR,1494529,SP 2015 OR                    ,06/15/15  ,025212,#2,BAM-FARGESIA RUFA (CLUMP),GRS,05,Sunset Glow Bamboo                                                                                  ,    ,24.5,,21.56, 5 , 10 , 215.60 ,     ,     ,     ,Now         ,-,"20""H",,2.44, 24.00 ,     ,, 44.99 ,014949191972 
OR,1494529,SP 2015 OR                    ,06/15/15  ,025215,#5,BAM-FARGESIA RUFA (CLUMP),GRS,05,Sunset Glow Bamboo                                                                                  ,    ,46.5,,40.92, 5 , 10 , 409.20 ,     ,     ,     ,04/01/15    ,,,,4.89, 45.81 ,     ,, 79.99 ,014949050187 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,011285,#5,BAM-PHYLLO BISSETII (RUN),GRS,05,Bissett Bamboo                                                                                      ,    ,46.5,,40.92, 5 , 40 ," 1,636.80 ",     ,     ,     ,Now         ,WINTER COLOR,"36""H",,5.12, 46.04 ,     ,, 89.99 ,014949112854 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,035381,#1,BRUNNERA MAC JACK FROST P13859,PRN,03,Jack Frost Siberian Bugloss                                                                         ,    ,6.95,,6.12, 10 , 24 , 146.88 ,     ,     ,     ,05/01/15    ,,,PS0,0.55, 6.67 ,     ,, 13.99 ,014949276006 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,401181,#1,BRUNNERA MAC SILVER HEART PPAF,PRN,03,Silver Heart Brunnera                                                                               ,    ,6.95,,6.12, 10 , 44 , 269.28 ,     ,     ,     ,05/15/15    ,,,PS0,0.19, 6.31 ,     ,, 13.99 ,014949425169 
