Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CA,000171ST,#1 STAKED,ABUTILON ALBUS,Abutilon x hybridum 'Albus'                                 ,White Flowering Maple                                       ,Evergreen trop flower'g shrub,EVS,09,, 8.00 ,-,"24""H", 17 , 10 ,     , 72 ,03/01/15  , 477 ,04/01/15  ,     ,          
CA,000175ST,#5 STAKED,ABUTILON ALBUS,Abutilon x hybridum 'Albus'                                 ,White Flowering Maple                                       ,Evergreen trop flower'g shrub,EVS,09,, 26.50 ,-,"36""H",     , 5 ,     , 142 ,04/01/15  ,     ,          ,     ,          
CA,000151ST,#1 STAKED,ABUTILON LUTEUS,Abutilon x hybridum 'Luteus'                                ,Yellow Flowering Maple                                      ,Evergreen trop flower'g shrub,EVS,09,, 8.00 ,-,"24""H", 25 , 10 ,     , 176 ,04/01/15  ,     ,          ,     ,          
CA,000155ST,#5 STAKED,ABUTILON LUTEUS,Abutilon x hybridum 'Luteus'                                ,Yellow Flowering Maple                                      ,Evergreen trop flower'g shrub,EVS,09,, 26.50 ,-,3/4ST,     , 5 ,     , 80 ,03/01/15  , 80 ,04/01/15  ,     ,          
CA,000131ST,#1 STAKED,ABUTILON ROSEUS,Abutilon x hybridum 'Roseus'                                ,Pink Flowering Maple                                        ,Evergreen trop flower'g shrub,EVS,09,, 8.00 ,-,"24""H", 20 , 10 ,     , 202 ,03/01/15  , 328 ,04/01/15  ,     ,          
CA,000135PT,#5 PATIO TREE,ABUTILON ROSEUS,Abutilon x hybridum 'Roseus'                                ,Pink Flowering Maple                                        ,Evergreen trop flower'g shrub,EVS,09,, 40.00 ,,"18""S",     , 2 ,     , 10 ,04/01/15  ,     ,          ,     ,          
CA,000135ST,#5 STAKED,ABUTILON ROSEUS,Abutilon x hybridum 'Roseus'                                ,Pink Flowering Maple                                        ,Evergreen trop flower'g shrub,EVS,09,, 26.50 ,-,"36""H", 5 , 5 ,     , 87 ,04/01/15  ,     ,          ,     ,          
CA,000201ST,#1 STAKED,ABUTILON SUPER RED R,Abutilon x 'Moned'                                          ,Super Red®  Flowering Maple,Evergreen trop flower'g shrub,EVS,09,, 8.00 ,,"8""H - 6""S", 24 , 10 ,     , 66 ,03/01/15  , 168 ,04/01/15  ,     ,          
CA,000205PT,#5 PATIO TREE,ABUTILON SUPER RED R,Abutilon x 'Moned'                                          ,Super Red®  Flowering Maple,Evergreen trop flower'g shrub,EVS,09,, 40.00 ,,"18""S",     , 2 ,     , 55 ,03/01/15  , 55 ,04/01/15  ,     ,          
CA,000205ST,#5 STAKED,ABUTILON SUPER RED R,Abutilon x 'Moned'                                          ,Super Red®  Flowering Maple,Evergreen trop flower'g shrub,EVS,09,, 26.50 ,,, 25 , 5 ,     , 25 ,04/01/15  ,     ,          ,     ,          
