Item,Size,Description,"Orig
Start Date","Ready/
Effective 
Date","Expire 
Date",WO#,Lot#,"Stock 
Location","Assembly 
Seq Priorty","WO 
Status",WIP Qty,F/G Qty,"Unit 
Cost","Extended
Cost",Memo Lot1,Memo Lot2,Memo Lot3,Item Comment,Item Specs,"Plant Status
Best by Date","Comment 
Expiration 
Date","Intro 
Year","BMP 
Code","Crop 
Code","EQU 
Factor","EQUs
On Hand",Price,Value
078721,1,CORE BIGBANG TM CSMC EY P22601,09/16/14,04/15/15,11/30/15,159827,159827,4Q 16 E,,97,0,463,1.7595 ,814.65 ,EMERGING,,,EMERGING,,PS0,4/16/2015,2012,A0,,1.00,463.00 ,5.50 ,"2,546.50 "
088891,1,CORE BIGBANG TM MRCRY RSNG PAF,09/16/14,04/28/15,11/30/15,159828,159828,4Q 16 E,,97,0,485,1.8560 ,900.16 ,EMERGING,,,EMERGING,,PS0,4/16/2015,2013,A0,,1.00,485.00 ,5.50 ,"2,667.50 "
068081,1,CORE BIGBANG TM RDSHFT PP20412,09/16/14,03/18/15,11/30/15,159829,159829,4Q 16 E,,97,0,502,1.6897 ,848.23 ,,,,-,3/4 Can Full,PS0,4/6/2016,2010,A0,,1.00,502.00 ,5.50 ,"2,761.00 "
018401,1,CORE CRUZIN' TM BROAD STRT PAF,06/16/14,03/18/15,11/30/15,159830,159830,4Q 16 E,,97,0,488,1.7668 ,862.20 ,,,,-,3/4 Can Full,PS0,4/6/2016,2014,A0,,1.00,488.00 ,5.50 ,"2,684.00 "
018421,1,CORE CRUZIN' TM ELCTRC AVE PAF,09/16/14,05/01/15,11/30/15,159836,159836,4Q 16 E,,97,0,491,1.6880 ,828.81 ,EMERGING,,,EMERGING,,PS0,4/16/2015,2014,A0,,1.00,491.00 ,5.50 ,"2,700.50 "
018411,1,CORE CRUZIN' TM MAIN STRT PAF,09/16/14,05/01/15,11/30/15,159831,159831,4Q 16 E,,97,0,127,1.7587 ,223.35 ,EMERGING,,,EMERGING,,PS0,4/16/2015,2014,A0,,1.00,127.00 ,5.50 ,698.50 
027911,1,CORE GRA FLYING SAUCERS P10299,03/27/14,04/15/15,11/30/15,147523,147523,4MH12,,97,0,412,1.5081 ,621.34 ,-,MN green,,EMERGING,,PS0,4/17/2015,2001,A0,,1.00,412.00 ,4.90 ,"2,018.80 "
408551,1,CORE LIL' BANG TM DAYBREAK PAF,09/16/14,05/01/15,11/30/15,159832,159832,4Q 16 E,,97,0,341,1.7667 ,602.44 ,EMERGING,,,EMERGING,,PS0,4/16/2015,2015,A0,,1.00,341.00 ,5.50 ,"1,875.50 "
408541,1,CORE LIL' BANG TM RED ELF,09/16/14,05/01/15,11/30/15,159833,159833,4Q 16 E,,97,0,433,1.8186 ,787.45 ,EMERGING,,,EMERGING,,PS0,4/16/2015,2015,A0,,1.00,433.00 ,5.50 ,"2,381.50 "
408531,1,CORE LIL' BANG TM STARLIGHT,09/16/14,05/01/15,11/30/15,159834,159834,4Q 16 E,,97,0,414,1.8687 ,773.64 ,EMERGING,,,EMERGING,,PS0,4/16/2015,2015,A0,,1.00,414.00 ,5.50 ,"2,277.00 "
401911S,1S,COREOPSIS DAZZLESTAR PPAF,04/15/15,04/15/15,10/15/15,0,C3-21901321-14,4MH17,,,0,110,2.9800 ,327.80 ,,,,EMERGING,,PS0,4/17/2015,,A0,,1.40,154.00 ,7.50 ,825.00 
048082,2,COREOPSIS JETHRO TULL PP18789,03/11/14,04/15/15,07/01/15,145089,145089,4J 6 W,,97,0,125,1.6838 ,210.48 ,,,,,,,,2010,A0,,2.30,287.50 ,10.50 ,"1,312.50 "
401921S,1S,COREOPSIS STAR CLUSTER,04/15/15,04/15/15,10/15/15,0,C3-21907191-14,4MH20,,,0,156,2.9800 ,464.88 ,,MN green,,DORMANT,,PS0,7/25/2015,,A0,,1.40,218.40 ,8.50 ,"1,326.00 "
058261,1,COREOPSIS VER ROUTE 66 PP20609,09/17/14,05/01/15,11/30/15,160108,160108,4Q 16 E,,97,0,288,1.5315 ,441.07 ,EMERGING,,,EMERGING,,PS0,4/16/2015,2012,A0,,1.00,288.00 ,5.50 ,"1,584.00 "
027961,1,COREOPSIS VERT MOONBEAM,03/17/15,04/28/15,11/30/15,159939,159939,4NQ4,,45,999,0,1.2780 ,"1,276.76 ",,MN green,,,,,,,A0,,1.00,999.00 ,4.90 ,"4,895.10 "
027972,2,COREOPSIS VERT ZAGREB,04/03/14,05/14/15,11/30/15,148605,148605,4J 8 E,,97,0,414,2.3110 ,956.75 ,,,,,,,,,A0,,2.30,952.20 ,10.50 ,"4,347.00 "
