Item,,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
08399,2,,,2,CA,5,Hibiscus syriacus 'Blue Bird' (Grafted)                     ,Blue Bird Rose Of Sharon                                    ,DCS,D Shrubs,05,    ,, $20.73 ,,,014949006382,0,11,11,04/15/15  ,0,          ,0,          ,, $17.75 , $1.54 
07450,2S,,,SuperTwo,CA,5,Hibiscus syriacus Blue Chiffon™,Blue Chiffon™  Rose of Sharon,DCS,D Shrubs,05,2011,, $20.64 ,,,014949335956,0,16,16,04/15/15  ,0,          ,0,          ,, $10.50 , $1.82 
01695,3S,,,Super 3,CT,5,Hibiscus syriacus Blue Satin®      ,Blue Satin®  Rose of Sharon,DCS,D Shrubs,05,    ,,,, $18.79 ,014949414149,0,5,5,09/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
01620,3S,,,Super 3,CT,5,Hibiscus syriacus Blush Satin®,Blush Satin®  Rose of Sharon,DCS,D Shrubs,05,2011,,,, $19.29 ,014949414262,11,0,0,          ,0,          ,0,          ,, $17.75 , $1.54 
04166,7PT,,, 7 PATIO TREE,CT,2,Hibiscus syriacus 'Blushing Bride'                          ,Blushing Bride Rose Of Sharon                               ,DCS,D Shrubs,05,    ,,,, $60.06 ,014949403938,207,208,208,09/01/14  ,0,          ,0,          ,, $10.50 , $1.82 
07484,1S,,,SuperOne TM,CA,10,Hibiscus syriacus 'China Chiffon™ ,China Chiffon™  Rose of Sharon,DCS,D Shrubs,05,2011,, $12.32 ,,,014949337295,0,164,164,04/01/15  ,0,          ,0,          ,, $17.00 , $3.64 
40345,3,,,3,CT,5,Hibiscus syriacus Fiji,Fiji Rose of Sharon                                         ,DCS,D Shrubs,05,    ,,,, $19.29 ,014949391976,709,0,0,          ,0,          ,0,          ,, $17.75 , $1.54 
01696,1S,,,SuperOne TM,CA,10,Hibiscus syriacus Lavender Chiffon™   ,Lavender Chiffon™  Rose of Sharon,DCS,D Shrubs,05,    ,, $12.32 ,,,014949337172,0,621,621,04/01/15  ,0,          ,0,          ,, $17.00 , $3.64 
07449,3S,,,Super 3,CT,5,Hibiscus syriacus Lil' Kim™,Lil' Kim™  Rose of Sharon,DCS,D Shrubs,05,2011,,,, $19.29 ,014949411612,895,1790,895,09/01/14  ,895,01/01/15  ,0,          ,, $7.50 , $1.05 
00230,1,,,1,CA,10,Hibiscus syriacus 'Minerva'                                 ,Minerva Rose Of Sharon                                      ,DCS,D Shrubs,05,    ,, $7.34 ,,,014949023013,0,10,10,04/15/15  ,0,          ,0,          ,, $17.00 , $2.21 
08087,3S,,,Super 3,CT,5,Hibiscus syriacus Pink Chiffon™,Pink Chiffon™  Rose of Sharon,DCS,D Shrubs,05,2013,,,, $19.29 ,014949411636,235,0,0,          ,0,          ,0,          ,, $17.75 , $1.54 
00235,7PT,,, 7 PATIO TREE,CT,2,Hibiscus syriacus 'Red Heart'                               ,Red Heart Rose of Sharon                                    ,DCS,D Shrubs,05,    ,,,, $60.06 ,014949404041,173,173,173,09/01/14  ,0,          ,0,          ,, $17.00 , $2.21 
01697,3S,,,Super 3,CT,5,Hibiscus syriacus Rose Satin®                     ,Rose Satin®  Rose of Sharon,DCS,D Shrubs,05,    ,,,, $19.29 ,014949414163,80,80,80,09/01/14  ,0,          ,0,          ,, $7.50 , $0.66 
07483,3S,,,Super 3,CT,5,Hibiscus syriacus Sugar Tip®,Sugar Tip®  Rose of Sharon,DCS,D Shrubs,05,2011,,,, $19.29 ,014949410592,540,0,0,          ,0,          ,0,          ,, $14.50 , $1.66 
01698,7PT,,, 7 PATIO TREE,CT,2,Hibiscus syriacus Violet Satin®,Violet Satin®  Rose of Sharon,DCS,D Shrubs,05,2011,,,, $60.06 ,014949404102,150,158,158,09/01/14  ,0,          ,0,          ,, $22.50 , $3.05 
02621,7PT,,, 7 PATIO TREE,CT,2,Hibiscus x syriacus 'Lohengrin'                                      ,Lohengrin Rose of Sharon                                    ,DCS,D Shrubs,05,2014,,,, * ,014949414576,228,0,0,          ,0,          ,0,          ,, * , $1.54 
06383,2,,,2,CA,5,Hydrangea angustipetala Golden Crane®,Golden Crane®  Hydrangea,DCS,D Shrubs,06,2013, $19.12 , $19.23 ,,,014949348970,0,153,153,02/01/15  ,0,          ,0,          ,, $8.25 , $1.05 
05645,1,,,1,GA,10,Hydrangea aspera Plum Passion®                                          ,Plum Passion®  Hydrangea,DCS,D Shrubs,07,2013,,, $8.16 ,,014949340530,0,610,610,05/15/15  ,0,          ,0,          ,, $16.00 , $2.62 
07744,1S,,,SuperOne TM,GA,10,Hydrangea mac Abracadabra™,Abracadabra™  Orb Hydrangea,DCS,D Shrubs,05,2012,,, $11.61 ,,014949355862,0,13,13,11/01/14  ,0,          ,0,          ,, $23.00 , $5.23 
07745,5,,,5,GA,5,Hydrangea mac Abracadabra™ Star,Abracadabra™  Star Hydrangea,DCS,D Shrubs,05,2012,,, $27.32 ,,014949355930,0,102,102,11/01/14  ,0,          ,0,          ,, $47.50 , $7.85 
40381,3,,,3,CT,5,Hydrangea mac 'Blue Cassel'                         ,Blue Cassel Hydrangea                                       ,DCS,D Shrubs,05,    ,,,, $22.54 ,014949392706,0,333,333,06/01/15  ,0,          ,0,          ,, $8.25 , $1.05 
04228,5,,,5,CA,5,Hydrangea mac Buttons 'N Bows®,Buttons 'N Bows®  Hydrangea,DCS,D Shrubs,07,    ,, $24.71 ,,,014949422854,15,0,0,          ,0,          ,0,          ,, $23.00 , $5.23 
07456,1S,,,SuperOne TM,CA,10,Hydrangea mac Cityline®  Paris,Cityline®  Paris Bigleaf Hydrangea,DCS,D Shrubs,05,2011, $12.24 , $12.32 ,,,014949336168,11,39,39,12/31/14  ,0,          ,0,          ,, $8.25 , $1.05 
07454,1S,,,SuperOne TM,CA,10,Hydrangea mac Cityline®  Rio,Cityline®  Rio Bigleaf Hydrangea,DCS,D Shrubs,05,2011, $12.24 , $12.32 , $11.61 ,,014949336144,67,67,67,12/31/14  ,0,          ,0,          ,, $23.00 , $5.23 
07457,1S,,,SuperOne TM,CA,10,Hydrangea mac Cityline®  Venice,Cityline®  Venice Bigleaf Hydrangea,DCS,D Shrubs,05,2011,, $12.32 , $11.61 ,,014949336182,23,0,0,          ,0,          ,0,          ,, $23.00 , $5.23 
40382,2S,,,SuperTwo,CT,5,Hydrangea mac Cityline™  Berlin,Cityline™  Berlin Bigleaf Hydrangea,DCS,D Shrubs,05,2014,,,, $18.11 ,014949410431,0,254,254,06/01/15  ,0,          ,0,          ,, $8.25 , $1.05 
40384,3S,,,Super 3,CT,5,Hydrangea mac Cityline™  Vienna,Cityline™  Vienna Bigleaf Hydrangea,DCS,D Shrubs,05,2014,,,, $23.04 ,014949411858,0,10,10,05/01/15  ,0,          ,0,          ,, $23.00 , $5.23 
40386,3,,,3,CT,5,Hydrangea mac 'Double Delights Expression' ,Double Delights™  Expression Hydrangea,DCS,D Shrubs,05,    ,,,, $22.54 ,014949392294,68,757,757,06/01/15  ,0,          ,0,          ,, $8.25 , $1.05 
40367,3,,,3,CT,5,Hydrangea mac Double Delights™  Star Gazer,Double Delights™  Star Gazer Hydrangea,DCS,D Shrubs,05,    ,,,, $22.54 ,014949392331,82,82,82,06/01/15  ,0,          ,0,          ,, $16.00 , $1.54 
02822,3,,,3,CT,5,Hydrangea mac Double Delights™  Wedding Gown,Double Delights™  Wedding Gown Hydrangea,DCS,D Shrubs,05,2014,,,, $22.54 ,014949404492,0,410,410,06/01/15  ,0,          ,0,          ,, $23.00 , $5.23 
40366,2S,,,SuperTwo,CT,5,Hydrangea mac Double Dusty Pink™ ,Double Dusty Pink™  Hydrangea,DCS,D Shrubs,05,    ,,,, $16.61 ,014949392966,4,0,0,          ,0,          ,0,          ,, $24.00 , $5.23 
40368,2S,,,SuperTwo,CT,5,Hydrangea mac Double Hot Pink™ ,Double Hot Pink™  Hydrangea,DCS,D Shrubs,05,    ,,,, $16.61 ,014949392973,1680,0,0,          ,0,          ,0,          ,, $9.50 , $1.74 
40387,2S,,,SuperTwo,CT,5,Hydrangea mac Electric Rouge™ ,Electric Rouge Hydrangea,DCS,D Shrubs,05,    ,,,, $16.61 ,014949392980,6,0,0,          ,0,          ,0,          ,, $17.00 , $3.49 
09275,2,,,2,CA,5,Hydrangea mac Enchantress®              ,Enchantress®  Hydrangea,DCS,D Shrubs,05,2013, $19.62 , $19.73 , $18.66 ,,014949370643,6333,8470,8470,12/31/14  ,0,          ,0,          ,, $16.00 , $1.54 
01731,3,,,3,CT,5,Hydrangea mac Endless Summer®,Endless Summer®  Hydrangea,DCS,D Shrubs,04,    ,,,, $22.54 ,014949057285,3270,21506,21506,05/01/15  ,0,          ,0,          ,, * , $3.05 
40374,3,,,3,CT,5,Hydrangea mac Everlasting™  Revolution,Everlasting™  Revolution Hydrangea,DCS,D Shrubs,05,    ,,,, $22.54 ,014949392485,13,0,0,          ,0,          ,0,          ,, $9.50 , $1.74 
40370,3,,,3,CT,5,Hydrangea mac Forever & Ever®  Blue,Forever & Ever®  Blue Hydrangea,DCS,D Shrubs,05,    ,,,, $22.54 ,014949392508,1,0,0,          ,0,          ,0,          ,, $17.00 , $3.49 
40389,3,,,3,CT,5,Hydrangea mac Guilded Gold,Guilded Gold Hydrangea                                      ,DCS,D Shrubs,04,    ,,,, $22.54 ,014949392997,355,0,0,          ,0,          ,0,          ,, * , $3.05 
07746,5,,,5,CA,5,Hydrangea mac Let's Dance®  Big Easy,Let's Dance®  Big Easy Hydrangea,DCS,D Shrubs,05,2012,, $29.46 , $27.32 ,,014949355978,59,59,59,12/31/14  ,0,          ,0,          ,, $54.00 , $6.06 
07459,5,,,5,CA,5,Hydrangea mac Let's Dance®  Moonlight,Let's Dance®  Moonlight Hydrangea,DCS,D Shrubs,05,2011, $29.23 , $29.46 , $27.32 ,,014949350294,138,138,138,12/31/14  ,0,          ,0,          ,, * , $3.05 
08631,3S,,,Super 3,CT,5,Hydrangea mac Let's Dance®  Rhapsody Blue,Let's Dance®  Rhapsody Blue Hydrangea,DCS,D Shrubs,05,2014,,,, $23.04 ,014949410479,10,278,278,06/01/15  ,0,          ,0,          ,, $30.50 , $3.05 
07458,5,,,5,CA,5,Hydrangea mac Let's Dance®  Starlighht,Let's Dance®  Starlight Bigleaf Hydrangea,DCS,D Shrubs,05,2011, $29.23 , $29.46 , $27.32 ,,014949350287,93,93,93,12/31/14  ,0,          ,0,          ,, $30.50 , $5.23 
01568,2,,,2,GA,5,Hydrangea mac 'Madame Emile Mouillere'              ,Madame Emile Mouillere Hydrangea                            ,DCS,D Shrubs,05,    ,,, $16.16 ,,014949057308,0,5,5,05/15/15  ,0,          ,0,          ,, $59.00 , $7.85 
04192,1,,,1,CA,10,Hydrangea mac 'Mariesii Variegata'                  ,Mariesii Variegated Lacecap Hydrangea                       ,DCS,D Shrubs,05,    ,, $8.09 ,,,014949419212,0,124,124,12/31/14  ,0,          ,0,          ,, $30.50 , $5.23 
04195,1,,,1,CA,10,Hydrangea mac 'Merritt's Beauty'                    ,Merritt's Beauty Hydrangea                                  ,DCS,D Shrubs,07,    ,, $8.09 ,,,014949419519,0,20,10,09/01/14  ,10,02/01/15  ,0,          ,, $6.25 , $1.05 
04201,5,,,5,GA,5,Hydrangea mac Midnight Duchess®,Midnight Duchess®  Hydrangea,DCS,D Shrubs,06,    ,,, $25.32 ,,014949204764,45,0,0,          ,0,          ,0,          ,, $14.00 , $2.62 
03877,5,,,5,CA,5,Hydrangea mac 'Mini Penny',Mini Penny™  Hydrangea,DCS,D Shrubs,05,    , $29.23 , $29.46 , $27.32 ,,014949414675,67,67,67,12/31/14  ,0,          ,0,          ,, $14.50 , $1.54 
04196,1,,,1,CA,10,Hydrangea mac 'Nikko Blue'                          ,Nikko Blue Hydrangea                                        ,DCS,D Shrubs,05,    ,, $8.09 ,,,014949419618,1940,5006,2503,10/01/14  ,2503,02/01/15  ,0,          ,, $20.50 , $5.23 
08993,2S,,,SuperTwo,OR,5,Hydrangea mac Paraplu tm,Paraplu Hydrangea,DCS,D Shrubs,05,2014, $20.49 ,,,,014949372760,0,251,251,09/15/14  ,0,          ,0,          ,, $59.00 , $7.85 
02375,1,,,1,GA,10,Hydrangea mac 'Penny Mac'                           ,Penny Mac Hydrangea                                         ,DCS,D Shrubs,05,    ,,, $7.66 ,,014949113202,0,1878,626,10/01/14  ,626,10/15/14  ,626,05/15/15  ,, $6.25 , $1.05 
04207,2,,,2,CA,5,Hydrangea mac Pink Elf®,Pink Elf®  French Hydrangea,DCS,D Shrubs,05,    ,, $18.73 , $17.66 ,,014949420720,799,907,907,02/01/15  ,0,          ,0,          ,, $14.00 , $2.62 
04197,1,,,1,CA,10,Hydrangea mac Pink 'N Pretty®,Pink 'N Pretty®  Hydrangea,DCS,D Shrubs,05,    ,, $8.09 ,,,014949419717,2,2,2,02/01/15  ,0,          ,0,          ,, $14.50 , $1.54 
04218,5,,,5,GA,5,Hydrangea mac Princess Lace®,Princess Lace®  Hydrangea,DCS,D Shrubs,05,    ,,, $25.32 ,,014949204795,5,0,0,          ,0,          ,0,          ,, $59.00 , $7.85 
04198,1,,,1,CA,10,Hydrangea mac Red 'N Pretty®,Red 'N Pretty®  Hydrangea,DCS,D Shrubs,05,    ,, $8.09 ,,,014949419816,18,18,18,02/01/15  ,0,          ,0,          ,, $4.50 , $0.78 
40392,3,,,3,CT,5,Hydrangea mac 'Red Sensation' ,Red Sensation Hydrangea                                     ,DCS,D Shrubs,05,    ,,,, $22.54 ,014949392652,0,10,10,09/01/14  ,0,          ,0,          ,, $6.25 , $1.05 
40377,2S,,,SuperTwo,CT,5,Hydrangea mac Sweetheart Halos™ ,Sweetheart Halos™  Hydrangea,DCS,D Shrubs,05,    ,,,, $16.61 ,014949392683,3770,0,0,          ,0,          ,0,          ,, $14.50 , $2.62 
40388,5,,,5,CT,5,Hydrangea mac Twist-n-Shout™,Twist-n-Shout™  Endless Summer®  Hydrangea,DCS,D Shrubs,04,    ,,,, $31.55 ,014949392447,0,14,14,09/01/14  ,0,          ,0,          ,, $20.50 , $5.23 
00744,5,,,5,GA,5,Hydrangea mac 'Variegata'                           ,Variegated Hydrangea                                        ,DCS,D Shrubs,06,    ,,, $22.57 ,,014949004128,636,1272,636,09/01/14  ,636,05/15/15  ,0,          ,, $12.25 , $1.11 
04210,5,,,5,CA,5,Hydrangea mac 'White'                               ,White Big Leaf Hydrangea                                    ,DCS,D Shrubs,07,    ,, $24.71 , $22.57 ,,014949421055,10,30,30,02/01/15  ,0,          ,0,          ,, $12.25 , $1.11 
40394,3,,,3,CT,5,Hydrangea mac 'Zebra' ,Zebra Mophead Hydrangea                                     ,DCS,D Shrubs,05,    ,,,, $22.54 ,014949393093,84,0,0,          ,0,          ,0,          ,, $21.50 , $5.23 
04203,5,,,5,CA,5,Hydrangea serrata 'Bluebird'                                ,Bluebird Lacecap Hydrangea                                  ,DCS,D Shrubs,05,    ,, $24.71 ,,,014949420355,92,97,97,02/01/15  ,0,          ,0,          ,, $12.25 , $1.11 
05648,2,,,2,OR,5,Hydrangea serrata 'Chiri-san Sue'                           ,Chiri-san Sue Mountain Hydrangea                            ,DCS,D Shrubs,07,2014, $19.12 ,,,,014949368367,0,108,108,10/01/14  ,0,          ,0,          ,, $13.25 , $2.62 
08096,3S,,,Super 3,CT,5,Hydrangea serrata Tuff Stuff™,Tuff Stuff™  Reblooming Mountain Hydrangea,DCS,D Shrubs,05,2013,,,, $23.04 ,014949411933,0,500,500,06/01/15  ,0,          ,0,          ,, $21.50 , $5.23 
04171,2,,,2,OR,5,Hydrangea arborescens 'Annabelle'                           ,Annabelle Hydrangea                                         ,DCS,D Shrubs,04,    , $18.62 ,,,,014949236178,0,75,75,10/01/14  ,0,          ,0,          ,, $17.75 , $1.54 
07452,5,,,5,CA,5,Hydrangea arborescens Incrediball®  Smooth,Incrediball®  Smooth Hydrangea,DCS,D Shrubs,03,2011, $29.23 , $29.46 ,, $27.05 ,014949336083,0,11,11,02/01/15  ,0,          ,0,          ,, $9.50 , $1.74 
07453,5,,,5,CA,5,Hydrangea arborescens Invincibelle®  Spirit,Invincibelle®  Spirit Hydrangea,DCS,D Shrubs,03,2011, $26.73 , $26.96 ,, $29.05 ,014949336120,0,2565,2565,09/01/14  ,0,          ,0,          ,, $17.00 , $3.49 
40379,5,,,5,CT,5,Hydrangea arborescens Sterilis,Sterlis Hydrangea,DCS,D Shrubs,04,    ,,,, $22.30 ,014949392263,78,0,0,          ,0,          ,0,          ,, $13.75 , $2.62 
01921,5,,,5,CA,5,Hydrangea arborescens White Dome®,White Dome®  Hydrangea,DCS,D Shrubs,03,2011, $29.23 , $29.46 ,,,014949015445,43,0,0,          ,0,          ,0,          ,, $16.00 , $1.54 
04202,1,,,1,OR,10,Hydrangea pan Angel's Blush®,Angel's Blush®  Hydrangea,DCS,D Shrubs,04,    , $8.30 ,,,,014949420218,4,0,0,          ,0,          ,0,          ,, $13.75 , $2.62 
08095,3S,,,Super 3,CT,5,Hydrangea pan Bobo®,Bobo®  Hardy Hydrangea,DCS,D Shrubs,03,2012,,,, $19.29 ,014949415030,5,0,0,          ,0,          ,0,          ,, $21.50 , $5.23 
08480,3,,,3,CT,5,Hydrangea pan 'Bombshell' ,Bombshell Panicle Hydrangea                                 ,DCS,D Shrubs,03,2014,,,, $19.29 ,014949404553,791,791,791,09/01/14  ,0,          ,0,          ,, $17.00 , $1.54 
08020,3,,,3,CT,5,Hydrangea pan 'Fire and Ice',Fire and Ice Panicle Hydrangea                              ,DCS,D Shrubs,03,2011,,,, $19.29 ,014949404577,30,30,30,09/01/14  ,0,          ,0,          ,, $15.50 , $2.62 
08994,5,,,5,CA,5,Hydrangea pan 'Fire Light™ ,Fire Light™  Hardy Hydrangea,DCS,D Shrubs,03,2014, $29.23 , $29.46 ,,,014949372791,0,14,14,02/01/15  ,0,          ,0,          ,, $6.25 , $1.05 
40396,3,,,3,CT,5,Hydrangea pan Great Star™,Great Star™  Panicle Hydrangea,DCS,D Shrubs,04,    ,,,, $19.29 ,014949393123,313,0,0,          ,0,          ,0,          ,, $14.25 , $2.62 
02992,3S,,,Super 3,CT,5,Hydrangea pan Little Lime™,Little Lime™  Hardy Hydrangea,DCS,D Shrubs,03,    ,,,, $19.29 ,014949414613,0,77,77,01/01/15  ,0,          ,0,          ,, $6.00 , $1.05 
08995,1S,,,SuperOne TM,CA,10,Hydrangea pan Little Quick Fire™,Little Quick Fire™  Hardy Hydrangea,DCS,D Shrubs,03,2014,, $12.32 ,,,014949372807,0,11,11,02/01/15  ,0,          ,0,          ,, $14.25 , $2.62 
02437,5,,,5,CA,5,Hydrangea pan 'Limelight,Limelight Hardy Hydrangea                                   ,DCS,D Shrubs,03,    , $29.23 , $29.46 , $27.32 ,,014949057391,2576,2576,2576,02/01/15  ,0,          ,0,          ,, $16.00 , $1.54 
40397,3,,,3,CT,5,Hydrangea pan 'Mystical™  Fire' ,Mystical™  Fire Panicle Hydrangea,DCS,D Shrubs,05,    ,,,, $19.29 ,014949393130,1210,0,0,          ,0,          ,0,          ,, $20.50 , $5.23 
40399,3,,,3,CT,5,Hydrangea pan 'Phantom'                              ,Phantom Panicle Hydrangea                                   ,DCS,D Shrubs,04,    ,,,, $19.29 ,014949393178,0,445,445,09/01/14  ,0,          ,0,          ,, $17.25 , $1.54 
04244,7PT,,, 7 PATIO TREE,CT,2,Hydrangea pan 'Pink Diamond'                           ,Pink Diamond Hardy Hydrangea                                ,DCS,D Shrubs,03,    ,,,, $60.06 ,014949414651,102,102,102,09/01/14  ,0,          ,0,          ,, $14.50 , $1.54 
07461,5,,,5,CA,5,"Hydrangea p	an Pinky Winky™",Pinky Winky™  Hardy Hydrangea,DCS,D Shrubs,03,2011,, $29.46 , $27.32 ,,014949336274,19,19,19,02/01/15  ,0,          ,0,          ,, $14.50 , $1.54 
07460,7,,,7,CT,2,"Hydrangea p	an Quick Fire®",Quick Fire®  Hardy Hydrangea,DCS,D Shrubs,03,2011,,,, $36.54 ,014949404829,239,0,0,          ,0,          ,0,          ,, $7.50 , $1.05 
40400,3,,,3,CT,5,Hydrangea pan 'Strawberry Sundae'                    ,Strawberry Sundae™  Hydrangea,DCS,D Shrubs,03,    ,,,, * ,014949393222,500,0,0,          ,0,          ,0,          ,, $16.00 , $2.62 
40401,2S,,,SuperTwo,CT,5,Hydrangea pan Sugar Puff™                                       ,Sugar Puff™  Hardy Hydrangea,DCS,D Shrubs,04,    ,,,, $15.36 ,014949393239,14,0,0,          ,0,          ,0,          ,, $22.50 , $5.23 
40402,3,,,3,CT,5,Hydrangea pan 'Sweet Summer',Sweet Summer Panicle Hydrangea                              ,DCS,D Shrubs,04,    ,,,, $19.29 ,014949393260,0,507,507,09/01/14  ,0,          ,0,          ,, $10.50 , $1.74 
04194,5,,,5,OR,5,Hydrangea pan 'Tardiva'                              ,Tardiva Hydrangea                                           ,DCS,D Shrubs,03,    , $24.48 ,,,,014949785058,43,0,0,          ,0,          ,0,          ,, $10.50 , $1.74 
40404,3,,,3,CT,5,Hydrangea pan Vanilla Strawberry™,Vanilla Strawberry™  Panicle Hydrangea,DCS,D Shrubs,04,    ,,,, $19.29 ,014949393291,12,0,0,          ,0,          ,0,          ,, $6.25 , $1.05 
40405,3,,,3,CT,5,Hydrangea pan White Diamonds™,White Diamonds™  Panicle Hydrangea,DCS,D Shrubs,04,    ,,,, $19.29 ,014949393345,4988,9348,6571,09/01/14  ,2777,01/01/15  ,0,          ,, * , $3.05 
40375,2S,,,SuperTwo,CT,5,Hydrangea Peppermint Swirl™,Peppermint Swirl™  Hydrangea,DCS,D Shrubs,05,    ,,,, $16.61 ,014949392676,48,0,0,          ,0,          ,0,          ,, $17.75 , $1.54 
04209,2,,,2,OR,5,Hydrangea quercifolia                                       ,Oakleaf Hydrangea                                           ,DCS,D Shrubs,05,    , $17.12 ,,,,014949051061,4,0,0,          ,0,          ,0,          ,, $35.00 , $3.05 
04193,5,,,5,CT,5,Hydrangea quercifolia 'Alice'                               ,Alice Oakleaf Hydrangea                                     ,DCS,D Shrubs,05,    ,,,, $26.55 ,014949419359,61,61,61,09/01/14  ,0,          ,0,          ,, * , $1.11 
04256,5,,,5,OR,5,Hydrangea quercifolia 'Pee Wee'                             ,Pee Wee Oak Leaf Hydrangea                                  ,DCS,D Shrubs,05,    , $27.73 ,,,,014949425657,0,69,69,10/01/14  ,0,          ,0,          ,, $17.00 , $1.54 
04206,5,,,5,CA,5,Hydrangea quercifolia 'Snow Queen'                          ,Snow Queen Oakleaf Hydrangea                                ,DCS,D Shrubs,05,    , $28.73 , $28.96 ,,,014949420652,0,5,5,02/01/15  ,0,          ,0,          ,, $15.50 , $2.62 
04204,1,,,1,CA,10,Hydrangea quercifolia Snowflake™,Snowflake™  Oakleaf Hydrangea,DCS,D Shrubs,05,    ,, * ,,,014949420416,0,285,285,09/03/14  ,0,          ,0,          ,, * , $3.05 
02832,2,,,2,CA,5,Hydrangea quercifolia 'Vaughn's Lillie'®  ,Vaughn's Lillie®  Oak Leaf Hydrangea,DCS,D Shrubs,05,    ,, $18.48 ,,,014949231715,0,16,16,04/01/15  ,0,          ,0,          ,, $35.00 , $5.23 
40408,3,,,3,CT,5,Hypericum andros  Ignite™  Scarlet Red,Ignite™  Scarlet Red St. John's Wort,DCS,D Shrubs,05,    ,,,, $18.54 ,014949393406,17,0,0,          ,0,          ,0,          ,, $35.00 , $5.23 
08996,3S,,,Super 3,CT,5,Hypericum Blues Festival™,Blues Festival™  Hypericum,DCS,D Shrubs,04,2014,,,, $19.29 ,014949410615,75,0,0,          ,0,          ,0,          ,, $10.75 , $1.05 
04213,2,,,2,CA,5,Hypericum frondosum 'Sunburst'                              ,Sunburst St. John's Wort                                    ,DCS,D Shrubs,04,    ,, $17.23 ,,,014949421321,0,49,49,11/15/14  ,0,          ,0,          ,, $35.00 , $5.23 
08089,2S,,,SuperTwo,CA,5,Hypericum kalamianum Blue & Gold,Blue & Gold St. Johns Wort,DCS,D Shrubs,04,2013,, $20.64 ,,,014949360934,0,365,365,11/15/14  ,0,          ,0,          ,, $21.00 , $5.46 
02622,2,,,2,CA,5,Hypericum kalmianum 'Gemo'                                  ,Gemo St. John's Wort                                        ,DCS,D Shrubs,05,    ,, $17.23 ,,,014949208830,0,30,30,04/01/15  ,0,          ,0,          ,, $40.50 , $8.19 
07462,1S,,,SuperOne TM,GA,10,Hypericum Sunny Boulevard™,Sunny Boulevard™  St. John's Wort,DCS,D Shrubs,04,2011,,, $11.61 ,,014949336298,888,3433,1388,09/01/14  ,2045,05/01/15  ,0,          ,, $17.75 , $1.54 
40416,5,,,5,CT,5,Ilex verticillata                                           ,Winterberry                                                 ,DCS,D Shrubs,04,    ,,,, $25.05 ,014949393529,213,0,0,          ,0,          ,0,          ,, $18.00 , $2.73 
04568,5,,,5,CT,5,Ilex verticillata 'Afterglow'                               ,Afterglow Winterberry                                       ,DCS,D Shrubs,04,    ,,,, $25.05 ,014949456859,372,0,0,          ,0,          ,0,          ,, $17.00 , $3.64 
07493,5,,,5,CT,5,Ilex verticillata Berry Nice®,Berry Nice®  Winterberry Holly,DCS,D Shrubs,03,2011,,,, $25.05 ,014949405147,0,1423,1423,09/01/14  ,0,          ,0,          ,, $10.50 , $1.82 
04570,3,,,3,CT,5,Ilex verticillata 'Jim Dandy' (Male)                        ,Jim Dandy Winterberry (Male)                                ,DCS,D Shrubs,04,    ,,,, $16.29 ,014949405185,0,6,6,09/01/14  ,0,          ,0,          ,, $17.25 , $1.54 
04575,3,,,3,CT,5,Ilex verticillata 'Red Sprite'                              ,Red Sprite Winterberry                                      ,DCS,D Shrubs,04,    ,,,, $16.29 ,014949405192,0,768,768,09/01/14  ,0,          ,0,          ,, $17.75 , $1.54 
04569,3,,,3,CT,5,Ilex verticillata 'Southern Gentleman'                      ,Southern Gentleman Winterberry                              ,DCS,D Shrubs,03,    ,,,, $16.29 ,014949405079,0,5,5,09/01/14  ,0,          ,0,          ,, $54.00 , $6.06 
40414,3,,,3,CT,5,Ilex verticillata 'WildFire',WildFire Winterberry,DCS,D Shrubs,04,    ,,,, * ,014949393475,0,420,420,09/01/14  ,0,          ,0,          ,, $10.50 , $1.82 
00773,5,,,5,CT,5,Ilex verticillata 'Winter Red'                              ,Winter Red Winterberry                                      ,DCS,D Shrubs,02,    ,,,, $25.05 ,014949018361,902,2440,2440,09/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
04650,5,,,5,OR,5,Itea virginica 'Henry's Garnet'                             ,Henry's Garnet Sweetspire                                   ,DCS,D Shrubs,05,    , $25.73 ,,,,014949465059,10,10,10,10/01/14  ,0,          ,0,          ,, $17.75 , $1.54 
04649,1S,,,SuperOne TM,OR,10,Itea virginica Little Henry®,Little Henry®  Dwarf Virginia Sweetspire,DCS,D Shrubs,05,    , $11.24 ,, $10.61 ,,014949336878,0,5,5,10/01/14  ,0,          ,0,          ,, $10.50 , $1.82 
40420,3,,,3,CT,5,Itea virginica 'Merlot'                                     ,Merlot Sweetspire                                           ,DCS,D Shrubs,05,    ,,,, * ,014949393598,0,903,213,08/15/14  ,690,09/01/14  ,0,          ,, $17.00 , $3.64 
00812,1,,,1,GA,10,Jasminum nudiflorum                                         ,Winter Jasmine                                              ,DCS,D Shrubs,06,    ,,, $6.91 ,,014949019405,130,306,153,08/15/14  ,153,01/01/15  ,0,          ,, $17.75 , $1.54 
