Item,,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
01379,1,,,1,CA,10,Buddleja davidii 'Pink Delight'                             ,Pink Delight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,, $7.34 ,,,014949137918,0,116,116,04/01/15  ,0,          ,0,          ,, $16.00 , $2.73 
01356,1,,,1,CA,10,Buddleja davidii 'Royal Red'                                ,Royal Red Butterfly Bush                                    ,DCS,D Shrubs,05,    ,, $7.34 ,,,014949135617,0,391,391,04/01/15  ,0,          ,0,          ,, $25.50 , $5.23 
40130,2,,,2,CT,5,Buddleja davidii 'Summer Skies'                             ,Summer Skies Butterfly Bush                                 ,DCS,D Shrubs,05,    ,,,, $12.61 ,014949389171,151,0,0,          ,0,          ,0,          ,, $7.50 , $1.05 
07441,5,,,5,GA,5,Buddleja Lo & Behold®  Blue Chip,Lo & Behold®  Blue Chip Dwarf Summer Lilac,DCS,D Shrubs,05,2011,,, $29.32 ,,014949350195,0,5,5,05/15/15  ,0,          ,0,          ,, $15.50 , $2.62 
08081,1S,,,SuperOne TM,CA,10,Buddleja Lo & Behold®  'Ice Chip' ,Ice Chip Summer Lilac                                       ,DCS,D Shrubs,05,2012,, $12.32 ,,,014949360989,22,22,22,04/01/15  ,0,          ,0,          ,, $6.25 , $1.09 
08079,1S,,,SuperOne TM,CA,10,Buddleja Lo & Behold®  'Lilac Chip' ,Lo & Behold®  Lilac Chip Summer Lilac,DCS,D Shrubs,05,2012,, $12.32 ,,,014949345870,0,38,38,04/01/15  ,0,          ,0,          ,, $13.25 , $2.73 
07741,1S,,,SuperOne TM,CA,10,Buddleja Lo & Behold®  Purple Haze,Lo & Behold®  Purple Haze Summer Lilac,DCS,D Shrubs,05,2011,, $12.32 ,,,014949355787,0,10,10,04/01/15  ,0,          ,0,          ,, $19.25 , $4.19 
40123,2S,,,SuperTwo,CT,5,Buddleja Temptations™  Cotton Candy              ,Temptations™  Cotton Candy Butterfly Bush,DCS,D Shrubs,05,    ,,,, $14.36 ,014949389188,154,0,0,          ,0,          ,0,          ,, $20.50 , $5.23 
40126,2S,,,SuperTwo,CT,5,Buddleja Temptations™  Lavender Petite                     ,Temptations™  Lavender Petite Butterfly Bush,DCS,D Shrubs,05,    ,,,, $14.36 ,014949389195,305,0,0,          ,0,          ,0,          ,, $16.00 , $2.62 
40121,2S,,,SuperTwo,CT,5,Buddleja x Blueberry Petite                                 ,Blueberry Petite™  Butterfly Bush,DCS,D Shrubs,05,    ,,,, $14.36 ,014949389201,427,0,0,          ,0,          ,0,          ,, $19.25 , $4.19 
07739,5,,,5,CA,5,Buddleja x 'Miss Molly' ,Miss Molly Summer Lilac                                     ,DCS,D Shrubs,05,2012,, $27.96 , $25.82 ,,014949355770,0,133,49,0,84,0,0,0,, $13.25 , $2.62 
07440,5,,,5,CA,5,Buddleja x Miss Ruby,Miss Ruby Summer Lilac                                      ,DCS,D Shrubs,05,2011,, $27.96 , $25.82 ,,014949350188,0,32,32,0,0,0,0,0,, $20.50 , $5.23 
01399,5,,,5,OR,5,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       ,DCS,D Shrubs,05,    , $27.23 ,,,,014949139950,39,39,39,10/01/14  ,0,          ,0,          ,, $10.50 , $1.74 
09292,2,,,2,OR,5,Callicarpa dichotoma Summer Snow® ,Summer Snow®  Beauty Berry,DCS,D Shrubs,06,2011, $17.87 ,,,,014949305935,0,10,10,10/01/14  ,0,          ,0,          ,, $13.25 , $2.62 
40134,3S,,,Super 3,CT,5,Callicarpa japonica 'Purple Pearls',Purple Pearls Beauty Berry,DCS,D Shrubs,06,    ,,,, $19.29 ,014949410530,0,87,87,09/01/14  ,0,          ,0,          ,, $17.00 , $2.21 
40135,3,,,3,CT,5,Callicarpa japonica 'Snow Storm'                            ,Snow Storm Beauty Berry                                     ,DCS,D Shrubs,06,    ,,,, $19.04 ,014949389263,175,265,265,09/01/14  ,0,          ,0,          ,, $10.00 , $1.11 
01451,5,,,5,OR,5,Calycanthus floridus                                        ,Carolina Allspice                                           ,DCS,D Shrubs,05,    , $27.23 ,, $25.32 ,,014949145159,3,460,460,0,0,0,0,0,, * , $1.11 
08083,5,,,5,GA,5,Calycanthus floridus 'Aphrodite'                            ,Aphrodite Sweetshrub                                        ,DCS,D Shrubs,05,2014,,, $27.32 , $27.05 ,014949376188,0,44,44,0,0,0,0,0,, $21.50 , $5.46 
02240,1,,,1,CA,10,Caryopteris x clan 'Blue Mist'                      ,Blue Mist Bluebeard                                         ,DCS,D Shrubs,05,    ,, $7.34 ,,,014949224014,0,828,828,04/01/15  ,0,          ,0,          ,, $9.50 , $1.82 
02289,5,,,5,OR,5,Caryopteris x clan 'Dark Knight'                    ,Dark Knight Bluebeard                                       ,DCS,D Shrubs,05,    , $26.23 ,,,,014949228951,0,5,5,06/01/15  ,0,          ,0,          ,, $17.00 , $3.64 
09289,1,,,1,OR,10,Caryopteris x clan 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,DCS,D Shrubs,05,2010, $8.05 ,,,,014949324134,7,7,7,09/01/14  ,0,          ,0,          ,, $6.25 , $0.66 
40174,2S,,,SuperTwo,CT,5,Caryopteris x clan 'Periwinkle Tart',Periwinkle Tart Bluebeard,DCS,D Shrubs,05,    ,,,, * ,014949389676,168,0,0,          ,0,          ,0,          ,, $14.50 , $2.73 
07443,1S,,,SuperOne TM,OR,10,Ceanothus x pallidus Marie Bleu™,Marie Bleu™  New Jersey Tea,DCS,D Shrubs,06,2011, $11.24 ,,,,014949335765,2,0,0,          ,0,          ,0,          ,, $18.00 , $2.66 
09018,3S,,,Super 3,CT,5,Cephalanthus Sugar Shack,Sugar Shack Japanese Plum Yew,DCS,D Shrubs,05,2014,,,, $19.29 ,014949410554,0,251,251,09/01/14  ,0,          ,0,          ,, $21.00 , $5.46 
07444,1S,,,SuperOne TM,CA,10,Chaenomeles Double Take™  Orange Storm,Orange Storm Flowering Quince,DCS,D Shrubs,05,2011,, $12.32 ,,,014949360163,0,1062,531,03/01/15  ,531,04/01/15  ,0,          ,, $6.25 , $0.66 
07445,3S,,,Super 3,CT,5,Chaenomeles Double Take™  Pink Storm,Pink Storm Flowering Quince,DCS,D Shrubs,05,2011,,,, $19.29 ,014949411452,1169,1413,1413,09/01/14  ,0,          ,0,          ,, $14.50 , $2.73 
07477,3S,,,3,CT,5,Chaenomeles Double Take™  Scarlet Storm,Scarlet Storm Flowering Quince,DCS,D Shrubs,05,2011,,,, $19.29 ,014949411469,973,1102,1102,09/01/14  ,0,          ,0,          ,, $21.00 , $5.46 
08153,1,,,1,OR,10,Clethra alnifolia                                           ,Summersweet                                                 ,DCS,D Shrubs,04,    , $8.55 ,,,,014949359174,95,0,0,          ,0,          ,0,          ,, $6.25 , $0.66 
07447,2S,,,SuperTwo,GA,5,Clethra alnifolia 'Caleb'              ,Vanilla Spice®  Summersweet,DCS,D Shrubs,04,2011,,, $19.21 ,,014949335819,912,521,521,05/15/15  ,0,          ,0,          ,, $14.50 , $2.73 
07446,3S,,,Super 3,CT,5,Clethra alnifolia 'Crystalina' ,Sugartina™  Summersweet,DCS,D Shrubs,04,2011,,,, $19.29 ,014949410561,227,429,429,09/01/14  ,0,          ,0,          ,, $18.00 , $2.66 
02753,1,,,1,GA,10,Clethra alnifolia 'Ruby Spice'                              ,Ruby Spice Summersweet                                      ,DCS,D Shrubs,04,    ,,, $8.16 ,,014949275313,0,677,677,05/15/15  ,0,          ,0,          ,, $21.00 , $5.46 
40194,5,,,5,CT,5,Cornus Alba Bud's Yellow,Buds Yellow Red Twig Dogwood,DCS,D Shrubs,03,    ,,,, $25.55 ,014949390030,13,0,0,          ,0,          ,0,          ,, $6.25 , $1.09 
40196,3,,,3,CT,5,Cornus Alba Crème De Mint,Crème de Mint Red Twig Dogwood,DCS,D Shrubs,03,    ,,,, * ,014949390061,0,249,249,09/01/14  ,0,          ,0,          ,, $14.50 , $2.73 
02773,1,,,1,OR,10,Cornus alba 'Elegantissima'                                 ,Variegated Red Twig Dogwood                                 ,DCS,D Shrubs,02,    , $9.30 ,,,,014949277317,495,495,495,08/30/14  ,0,          ,0,          ,, $18.00 , $2.66 
02786,1,,,1,OR,10,Cornus alba Ivory Halo® ,Ivory Halo®  Dogwood,DCS,D Shrubs,03,    , $9.30 ,,,,014949278611,224,0,0,          ,0,          ,0,          ,, $21.00 , $5.46 
04528,1,,,1,OR,10,Cornus alba 'Prairie Fire'                                  ,Prairie Fire Dogwood                                        ,DCS,D Shrubs,02,2010, $9.30 ,,,,014949276877,38,0,0,          ,0,          ,0,          ,, $6.25 , $1.09 
02775,5,,,5,OR,5,Cornus alba 'Sibirica'                                      ,Red Twig Dogwood                                            ,DCS,D Shrubs,02,    , $28.23 ,,,,014949277553,31,0,0,          ,0,          ,0,          ,, $6.25 , $0.66 
02780,1,,,1,OR,10,Cornus sericea 'Flaviramea'                                 ,Yellow Twig Dogwood                                         ,DCS,D Shrubs,02,    , $9.30 ,,,,014949278017,10,0,0,          ,0,          ,0,          ,, $14.50 , $2.73 
02782,1,,,1,OR,10,Cornus sericea 'Isanti'                                     ,Isanti Red-Osier Dogwood                                    ,DCS,D Shrubs,02,    , $9.30 ,,,,014949278215,3,0,0,          ,0,          ,0,          ,, $18.00 , $2.66 
04470,3,,,3,CT,5,Cornus sericea 'Kelseyi'                                    ,Kelsey's Dwarf Red-Osier Dogwood                            ,DCS,D Shrubs,02,    ,,,, $17.54 ,014949402092,325,0,0,          ,0,          ,0,          ,, $21.00 , $5.46 
