Loc,Item,Size,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,
OR,023325,#5,CEDRUS ATLANTICA HORSTMANN,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  ,,,,,,,,,,,,,,,,
OR,023327,#7,CEDRUS ATLANTICA HORSTMANN,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  ,,,,,,,,,,,,,,,,
OR,024662,#2,CEPHALOTAXUS HAR DUKE GARDENS,Cephalotaxus harringtonia 'Duke Gardens'                    ,Duke Gardens Japanese Plum Yew                              ,,,,,,,,,,,,,,,,
OR,017381,#1,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,,,,,,,,,,,,,,,,
OR,017382,#2,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,,,,,,,,,,,,,,,,
OR,028832,#2,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 ,,,,,,,,,,,,,,,,
OR,028835,#5,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 ,,,,,,,,,,,,,,,,
OR,033805,#5,CHAM L YVONNE-GUARDIAN R,Chamaecyparis lawsoniana 'Yvonne'                           ,Yvonne Port Orford Cedar - The Guardian®  Series,,,,,,,,,,,,,,,,
OR,027431,#1 STAKED,CLEM MONTANA FREDA,Clematis montana 'Freda'                                    ,Freda Anemone Clematis                                      ,,,,,,,,,,,,,,,,
OR,027435,#5 STAKED,CLEM MONTANA FREDA,Clematis montana 'Freda'                                    ,Freda Anemone Clematis                                      ,,,,,,,,,,,,,,,,
OR,027401,#1 STAKED,CLEM MONTANA RUBENS,Clematis montana rubens                                     ,Pink Anemone Clematis                                       ,,,,,,,,,,,,,,,,
OR,055211,#1 STAKED,CLEM SIEBOLDII,Clematis florida Seiboldii                                  ,Florida Seiboldii Clematis                                  ,,,,,,,,,,,,,,,,
OR,055215,#5 STAKED,CLEM SIEBOLDII,Clematis florida Seiboldii                                  ,Florida Seiboldii Clematis                                  ,,,,,,,,,,,,,,,,
OR,055535,#5,CLETHRA BARBINERVIS VARIEGATA,Clethra barbinervis 'Takeda Nishiki'                        ,First Snow®  Japanese Clethra,,,,,,,,,,,,,,,,
OR,028311,#1,COT HOR VARIEGATUS,Cotoneaster horizontalis 'Variegatus'                       ,Variegated Rock Cotoneaster                                 ,,,,,,,,,,,,,,,,
OR,030251,#1,COT STREIB'S FINDLING,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,,,,,,,,,,,,,,,,
OR,030252,#2,COT STREIB'S FINDLING,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,,,,,,,,,,,,,,,,
OR,030255,#5,COT STREIB'S FINDLING,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,,,,,,,,,,,,,,,,
OR,057452,#2,CROCOSMIA COLUMBUS,Crocosmia 'Columbus'                                        ,Columbus Montbretia                                         ,,,,,,,,,,,,,,,,
OR,019472,#2,CROCOSMIA EMBERGLOW,Crocosmia 'Emberglow'                                       ,Emberglow Montbretia                                        ,,,,,,,,,,,,,,,,
OR,047105,#5,CUP GLABRA SULPHUREA,Cupressus glabra 'Sulphurea'                                ,Yellow Arizona Cypress                                      ,,,,,,,,,,,,,,,,
OR,031382,#2,CYTISUS ALLGOLD,Cytisus x praecox (C. multiflorus x C. purgans) 'Allgold'   ,Allgold Broom                                               ,,,,,,,,,,,,,,,,
OR,031362,#2,CYTISUS LENA,Cytisus x 'Lena' (Dallimorei hybrid)                        ,Lena Scotch Broom                                           ,,,,,,,,,,,,,,,,
OR,025675,#5,DAVIDIA INVOLUCRATA,Davidia involucrata                                         ,Dove Tree                                                   ,,,,,,,,,,,,,,,,
OR,021821,#1,DISPOROPSIS PER SICHUAN JADE,Disporopsis pernyi 'Sichuan Jade'                           ,Sichuan Jade Solomon's Seal                                 ,,,,,,,,,,,,,,,,
OR,032161,#1,ERICA ATROPURPUREA,Erica cinerea 'Atropurpurea'                                ,Purple Bell Heath                                           ,,,,,,,,,,,,,,,,
OR,032162,#2,ERICA ATROPURPUREA,Erica cinerea 'Atropurpurea'                                ,Purple Bell Heath                                           ,,,,,,,,,,,,,,,,
OR,017961,#1,ERICA KRAMER'S RED,Erica x darleyensis 'Kramer's Rote'                         ,Kramer's Red Winter Heath                                   ,,,,,,,,,,,,,,,,
