Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,2014,86871,#1,HEUCHERA CARNIVAL COCOMINT PAF,PRN,4,7.85,     ,10,105,     ,          ,     ,          ,     ,          
OR,2014,87091,#1,HEUCHERA CARNIVAL COFFE BN PAF,PRN,4,7.15,10,10,311,     ,          ,     ,          ,     ,          
OR,2014,87131,#1,HEUCHERA CARNIVAL WATRMELN PAF,PRN,4,7.85,13,10,13,     ,          ,     ,          ,     ,          
OR,2014,93062,#2,HOSTA ENTERPRISE,PRN,3,14.25,19,5,174,174,4/1/2015,     ,          ,     ,          
OR,2014,75111,#1,HOSTA FANTASY ISLAND,PRN,3,7.15,91,10,91,     ,          ,     ,          ,     ,          
OR,2013,52631,#1,HOSTA FROSTY RIBBONS TM PPAF,PRN,4,6.35,56,10,56,56,4/1/2015,     ,          ,     ,          
OR,2011,47791,#1,HOSTA LITTLE DARLING R PPAF,PRN,3,7.15,10,10,10,     ,          ,     ,          ,     ,          
OR,2014,39471,#1,HOSTA ROSEDALE GOLDEN GOOSE,PRN,3,6.35,36,10,450,450,4/15/2015,     ,          ,     ,          
OR,2014,75161,#1,HOSTA THE RAZOR'S EDGE,PRN,3,7.15,15,10,15,     ,          ,     ,          ,     ,          
OR,2013,16305,#5,HOSTA TOKUDAMA FLAVOCIRCINALIS,PRN,3,24.5,20,5,4,179,4/1/2015,     ,          ,     ,          
OR,2012,80261,#1,KNIPH PINEAPPL POPSICLE TM PAF,PRN,5,6,     ,10,2,     ,          ,     ,          ,     ,          
OR,2010,43121,#1,KNIPHOFIA HIR FIRE DANCE,PRN,4,5.75,95,10,     ,95,6/1/2015,     ,          ,     ,          
OR,2014,74231,#1,LAVAN INT RIVERINA TM THOMAS,PRN,5,6.35,     ,10,5,5,5/1/2015,     ,          ,     ,          
OR,2014,68221,#1,LAVANDULA ANG MELISSA LILAC,PRN,5,6.35,13,10,     ,13,5/1/2015,     ,          ,     ,          
OR,2012,60325,#5,LEUCOSCEPTRUM JAP GOLDEN ANGEL,PRN,5,21.5,     ,5,88,     ,          ,     ,          ,     ,          
CA,2013,72511,#1,LOBELIA X SPE RUSSIAN PRINCESS,PRN,4,5.75,51,10,     ,221,10/1/2014,51,4/1/2015,     ,          
OR,2010,62311,#1,LYSIMACHIA NUMMULARIA AUREA,PRN,3,5.1,     ,10,3,     ,          ,     ,          ,     ,          
OR,2012,82581,#1,NEPETA LITTLE TRUDY R PP18904,PRN,4,5.1,17,10,3,17,6/1/2015,     ,          ,     ,          
OR,2012,81741,#1,NEPETA NERVOSA PINK CAT,PRN,4,5.1,40,10,     ,233,10/1/2014,233,4/1/2015,233,6/1/2015
OR,2011,68481,#1,OENOTHERA FREM SHIMMER PP19663,PRN,4,5.1,1,10,1,1,4/1/2015,     ,          ,     ,          
OR,2012,06777UT,LittleOne,ORIGANUM LIBANOTICUM,PRN,4,3.1,     ,16,18,     ,          ,     ,          ,     ,          
OR,2012,77131,#1,OSTEO AVALANCHE PP22705,PRN,4,5.1,200,10,158,433,6/1/2015,     ,          ,     ,          
OR,2012,79331,#1,OSTEO LAVENDER MIST R,PRN,5,5.1,175,10,74,482,6/1/2015,     ,          ,     ,          
OR,2012,79351,#1,OSTEO PURPLE MOUNTAIN R,PRN,5,5.1,200,10,256,"1,150",6/1/2015,     ,          ,     ,          
OR,2010,47085,#5,PAEONIA ITOH KEIKO TM (PK D D),PRN,4,42.5,64,5,     ,64,3/1/2015,     ,          ,     ,          
CA,2010,47085,#5,PAEONIA ITOH KEIKO TM (PK D D),PRN,4,42.5,5,5,     ,5,12/31/2014,     ,          ,     ,          
OR,2011,52605,#5,PAEONIA ITOH MISAKA TM PP22192,PRN,4,42.5,88,5,     ,88,3/1/2015,     ,          ,     ,          
OR,2014,68585,#5,PAEONIA ITOH MORNING LILAC,PRN,4,42.5,28,5,     ,28,3/1/2015,     ,          ,     ,          
OR,2011,19585,#5,PAEONIA ITOH SING IN THE RAIN,PRN,4,42.5,25,5,     ,25,3/1/2015,     ,          ,     ,          
OR,2011,52595,#5,PAEONIA ITOH TAKARA TM PP22374,PRN,4,42.5,56,5,56,56,3/1/2015,     ,          ,     ,          
OR,2010,47075,#5,PAEONIA ITOH YUMI TM (YLW),PRN,4,42.5,44,5,     ,44,3/1/2015,     ,          ,     ,          
OR,2014,62722,#2,PAEONIA TENUIFOLIA EARLY SCOUT,PRN,3,19.5,18,5,     ,18,3/1/2015,     ,          ,     ,          
CA,2012,79451,#1,PENST HOT PNK RDNG HOOD P23089,PRN,5,6.35,38,10,     ,38,3/1/2015,     ,          ,     ,          
CA,2013,79441,#1,PENST PRPLE RIDING HOOD P23067,PRN,5,6.35,40,10,     ,40,3/1/2015,     ,          ,     ,          
CA,2010,94741,#1,PENST RED RIDING HOOD PP18950,PRN,5,6.35,310,10,     ,317,3/1/2015,317,4/1/2015,     ,          
OR,2011,66791,#1,PENSTEMON X DOROTHY WILSON,PRN,4,5.1,25,10,109,     ,          ,     ,          ,     ,          
OR,2013,81631,#1,PENSTEMON X MEX CARILLO PURPLE,PRN,5,6.35,23,10,     ,23,4/1/2015,     ,          ,     ,          
OR,2012,29471,#1,PENSTEMON X MEX RED ROCKS R,PRN,4,6.35,62,10,     ,62,6/1/2015,     ,          ,     ,          
CA,2012,67781,#1,PENSTEMON X PIKES PEAK PURPL R,PRN,4,6.35,84,10,     ,84,4/1/2015,     ,          ,     ,          
OR,2012,66811,#1,PENSTEMON X PRETTY PETTICOAT,PRN,4,5.1,     ,10,428,     ,          ,     ,          ,     ,          
OR,2013,84781,#1,PEROVSKIA LACEY BLUE PP20845,PRN,4,6.35,70,10,624,815,4/1/2015,     ,          ,     ,          
OR,2014,84701,#1,PULMONARIA DE VROOMAN'S PRIDE,PRN,3,6.35,21,10,21,21,4/1/2015,     ,          ,     ,          
CA,2010,71111,#1,RUDBECKIA ERLY BRD GLD PP20286,PRN,4,5.1,     ,10,     ,61,10/1/2014,     ,          ,     ,          
OR,2013,54641,#1,SEDUM CRYSTAL PINK PPAF,PRN,4,5.25,20,10,20,     ,          ,     ,          ,     ,          
CA,2011,65021,#1,SEDUM DASYPHYLLUM MAJOR,PRN,5,5.25,8,10,     ,8,5/1/2015,     ,          ,     ,          
CA,2011,11811,#1,SEDUM FROSTY MORN,PRN,4,5.25,10,10,21,314,12/31/2014,530,4/1/2015,     ,          
CA,2010,11821,#1,SEDUM JOHN CREECH,PRN,3,5.25,25,10,226,226,12/31/2014,226,4/1/2015,     ,          
OR,2011,48261,#1,SEDUM OREGANUM,PRN,2,7.5,     ,10,195,     ,          ,     ,          ,     ,          
OR,2010,63681,#1,SEDUM SIEBOLDII,PRN,3,7.5,51,10,66,66,4/1/2015,     ,          ,     ,          
OR,2011,46311,#1,SEDUM STRAWBERRIES & CREAM,PRN,4,7.5,29,10,212,271,4/1/2015,     ,          ,     ,          
OR,2010,69871,#1,SEDUM TETRACTINUM CORAL REEF,PRN,5,7.5,72,10,116,116,4/1/2015,     ,          ,     ,          
CA,2011,69971,#1,SEMPERVIVUM ARACH RED COBWEB,PRN,4,6,37,10,     ,37,4/1/2015,     ,          ,     ,          
