Branch,Item,Description,Order Quantity,Plant Category,Zone,Common Name,Intro Year,Price Code,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Condition,Current Specs,Plant Status
OR,000082,ABIES BALSAMEA NANA, ,CON,03,Dwarf Balsam Fir                                                                                    ,1987,, 39.99 , 5 , 10 ,     ,     ,     ,-,"12""S",
CA,098621,ABUTILON PICTUM THOMPSONII, ,EVS,09,Thompson's Flowering Maple                                                                          ,2014,, 14.95 , 10 , 10 ,     ,     ,     ,-,,
CA,000201ST,ABUTILON SUPER RED R, ,EVS,09,Super Red®  Flowering Maple                                                                         ,2000,, 14.95 , 10 , 10 ,     ,     ,     ,BUDS & BLOOMS,3/4ST,
OR,001285,ACER F AUTUMN BLAZE R, ,TRE,03,Autumn Blaze®  Maple                                                                                ,2002,, 79.99 , 5 , 10 ,     ,     ,     ,BREAKING DORMANCY,"72""H",
OR,001135,ACER PLAT CRIMSON KING, ,TRE,03,Crimson King Norway Maple                                                                           ,1987,, 79.99 , 5 , 5 ,     ,     ,     ,DORMANT,,
OR,058251,ACHILLEA STRWBRY SDCTN P18401, ,PRN,03,Strawberry Seduction Yarrow                                                                         ,2012,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,CUT BACK,.,PS0
OR,001351,ACHILLEA X MOONSHINE, ,PRN,03,Moonshine Yarrow                                                                                    ,    ,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,-,,PS0
OR,028895,AESCULUS X ARN AUTUMN SPLENDOR, ,TRE,04,Autumn Splendor Horse Chestnut                                                                      ,2008,, 79.99 , 5 , 5 ,     ,     ,     ,BREAKING DORMANCY,"48""H - 15""S",
CA,063791,ALOE HYBRID CHRISTMAS CAROL, ,CAC,09,Christmas Carol Aloe                                                                                ,2011,, 14.95 , 10 , 10 ,     ,     ,     ,-,"6""S",PS1
CA,096502,ALST INTICANCHA R MACHU, ,PRN,08,Inticancha®  Machu Peruvian Lily                                                                    ,2014,, 29.95 , 5 , 5 ,     ,     ,     ,-,CAN FULL,PS1
CA,096522,ALST INTICANCHA R NAVAYO, ,PRN,08,Inticancha®  Navayo Peruvian Lily                                                                   ,2014,, 29.95 , 5 , 5 ,     ,     ,     ,-,CAN FULL,PS1
CA,096482,ALST INTICANCHA R PURPLE, ,PRN,08,Inticancha®  Dark Purple Peruvian Lily                                                              ,2014,, 29.95 , 5 , 5 ,     ,     ,     ,,,PS0
CA,096512,ALST INTICANCHA R WHT BLSH PNK, ,PRN,08,Inticancha®  White Pink Blush Peruvian Lily                                                         ,2014,, 29.95 , 5 , 5 ,     ,     ,     ,-,CAN FULL,PS1
CA,066382,ALST ROCK & ROLL R PP21001, ,PRN,08,Rock & Roll®  Peruvian Lily                                                                         ,2014,, 29.95 , 5 , 20 ,     ,     ,     ,BUDS,CAN FULL,PS1
CT,400575,AMEL CAN RAINBOW PILLAR R, ,TRE,04,Rainbow Pillar®  Serviceberry - Multi Stem                                                          ,    ,, 54.99 , 5 , 5 ,     ,     ,     ,-,,
OR,002741,ANEMONE SYLVESTRIS, ,PRN,02,Snowdrop Anemone                                                                                    ,1998,PRNADV, 9.99 , 10 , 10 ,     ,     ,     ,CUT BACK,.,PS0
OR,05908UT,AQUILEGIA C LITTLE LANTERNS, ,PRN,03,Little Lanterns Columbine                                                                           ,2010,, 5.99 , 16 , 16 ,     ,     ,     ,CUT BACK,.,PS0
OR,055482,ARALIA CORDATA GOTEMBA, ,PRN,04,Gotemba Golden Japanese Spikenard                                                                   ,2013,, 29.99 , 5 , 1 ,     ,     ,     ,DORMANT,.,PS0
OR,00304UT,ARMERIA MAR BLOODSTONE, ,PRN,03,Bloodstone Thrift                                                                                   ,    ,, 5.99 , 16 , 16 ,     ,     ,     ,-,CAN FULL,PS0
OR,003041,ARMERIA MAR BLOODSTONE, ,PRN,03,Bloodstone Thrift                                                                                   ,    ,PRNADV, 9.99 , 10 , 10 ,     ,     ,     ,-,CAN FULL,PS0
OR,00269UT,ARMERIA MAR COTTON TAIL, ,PRN,03,Cotton Tail Thrift                                                                                  ,    ,, 5.99 , 16 , 16 ,     ,     ,     ,-,CAN FULL,PS0
GA,025761,ARMERIA MAR NIFTY THRIFTY, ,PRN,04,Nifty Thrifty Variegated Thrift                                                                     ,2004,PRNADV, 9.99 , 10 , 10 ,     ,     ,     ,,,PS0
GA,001011,ARTEMISIA SCHM SILVER MOUND, ,PRN,03,Silvermound Artemisia                                                                               ,    ,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,-,,
GA,00315UT,ASPARAGUS MYERS, ,FRN,09,Foxtail Fern                                                                                        ,    ,, 7.95 , 16 , 16 ,     ,     ,     ,,"6""H",
CA,003151,ASPARAGUS MYERS, ,FRN,09,Foxtail Fern                                                                                        ,    ,, 14.95 , 10 , 10 ,     ,     ,     ,-,8''H,
OR,027501,ASTILBE COLOR FLASH R PP17343, ,PRN,04,Color Flash®  Astilbe                                                                               ,2005,PRNADV, 14.99 , 10 , 12 ,     ,     ,     ,DORMANT,3-5 EYES,PS0
OR,003501,ASTILBE FANAL, ,PRN,04,Fanal Astilbe                                                                                       ,    ,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,DORMANT,3-5 EYES,PS0
OR,003541,ASTILBE RHEINLAND, ,PRN,04,Rheinland Astilbe                                                                                   ,    ,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,DORMANT,.,PS0
GA,016341,ASTILBE VISION IN RED PP11965, ,PRN,04,Vision In Red Astilbe                                                                               ,    ,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,DORMANT,,
OR,037391,ASTILBE WHT SENSATION PP18462, ,PRN,04,White Sensation Astilbe                                                                             ,2008,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,DORMANT,.,PS0
GA,002781,BAPTISIA 'PURPLE SMOKE', ,PRN,04,Purple Smoke False Indigo                                                                           ,2011,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,,,PS0
CT,401051S,BAPTISIA DECADENCE R CHRS JUBL, ,PRN,03,Decadence®  'Cherries Jubilee' False Indigo                                                         ,    ,, 19.99 , 10 , 12 ,     ,     ,     ,-,,PS0
GA,05917UT,BELLIS PERENNIS ROMINETTE MIX, ,PRN,04,Rominette Mix English Daisy                                                                         ,2010,, 5.99 , 16 , 16 ,     ,     ,     ,-,,PS2
OR,012032,BER GOLDN NUGGET TM P9577 CBR, ,DCS,04,Golden Nugget™  Dwarf Japanese Barberry                                                             ,2002,, 29.99 , 5 , 12 ,     ,     ,     ,BREAKING DORMANCY,6''H - 10''S,
CA,012032,BER GOLDN NUGGET TM P9577 CBR, ,DCS,04,Golden Nugget™  Dwarf Japanese Barberry                                                             ,2002,, 29.99 , 5 , 12 ,     ,     ,     ,-,,
OR,074741S,BER SUNJOY R GOLD PILLAR PPAF, ,DCS,04,Sunjoy®  Gold Pillar Barberry                                                                       ,2011,, 19.99 , 10 , 18 ,     ,     ,     ,DORMANT,"10""H - 4""S",
OR,074742S,BER SUNJOY R GOLD PILLAR PPAF, ,DCS,04,Sunjoy®  Gold Pillar Barberry                                                                       ,2011,, 34.99 , 5 , 12 ,     ,     ,     ,BREAKING DORMANCY,"12""H - 6""S",
OR,080772S,BER SUNJOY R MINI SALSA PPAF, ,DCS,04,Sunjoy®  Mini Salsa Barberry                                                                        ,2014,, 34.99 , 5 , 5 ,     ,     ,     ,DORMANT,"8""H - 12""S",
CA,002242,BER T CONCORDE, ,DCS,04,Concorde Japanese Barberry                                                                          ,2007,, 29.99 , 5 , 10 ,     ,     ,     ,-,,
CA,012052,BER T CRIMSON PYGMY, ,DCS,04,Crimson Pygmy Dwarf Japanese Barberry                                                               ,    ,, 29.99 , 5 , 10 ,     ,     ,     ,-,,
OR,035232,BER T GOLDEN RUBY R PP16203, ,DCS,04,Golden Ruby®  Barberry                                                                              ,2009,, 29.99 , 5 , 10 ,     ,     ,     ,BREAKING DORMANCY,8''H - 12''S,
CA,035232,BER T GOLDEN RUBY R PP16203, ,DCS,04,Golden Ruby®  Barberry                                                                              ,2009,, 29.99 , 5 , 20 ,     ,     ,     ,DORMANT,,
CT,401112,BER T GOLDEN TREASURE, ,DCS,04,Golden Treasure™  Barberry                                                                          ,    ,, 29.99 , 5 , 10 ,     ,     ,     ,,,
CT,062932,BER T ORANGE ROCKET PP18411, ,DCS,04,Orange Rocket Barberry                                                                              ,2012,, 29.99 , 5 , 5 ,     ,     ,     ,DORMANT,"14""H - 6""S",
OR,035242,BER T PYGMY RUBY TM, ,DCS,04,Pygmy Ruby™  Barberry                                                                               ,2010,, 29.99 , 5 , 10 ,     ,     ,     ,BREAKING DORMANCY,"10""H - 12""S",
OR,012202,BER T ROSE GLOW, ,DCS,04,Rose Glow Japanese Barberry                                                                         ,    ,, 29.99 , 5 , 15 ,     ,     ,     ,DORMANT,15''H - 14''S,
CT,401122,BER T ROSY ROCKET PP18413, ,DCS,04,                                                                                                    ,    ,, 29.99 , 5 , 5 ,     ,     ,     ,-,,
OR,012212,BER T ROYAL BURGUNDY R P9461, ,DCS,04,Royal Burgundy®  Barberry                                                                           ,2002,, 29.99 , 5 , 10 ,     ,     ,     ,DORMANT,"10""H - 12""S",
OR,011932,BER T SUNSATION R PP11332 CBR, ,DCS,04,Sunsation®  Japanese Barberry                                                                       ,1998,, 29.99 , 5 , 6 ,     ,     ,     ,BREAKING DORMANCY,"10""H - 10""S",
OR,022021,BERGENIA COR WINTERGLOW, ,PRN,03,Winterglow Bergenia                                                                                 ,2005,PRNADV, 11.99 , 10 , 10 ,     ,     ,     ,-,,PS0
OR,012425MU,BETULA NIGRA, ,TRE,04,River Birch                                                                                         ,    ,, 79.99 , 5 , 5 ,     ,     ,     ,BREAKING DORMANCY,"60""H",
CA,013052,BOUG PURPLE QUEEN R, ,VIN,10,Purple Queen®  Bougainvillea                                                                        ,1989,, 34.95 , 5 , 10 ,     ,     ,     ,BUDS & BLOOMS,"30""H",
CA,013052PT,BOUG PURPLE QUEEN R, ,VIN,10,Purple Queen®  Bougainvillea                                                                        ,1989,, 59.95 , 5 , 10 ,     ,     ,     ,BUDS & BLOOMS,"12""S",
CA,013055,BOUG PURPLE QUEEN R, ,VIN,10,Purple Queen®  Bougainvillea                                                                        ,1989,, 49.95 , 5 , 5 ,     ,     ,     ,BUDS & BLOOMS,"48""H",
