Branch,item,description,Order Quantity,Plant Category,Zone,Common Name,Intro Year,Price Code,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Condition,Current Specs,Plant Status
CA,028342,ABELIA GRA KALEIDOSCOPE P16988, ,EVS,06,Kaleidoscope Abelia                                                                                 ,2007,QTYDISC,     , 5 , 100 ,     ,     ,     ,WINTER COLOR,"10""H - 12""S",
CA,000405,ACANTHUS OAK LEAF, ,PRN,06,Grecian Pattern Plant                                                                               ,    ,QTYDISC,     , 5 , 75 ,     ,     ,     ,-,"15""H",PS1
CA,001882,AGAPANTHUS X MIDKNIGHT BLUE R, ,DCS,06,Midknight Blue®  Agapanthus                                                                         ,1995,QTYDISC, 18.50 , 5 , 100 ,     ,     ,     ,EMERGING,5-7 FANS,
CA,094365,AGAVE WEBERI, ,CAC,08,Weber's Agave                                                                                       ,2009,,     , 5 , 5 ,     ,     ,     ,-,"18""S",PS1
CA,066382,ALST ROCK & ROLL R PP21001, ,PRN,08,Rock & Roll®  Peruvian Lily                                                                         ,2014,, 18.50 , 5 , 14 ,     ,     ,     ,BUDS,CAN FULL,PS1
OR,050021,BEESIA DELTOPHYLLA, ,PRN,06,Beesia                                                                                              ,2010,QTYDISC, 8.50 , 10 , 300 ,     ,     ,     ,-,,PS0
OR,035232,BER T GOLDEN RUBY R PP16203, ,DCS,04,Golden Ruby®  Barberry                                                                              ,2009,QTYDISC, 21.50 , 5 , 322 ,     ,     ,     ,BREAKING DORMANCY,8''H - 12''S,
OR,062932,BER T ORANGE ROCKET PP18411, ,DCS,04,Orange Rocket Barberry                                                                              ,2012,QTYDISC, 21.50 , 5 , 100 ,     ,     ,     ,DORMANT,"18''H - 8""S",
OR,062935,BER T ORANGE ROCKET PP18411, ,DCS,04,Orange Rocket Barberry                                                                              ,2012,QTYDISC, 37.50 , 5 , 150 ,     ,     ,     ,DORMANT,21''H - 10''S,
OR,012202,BER T ROSE GLOW, ,DCS,04,Rose Glow Japanese Barberry                                                                         ,    ,SPRSPCL, 16.50 , 5 , 150 ,     ,     ,     ,DORMANT,15''H - 14''S,
