Branch,item,
CA,037241,
CA,056871,
CA,018211,
CA,028491,
CA,088871,
CA,026591,
CA,068181,
CA,090221,
CA,090211,
CA,073521,
CA,088831,
CA,040001,
CA,040241,
CA,079391,
CA,090471,
CA,085121,
CA,054851,
CA,057831,
CA,057841,
CA,080521,
CA,097771,
CA,097781,
CA,097801,
CA,097831,
CA,079441,
CA,068661,
CA,069971,
CA,065501,
CA,065591,
CA,074141,
CA,089481,
CA,069691,
CA,066061,
CA,046021,
CA,025491,
CA,025491S,
CA,097741S,
CA,097761S,
CA,069691S,
CA,089241S,
CA,097751S,
CA,002001S,
CA,054691S,
CA,061931,
CA,061941,
CA,090471S,
CA,089631,
CA,066342,
CA,044192,
CA,022652,
CA,094292,
CA,099452,
CA,094272,
CA,094282,
CA,070592,
CA,068422,
CA,054872,
CA,089332,
CA,022372,
CA,022452,
CA,022462,
CA,037242,
CA,089392,
CA,094712,
CA,089462,
CA,056612,
CA,056842,
CA,089482,
CA,090201PT,
CA,089442,
CA,089472,
CA,002192,
CA,088912,
CA,046742,
CA,034712,
CA,092092,
CA,036322,
CA,034732,
CA,018212,
CA,057392,
CA,026592,
CA,068182,
CA,024172,
CA,03049EPT,
CA,02813EPT,
CA,05696E,
CA,057052ST,
CA,091405,
CA,017845,
CA,026595,
CA,061935,
CA,056635PT,
CA,024465PT,
CA,411531,
CA,410441,
CA,410471,
CA,410451,
CA,410461,
CA,006402,
CA,006402PT,
CA,005755PT,
CA,004401,
CA,004751,
CA,005251,
CA,002071,
CA,005601,
CA,005651,
CA,005751,
CA,005951,
CA,006001,
CA,006101,
CA,006051,
CA,006151,
CA,006301,
CA,006501,
CA,008421,
CA,004402,
CA,004752,
CA,005252,
CA,004405,
CA,004755,
CA,005605,
CA,005655,
CA,005755,
CA,005955,
CA,006055,
CA,004835,
CA,006155,
CA,006305,
CA,006405,
CA,006505,
CA,004402PT,
CA,004752PT,
CA,005252PT,
CA,004405PT,
CA,005605PT,
CA,006055PT,
CA,006305PT,
CA,006505PT,
CA,00630M,
CA,00650M,
CA,002535MU,
CA,023557,
CA,070305,
CA,023587,
